"","pr","tas","tasmax","tasmin","orog","sftlf","huss"
"CMIP5_ACCESS1-0_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_ACCESS1-3_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_bcc-csm1-1-m_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"CMIP5_bcc-csm1-1-m_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"CMIP5_bcc-csm1-1-m_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"CMIP5_bcc-csm1-1_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_bcc-csm1-1_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_bcc-csm1-1_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_BNU-ESM_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_CanCM4_r10i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanCM4_r1i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanCM4_r2i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanCM4_r3i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanCM4_r4i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanCM4_r5i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanCM4_r6i1p1_historical",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
