#Dataset: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1
#Variable: pr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",46.796,31.716,108.142,55.555,100.449,86.363
"1970-02",43.177,22.302,103.835,46.823,78.061,71.997
"1970-03",44.097,35.328,116.542,40.004,114.334,65.666
"1970-04",45.532,41.995,58.06,46.852,110.14,62.886
"1970-05",62.857,30.302,44.522,65.128,99.538,57.187
"1970-06",55.624,58.474,51.972,69.851,93.205,59.648
"1970-07",78.442,66.706,42.918,49.962,106.955,75.315
"1970-08",71.818,67.491,28.135,73.011,124.409,83.03
"1970-09",95.608,60.331,44.438,90.044,101.957,87.216
"1970-10",104.14,58.558,58.213,67.964,104.783,96.944
"1970-11",71.949,51.624,159.12,20.529,108.43,93.421
"1970-12",54.92,28.576,164.732,44.024,133.291,82.851
"1971-01",53.8,36.306,161.991,15.01,98.421,77.534
"1971-02",54.28,26.935,99.199,24.92,87.14,69.81
"1971-03",52.628,43.609,86.559,53.064,101.049,70.361
"1971-04",50.788,30.362,83.66,66.462,90.125,62.982
"1971-05",55.039,39.342,78.889,114.043,89.033,62.974
"1971-06",61.448,55.535,40.33,77.943,107.876,68.473
"1971-07",80.692,66.083,21.196,72.258,150.192,78.384
"1971-08",76.763,63.269,24.392,44.363,87.303,82.034
"1971-09",77.733,68.709,27.915,37.665,117.08,85.054
"1971-10",98.837,58.611,74.095,51.624,101.496,95.414
"1971-11",69.608,50.818,107.534,55.179,96.102,90.199
"1971-12",49.372,43.512,198.993,31.403,76.464,77.271
"1972-01",59.506,25.023,120.158,22.55,102.673,77.412
"1972-02",16.875,25.493,115.793,22.203,107.831,62.721
"1972-03",32.047,36.95,149.65,26.306,116.579,60.2
"1972-04",45.938,27.546,83.802,26.658,79.868,59.124
"1972-05",65.934,43.497,41.396,77.786,86.977,60.857
"1972-06",56.349,54.106,43.084,57.803,92.826,66.775
"1972-07",72.911,53.94,25.958,59.632,126.002,74.6
"1972-08",99.309,69.018,17.445,57.295,107.15,83.368
"1972-09",84.119,58.97,30.157,54.569,120.523,87.124
"1972-10",78.604,64.432,95.148,30.384,98.044,93.701
"1972-11",61.282,49.813,103.318,49.585,70.789,81.528
"1972-12",50.373,39.834,145.445,25.945,94.929,85.771
"1973-01",70.075,41.489,115.361,24.589,113.125,80.975
"1973-02",55.164,27.057,89.395,22.485,69.246,57.753
"1973-03",42.131,30.539,106.68,45.706,79.846,67.864
"1973-04",47.371,40.155,67.882,61.513,95.249,58.652
"1973-05",43.714,44.36,33.975,62.544,119.896,60.022
"1973-06",57.039,54.532,38.174,58.309,113.574,62.703
"1973-07",69.747,63.417,39.964,34.982,110.556,68.571
"1973-08",67.414,65.804,21.381,52.238,99.767,82.04
"1973-09",62.833,61.494,69.626,50.575,94.904,85.528
"1973-10",89.605,61.162,62.361,47.062,110.391,98.986
"1973-11",82.684,53.197,114.713,78.513,75.869,91.542
"1973-12",69.413,35.354,131.052,28.521,78.888,80.796
"1974-01",65.219,29.37,110.995,35.746,94.722,75.891
"1974-02",28.358,21.138,100.573,24.57,80.189,61.532
"1974-03",56.597,43.497,61.424,88.297,85.547,69.331
"1974-04",54.421,42.906,64.971,101.041,90.582,57.084
"1974-05",48.043,41.587,50.964,96.255,107.965,59.901
"1974-06",52.521,62.401,37.614,72.564,122.736,64.074
"1974-07",82.618,74.585,28.194,43.188,128.192,86.19
"1974-08",85.768,58.2,29.288,62.349,101.737,72.471
"1974-09",100.2,61.336,23.478,48.143,92.173,86.487
"1974-10",94.364,61.49,101.141,58.448,93.073,103.051
"1974-11",67.555,41.55,155.394,28.341,91.493,82.201
"1974-12",63.215,38.941,136.769,29.88,71.176,85.994
"1975-01",67.202,22.65,102.391,25.838,83.861,84.439
"1975-02",54.952,26.791,103.114,35.358,98.137,66.882
"1975-03",53.75,25.822,90.274,76.019,70.025,60.983
"1975-04",50.373,27.658,57.858,87.391,88.816,48.566
"1975-05",52.01,52.868,68.906,92.145,106.696,60.906
"1975-06",47.833,56.65,45.01,75.997,88.737,54.642
"1975-07",82.628,62.634,30.285,59.835,114.36,73.971
"1975-08",100.732,56.738,35.561,52.832,114.765,77.567
"1975-09",91.964,61.816,36.878,65.803,90.442,84.003
"1975-10",77.578,65.618,96.318,43.344,117.101,85.41
"1975-11",80.694,50.52,109.575,29.977,95.523,87.788
"1975-12",62.277,45.957,153.012,18.063,102.202,89.034
"1976-01",50.406,32.032,120.921,18.419,83.597,80.377
"1976-02",39.179,28.516,116.934,21.022,75.701,66.474
