#Dataset: NOAA-GFDL-GFDL-ESM2M_r1i1p1_NCAR-WRF_v3-5-1
#Variable: pr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",50.195,38.678,126.568,29.119,126.517,87.344
"1970-02",36.742,20.278,101.46,60.862,75.343,66.619
"1970-03",50.2,23.654,56.98,66.706,112.792,69.681
"1970-04",28.211,26.737,77.629,54.95,99.392,57.883
"1970-05",35.179,34.639,81.831,115.949,104.114,56.655
"1970-06",64.426,41.542,68.896,133.377,86.296,66.724
"1970-07",83.614,61.066,47.579,112.647,122.684,74.841
"1970-08",81.353,67.435,47.915,90.889,97.104,79.259
"1970-09",72.619,56.722,44.347,60.352,85.714,85.093
"1970-10",73.338,38.04,93.584,74.376,109.697,92.97
"1970-11",77.99,41.976,57.764,50.605,123.304,92.696
"1970-12",60.531,38.578,100.979,43.102,107.598,93.891
"1971-01",57.702,35.808,100.802,11.666,106.194,90.568
"1971-02",40.431,31.147,80.956,37.024,89.527,66.553
"1971-03",24.811,28.581,125.692,27.463,139.13,73.355
"1971-04",31.304,27.851,87.369,85.528,116.437,61.032
"1971-05",44.505,39.851,69.174,131.237,100.485,59.706
"1971-06",48.226,50.658,65.473,129.631,106.104,64.304
"1971-07",87.487,62.586,64.459,132.288,132.501,76.072
"1971-08",87.742,59.797,47.496,106.917,123.2,85.141
"1971-09",68.439,57.012,34.504,100.524,143.081,89.526
"1971-10",78.836,55.998,87.543,65.818,113.429,102.245
"1971-11",75.407,40.168,82.253,47.609,84.844,92.765
"1971-12",66.189,36.032,102.191,48.092,99.949,96.423
"1972-01",37.905,24.452,127.888,23.093,109.338,81.119
"1972-02",44.635,23.061,105.156,51.026,102.428,68.304
"1972-03",45.493,26.596,65.279,37.719,117.226,71.069
"1972-04",42.066,25.758,80.649,64.494,84.949,54.602
"1972-05",38.971,38.387,57.593,120.175,90.058,56.581
"1972-06",60.875,50.954,67.99,99.472,108.096,65.744
"1972-07",79.612,70.462,56.596,118.698,120.123,72.546
"1972-08",98.645,63.505,51.719,130.359,101.938,91.719
"1972-09",72.677,64.41,83.487,89.414,86.946,88.094
"1972-10",67.417,48.827,72.525,84.893,118.517,99.988
"1972-11",57.676,41.347,111.525,39.956,118.198,90.792
"1972-12",49.113,47.945,148.943,32.967,153.348,86.141
"1973-01",40.209,36.428,129.003,46.524,142.224,87.643
"1973-02",43.297,26.778,48.784,40.875,101.865,70.957
"1973-03",29.576,29.328,83.539,92.698,145.996,78.548
"1973-04",32.823,30.461,72.052,106.03,116.135,69.523
"1973-05",39.074,45.387,76.193,129.015,132.242,62.617
"1973-06",49.444,51.722,77.266,162.494,127.449,64.317
"1973-07",77.763,58.018,52.912,152.076,105.955,78.321
"1973-08",78.711,63.393,61.792,107.444,104.613,75.853
"1973-09",82.696,49.688,54.257,100.039,89.371,82.96
"1973-10",82.195,49.252,74.632,66.519,117.786,99.74
"1973-11",78.493,34.619,87.629,71.582,106.982,90.91
"1973-12",60.557,32.591,96.923,18.864,120.973,91.897
"1974-01",36.6,29.887,139.919,34.467,132.522,80.387
"1974-02",42.022,20.204,90.559,41.363,105.245,74.154
"1974-03",39.107,33.463,92.102,37.258,116.054,65.629
"1974-04",29.481,29.237,74.579,71.599,83.695,53.074
"1974-05",43.128,30.915,65.402,113.077,107.334,64.682
"1974-06",63.695,53.769,54.186,134.243,103.892,71.356
"1974-07",84.954,63.644,55.877,118.564,121.08,83.638
"1974-08",69.114,68.909,68.547,92.29,77.961,80.292
"1974-09",78.064,62.994,53.937,61.383,93.6,88.978
"1974-10",64.671,52.69,86.2,31.587,134.705,90.612
"1974-11",89.116,43.646,48.81,62.508,118.003,94.188
"1974-12",47.584,29.11,109.886,45.13,107.196,84.306
"1975-01",27.19,31.377,137.176,43.645,115.848,78.649
