#Dataset: CCCma-CanESM2_r1i1p1_CCCma-CanRCM4_r2
#Variable: pr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",77.706,25.453,103.382,165.941,127.677,93.526
"1970-02",57.812,18.707,116.538,106.108,115.616,78.495
"1970-03",61.375,25.458,89.055,105.642,136.565,73.792
"1970-04",47.321,28.69,105.859,19.981,67.184,52.406
"1970-05",36.78,40.956,18.04,38.068,87.937,54.931
"1970-06",49.979,53.775,7.112,110.249,102.58,60.336
"1970-07",75.19,51.962,9.614,55.937,116.417,67.95
"1970-08",54.029,53.233,12.666,99.096,113.122,73.022
"1970-09",70.973,40.167,53.776,148.45,139.842,95.104
"1970-10",79.243,54.939,77.913,123.225,149.869,100.023
"1970-11",63.805,45.54,100.458,109.421,97.966,90.806
"1970-12",79.916,27.946,163.009,222.385,172.253,99.6
"1971-01",48.739,34.585,100.632,75.864,130.301,86.986
"1971-02",57.203,24.027,144.329,28.622,48.028,68.16
"1971-03",53.26,21.69,75.022,45.034,86.474,60.21
"1971-04",35.478,27.917,97.104,35.046,62.439,52.892
"1971-05",38.209,26.225,34.317,11.419,77.971,44.281
"1971-06",43.242,39.642,12.325,22.983,101.244,56.471
"1971-07",59.18,40.042,13.554,46.189,107.084,57.492
"1971-08",69.003,51.82,20.985,81.784,140.213,73.347
"1971-09",98.791,57.436,19.77,167.405,109.517,89.911
"1971-10",66.974,44.622,92.834,88.222,151.926,98.222
"1971-11",83.762,44.448,75.592,59.411,124.558,93.84
"1971-12",72.298,35.779,115.124,141.076,110.075,90.974
"1972-01",62.638,25.614,135.387,80.575,122.645,91.454
"1972-02",51.689,25.32,159.015,80.294,78.838,71.805
"1972-03",69.913,28.758,123.816,37.001,73.933,61.286
"1972-04",45.042,32.269,98.95,8.63,55.392,49.764
"1972-05",51.173,42.918,35.165,42.956,76.167,51.408
