#Dataset: MPI-M-MPI-ESM-MR_r1i1p1_UQAM-CRCM5_v1
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",-20.149,-22.484,-1.101,-0.474,0.49,-2.24
"1970-02",-20.866,-22.919,-2.311,-0.782,2.305,-2.912
"1970-03",-14.947,-16.728,1.796,3.374,3.023,-0.234
"1970-04",-6.498,-9.572,6.032,8.077,6.105,3.565
"1970-05",1.752,-1.188,10.471,15.042,11.912,8.008
"1970-06",7.044,4.527,13.227,18.48,15.574,11.244
"1970-07",9.605,9.519,15.299,23.219,19.008,13.765
"1970-08",9.387,8.405,16.795,21.071,17.75,13.922
"1970-09",2.966,4.968,13.802,18.128,17.146,11.777
"1970-10",-2.764,-0.712,7.944,13.223,12.71,8.125
"1970-11",-8.613,-6.913,0.761,4.102,6.055,4.005
"1970-12",-15.994,-14.092,-4.074,-4.53,1.942,-0.482
"1971-01",-21.215,-19.837,-6.107,-9.818,-1.784,-2.692
"1971-02",-17.934,-24.53,-4.26,-5.626,-1.705,-2.665
"1971-03",-10.92,-16.977,0.551,3.958,3.499,0.391
"1971-04",-5.273,-10.47,4.708,7.577,6.397,3.987
"1971-05",2.563,-1.102,9.823,13.276,9.882,8.035
"1971-06",7.626,4.762,12.802,21.608,16.051,11.724
"1971-07",10.113,9.519,16.878,23.766,19.248,14.066
"1971-08",8.326,9.351,17.81,23.46,19.887,14.152
"1971-09",4.616,4.356,14.395,17.657,16.481,11.984
"1971-10",-1.883,-0.663,8.525,9.911,10.279,8.314
"1971-11",-6.398,-5.593,3.945,2.459,5.696,4.66
"1971-12",-13.363,-13.411,-0.787,-1.096,3.234,1.057
"1972-01",-18.412,-19.72,-3.766,-3.409,0.076,-2.184
"1972-02",-18.397,-20.126,-3.418,-4.519,0.031,-1.981
"1972-03",-13.944,-16.746,1.089,2.026,3.12,-0.112
"1972-04",-8.211,-8.165,4.215,8.777,7.461,3.4
"1972-05",-0.526,-2.169,8.911,15.691,11.707,7.595
"1972-06",5.009,2.615,13.806,19.883,15.238,11.074
"1972-07",9.318,8.774,18.101,22.628,18.87,13.9
"1972-08",7.436,8.852,16.584,23.439,19.001,13.824
"1972-09",4.849,3.617,12.138,16.977,14.816,11.414
"1972-10",-4.269,-0.554,7.649,12.317,11.92,7.695
"1972-11",-9.499,-8.368,3.224,5.173,7.081,4.012
"1972-12",-17.612,-14.087,-1.1,1.767,5.001,-0.215
