#Dataset: CCCma-CanESM2_r1i1p1_UQAM-CRCM5_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",-11.776,-19.432,8.897,15.445,9.9,5.378
"1970-02",-11.774,-24.694,8.857,15.246,9.087,4.443
"1970-03",-13.734,-25.253,8.551,17.634,10.543,4.123
"1970-04",-7.56,-11.45,8.924,21.277,13.008,7.057
"1970-05",-2.943,-5.526,11.265,23.329,15.356,9.416
"1970-06",2.26,-0.887,13.384,25.407,18.611,11.872
"1970-07",4.737,3.908,15.084,26.586,21.463,14.182
"1970-08",5.431,5.455,15.502,27.305,22.284,15.31
"1970-09",4.686,3.805,14.829,26.215,20.415,14.872
"1970-10",0.621,-1.111,12.916,24.673,17.944,12.574
"1970-11",-7.332,-7.629,10.964,21.578,15.409,9.087
"1970-12",-8.196,-12.954,9.246,17.037,11.799,7.189
"1971-01",-14.207,-22.626,7.777,16.853,10.349,4.691
"1971-02",-18.578,-27.298,8.568,17.547,10.205,3.376
"1971-03",-11.112,-17.914,7.584,19.239,11.408,5.372
"1971-04",-10.414,-17.799,8.533,22.031,13.031,5.958
"1971-05",-2.956,-6.734,9.743,23.902,15.366,9.209
"1971-06",2.939,-0.29,13.304,25.292,18.144,12.197
"1971-07",5.42,4.208,15.468,26.665,20.997,14.522
"1971-08",4.946,5.829,16.508,26.884,22.276,15.339
"1971-09",4.212,3.114,14.619,27.278,20.471,14.344
"1971-10",-0.667,-1.042,13.433,24.167,17.658,11.933
"1971-11",-9.907,-8.986,11.275,20.518,14.396,8.583
"1971-12",-11.556,-12.416,8.98,16.178,10.955,6.88
"1972-01",-13.357,-22.313,8.82,17.259,10.432,4.88
"1972-02",-13.39,-23.928,8.582,18.844,10.868,4.423
"1972-03",-10.55,-18.439,7.703,20.04,11.171,4.983
"1972-04",-7.445,-13.632,8.602,20.79,13.008,6.327
"1972-05",-3.204,-5.449,9.965,23.934,16.323,9.112
"1972-06",1.995,-1.187,13.211,25.424,19.602,12.001
"1972-07",5.764,2.659,15.519,26.327,22.274,14.375
"1972-08",6.692,5.915,16.443,27.183,22.847,15.574
"1972-09",4.142,2.803,16.146,26.541,21.087,14.635
"1972-10",-2.14,-1.613,13.057,25.11,19.017,11.854
"1972-11",-7.018,-6.345,11.166,20.108,15.162,9.124
"1972-12",-9.987,-10.241,9.312,14.398,12.015,7.222
"1973-01",-12.292,-17.576,9.389,16.632,10.249,5.209
"1973-02",-11.979,-27.616,9.161,16.737,10.512,3.991
"1973-03",-12.369,-22.769,9.173,18.039,10.997,4.499
"1973-04",-9.673,-15.726,9.517,20.241,12.374,6.27
"1973-05",-1.261,-6.199,10.701,23.251,16.009,9.243
"1973-06",2.586,-0.705,13.149,25.168,19.578,11.837
"1973-07",5.667,3.923,15.818,26.513,21.383,14.213
"1973-08",5.885,6.569,16.662,26.948,22.951,15.538
"1973-09",3.722,3.214,15.722,26.426,21.187,14.621
"1973-10",-0.497,-2.688,15.456,24.743,18.279,12.353
"1973-11",-3.933,-6.693,13.009,20.343,16.048,10.114
"1973-12",-9.215,-9.829,10.234,17.587,12.927,7.586
"1974-01",-15.294,-20.203,9.65,15.801,9.126,4.494
"1974-02",-14.228,-24.471,9.251,16.337,10.275,3.887
"1974-03",-13.882,-24.118,8.894,18.222,10.679,4.111
"1974-04",-7.866,-12.357,9.444,19.639,12.621,7.072
"1974-05",-2.568,-6.226,11.152,23.331,16.091,9.504
"1974-06",4.032,-0.081,13.633,25.66,19.03,12.375
"1974-07",5.969,3.525,16.301,26.786,21.714,14.79
"1974-08",5.809,5.231,16.821,26.976,22.649,15.618
"1974-09",4.336,3.571,16.109,26.679,21.019,14.827
"1974-10",-1.766,-3.877,13.882,23.631,18.139,11.864
"1974-11",-4.843,-6.21,13.009,21.087,15.206,10.026
"1974-12",-12.388,-11.874,10.189,18.722,12.762,6.795
"1975-01",-16.299,-21.606,9.038,18.338,11.064,4.279
"1975-02",-17.113,-25.608,9.039,18.201,9.817,3.418
"1975-03",-13.854,-23.594,7.593,19.496,10.877,4.274
"1975-04",-7.574,-12.127,9.079,20.633,12.569,6.75
"1975-05",-2.072,-4.858,10.357,23.948,16.213,9.208
"1975-06",2.773,-0.337,13.244,25.741,19.411,11.874
"1975-07",5.542,3.202,15.619,26.462,21.58,14.376
"1975-08",6.615,4.779,16.879,26.882,22.883,15.61
"1975-09",3.972,3.463,15.922,26.743,21.575,14.547
"1975-10",-1.526,-1.868,13.965,24.111,18.951,12.204
"1975-11",-8.885,-8.239,12.502,20.768,14.57,8.811
"1975-12",-11.9,-13.162,9.819,18.561,12.976,6.891
"1976-01",-13.366,-19.363,8.476,17.614,11.646,5.184
"1976-02",-14.387,-26.628,6.972,18.219,10.482,3.704
"1976-03",-13.879,-23.893,8.378,18.303,10.648,3.975
"1976-04",-10.082,-14.533,8.71,20.234,13.095,5.951
"1976-05",-1.41,-5.392,10.868,22.789,15.762,9.28
"1976-06",2.447,-0.199,12.47,25.16,19.343,11.957
"1976-07",4.936,4.386,15.039,25.899,21.765,14.359
"1976-08",5.678,6.077,16.438,27.056,22.461,15.642
"1976-09",3.924,2.669,15.719,26.25,21.15,14.528
"1976-10",-1.384,-0.679,12.26,24.151,18.884,11.897
"1976-11",-10.207,-10.643,10.942,19.828,16.181,8.571
"1976-12",-15.306,-18.606,9.968,19.624,12.527,6.155
"1977-01",-13.817,-26.783,7.195,17.37,10.835,4.541
"1977-02",-17.109,-28.206,9.218,16.395,8.088,3.016
"1977-03",-15.681,-26.238,7.933,18.677,10.449,3.529
"1977-04",-8.498,-14.253,8.402,21.165,12.844,6.465
"1977-05",-3.443,-6.122,10.506,24.025,15.632,9.091
"1977-06",2.557,-0.932,12.226,26.047,19.231,11.925
"1977-07",5.65,3.327,15.949,26.794,21.696,14.473
"1977-08",6.06,5.463,16.948,27.397,22.842,15.763
"1977-09",3.058,2.604,16.514,26.622,21.089,14.6
"1977-10",-2.245,-2.258,13.627,25.138,18.279,12.211
"1977-11",-6.771,-5.382,10.587,22.363,16.55,9.642
"1977-12",-12.244,-11.82,9.27,17.05,12.559,7.21
"1978-01",-10.464,-15.402,8.015,14.787,9.902,6.162
"1978-02",-12.303,-25.492,9.265,16.652,8.977,4.386
"1978-03",-11.966,-23.728,8.724,18.168,11.413,4.756
"1978-04",-7.561,-13.117,8.772,21.299,12.989,6.869
"1978-05",-1.275,-5.718,11.104,23.273,16.135,9.712
"1978-06",3.413,-0.487,13.457,25.685,19.661,12.518
"1978-07",6.572,3.832,15.323,26.704,22.252,14.702
"1978-08",6.405,5.386,16.489,27.294,23.048,15.453
"1978-09",3.15,2.91,15.646,27.009,22.185,14.437
"1978-10",-1.7,-1.571,13.076,24.798,19.233,11.922
"1978-11",-5.095,-3.441,11.822,20.384,15.953,9.96
"1978-12",-12.418,-13.6,10.108,17.716,12.095,6.604
"1979-01",-16.414,-20.365,9.563,16.651,10.722,4.413
"1979-02",-14.959,-23.448,8.874,17.191,10.007,3.855
"1979-03",-12.906,-20.586,8.075,19.855,10.876,4.252
"1979-04",-8.103,-14.282,9.23,21.24,13.099,6.395
"1979-05",-2.774,-5.212,10.92,23.392,16.19,9.235
"1979-06",1.629,-0.039,12.885,25.396,19.292,11.752
"1979-07",5.177,3.908,15.362,26.612,21.965,14.125
"1979-08",6.316,6.099,16.303,26.997,22.984,15.4
"1979-09",3.367,3.377,15.895,26.186,21.345,14.441
"1979-10",-0.47,-1.691,14.146,24.439,18.755,12.37
"1979-11",-7.03,-7.721,11.133,22.356,16.774,9.277
"1979-12",-9.467,-10.527,9.841,15.17,11.31,6.995
"1980-01",-15.101,-20.547,9.707,15.519,9.621,4.566
"1980-02",-16.992,-28.168,9.359,15.143,8.903,2.913
"1980-03",-13.62,-25.156,9.379,18.639,10.306,3.743
"1980-04",-10.263,-13.809,10.274,20.561,12.758,6.126
"1980-05",-4.224,-7.336,11.319,23.344,16.455,8.853
"1980-06",1.604,-1.001,12.514,25.592,19.24,11.521
"1980-07",4.89,3.125,15.626,26.024,22.098,14.127
"1980-08",5.618,5.107,15.982,26.801,22.964,15.345
"1980-09",3.553,3.157,14.895,26.546,21.636,14.366
"1980-10",-1.151,-1.077,13.41,24.352,19.403,12.112
"1980-11",-8.366,-7.991,11.697,20.866,16.49,9.197
"1980-12",-12.424,-13.912,10.742,18.255,12.408,6.977
"1981-01",-11.723,-16.604,9.636,18.027,10.754,5.92
"1981-02",-13.851,-19.764,9.11,17.82,11.59,4.66
"1981-03",-11.598,-17.602,8.602,19.909,12.5,5.437
"1981-04",-7.434,-12.147,9.768,19.822,12.95,6.903
"1981-05",-2.183,-4.914,10.873,23.612,16.474,9.448
"1981-06",2.46,-0.453,13.552,25.555,19.512,12.155
"1981-07",5.249,3.588,16.156,26.795,22.078,14.536
"1981-08",5.356,5.06,16.737,27.295,22.218,15.297
"1981-09",4.028,2.89,16.005,26.8,21.474,14.603
"1981-10",-0.629,-2.196,14.736,23.187,18.654,12.347
"1981-11",-6.433,-8.102,12.191,21.367,16.188,9.394
"1981-12",-12.912,-17.58,9.462,18.787,13.455,6.076
"1982-01",-13.564,-21.433,8.168,17.528,11.225,5.044
"1982-02",-13.97,-25.291,8.426,15.225,9.244,4.357
"1982-03",-13.053,-24.225,8.827,16.681,10.62,4.652
"1982-04",-5.924,-10.512,9.027,21.214,13.764,7.338
"1982-05",-2.301,-4.727,10.833,23.781,16.168,9.472
"1982-06",2.458,-0.21,12.925,26.132,19.475,11.999
"1982-07",5.676,3.525,15.053,27.138,21.833,14.357
"1982-08",6.015,5.222,16.441,27.57,22.928,15.352
"1982-09",4.01,3.401,15.453,26.726,21.347,14.399
"1982-10",-0.666,-0.928,13.508,24.507,18.84,12.073
"1982-11",-5.002,-5.526,11.387,20.084,15.631,9.616
"1982-12",-12.039,-14.305,10.076,15.99,12.324,6.35
"1983-01",-12.059,-19.606,9.655,16.967,11.237,5.234
"1983-02",-15.829,-27.866,7.962,16.647,9.352,3.375
"1983-03",-11.83,-23.195,8.181,17.438,10.773,4.609
"1983-04",-9.472,-16.536,9.197,20.225,12.8,6.09
"1983-05",-3.244,-7.329,10.96,23.461,16.454,9.055
"1983-06",3.007,-0.861,13.965,25.657,19.509,12.063
"1983-07",6.075,2.987,15.558,26.831,22.112,14.393
"1983-08",6.481,5.432,16.117,27.145,23.291,15.451
"1983-09",3.855,1.798,15.265,26.912,21.843,14.287
"1983-10",-0.935,-2.02,13.19,25.168,18.728,12.078
"1983-11",-6.187,-7.272,10.749,21.612,14.893,9.122
"1983-12",-10.101,-14.617,9.104,19.422,12.668,6.696
"1984-01",-12.391,-22.827,8.216,17.648,11.518,4.776
"1984-02",-15.496,-26.616,7.672,16.292,9.122,3.833
"1984-03",-15.589,-26.428,8.263,19.567,11.121,4.103
"1984-04",-10.514,-18.331,8.966,21.405,13.047,6.123
"1984-05",-2.94,-5.909,10.279,23.4,15.753,9.377
"1984-06",2.27,-0.801,13.666,25.674,18.882,11.984
"1984-07",5.654,3.225,15.794,27.033,21.876,14.231
"1984-08",6.191,5.46,16.677,27.089,22.637,15.506
"1984-09",5.123,3.941,14.895,27.203,21.552,14.778
"1984-10",0.855,0.012,12.913,25.305,18.617,12.702
"1984-11",-6.882,-5.927,10.678,21.834,15.2,9.501
"1984-12",-12.985,-15.138,9.048,18.836,13.022,6.511
"1985-01",-16.628,-27.584,8.253,19.087,11.134,3.791
"1985-02",-14.351,-26.795,8.489,17.113,10.078,3.759
"1985-03",-12.906,-25.614,7.527,19.439,11.194,4.512
"1985-04",-9.531,-16.946,9.206,19.477,13.195,6.079
"1985-05",-1.147,-5.307,10.814,23.591,15.961,9.671
"1985-06",3.624,-0.379,13.591,25.632,19.447,12.289
"1985-07",5.803,3.382,15.676,26.768,22.054,14.533
"1985-08",6.14,5.92,16.569,27.325,23.264,15.804
"1985-09",3.965,3.975,15.766,26.594,21.298,14.834
"1985-10",0.557,0,12.723,24.975,19.011,12.64
"1985-11",-6.633,-5.751,11.371,21.005,16.018,9.683
"1985-12",-10.577,-11.276,9.061,18.332,12.99,7.249
"1986-01",-13.205,-22.072,6.25,15.309,9.518,4.899
"1986-02",-17.629,-26.988,6.757,19.247,10.416,3.29
"1986-03",-13.207,-21.996,7.502,18.272,11.065,4.958
"1986-04",-10.666,-14.2,8.303,21.002,13.744,6.445
"1986-05",-3.539,-6.561,10.8,23.728,16.269,9.163
"1986-06",3.009,-0.584,12.781,26.085,19.682,12.18
"1986-07",5.913,3.712,15.354,27.047,22.036,14.658
"1986-08",5.937,5.57,16.47,27.734,22.778,15.611
"1986-09",4.404,3.456,15.939,26.949,21.84,14.772
"1986-10",-0.213,-0.586,13.528,24.547,18.788,12.321
"1986-11",-3.551,-2.884,11.403,21.908,15.402,10.254
"1986-12",-11.167,-10.972,9.465,20.291,12.632,7.167
"1987-01",-12.098,-15.844,8.107,17.548,11.337,5.808
"1987-02",-15.916,-22.165,8.041,17.426,10.366,4.015
"1987-03",-14.71,-25.19,7.669,18.957,10.799,4.11
"1987-04",-8.75,-12.338,8.22,22.052,13.314,7.136
"1987-05",-3.242,-5.603,10.324,23.721,15.719,9.421
"1987-06",2.336,-0.63,13.021,25.754,18.893,12.097
"1987-07",5.457,4.254,15.655,26.628,21.479,14.415
"1987-08",6.478,6.533,16.56,27.186,23.059,15.664
"1987-09",4.713,3.595,15.348,26.562,21.272,14.725
"1987-10",1.011,0.759,12.793,24.683,18.462,12.543
"1987-11",-5.658,-5.506,10.106,22.013,14.963,9.724
"1987-12",-12.406,-11.684,8.988,20.621,12.802,7.278
"1988-01",-15.394,-21.81,8.084,17.78,11.806,4.556
"1988-02",-14.992,-25.667,6.82,18.355,10.722,4.051
"1988-03",-12.079,-19.801,6.797,19.451,11.54,5.063
"1988-04",-10.048,-14.398,7.996,21.812,12.988,6.102
"1988-05",-2.872,-6.401,10.154,23.36,15.049,9.017
"1988-06",2.013,-0.856,12.347,25.679,18.975,11.843
"1988-07",5.402,3.882,14.422,26.88,21.802,14.285
