#Dataset: CCCma-CanESM2_r1i1p1_OURANOS-CRCM5_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"2006-01",-11.414,-17.946,9.915,16.99,11.712,6.131
"2006-02",-9.434,-19.527,10.281,17.438,10.499,5.991
"2006-03",-9.706,-17.901,9.869,17.878,10.767,5.935
"2006-04",-4.945,-10.13,10.703,19.643,12.873,8.326
"2006-05",0.502,-3.544,11.638,23.357,16.62,10.61
"2006-06",4.79,0.295,13.568,26.427,19.572,13.025
"2006-07",8.158,5.172,16.756,27.462,22.959,15.697
"2006-08",8.474,7.91,17.467,27.677,24.015,16.822
"2006-09",6.785,5.763,16.057,27.523,22.276,16.146
"2006-10",2.823,1.881,14.16,25.689,19.77,13.761
"2006-11",-2.102,-3.038,12.137,22.382,16.411,10.872
"2006-12",-9.169,-8.895,10.136,18.999,13.774,8.103
"2007-01",-14.135,-16.335,9.356,19.486,12.373,5.645
"2007-02",-14.951,-20.307,8.914,17.881,11.874,4.907
"2007-03",-11.843,-15.827,8.708,20.01,12.68,5.774
"2007-04",-6.469,-9.103,8.737,21.845,14.067,8.041
"2007-05",-0.023,-2.293,10.57,24.519,17.164,10.607
"2007-06",2.86,1.283,13.386,26.826,20.556,12.927
"2007-07",6.769,7.035,15.53,27.563,23.07,15.61
"2007-08",8.766,8.029,16.464,28.108,23.695,16.818
"2007-09",6.335,5.692,15.959,27.939,22.308,15.702
"2007-10",1.615,0.258,13.132,26.734,19.54,13.078
"2007-11",-4.518,-5.178,10.314,22.909,16.524,10.217
"2007-12",-10.084,-11.652,9.64,18.621,12.603,7.928
"2008-01",-8.48,-13.186,9.863,17.823,10.752,6.896
"2008-02",-12.671,-19.42,9.243,19.198,11.987,5.158
"2008-03",-12.374,-17.772,8.906,19.77,11.839,5.398
"2008-04",-7.533,-11.152,9.277,21.763,13.597,7.406
"2008-05",-2.833,-4.016,10.923,23.962,16.496,10.209
"2008-06",3.229,0.551,12.779,26.271,19.984,12.78
"2008-07",7.065,4.665,15.736,27.183,22.795,15.497
"2008-08",8.913,7.396,17.011,28.09,23.325,16.885
"2008-09",6.122,5.128,16.295,27.359,22.572,15.788
"2008-10",1.333,1.441,13.399,24.401,20.282,13.288
"2008-11",-2.93,-3.968,12.119,21.355,16.233,10.786
"2008-12",-6.908,-9.091,9.721,19.256,13.573,8.569
"2009-01",-12.669,-17.355,8.575,17.999,10.981,6.098
"2009-02",-10.466,-16.88,9.126,19.939,11.403,6.469
"2009-03",-10.51,-15.224,8.926,19.406,11.296,6.537
"2009-04",-7.484,-11.584,9.846,21.815,13.506,7.89
"2009-05",-1.497,-4.424,12.037,24.731,16.736,10.475
"2009-06",3.435,0.613,14.275,26.607,20.294,13.097
"2009-07",6.522,4.96,16.148,27.552,22.832,15.47
"2009-08",6.775,7.061,16.891,27.782,23.854,16.497
"2009-09",5.393,4.552,16.408,27.232,22.071,15.754
"2009-10",0.638,-0.671,14.818,25.666,19.736,13.316
"2009-11",-3.984,-4.231,11.719,22.678,16.757,10.908
"2009-12",-6.507,-4.948,10.182,17.735,13.956,9.15
"2010-01",-10.014,-13.386,9.514,17.748,11.312,7.055
"2010-02",-13.585,-20.981,9.255,18.548,11.15,5.628
"2010-03",-8.612,-16.724,9.202,19.175,12.121,6.959
"2010-04",-7.902,-12.49,11.081,21.217,13.138,7.895
"2010-05",-0.722,-4.667,12.32,23.774,16.927,10.477
"2010-06",3.72,0.281,15.015,26.08,19.781,13.095
"2010-07",6.979,4.881,17.252,27.076,22.933,15.863
"2010-08",8.222,7.242,17.784,27.567,24.112,17.063
"2010-09",6.253,4.679,16.882,27.722,22.389,16.006
"2010-10",1.719,0.057,14.345,25.422,19.803,13.575
"2010-11",-2.715,-4.797,12.803,21.495,16.546,11.354
"2010-12",-6.907,-11.92,11.424,18.087,12.984,8.485
"2011-01",-8.842,-15.724,10.661,18.196,11.914,7.238
"2011-02",-10.373,-17.998,9.694,17.83,11.904,6.002
"2011-03",-12.378,-16.879,9.685,19.2,12.519,5.919
"2011-04",-7.244,-12.108,9.908,22.822,14.659,7.831
"2011-05",-0.786,-4.586,11.772,24.616,17.523,10.502
"2011-06",3.593,0.276,14.353,25.818,20.39,12.991
"2011-07",7.226,4.779,17.054,27.258,22.972,15.79
"2011-08",8.758,6.723,18.208,27.635,23.92,17.038
"2011-09",6.359,4.665,16.974,27.845,22.738,16.237
"2011-10",1.59,-0.068,15.238,26.136,19.442,13.701
"2011-11",-3.215,-2.827,11.828,23.41,16.562,10.898
"2011-12",-6.855,-6.365,10.259,19.697,14.43,8.843
"2012-01",-12.927,-13.911,9.075,17.104,11.774,6.651
"2012-02",-14.836,-21.522,8.399,17.22,11.046,5.354
"2012-03",-10.999,-19.112,9.16,18.189,11.347,5.891
"2012-04",-6.962,-11.431,9.298,21.639,14.627,7.667
"2012-05",0.21,-3.509,10.875,24.706,17.292,10.546
"2012-06",3.251,1.05,13.614,26.095,20.543,12.897
"2012-07",6.737,5.936,16.186,27.075,22.682,15.522
"2012-08",7.803,7.257,17.445,27.473,23.962,16.862
"2012-09",6.263,4.803,17.125,27.408,22.431,16.004
"2012-10",0.217,0.04,14.68,25.033,19.609,13.324
"2012-11",-3.598,-3.319,12.301,21.909,16.324,10.845
"2012-12",-8.039,-8.45,10.976,19.323,12.959,8.761
"2013-01",-9.92,-14.555,10.182,18.421,11.594,7.317
