#Dataset: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2020-11-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"2006-01",-16.394,-23.603,11.669,16.398,9.871,4.796
"2006-02",-13.282,-25.974,9.935,17.549,9.964,4.937
"2006-03",-11.06,-20.517,10.66,17.023,11.192,5.598
"2006-04",-6.88,-13.717,11.378,20.318,12.942,7.406
"2006-05",1.191,-3.302,12.162,23.798,15.596,10.615
"2006-06",4.482,0.262,14.522,25.925,18.713,13.178
"2006-07",6.771,4.018,15.837,27.395,20.7,15.264
"2006-08",7.185,4.087,16.636,28.209,21.568,16.149
"2006-09",5.162,2.29,16.296,27.537,21.185,15.293
"2006-10",-1.635,-3.778,14.837,24.274,18.204,12.138
"2006-11",-5.262,-6.045,12.382,21.715,15.437,10.417
"2006-12",-13.241,-14.477,10.37,18.597,12.068,6.39
"2007-01",-13.613,-26.004,10.209,16.504,10.266,4.42
"2007-02",-16.451,-24.755,9.905,18.89,10.767,3.72
"2007-03",-12.414,-22.563,9.668,20.19,12.206,5.535
"2007-04",-10.172,-14.178,10.808,21.299,13.699,6.743
"2007-05",0.785,-3.437,12.126,22.69,15.276,10.443
"2007-06",4.287,0.854,13.969,26.075,18.328,13.045
"2007-07",7.007,3.919,15.923,27.463,20.304,15.109
"2007-08",6.712,4.154,16.377,28.194,21.518,15.959
"2007-09",5.741,3.643,16.275,27.48,20.215,15.373
"2007-10",-0.603,-1.239,15.06,23.581,18.08,12.615
"2007-11",-4.873,-6.088,14.511,18.608,14.684,9.821
"2007-12",-12.237,-15.427,11.883,18.712,11.874,6.746
"2008-01",-15.329,-27.645,10.496,17.169,10.082,3.83
"2008-02",-15.994,-27.603,9.981,16.946,9.694,3.419
"2008-03",-12.303,-23.978,10.961,19.233,11.024,5.039
"2008-04",-8.599,-19.102,11.59,20.709,12.948,6.53
"2008-05",-1.967,-4.889,13.055,24.006,15.657,10.213
"2008-06",3.805,0.637,14.834,25.832,18.472,13.097
"2008-07",6.145,3.403,16.233,27.273,20.547,15.183
"2008-08",6.025,3.732,17.011,27.932,21.659,15.891
"2008-09",3.59,2.278,16.138,27.546,20.686,14.997
"2008-10",-3.278,-4.065,15.475,24.342,18.77,12.422
"2008-11",-10.359,-11.11,13.683,19.555,15.58,8.925
"2008-12",-15.387,-20.012,11.094,19.909,13.03,6.032
"2009-01",-13.322,-25.945,10.103,18.208,11.209,5.07
"2009-02",-16.105,-30.151,10.685,17.05,10.773,3.547
"2009-03",-13.759,-25.196,8.743,20.309,10.636,4.787
"2009-04",-6.626,-11.582,10.275,22.297,13.389,7.797
"2009-05",-2.502,-7.5,12.748,24.314,15.512,9.852
"2009-06",4.231,0.414,14.678,26.594,18.713,13.074
"2009-07",6.625,3.112,16.441,27.915,21.246,15.298
"2009-08",7.039,3.536,17.166,28.198,22.132,16.017
"2009-09",4.071,0.954,16.825,27.901,21.04,14.96
"2009-10",-0.212,-2.207,14.662,24.755,18.954,12.629
"2009-11",-7.539,-9.981,12.384,23.251,16.479,9.779
"2009-12",-13.716,-18.835,9.501,21.651,14.153,6.714
"2010-01",-15.207,-24.061,9.328,19.433,10.363,4.539
"2010-02",-15.867,-24.374,8.118,19.232,11.328,4.328
"2010-03",-18.371,-21.551,7.926,19.711,11.813,4.234
"2010-04",-10.105,-13.607,9.526,21.515,13.317,6.635
"2010-05",-3.008,-5.63,11.576,24.251,15.52,9.762
"2010-06",3.838,0.675,14.368,25.656,17.905,13.106
"2010-07",6.239,3.497,15.924,27.201,20.593,15.251
"2010-08",5.939,3.99,16.927,28.036,21.842,15.996
"2010-09",4.014,2.642,15.607,27.726,21.23,15.112
"2010-10",-1.205,-0.691,14.055,24.678,18.749,12.815
"2010-11",-9.907,-7.393,11.259,21.289,16.127,9.771
"2010-12",-12.733,-14.046,9.951,20.697,12.777,7.234
"2011-01",-15.718,-25.055,10.162,16.511,9.782,4.357
"2011-02",-14.295,-26.593,10.57,17.62,9.374,4.103
"2011-03",-12.691,-22.199,9.741,18.352,9.803,4.537
"2011-04",-11.79,-15.621,10.672,20.739,13.293,6.213
"2011-05",-2.598,-6.114,11.632,23.933,15.627,9.744
"2011-06",4.098,0.741,14.491,26.212,18.366,12.944
"2011-07",5.672,3.41,16.175,27.549,20.766,15.072
"2011-08",6.525,4,17.07,28.035,21.716,15.936
"2011-09",5.048,2.12,16.651,27.472,20.628,15.17
"2011-10",-0.859,-1.21,15.139,24.281,18.553,12.763
"2011-11",-7.145,-11.415,10.893,21.698,16.513,9.51
"2011-12",-9.402,-16.637,11.369,17.433,12.097,7.049
"2012-01",-12.198,-23.309,10.42,17.119,11.424,5.142
"2012-02",-16.299,-30.107,9.79,17.024,9.987,3.308
