#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_UQAM-CRCM5_v1
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",-20.804,-23.035,-3.505,-6.806,-0.32,-3.182
"1970-02",-16.692,-23.065,-2.783,-3.745,0.283,-1.806
"1970-03",-12.493,-18.49,0.719,0.112,0.335,-0.014
"1970-04",-6.195,-8.409,4.492,6.932,5.252,3.387
"1970-05",0.634,-0.808,9.29,15.746,10.698,7.599
"1970-06",3.986,3.861,12.878,21.038,15.661,10.691
"1970-07",9.066,8.963,17.366,25.466,18.351,13.56
"1970-08",7.106,8.619,16.943,24.337,18.357,13.585
"1970-09",3.114,5.441,14.077,18.566,15.568,11.445
"1970-10",-6.522,-1.786,9.031,9.519,10.796,6.832
"1970-11",-11.018,-6.744,4.052,5.849,5.913,3.599
"1970-12",-19.264,-16.109,0.513,2.307,2.838,-0.621
"1971-01",-15.794,-21.555,-3.151,-4.91,-0.745,-1.84
"1971-02",-14.892,-22.328,-0.583,-2.381,-1.86,-1.572
"1971-03",-15.96,-17.655,2.294,2.537,3.003,-0.275
"1971-04",-7.085,-10.001,4.717,10.424,7.392,3.348
"1971-05",0.607,-3.907,9.28,17.011,11.041,7.429
"1971-06",5.417,2.694,13.285,19.141,14.949,10.774
"1971-07",7.839,8.259,17.992,24.09,18.934,13.424
"1971-08",7.133,8.192,18.054,22.082,18.67,13.703
"1971-09",0.994,3.263,14.993,19.416,16.05,11.165
"1971-10",-4.852,-2.223,9.179,12.595,10.911,7.419
"1971-11",-9.301,-8.298,3.173,5.287,6.743,3.962
"1971-12",-14.902,-15.235,0.175,2.388,3.204,-0.168
"1972-01",-19.64,-22.341,-2.117,-6.368,-0.964,-2.543
"1972-02",-16.107,-21.072,0.977,-5.175,-2.031,-1.794
"1972-03",-11.081,-15.134,-0.292,-1.8,1.513,0.519
"1972-04",-4.052,-7.199,4.729,8.298,6.614,4.578
"1972-05",0.809,0.078,8.984,15.783,11.45,8.049
"1972-06",7.017,4.147,14.812,21.513,15.062,11.637
"1972-07",11.247,9.996,16.629,23.905,18.497,14.362
"1972-08",7.239,8.929,16.358,23.799,19.584,13.981
"1972-09",2.906,3.691,13.259,17.433,16.244,11.409
"1972-10",-3.897,-0.771,7.988,11.277,11.428,7.475
"1972-11",-11.83,-10.857,2.89,4.383,7.679,3.194
"1972-12",-17.099,-17.313,-5.356,-8.698,1.828,-0.959
"1973-01",-18.762,-24.455,-2.419,-4.972,-1.45,-2.184
