#Dataset: ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",1.177,0.1,0.116,3.129,0.148,2.909,4.071,4.845,7.737,0.078,1.132
"2006-02",1.425,0.203,0.385,3.597,1.877,5.403,5.708,5.761,6.09,1.24,1.86
"2006-03",1.645,0.18,1.31,3.389,1.608,3.69,2.893,4.576,4.222,0.612,1.425
"2006-04",1.654,0.469,3.229,3.747,2.781,3.602,0.975,3.094,3.662,0.354,1.625
"2006-05",1.221,0.894,3.809,4.053,3.481,2.268,1.093,1.311,1.734,0.851,1.678
"2006-06",0.392,0.237,4.493,2.763,1.756,0.952,0.583,0.376,0.81,0.035,1.053
"2006-07",0.156,0.623,5.622,3.011,2.737,1.123,0.458,0.467,0.885,0.272,1.328
"2006-08",0.295,1.385,7.913,4.025,3.173,1.487,0.165,0.437,0.673,1.061,1.947
"2006-09",1.126,1.183,7.095,5.273,3.138,2.969,0.412,0.825,1.029,0.217,2.165
"2006-10",1.557,0.782,4.636,5.756,3.42,5.226,1.333,2.018,3.031,0.336,2.213
"2006-11",2.274,0.094,1.202,4.738,3.052,6.715,3.169,4.139,4.627,0.317,1.683
"2006-12",2.367,0.192,0.582,3.702,1.379,5.273,3.54,5.697,5.737,0.278,1.627
"2007-01",1.819,0.072,0.314,3.392,0.395,3.785,5.108,6.246,5.864,0.161,1.414
"2007-02",1.705,0.169,0.332,3.047,0.143,2.692,4.776,5.979,4.585,0.35,1.337
"2007-03",1.691,0.124,1.242,3.666,0.878,3.953,2.471,4.947,5.935,0.233,1.385
"2007-04",1.49,0.508,2.536,3.802,2.292,3.16,0.503,2.966,4.085,0.395,1.517
"2007-05",1.58,0.334,3.782,3.738,2.45,1.802,0.363,1.173,1.984,0.201,1.365
"2007-06",1.291,0.304,6.08,3.217,2.503,1.205,0.274,0.412,1.343,0.069,1.442
"2007-07",0.394,0.902,7.566,3.628,4.054,1.173,0.211,0.463,1.367,1.085,1.958
"2007-08",0.261,1.879,8.415,4.51,4.353,1.686,0.22,0.359,0.875,0.982,2.285
"2007-09",0.637,0.866,7.432,5.563,3.618,2.046,0.338,0.469,0.692,0.364,2.11
"2007-10",1.055,0.069,3.261,4.619,2.136,3.667,0.934,1.348,1.204,0.013,1.324
"2007-11",1.367,0.097,0.849,3.996,1.692,4.902,1.892,3.756,2.446,0.033,1.251
"2007-12",1.465,0.109,0.232,3.791,0.849,4.992,4.396,4.787,4.503,0.099,1.386
"2008-01",1.114,0.118,0.181,2.614,0.297,3.077,4.705,7.092,6.603,0.096,1.312
"2008-02",1.419,0.069,0.358,2.495,0.199,2.979,4.687,7.062,6.114,0.138,1.353
"2008-03",0.986,0.023,0.807,3.138,0.202,2.709,3.467,4.151,5.233,0.026,1.08
"2008-04",1.089,0.202,2.83,3.626,1.101,2.433,1.599,2.768,2.583,0.044,1.249
"2008-05",1.311,0.578,5.764,4.36,2.363,1.829,1.187,1.73,1.35,0.194,1.776
"2008-06",0.442,0.595,6.191,3.913,3.14,1.601,0.827,1.283,1.43,0.591,1.71
"2008-07",0.09,2.412,7.487,3.724,4.248,1.251,0.121,0.26,0.828,1.393,2.114
"2008-08",0.549,2.339,7.55,4.417,3.652,0.994,0.155,0.422,0.843,2.163,2.332
"2008-09",1.014,1.858,5.848,5.658,5.575,2.78,0.554,0.514,0.632,1.08,2.258
"2008-10",1.911,0.759,4.915,4.99,3.898,3.516,1.622,1.158,1.256,0.253,2.14
"2008-11",2.27,0.165,0.812,4.275,2.264,4.995,3.603,4.608,2.841,0.325,1.55
"2008-12",2.352,0.169,0.295,3.711,1.175,5.015,5.21,5.482,4.244,0.062,1.464
"2009-01",1.413,0.097,0.038,2.352,0.113,3.046,5.748,8.14,7.584,0.035,1.278
"2009-02",1.635,0.115,0.456,3.301,0.538,4.231,6.24,4.946,3.819,0.368,1.412
"2009-03",1.896,0.206,1.854,4.078,1.827,3.825,4.496,4.96,5.103,1.554,1.976
"2009-04",1.409,0.787,5.005,5.017,3.449,3.938,1.835,2.887,3.011,0.66,2.077
"2009-05",1.252,0.917,4.706,4.139,3.501,2.345,0.517,1.325,1.626,0.339,1.775
"2009-06",0.252,0.338,4.96,3.222,2.479,0.791,0.238,0.618,1.318,0.047,1.207
"2009-07",0.063,1.613,7.16,3.586,3.059,1.137,0.284,0.4,1.14,0.675,1.826
"2009-08",0.383,1.744,7.023,5.337,4.148,1.25,0.179,0.352,0.727,1.004,2.192
"2009-09",0.444,1.404,6.431,4.607,3.779,1.937,0.632,0.455,0.697,0.587,2.003
"2009-10",0.835,0.204,3.334,4.735,3.195,2.436,1.897,1.382,1.197,0.42,1.539
"2009-11",1.441,0.077,0.978,4.557,1.043,3.928,3.824,3.163,1.932,0.065,1.319
"2009-12",1.77,0.196,0.365,3.514,0.313,2.954,5.014,4.959,3.996,0.152,1.328
"2010-01",0.937,0.063,0.177,2.794,0.094,2.949,5.137,5.907,7.22,0.036,1.144
"2010-02",1.662,0.245,0.724,3.495,0.271,3.07,5.438,5.057,5.073,0.473,1.552
"2010-03",2.232,0.12,1.69,3.805,0.845,2.633,4.079,4.647,4.836,0.143,1.538
"2010-04",2.387,0.634,3.86,4.81,2.358,2.747,1.396,2.918,2.559,1.278,1.997
"2010-05",1.197,1.068,5.777,4.705,3.495,2.658,0.533,1.52,1.64,0.102,1.931
"2010-06",0.658,0.442,4.16,2.761,2.929,0.755,0.526,0.349,0.851,0.299,1.222
"2010-07",0.188,0.56,5.327,3.364,2.758,1.215,0.116,0.399,0.864,2.162,1.54
"2010-08",0.686,3.019,7.667,4.368,3.759,1.532,0.257,0.599,0.961,0.94,2.3
"2010-09",0.897,1.598,5.494,5.219,4.205,1.462,0.75,0.886,0.945,0.202,2.038
"2010-10",0.938,0.167,2.876,4.758,3.326,3.596,1.172,1.363,1.01,0.135,1.489
"2010-11",1.824,0.104,0.941,4.269,2.385,4.854,3.061,3.721,4.209,0.23,1.404
"2010-12",1.685,0.147,0.394,3.448,0.94,4.057,4.212,4.653,7.214,0.196,1.39
"2011-01",1.548,0.177,0.423,3.306,0.381,3.225,4.669,6.376,6.986,0.83,1.482
"2011-02",1.935,0.225,0.826,3.291,0.996,3.865,4.699,6.042,4.186,2.865,1.877
"2011-03",2.169,0.336,1.481,4.253,1.753,3.895,3.415,4.185,5.53,0.661,1.754
