#Dataset: NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"1970-01",1.254,0.017,0,1.606,0.019,3.408,5.762,6.365,3.483,0.242,1.115
"1970-02",1.58,0.014,0.007,1.811,0.139,3.011,3.929,6.884,12.236,0.331,1.348
"1970-03",1.199,0.003,0.032,3.444,0.21,3.62,2.837,4.904,4.392,0.019,1.019
"1970-04",1.123,0.005,0.643,2.91,0.298,1.551,0.417,4.068,5.056,0.257,1.174
"1970-05",1.668,0.334,1.572,3.879,2.485,2.871,0.188,0.652,1.235,1.121,1.611
"1970-06",1.315,0.863,3.778,3.853,1.444,2.29,0.096,0.327,0.771,0.752,1.412
"1970-07",0.381,0.979,6.512,3.128,2.165,0.627,0.17,0.37,1.052,0.126,1.511
"1970-08",0.811,0.799,6.629,3.298,2.166,0.526,0.208,0.348,0.595,0.07,1.632
"1970-09",0.432,0.359,7.471,4.724,2.299,1.837,0.407,0.665,0.794,0.071,1.733
"1970-10",1.221,0.038,2.547,6.423,3.626,5.056,0.503,0.487,1.84,0.019,1.486
"1970-11",1.184,0.102,0.355,5.843,3.053,6.045,2.615,1.137,2.499,0.806,1.529
"1970-12",1.073,0.01,0.002,2.02,0.424,4.757,3.498,4.012,2.882,0.571,1.131
"1971-01",1.662,0.008,0.009,2.018,0.091,2.895,3.16,5.717,9.645,0.199,1.2
"1971-02",2.095,0.023,0.154,3.454,0.39,4.891,4.484,8.433,3.645,1.038,1.692
"1971-03",1.777,0.037,0.309,2.912,0.849,4.01,0.552,3.197,7.265,0.744,1.274
"1971-04",1.2,0.107,1.29,4.653,0.849,2.059,0.372,3.659,8.763,0.503,1.549
"1971-05",0.855,0.082,2.484,4.743,1.195,2.463,0.502,1.301,1.351,0.157,1.196
"1971-06",1.098,0.511,5.465,3.542,2.231,1.746,0.264,0.29,0.3,0.295,1.442
"1971-07",0.191,0.804,7.664,2.697,3.533,0.906,0.108,0.169,0.404,1.085,1.686
"1971-08",0.136,1.833,6.311,2.995,3.965,1.26,0.088,0.255,0.28,0.822,1.709
"1971-09",0.291,0.403,5.395,4.344,3.124,1.325,0.121,0.184,0.881,0.867,1.546
"1971-10",0.876,0.004,2.027,5.432,0.906,2.097,0.879,0.962,0.796,0,0.993
