#Dataset: MIROC-MIROC5_r1i1p1_GERICS-REMO2009_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",2.496,0.121,0.273,5.628,0.343,3.492,3.801,7.634,8.204,0.902,2.885
"2006-02",2.463,0.062,0.926,6.045,0.322,2.478,3.483,6.547,10.316,1.162,3.454
"2006-03",2.14,0.15,2.332,5.435,0.322,4.515,2.253,9.435,14.053,0.592,4.167
"2006-04",1.458,0.034,3.043,7.876,0.583,2.645,1.475,5.638,6.301,0.04,3.855
"2006-05",1.15,0.097,5.72,5.882,2.113,3.817,0.709,5.084,6.596,0.044,3.725
"2006-06",0.728,0.12,10.225,3.428,1.222,0.834,0.413,2.274,3.471,0.031,2.928
"2006-07",0.161,0.157,15.417,5.845,1.633,0.821,0.685,2.355,2.953,0.029,2.936
"2006-08",0.55,0.487,13.922,6.422,1.876,0.63,0.582,0.902,1.476,0.098,2.748
"2006-09",1.105,0.502,11.788,7.546,1.942,1.641,0.742,1.934,1.826,0.069,2.657
"2006-10",2.222,0.173,8.325,7.022,2.171,1.893,1.14,1.565,1.758,0.181,2.666
"2006-11",3.212,0.059,2.019,7.225,1.268,3.103,2.471,2.274,3.601,0.458,3.247
"2006-12",2.172,0.06,0.137,6.886,0.2,3.931,2.619,3.883,4.735,1.141,3.038
"2007-01",2.144,0.105,0.064,5.688,1.096,3.873,3.189,5.712,8.875,2.162,3.189
"2007-02",2.711,0.048,1.596,5.56,0.74,2.243,3.287,4.649,11.741,0.86,3.51
"2007-03",2.049,0.044,1.674,5.817,0.467,3.881,2.546,7.141,5.343,0.098,3.423
"2007-04",1.346,0.067,2.217,6.592,1.502,6.292,0.794,5.637,5.269,0.604,3.737
"2007-05",1.044,0.088,3.791,5.407,1.542,1.838,1.346,1.353,4.436,0.874,3.31
"2007-06",0.622,0.082,8.448,4.256,1.132,0.618,0.805,0.977,1.428,0.1,2.992
"2007-07",0.417,0.243,12.325,3.934,1.711,0.7,0.58,0.9,1.662,0.029,2.704
"2007-08",0.604,0.579,15.34,6.566,2.26,1.131,0.619,1.755,2.992,0.135,2.767
"2007-09",1.593,0.366,13.141,7.145,1.948,1.452,0.361,0.888,1.288,0.263,2.427
"2007-10",2.072,0.065,6.256,7.863,1.046,1.545,1.291,1.612,1.634,0.107,2.323
"2007-11",2.867,0.284,0.822,7.055,0.97,3.632,1.894,2.548,2.317,0.466,2.696
"2007-12",3.386,0.167,0.179,5.704,0.125,2.344,2.951,3.526,3.511,0.778,2.868
"2008-01",2.753,0.101,0.15,5.545,0.62,3.082,3.015,5.341,7.194,0.695,2.793
"2008-02",1.644,0.033,0.571,5.507,0.282,3.923,2.936,9.672,11.127,0.63,3.292
"2008-03",1.978,0.041,2.162,5.169,0.408,3.127,1.978,3.959,8.603,1.19,3.713
"2008-04",0.837,0.051,2.88,7.21,1.264,5.409,1.952,7.617,3.758,0.926,3.371
