#Dataset: NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7_v0
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"1970-01",1.022,0.09,0.084,3.089,0.225,4.791,2.827,5.526,4.006,0.142,2.241
"1970-02",1.002,0.062,0.513,3.518,0.189,4.387,3.388,6.696,9.138,0.359,2.339
"1970-03",0.974,0.04,0.641,4.74,0.164,3.476,2.38,5.251,2.556,0.074,2.198
"1970-04",0.942,0.082,1.636,3.653,0.323,5.472,1.113,3.903,2.296,0.28,2.313
"1970-05",1.161,0.409,2.291,3.954,2.788,5.94,0.404,0.901,1.438,0.448,2.412
"1970-06",0.932,0.78,5.077,1.814,2.018,1.86,0.337,0.399,0.461,0.035,1.979
"1970-07",0.338,0.194,11.932,1.419,1.046,0.179,0.213,0.362,1.209,0.023,1.419
"1970-08",0.273,0.203,10.438,2.73,1.174,0.082,0.412,0.303,0.392,0.014,1.373
"1970-09",0.476,0.117,9.766,4.152,1.264,0.408,0.412,0.845,1.109,0.029,1.672
"1970-10",1.027,0.033,4.798,4.891,6.745,0.778,1.043,0.951,0.258,0.114,2.151
"1970-11",0.849,0.048,2.739,5.145,9.196,4.33,1.952,1.45,1.426,0.713,2.476
"1970-12",0.712,0.062,0.267,3.522,3.769,7.367,3.15,2.531,1.459,0.253,2.269
"1971-01",1.163,0.046,0.27,2.924,0.672,6.012,2.791,10.206,2.543,0.502,2.539
"1971-02",1.506,0.163,0.807,5.06,0.849,5.524,3.602,5.912,3.529,0.56,2.701
"1971-03",1.127,0.057,0.889,5.329,1.243,3.25,0.999,2.284,4.432,0.941,2.603
"1971-04",1.051,0.069,1.416,4.006,0.219,3.941,0.537,7.143,4.471,0.395,2.634
"1971-05",0.939,0.043,2.866,3.545,0.381,4.231,0.736,0.941,1.329,0.241,2.442
"1971-06",0.811,0.04,8.212,1.97,0.987,1.273,0.388,0.557,0.946,0.017,1.832
"1971-07",0.221,0.896,14.35,2.011,3.252,0.228,0.375,0.41,0.539,0.843,1.937
"1971-08",0.272,2.655,8.07,2.15,5.116,0.338,0.161,0.488,0.359,1.259,1.778
"1971-09",0.414,0.744,7.925,4.026,4.884,1.041,0.261,0.478,0.574,0.82,1.709
"1971-10",0.809,0.012,3.987,4.848,2.138,2.704,1.461,1.506,0.517,0.01,1.647
"1971-11",0.765,0.015,1.643,3.988,0.813,3.643,2.753,3.004,2.163,0.036,1.749
"1971-12",0.861,0.034,0.452,3.312,1.229,4.157,2.115,5.077,2.248,0.55,1.898
"1972-01",1.134,0.011,0.398,3.521,0.13,6.187,4.057,4.576,0.569,0.521,2.186
"1972-02",0.961,0.008,0.306,2.389,0.051,3.95,3.608,11.246,2.616,0.081,2.103
"1972-03",0.812,0.024,0.306,3.474,1.184,5.67,2.763,4.178,2.065,0.053,2.126
"1972-04",0.825,0.108,3.235,4.253,1.129,5.194,0.615,1.308,2.894,0.366,2.533
"1972-05",0.954,0.074,3.154,3.986,1.632,3.303,0.696,1.459,1.658,0.071,2.196
"1972-06",0.316,0.035,5.291,2.588,1.915,0.936,0.671,1.1,0.558,0.023,1.779
"1972-07",0.086,0.565,11.255,2.081,3.719,0.397,0.468,0.65,0.561,0.354,1.824
"1972-08",0.219,2.33,14.174,2.286,4.281,0.14,0.269,1.006,1.242,1.019,2.024
"1972-09",0.511,0.736,10.931,3.969,3.688,0.382,0.231,0.296,0.333,0.126,1.79
"1972-10",0.687,0.104,3.509,5.561,5.417,1.704,1.843,1.158,0.447,0.598,2.04
"1972-11",0.884,0.161,0.692,4.745,6.974,3.829,2.355,1.485,0.774,1.483,2.29
"1972-12",1.3,0.035,0.281,2.923,0.361,5.046,3.362,3.436,1.583,0.039,1.978
"1973-01",1.292,0.027,0.127,3.533,0.468,4.125,3.604,5.776,1.519,0.141,2.042
"1973-02",1.45,0.035,0.334,3.563,0.116,5.023,3.616,11.917,2.862,0.182,2.406
"1973-03",0.895,0.023,0.569,3.941,0.368,5.914,3.207,6.542,1.977,0.28,2.262
