#Dataset: ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",2.241,0.129,0.986,3.702,0.364,3.632,1.079,5.361,7.142,0.144,2.787
"2006-02",1.217,0.441,1.681,4.999,1.563,4.842,1.038,4.378,5.106,1.723,2.857
"2006-03",1.342,0.487,3.632,1.761,0.491,2.21,1.212,4.181,4.614,0.282,2.734
"2006-04",1.054,0.498,4.713,3.258,0.862,6.625,1.16,4.853,3.907,0.299,3.095
"2006-05",0.783,0.465,4.602,4.004,1.679,6.284,1.289,3.268,3.001,0.62,3.358
"2006-06",0.202,0.068,3.633,3.484,0.046,4.348,1.893,1.541,1.518,0.069,2.678
"2006-07",0.088,0.898,7.847,1.738,0.953,2.733,3.187,3.306,1.415,0.707,2.988
"2006-08",0.157,2.65,7.864,0.953,0.732,3.141,0.881,1.433,0.978,2.477,2.492
"2006-09",1.154,0.713,5.722,1.707,1.264,7.349,1.523,2.003,1.248,0.295,2.624
"2006-10",1.601,0.836,4.245,4.419,2.83,7.123,0.685,1.981,3.401,0.251,3.059
"2006-11",2.493,0.559,3.225,4.845,4.726,8.985,0.894,3.989,4.983,1.046,3.135
"2006-12",3.3,1.236,3.409,3.01,3.796,7.492,0.882,4.867,4.519,0.802,2.988
"2007-01",2.566,0.12,2.165,3.543,1.308,5.854,1.033,4.057,4.821,0.339,3.226
"2007-02",1.773,0.599,1.635,2.349,0.205,1.946,0.777,4.829,4.993,0.242,2.754
"2007-03",1.469,0.385,3.841,1.638,0.597,4.106,1.037,4.637,5.409,0.138,2.878
"2007-04",1.27,0.281,4.303,2.82,0.824,4.593,0.99,5.32,5.432,0.336,3.256
"2007-05",1.214,0.105,5.194,2.914,0.502,6.602,1.524,3.971,3.741,0.11,3.153
"2007-06",0.676,0.095,6.759,2.044,0.26,4.144,2.596,1.72,2.157,0.097,3.376
"2007-07",0.285,0.91,10.532,0.756,1.695,2.291,2.444,2.766,2.329,1.268,2.897
"2007-08",0.111,2.602,7.131,0.964,2.422,3.039,2.18,1.175,0.868,2.223,2.595
"2007-09",0.616,0.289,4.478,1.945,0.496,2.488,1.287,1.384,0.519,0.364,2.222
"2007-10",1.37,0.124,4.354,4.623,1.694,3.12,0.581,1.516,1.333,0.059,2.195
"2007-11",2.557,0.336,2.72,6.229,2.142,2.968,0.919,3.419,2.175,0.171,2.464
"2007-12",2.555,0.485,1.961,4.66,2.398,6.517,1.602,4.237,3.453,0.32,2.991
"2008-01",2.539,0.601,1.348,2.837,1.056,3.947,0.669,6.504,7.441,0.256,2.93
"2008-02",1.461,0.183,1.914,1.722,0.141,2.384,2.162,6.089,6.614,0.221,2.741
"2008-03",1.275,0.05,3.296,1.686,0.087,3.021,0.966,4.493,4.969,0.041,2.603
"2008-04",0.7,0.187,5.115,2.626,0.389,6.231,1.389,3.892,2.946,0.058,2.747
"2008-05",0.625,0.401,7.844,3.187,0.371,7.17,1.649,3.348,2.553,0.112,3.183
"2008-06",0.238,0.186,6.241,4.348,0.979,4.914,2.682,4.058,2.641,1.007,3.314
"2008-07",0.051,2.276,6.844,1.813,2.822,3.835,1.808,1.739,1.323,2.216,2.841
"2008-08",0.373,2.209,4.707,2.157,1.759,2.4,1.279,1.67,1.115,3.165,2.31
"2008-09",0.815,0.44,5.415,3.331,3.022,4.528,1.41,1.336,0.681,1.741,2.338
"2008-10",3.039,0.411,2.837,5.367,5.059,4.359,1.831,2.347,1.227,0.945,2.857
