#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"1970-01",1.763,0.35,0.222,9.126,0.145,0.819,1.025,6.312,7.681,0.064,3.11
"1970-02",1.724,0.13,0.322,6.853,0.054,1.017,1.44,5.108,8.132,0.201,3.204
"1970-03",1.297,0.536,3.267,7.302,0.441,4.564,1.724,7.654,10.727,0.752,3.461
"1970-04",1.474,0.284,6.412,10.454,0.369,4.246,1.469,5.34,8.364,0.852,3.199
"1970-05",0.749,0.067,12.374,3.717,0.759,3.533,1.597,2.568,2.88,0.13,2.807
"1970-06",0.228,0.206,19.247,2.224,0.213,1.045,1.754,2.522,1.146,1.147,2.43
"1970-07",0.358,1.016,15.651,1.549,1.755,0.645,2.806,3.033,1.057,2.062,2.222
"1970-08",0.513,1.133,13.632,3.504,0.926,0.942,1.977,1.792,1.273,1.328,2.154
"1970-09",1.018,0.757,8.844,7.794,0.651,1.643,0.937,1.086,0.602,0.483,2.076
"1970-10",0.902,1.473,11.078,9.492,1.868,3.385,0.901,0.439,0.138,0.829,2.482
"1970-11",3.211,1.255,13.197,8.38,0.483,8.384,0.526,3.445,3.857,0.486,2.95
"1970-12",2.274,0.671,1.797,15.953,0.845,6.734,0.727,8.84,8.639,0.477,3.335
"1971-01",1.6,0.167,0.11,14.312,0.092,1.754,1.178,5.2,11.256,0.072,3.136
"1971-02",1.818,0.126,1.116,8.563,0.043,1.808,1.287,5.125,9.666,0.045,2.818
"1971-03",1.209,0.183,1.369,7.323,0.003,2.217,0.977,3.345,6.452,0.031,2.791
"1971-04",0.948,0.033,8.141,8.971,0.023,6.977,1.155,3.403,4.478,0,3.47
"1971-05",0.485,0.001,13.882,5.302,0.5,5.432,1.062,2.041,3.995,0.266,3.224
"1971-06",0.392,0.112,20.817,1.862,0.503,1.984,2.921,1.193,1.296,0.209,2.745
"1971-07",0.345,0.614,20.367,1.898,0.781,2.312,2.202,0.677,0.402,0.692,2.573
"1971-08",0.637,1.461,10.901,1.903,0.966,0.763,1.678,1.671,0.853,1.749,1.899
"1971-09",0.661,0.98,7.969,6.277,0.813,1.269,0.343,0.732,0.514,0.781,1.661
"1971-10",1.711,0.073,11.041,10.78,0.355,1.558,0.394,0.815,0.828,0.005,2.009
"1971-11",2.167,1.181,11.246,7.138,2.091,7.885,0.398,4.337,5.322,0.605,2.799
"1971-12",1.815,0.24,1.657,15.183,1.26,5.407,0.457,5.374,8.553,0.253,3.393
"1972-01",1.586,0.029,0.111,17.329,0.116,1.202,0.831,3.773,6.669,0.031,2.739
"1972-02",1.438,0.058,0.414,12.59,0.233,1.379,1.25,3.714,5.692,0.206,2.948
"1972-03",1.262,0.337,4.25,7.694,1.038,4.694,2.537,2.929,4.904,0.244,3.456
"1972-04",0.892,0.057,8.85,9.785,0.664,7.967,2.175,3.351,3.063,0.357,3.629
"1972-05",0.538,0,15.773,7.991,0.448,3.692,1.796,3.332,3.681,0.082,3.118
"1972-06",0.459,0.27,18.802,1.312,0.138,1.486,2.053,0.941,0.816,0.288,2.578
"1972-07",0.325,0.463,15.293,0.221,0.457,1.509,1.581,2.139,0.994,0.632,1.739
"1972-08",0.949,0.461,8.268,0.074,0.483,0.892,0.879,1.976,1.61,0.779,1.791
"1972-09",0.958,1.305,8.343,0.638,0.832,1.888,0.895,1.365,1,2.389,2.024
"1972-10",0.98,0.927,9.053,2.05,0.455,6.51,0.972,1.387,0.894,0.702,2.259
"1972-11",1.819,0.543,10.449,4.55,1.935,11.32,0.545,3.322,2.951,0.408,2.66
"1972-12",2.358,0.66,1.979,4.312,0.08,2.713,0.219,5.701,6.851,0.557,2.65
"1973-01",2.235,0.01,0.328,14.663,0.018,0.154,0.712,3.853,6.486,0.018,2.609
"1973-02",1.299,0.003,0.115,10.188,0,1.656,0.43,4.8,7.981,0.013,2.924
"1973-03",1.017,0.098,3.07,4.524,0.322,2.853,1.284,7.127,9.552,0.094,3.117
"1973-04",1.432,0.129,11.615,6.212,1.351,7.369,0.878,5.916,5.046,1.006,3.144
"1973-05",0.598,0.14,10.06,7.41,1.156,10.63,1.241,2.744,3.019,0.903,3.22
"1973-06",0.308,0.213,16.65,0.77,1.232,2.845,1.74,2.101,1.252,0.248,2.531
"1973-07",0.291,0.302,15.61,0.838,0.314,3.025,2.337,2.315,1.392,0.407,2.262
"1973-08",0.333,0.128,12.667,1.467,0.197,1.002,1.086,1.512,1.407,0.104,1.819
"1973-09",0.739,0.129,12.812,2.376,0.395,1.032,0.975,1.297,1.069,0.014,1.872
"1973-10",1.227,0.176,7.29,6.171,2.658,6.56,1.188,2.029,0.978,0.116,2.296
"1973-11",1.326,0.084,13.851,8.396,0.401,4.726,0.185,2.594,2.067,0.022,2.416
"1973-12",2.45,0.105,1.269,14.484,0.318,3.317,1.074,7.051,9.681,0.334,3.244
"1974-01",2.095,0.039,0.215,15.099,0.048,1.44,1.122,4.675,9.04,0.181,3.077
"1974-02",1.537,0.004,0.666,10.781,0.029,1.747,1.629,4.531,6.596,0.036,2.644
"1974-03",1.505,0.036,4.48,11.99,0.059,3.159,2.334,5.876,5.586,0.046,3.231
"1974-04",1.128,0.166,11.361,10.886,0.324,12.084,1.258,5.127,4.06,0.809,3.63
"1974-05",0.869,0.041,10.853,11.273,0.878,11.82,2.502,3.027,2.328,0.071,3.647
"1974-06",0.252,0.152,18.273,4.141,1.526,3.889,1.152,2.936,2.097,0.997,2.639
"1974-07",0.145,1.23,17.058,3.813,1.401,2.827,1.479,0.918,0.588,1.609,2.397
"1974-08",0.398,1.321,13.046,2.638,1.521,1.399,1.79,1.173,0.602,1.927,1.954
"1974-09",0.53,0.717,9.853,3.772,0.611,1.309,1.064,1.323,0.7,0.852,1.854
"1974-10",1.401,0.192,10.036,7.752,0.364,2.329,0.349,1.742,1.183,0.078,1.864
"1974-11",2.564,0.178,10.913,13.141,1.604,10.956,1.032,2.079,2.269,0.159,3.335
"1974-12",2.411,0.333,2.359,12.699,0.117,11.25,0.753,4.597,6.298,0.312,3.505
"1975-01",1.939,0.116,0.205,13.762,0.012,1.937,1.599,4.483,8.644,0.022,3.075
"1975-02",1.693,0.301,0.334,9.794,0.017,0.508,1.144,4.425,7.406,0.067,2.86
"1975-03",1.587,0.028,4.072,5.068,0.083,1.387,0.813,5.83,7.824,0.087,2.969
"1975-04",0.89,0.001,9.198,6.534,0.073,7.848,1.36,5.373,5.385,0.003,3.916
