#Dataset: CCCma-CanESM2_r1i1p1_CCCma-CanRCM4_r2
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"1970-01",6.623,14.407,22.475,22.588,21.607,22.984,21.636,22.708,23.936,11.99,15.57
"1970-02",8.365,16.148,24.202,23.604,22.761,23.597,21.596,22.596,23.869,13.537,16.861
"1970-03",10.391,20.185,27.238,24.976,24.597,23.696,21.314,21.607,23.381,17.916,19.411
"1970-04",13.825,24.416,27.614,24.806,24.697,23.166,20.756,20.708,22.251,22.453,21.839
"1970-05",18.368,27.383,26.302,24.034,25.093,22.163,17.687,17.938,20.274,26.655,23.564
"1970-06",20.321,29.266,25.821,23.233,25.23,21.359,14.907,16.225,18.564,29.321,24.583
"1970-07",24.942,30.348,25.304,23.268,25.022,21.455,14.702,15.718,18.281,30.47,25.92
"1970-08",23.97,30.248,25.143,23.912,25.02,22.258,15.823,17.855,18.481,30.41,25.857
"1970-09",20.008,27.854,25.631,24.24,25.131,22.963,19.746,20.166,19.305,27.815,24.464
"1970-10",14.693,23.643,25.435,23.798,23.546,23.037,21.997,23.57,21.76,22.468,21.838
"1970-11",9.893,18.518,24.28,23.049,22.486,22.393,22.124,25.119,23.455,17.728,18.652
"1970-12",7.258,14.39,22.364,22.592,21.727,22.734,21.585,22.882,23.711,13.032,15.774
"1971-01",6.976,14.061,23.122,23.069,21.915,23.393,21.721,23.178,23.935,12.399,15.698
"1971-02",7.737,15.635,25.196,23.964,22.632,23.622,22.006,22.742,23.798,12.938,16.652
"1971-03",11.999,19.724,26.642,24.475,23.823,22.566,21.474,21.813,23.423,18.776,19.706
"1971-04",12.44,23.103,27.458,24.645,24.736,22.218,20.428,20.414,22.179,24.025,21.4
"1971-05",18.309,27.735,26.952,24.129,25.089,21.686,16.826,18.087,20.068,27.728,23.825
"1971-06",22.575,29.667,25.99,23.363,25.156,21.271,14.236,15.651,18.531,30.338,25.133
"1971-07",25.538,30.546,25.527,23.359,24.665,20.789,15.302,15.502,17.701,31.02,25.916
"1971-08",25.308,29.559,24.753,23.464,24.569,21.77,16.826,16.957,18.457,30.942,25.763
"1971-09",20.745,26.953,25.422,24.219,24.698,23,19.812,19.312,19.449,27.779,24.331
"1971-10",15.964,24.086,25.689,23.813,23.263,22.922,21.443,22.705,21.498,23.696,21.943
"1971-11",10.133,18.675,24.158,22.733,22.055,22.071,21.649,23.776,23.066,17.643,18.563
"1971-12",7.922,14.573,22.287,22.63,21.345,22.05,21.887,22.041,23.207,13.296,15.828
"1972-01",4.959,12.822,22.339,22.876,21.981,22.458,21.479,22.797,23.81,13.082,14.874
"1972-02",7.29,15.357,25.064,23.828,22.767,23.278,21.1,21.949,23.885,13.415,16.427
"1972-03",10.082,20.673,26.953,24.742,24.435,23.473,21.37,21.929,23.927,18.93,19.612
"1972-04",13.474,24.413,27.04,24.152,24.422,22.576,19.817,20.415,22.677,23.586,21.904
"1972-05",17.253,27.393,26.393,23.741,25.149,22.293,17.056,18.484,21.258,27.715,23.67
"1972-06",22.426,29.946,26.35,23.495,25.133,21.349,14.784,16.08,18.82,30.691,25.241
"1972-07",25.118,30.64,25.533,23.357,24.928,21.302,14.392,15.715,17.976,30.957,25.997
"1972-08",24.548,30.084,25.22,23.768,24.86,21.967,15.79,16.583,18.221,31.031,25.921
"1972-09",20.219,27.938,25.504,24.063,24.714,22.937,19.799,20.972,20.247,27.393,24.474
"1972-10",15.279,23.309,25.338,23.681,23.719,23.133,21.147,23.044,21.612,23.575,21.957
"1972-11",11.07,19.214,24.589,23.355,22.541,22.212,21.958,24.448,22.685,17.242,18.716
"1972-12",7.704,15.055,22.917,22.662,21.723,22.642,21.825,23.19,23.427,13.192,16.296
"1973-01",7.111,14.652,22.721,23.429,22.428,23.795,22.314,23.49,24.461,13.398,16.305
"1973-02",7.229,15.713,24.595,24.478,23.352,24.303,22.553,23.78,24.839,13.169,16.852
"1973-03",10.867,20.815,27.747,25.487,25.484,24.627,21.815,22.205,24.195,18.194,19.909
"1973-04",14.435,24.13,28.079,25.51,24.73,23.991,20.098,20.616,22.374,22.601,22.15
"1973-05",18.448,27.488,27.418,24.789,25.913,23.217,17.603,18.089,20.169,28.187,23.888
"1973-06",22.512,30.21,26.47,24.099,25.874,22.085,15.828,16.45,17.818,30.979,25.748
"1973-07",25.032,31.082,26.183,24.174,25.64,21.754,15.634,15.849,17.72,31.547,26.422
"1973-08",24.67,30.291,25.874,24.359,25.836,22.809,17.44,18.209,18.609,30.739,26.364
"1973-09",21.571,28.553,26.176,24.299,25.732,23.485,20.877,20.859,19.963,28.554,25.174
"1973-10",14.837,25.317,26.27,24.472,24.194,23.464,22.038,23.831,22.583,24.701,22.79
"1973-11",10.517,19.216,25.007,23.479,23.062,22.621,21.939,24.182,23.744,18.377,18.944
"1973-12",7.29,14.56,22.82,22.888,22.263,22.909,23.245,24.44,24.502,14.049,16.349
"1974-01",7.642,16.28,24.591,24.301,22.877,23.778,23.068,24.073,24.94,13.023,16.886
"1974-02",7.796,16.188,24.785,24.856,24.467,24.464,23.04,23.817,25.055,14.569,17.042
"1974-03",10.924,20.615,27.553,25.443,25.548,24.698,21.813,22.366,24.655,18.483,20.107
"1974-04",14.666,25.826,28.863,25.746,25.716,24.257,20.704,21.177,23.251,24.305,22.974
"1974-05",17.439,27.661,27.748,24.999,25.535,23.157,17.94,18.372,20.261,27.226,23.774
"1974-06",20.466,29.937,26.852,24.394,26.322,23.13,15.611,17.492,19.388,29.736,25.407
"1974-07",23.559,30.802,25.796,23.786,25.06,22.165,15.594,16.957,18.225,30.217,26.199
"1974-08",24.476,30.22,25.526,24.169,24.935,22.726,17.383,18.076,19.012,31.412,26.197
"1974-09",20.891,27.802,26.06,24.389,25.338,23.434,20.259,21.363,20.388,28.305,24.936
"1974-10",15.214,23.888,25.736,23.954,23.649,23.135,21.633,22.913,22.628,22.258,21.633
"1974-11",10.552,19.901,24.938,23.682,22.995,22.484,21.139,22.602,23.653,18.378,18.812
"1974-12",7.805,13.958,21.515,22.066,21.107,22.405,21.701,22.136,23.646,12.644,15.484
"1975-01",6.731,13.374,21.616,22.214,21.246,22.963,21.603,22.847,24.039,11.957,15.018
"1975-02",7.903,16.58,25.049,23.879,22.595,23.398,21.366,22.603,24.343,13.491,17.112
"1975-03",11.502,20.393,26.502,24.625,24.373,23.391,21.127,21.663,23.808,17.748,19.672
"1975-04",13.572,24.689,26.892,24.225,24.537,22.494,20.041,20.511,22.984,23.562,21.787
"1975-05",17.571,27.752,26.625,23.894,25.211,22.63,15.904,18.839,21.235,27.904,23.92
"1975-06",21.995,30.661,26.136,23.396,25.26,21.539,15.303,16.683,19.814,31.062,25.734
"1975-07",25.159,30.847,25.141,23.21,24.443,21.276,14.776,15.887,18.665,30.341,26.214
"1975-08",24.082,29.866,25.217,23.761,24.479,22.059,16.309,17.385,19.183,30.669,26.029
"1975-09",20.58,27.375,25.755,24.18,24.833,23.026,19.586,20.392,20.912,27.907,24.764
"1975-10",14.635,23.648,25.726,23.854,23.44,23.229,21.826,22.749,21.621,23.652,21.908
"1975-11",10.223,19.037,24.501,23.215,22.373,22.351,21.737,23.441,23.146,17.713,18.838
"1975-12",8.295,15.671,22.849,22.545,21.898,22.466,21.444,22.367,23.452,14.122,16.439
"1976-01",6.976,13.492,22.402,23.103,22.022,23.129,22.044,23.255,24.11,12.491,15.622
"1976-02",8.635,15.567,24.227,23.853,22.918,24.004,21.555,22.806,24.238,13.607,16.905
"1976-03",10.817,19.464,27.061,24.917,24.019,23.425,21.628,21.332,23.698,17.703,19.44
"1976-04",13.465,24.022,27.6,24.962,24.845,22.711,19.95,20.472,22.918,23.112,21.691
"1976-05",17.501,27.913,27.256,24.425,25.725,22.222,16.67,17.529,20.214,27.498,23.789
"1976-06",20.495,30.315,26.201,23.641,25.649,21.435,14.621,15.661,17.6,30.144,25.065
"1976-07",25.691,30.261,25.296,23.591,25.034,21.549,15.141,16.319,18.282,31.043,26.215
"1976-08",24.045,29.784,25.346,24.09,25.363,22.25,16.361,17.691,18.635,30.388,25.963
"1976-09",20.405,28.065,26.035,24.427,25.394,23.076,19.709,20.529,20.213,28.062,24.848
"1976-10",16.942,24.178,25.747,24.036,23.884,23.295,22.252,23.249,21.992,22.781,22.478
"1976-11",11.965,18.749,24.312,23.071,22.137,22.422,22.35,24.43,23.538,17.389,18.735
"1976-12",8.518,15.077,22.899,22.732,21.784,22.564,21.586,23.467,24.055,12.792,16.055
"1977-01",6.933,13.365,21.994,22.501,20.967,23.307,22.116,22.858,24.137,10.587,14.873
"1977-02",9.389,17.664,25.256,24.529,23.795,23.844,22.438,23.21,24.343,15.583,18.194
"1977-03",9.888,19.325,26.444,24.559,24.722,23.635,21.504,21.35,24.213,18.015,18.954
"1977-04",13.718,23.936,27.753,24.87,25.349,23.398,20.356,21.064,22.71,22.253,21.533
"1977-05",18.146,28.01,27.027,24.605,26.059,22.614,17.991,18.631,20.943,27.758,24.174
"1977-06",23.066,29.573,26.868,24.108,26.102,22.077,14.437,16.402,19.402,30.518,25.678
"1977-07",26.281,31.142,25.818,23.805,25.641,21.955,15.25,17.117,18.695,31.501,26.774
"1977-08",25.059,30.456,25.673,24.213,25.601,22.9,17.72,18.448,19.21,30.657,26.486
"1977-09",20.767,28.312,26.155,24.431,25.672,23.725,21.091,21.059,20.601,28.089,25.178
"1977-10",15.628,24.561,26.07,24.441,24.177,23.801,22.217,24.101,22.833,23.871,22.872
"1977-11",10.646,19.019,24.377,23.681,22.894,22.677,22.839,24.568,24.077,18.377,19.069
"1977-12",7.966,14.767,22.342,23.306,22.445,23.128,23.064,23.511,24.505,14.01,16.423
"1978-01",8.03,14.863,23.057,23.651,22.544,24.212,23.117,23.76,24.885,12.735,16.36
"1978-02",7.966,16.325,25.615,24.634,23.828,24.399,22.699,23.695,24.633,13.143,17.025
"1978-03",11.43,20.169,27.504,25.35,24.911,24.306,22.546,22.499,24.546,17.288,19.782
"1978-04",14.422,25.292,28.152,25.366,24.981,23.132,20.611,20.852,22.985,22.931,22.513
"1978-05",19.105,27.694,26.722,24.419,25.545,22.87,17.492,18.717,21.046,27.512,24.115
"1978-06",22.575,30.011,26.327,23.698,25.73,21.995,14.724,16.62,19.86,30.884,25.728
"1978-07",26.682,30.952,25.873,23.674,25.273,21.764,15.277,16.708,18.8,31.689,26.575
"1978-08",24.914,30.094,25.174,24.098,24.509,22.315,16.614,17.565,19.395,30.979,26.233
"1978-09",21.123,28.123,25.942,24.241,25.025,22.933,19.938,20.548,20.552,28.562,24.933
"1978-10",15.507,24.223,25.647,23.903,23.824,23.121,21.695,22.608,22.33,22.762,21.987
