#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",5.718,15.032,24.437,25.225,23.881,24.459,22.575,23.47,24.096,11.823,15.935
"2006-02",8.498,16.896,25.77,25.22,23.767,25.119,21.853,23.097,24.308,13.01,17.389
"2006-03",11.443,21.331,27.857,25.812,26.294,24.984,20.684,22.409,23.652,19.231,20.228
"2006-04",15.273,25.521,28.408,25.819,26.384,23.933,20.096,21.113,23.487,23.471,22.723
"2006-05",19.41,27.296,27.916,25.749,26.906,23.336,17.493,18.938,20.583,27.861,24.472
"2006-06",23.077,29.466,27.613,25.988,27.33,23.185,15.857,17.826,19.66,29.871,26.029
"2006-07",26.132,31.088,26.617,25.724,26.347,22.657,16.439,17.271,18.737,32.545,26.898
"2006-08",26.382,30.82,25.817,25.678,25.926,23.787,17.315,20.44,20.688,31.806,27.058
"2006-09",22.979,29.618,25.993,25.524,26.107,24.57,21.351,23.214,21.604,29.564,26.104
"2006-10",18.438,26.725,26.587,24.474,25.076,24.37,21.848,24.429,23.377,24.905,23.82
"2006-11",13.713,21.085,25.598,24.515,24.699,23.326,22.579,23.634,24.361,18.698,20.201
"2006-12",10.097,15.795,23.004,24.088,23.73,24.176,21.911,23.462,24.657,15.259,17.242
"2007-01",8.263,15.247,23.48,24.525,23.538,24.901,22.757,24.218,24.965,12.627,16.785
"2007-02",8.133,16.64,25.251,25.562,24.357,25.274,21.904,23.267,24.462,15.027,17.944
"2007-03",9.785,19.61,27.36,26.073,25.94,25.274,21.822,23.027,23.825,18.498,20.013
"2007-04",15.909,26.469,28.727,26.581,26.808,24.273,21.471,21.915,22.351,24.551,23.6
"2007-05",20.106,28.686,27.683,24.918,26.074,23.595,19.246,19.981,21.2,28.803,25.294
"2007-06",23.869,30.33,27.834,25.762,26.764,23.076,16.969,18.088,19.592,30.732,26.546
"2007-07",26.969,31.252,26.194,25.357,25.871,23.095,15.841,18.676,18.826,31.97,27.004
"2007-08",25.93,30.122,25.107,25.062,25.339,23.366,18.334,19.409,19.143,31.952,26.736
"2007-09",23.567,29.397,25.447,24.622,25.929,24.23,21.176,22.817,21.043,29.598,25.891
"2007-10",17.465,26.152,26.332,24.623,24.958,24.18,21.779,23.854,22.729,22.985,23.274
"2007-11",12.924,20.675,25.433,24.516,24.674,23.569,21.763,24.227,24.376,20.007,20.452
"2007-12",7.492,14.955,22.897,24.568,23.709,24.496,22.301,23.015,24.376,14.476,16.894
"2008-01",6.617,14.55,23.311,24.642,23.696,25.302,22.175,23.26,23.723,13.061,16.198
"2008-02",8.048,18.767,26.782,25.978,24.967,25.535,22.146,23.229,23.892,14.916,17.97
"2008-03",12.711,22.777,27.806,26.061,26.376,25.163,21.485,22.44,23.094,20.201,21.032
"2008-04",14.827,25.686,28.329,25.26,26.842,24.38,20.58,21.592,22.924,23.484,22.995
"2008-05",19.255,27.749,26.896,24.549,25.554,23.682,17.874,19.668,21.222,27.704,24.544
"2008-06",23.116,30.418,26.972,25.215,26.637,22.748,15.833,17.402,19.056,30.976,26.203
"2008-07",25.643,30.764,26.332,25.624,25.575,22.874,15.955,18.056,19.597,32.467,27.133
"2008-08",26.344,31.1,26.246,25.562,26.227,23.628,19.099,20.055,20.445,32.445,27.346
"2008-09",23.036,29.806,26.205,25.77,26.374,24.444,21.756,21.741,21.551,29.516,26.085
"2008-10",16.371,26.077,27.259,25.446,25.361,24.443,23.179,25.357,23.312,26.028,24.232
"2008-11",11.857,21.358,26.915,25.18,24.13,23.901,23.179,25.352,24.689,18.986,20.354
"2008-12",9.324,16.548,24.69,24.61,23.888,25.138,23.041,24.213,24.354,14.317,17.893
"2009-01",7.274,14.5,24.029,24.564,23.681,25.235,22.11,23.17,24.043,11.582,16.04
"2009-02",7.869,17.435,26.451,26.725,25.139,26.053,22.599,23.946,24.459,15.43,18.153
"2009-03",13.508,23.442,28.914,27.182,26.925,25.941,22.725,23.664,24,20.369,21.952
"2009-04",16.665,25.719,28.992,25.802,26.114,23.803,21.091,21.904,23.285,23.67,23.092
"2009-05",20.14,29.324,27.825,25.298,26.364,22.944,18.847,18.957,21.111,28.846,24.984
"2009-06",22.937,29.993,26.761,24.984,26.449,22.196,15.392,16.43,19.298,30.71,25.715
"2009-07",26.257,31.21,26.342,25.615,25.878,23.045,16.172,17.348,18.923,31.923,26.826
"2009-08",25.507,31.097,26.202,25.644,26.05,23.667,17.387,19.875,20.264,31.948,27.252
"2009-09",22.118,29.464,26.708,25.337,26.535,24.68,20.421,21.606,21.398,28.887,25.965
"2009-10",18.437,27.066,27.746,24.905,24.943,24.085,21.905,24.922,23.169,23.441,23.789
"2009-11",11.703,21.03,26.504,24.716,24.971,23.621,21.232,23.981,24.298,18.818,20.309
"2009-12",8.957,16.516,24.037,24.792,23.681,24.813,22.373,23.455,24.606,13.687,17.334
"2010-01",9.798,16.52,24.144,25.264,24.267,25.054,22.868,23.527,24.125,13.528,17.593
"2010-02",8.67,19.35,26.822,26.243,24.752,25.45,22.521,23.582,24.577,16.117,18.945
"2010-03",10.273,22.488,28.821,26.834,26.495,25.538,22.683,22.829,23.705,20.585,21.491
"2010-04",14.319,25.255,28.48,25.937,26.921,24.346,20.482,22.691,23.232,24.068,22.979
"2010-05",18.593,28.678,27.898,25.462,26.591,23.08,17.827,20.085,20.348,27.136,24.534
"2010-06",22.986,31.102,27.218,25.843,27.061,22.834,16.022,18.31,19.544,30.96,26.561
"2010-07",25.595,31.333,26.601,25.68,25.796,22.891,16.082,18.264,18.823,32.384,27.269
"2010-08",26.045,31.351,25.613,25.214,25.817,23.844,17.06,20.113,20.248,32.125,27.207
"2010-09",23.103,29.608,25.648,25.159,25.683,24.662,21.328,23.236,21.8,29.43,26.107
"2010-10",18.879,27.827,26.666,24.655,25.832,24.741,20.894,23.945,22.794,25.701,24.046
"2010-11",13.465,22.074,26.497,24.411,24.76,23.476,21.39,23.097,23.481,19.989,20.751
"2010-12",9.224,16.261,23.338,23.911,23.521,23.584,22.605,23.765,24.311,15.878,17.659
"2011-01",7.688,14.655,23.493,25.304,24.265,24.944,23.3,24.306,24.981,13.815,16.705
"2011-02",10.374,17.294,25.237,25.508,24.637,25.351,22.4,23.64,24.585,14.815,18.216
"2011-03",11.154,21.573,27.852,26.178,26.535,25.79,22.63,23.391,24.31,19.66,20.891
"2011-04",14.791,26.568,29.076,25.901,26.873,25.082,22.064,21.949,23.1,24.464,23.551
"2011-05",19.261,30.045,28.371,26.323,27.143,24.186,19.878,20.973,22.063,28.661,25.562
"2011-06",23.998,30.28,28.385,26.461,27.756,23.264,16.542,18.356,19.922,30.909,26.736
"2011-07",26.106,31.706,28.434,26.672,27.036,23.295,16.335,17.927,18.715,32.652,27.705
"2011-08",27.019,31.085,25.951,25.612,26.281,24.009,18.265,20.718,20.687,32.596,27.494
