#Dataset: NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15_v1
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",7.901,12.436,21.436,23.144,21.697,23.835,22.356,25.228,25.88,11.265,15.157
"2006-02",9.542,15.247,24.262,24.936,24.258,24.461,23.383,24.435,25.49,15.331,17.722
"2006-03",12.817,20.244,28.17,26.273,25.733,24.69,22.464,24.214,25.507,19.529,20.92
"2006-04",14.793,24.511,29.977,26.084,26.501,24.645,20.817,23.119,24.275,24.571,23.26
"2006-05",19.885,27.406,28.923,25.229,26.397,23.531,17.768,20.226,22.495,27.298,24.594
"2006-06",24.202,31.134,27.286,24.53,25.702,22.532,15.858,18.827,21.069,32.893,26.469
"2006-07",28.157,30.802,25.004,23.841,24.196,22.276,14.726,17.36,20.078,33.54,26.563
"2006-08",26.815,29.36,24.39,24.081,23.806,22.773,17.551,18.596,19.965,32.421,26.229
"2006-09",21.318,28.403,26.143,24.973,24.809,23.758,20.32,21.191,21.388,29.509,25.409
"2006-10",15.793,21.897,25.913,24.372,23.306,23.373,21.642,22.552,22.833,24.034,21.794
"2006-11",11.372,16.502,24.116,23.975,22.515,23.169,23.426,24.66,24.16,16.611,18.243
"2006-12",10.11,13.371,21.316,22.9,21.94,23.164,22.903,24.205,24.663,13.256,16.185
"2007-01",8.226,13.028,20.905,23.058,22.636,23.749,22.068,24.331,24.879,14.165,15.842
"2007-02",8.976,15.761,24.821,24.631,23.877,24.204,23.777,24.147,24.759,14.631,17.826
"2007-03",11.949,20.359,28.407,26.098,25.453,24.842,23.923,23.896,24.663,18.767,20.825
"2007-04",17.369,25.586,29.451,26.03,26.169,24.689,21.472,23.038,23.867,24.093,23.766
"2007-05",19.406,28.176,28.653,25.58,26.71,23.846,18.643,20.12,22.022,27.921,24.801
"2007-06",23.528,29.576,26.229,24.123,25.344,22.172,15.091,17.165,19.926,31.925,25.558
"2007-07",27.895,31.244,25.538,24.166,24.452,22.388,14.709,18,19.883,33.328,26.829
"2007-08",26.612,30.223,24.429,23.93,23.966,22.754,17.808,19.186,20.164,32.263,26.48
"2007-09",20.727,27.229,25.667,24.358,24.945,23.522,19.192,20.875,21.132,28.94,24.642
"2007-10",16.115,23.493,26.65,24.425,24.199,23.602,21.657,22.979,22.69,23.91,22.684
"2007-11",11.468,17.654,25.078,24.013,23.287,23.143,22.129,23.411,23.941,18.43,18.725
"2007-12",7.24,12.431,21.067,22.745,21.289,23.03,23.158,24.982,24.824,11.34,15.076
"2008-01",8.103,13.766,23.218,23.932,22.282,23.709,22.399,24.247,25.579,12.43,16.004
"2008-02",10.093,16.493,25.806,24.917,23.524,24.035,22.632,23.798,25.621,14.351,17.727
"2008-03",13.506,21.504,28.325,25.853,25.253,24.327,23.254,23.83,25.541,20.234,21.626
"2008-04",17.376,24.974,29.487,26.427,27.122,24.51,22.12,22.434,24.577,24.425,23.821
"2008-05",18.903,28.376,28.989,25.532,25.948,23.819,19.087,20.505,22.458,27.22,24.689
"2008-06",24.36,30.573,26.824,24.427,25.537,22.649,16.256,18.628,20.867,32.761,26.302
"2008-07",27.456,29.201,25.306,23.542,23.347,21.698,14.844,16.649,18.553,31.751,25.969
"2008-08",27.452,28.977,24.47,23.977,23.403,22.705,17.515,19.17,19.977,32.175,26.038
"2008-09",23.696,28.362,24.827,24.288,25.066,23.512,20.414,21.352,21.322,30.334,25.367
"2008-10",17.478,25.701,26.371,24.558,24.575,23.901,22.165,24.11,23.537,24.456,23.108
"2008-11",12.229,17.714,24.219,23.558,23.225,23.257,22.262,23.693,24.052,18.395,18.998
"2008-12",9.544,13.991,21.941,23.167,22.457,23.216,22.867,24.724,24.677,13.33,16.371
"2009-01",8.25,12.987,20.726,22.414,22.074,23.777,22.348,23.628,24.983,12.649,15.475
"2009-02",10.76,17.311,24.695,24.214,23.439,24.306,23.508,23.797,24.494,14.966,18.375
"2009-03",12.744,22.596,28.519,26.182,25.52,24.417,23.171,23.118,23.763,20.209,21.462
"2009-04",15.689,25.997,29.265,26.1,26.261,24.356,22.506,22.698,23.485,24.337,23.249
"2009-05",19.182,28.348,27.46,25.13,25.873,24.175,19.277,20.662,22.239,27.233,24.545
"2009-06",23.511,29.722,26.872,24.635,25.909,23.008,14.842,18.48,20.741,31.523,25.835
"2009-07",26.881,31.382,25.43,23.758,24.536,22.11,15.869,17.454,19.182,32.869,26.824
