#Dataset: NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7_v0
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",10.95,20.402,27.305,25.256,26.055,24.973,23.63,25.337,26.631,17.527,19.682
"2006-02",12.148,22.1,28.19,25.996,28.104,24.878,23.953,25.152,25.534,20.424,21.167
"2006-03",15.54,25.427,29.641,26.531,28.944,24.532,22.916,24.357,25.594,23.31,23.489
"2006-04",17.69,29.151,29.687,25.988,29.522,24.491,21.711,23.612,24.051,27.178,25.356
"2006-05",22.315,30.482,28.591,24.944,28.071,24.068,20.532,21.34,22.332,29.374,26.51
"2006-06",26.27,33.324,28.168,25.194,27.475,23.725,17.976,20.621,21.08,32.38,28.131
"2006-07",29.009,32.582,26.515,24.952,26.276,23.617,18.784,19.466,20.346,33.692,28.329
"2006-08",28.684,30.826,25.45,25.441,25.897,24.8,20.221,21.071,20.616,32.998,27.985
"2006-09",23.657,30.399,26.558,25.822,26.02,25.514,23.269,23.98,21.843,31.382,27.236
"2006-10",18.221,26.235,27.367,24.881,24.35,25.662,23.422,25.551,23.487,27.323,24.535
"2006-11",14.711,23.348,27.247,24.369,23.838,24.574,24.241,25.883,24.213,22.557,21.849
"2006-12",12.554,20.429,26.658,24.279,24.772,23.638,23.329,24.997,24.473,20.277,20.324
"2007-01",12.347,21.085,27.085,25.146,26.486,24.107,23.452,24.337,25.062,19.854,20.488
"2007-02",12.254,22.647,28.372,25.994,27.69,24.44,23.485,24.141,24.394,20.551,21.355
"2007-03",15.095,26.256,29.518,26.314,28.832,24.762,23.381,24.275,24.414,23.328,23.5
"2007-04",19.994,29.526,29.977,26.178,28.858,24.292,22.685,23.498,24.04,26.664,25.878
"2007-05",21.657,31.214,28.305,25.872,28.894,23.977,21.565,21.366,22.026,30.193,26.692
"2007-06",25.615,31.771,26.698,24.951,27.028,23.429,18.873,19.072,20.252,32.897,27.285
"2007-07",29.405,33.328,26.75,25.532,26.762,24.131,17.763,20.593,20.242,34.338,28.729
"2007-08",28.714,31.375,25.431,25.073,25.925,24.603,19.657,21.423,20.551,33.621,28.11
"2007-09",23.008,29.841,26.09,24.847,26.234,25.449,20.27,22.78,21.41,30.948,26.538
"2007-10",19.183,27.716,27.143,24.609,25.382,25.481,22.207,24.892,22.679,26.912,25.025
"2007-11",14.597,24.011,27.234,24.427,24.501,24.591,23.476,25.433,24.022,23.441,22.061
"2007-12",10.688,19.635,26.288,24.193,24.312,23.92,23.963,25.475,25.186,19.016,19.392
"2008-01",11.196,20.877,27.237,25.201,26.264,24.457,23.937,24.796,26.22,19.185,20.144
"2008-02",12.465,23.008,28.255,25.814,27.643,24.692,23.309,24.769,26.172,20.301,21.123
"2008-03",16.457,26.508,29.578,26.32,28.792,24.849,23.249,24.07,25.921,23.76,24.058
"2008-04",19.227,29.027,29.166,25.631,29.447,24.634,22.22,22.842,24.78,27.174,25.486
"2008-05",21.383,30.772,27.361,24.955,27.75,24.235,20.707,21.831,22.713,29.459,26.243
"2008-06",26.297,33.339,27.482,25.275,27.949,24.071,18.284,20.406,20.979,33.143,28.188
"2008-07",29.422,32.635,26.424,25.059,26.165,23.553,18.865,19.488,19.632,33.66,28.517
"2008-08",29.014,31.082,25.36,25.222,25.703,24.33,19.93,21.327,20.791,33.774,27.922
"2008-09",25.725,30.653,25.654,24.608,26.249,25.08,20.866,23.075,22.039,31.26,27.065
