#Dataset: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",14.139,20.495,28.455,29.098,25.932,28.83,19.818,26.123,28.055,21.946,20.791
"2006-02",14.231,20.366,28.851,30.116,26.12,28.797,20.931,26.541,27.879,22.531,21.386
"2006-03",15.389,21.358,29.267,30.596,26.677,29.345,20.843,26.325,27.686,23.877,21.616
"2006-04",16.046,22.094,29.134,31.086,28.351,29.75,20.165,25.584,26.738,25.892,21.482
"2006-05",17.42,23.524,28.729,30.313,29.598,28.864,18.427,24.186,25.463,28.345,20.838
"2006-06",20.857,25.58,28.548,28.538,28.456,27.36,17.326,22.623,23.683,30.189,20.11
"2006-07",24.228,25.483,27.868,26.034,26.446,26.59,16.03,21.61,22.872,28.9,19.586
"2006-08",25.529,25.962,26.833,25.195,25.785,26.085,15.313,21.333,22.545,28.294,19.212
"2006-09",22.956,25.654,27.281,25.012,26.341,26.516,14.619,21.847,23.572,28.223,18.837
"2006-10",20.378,25.319,27.933,26.088,27.082,26.915,15.828,23.147,24.269,27.19,19.104
"2006-11",17.519,23.025,28.365,27.214,27.03,27.212,17.034,23.888,25.048,24.76,19.376
"2006-12",15.592,20.871,28.068,27.422,25.488,28.105,18.545,25.095,26.142,22.214,19.914
"2007-01",13.509,19.712,27.764,27.701,23.883,27.907,19.634,25.619,27.125,20.772,20.495
"2007-02",14.2,19.126,27.956,28.273,23.194,27.43,20.508,25.455,27.108,20.388,20.908
"2007-03",14.873,20.244,28.557,29.3,23.948,28.007,20.74,25.415,26.878,21.902,21.339
"2007-04",16.85,21.583,28.504,29.818,25.685,28.41,19.889,25.046,26.181,24.663,21.304
"2007-05",18.54,23.286,28.11,29.657,27.119,27.235,18.474,24.182,25.158,27.277,20.717
"2007-06",21.825,24.617,28.196,28.777,26.088,25.874,17.492,22.714,23.484,28.514,20.004
"2007-07",25.255,24.729,27.174,27.182,24.15,25.099,15.769,21.491,22.673,27.494,19.401
"2007-08",25.62,25.406,26.593,26.131,25.007,24.881,15.478,21.311,22.323,27.66,19.064
"2007-09",23.764,25.619,27.149,26.327,25.59,24.906,14.958,21.799,22.933,28.27,18.946
"2007-10",20.387,25.188,27.888,26.924,25.843,25.907,16.205,22.727,23.727,27.622,19.127
"2007-11",17.042,23.42,28.313,27.273,26.269,27.066,17.762,23.429,24.35,25.712,19.465
"2007-12",15.807,21.361,27.918,27.648,24.559,27.587,18.927,24.888,25.885,22.423,20.14
"2008-01",13.319,20.103,27.802,27.826,23.185,27.259,20.299,25.393,26.602,21.106,20.447
"2008-02",13.841,19.629,28.012,28.228,23.031,27.338,20.846,25.602,26.888,20.808,20.912
"2008-03",14.823,20.23,28.36,29.085,23.85,27.541,21.349,25.581,26.406,22.481,21.258
"2008-04",16.08,21.878,28.311,29.349,26.034,27.732,19.806,25.077,26.183,25.205,21.028
"2008-05",17.811,23.172,28.179,29.426,27.174,27.097,18.487,23.946,24.959,27.609,20.505
"2008-06",21.125,24.924,28.332,28.793,26.093,26.196,17.154,22.63,23.927,28.395,20.089
"2008-07",24.782,25.138,27.396,27.075,25.457,25.199,16.003,21.299,22.55,27.822,19.361
"2008-08",25.389,25.615,26.879,26.106,25.969,24.999,14.965,20.751,22.361,28.219,18.845
"2008-09",23.022,26.068,26.991,25.883,25.959,25.334,14.528,20.953,22.503,28.124,18.548
"2008-10",20.511,24.709,27.84,26.827,26.479,26.319,15.834,22.279,23.52,26.759,18.931
"2008-11",18.089,22.818,28.247,27.584,26.818,27.408,16.783,23.782,24.886,24.844,19.365
"2008-12",15.299,21.052,28.051,27.528,25.348,28.606,18.149,24.726,26.257,22.329,19.768
"2009-01",13.689,19.597,28.099,28.493,23.818,27.969,19.015,25.625,27.216,20.772,20.189
"2009-02",13.787,19.619,28.529,28.769,23.644,26.926,19.988,25.655,27.238,21.212,20.67
"2009-03",14.835,20.18,28.744,29.944,24.554,27.641,21.065,25.936,26.986,22.267,21.202
