#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",13.642,20.811,26.735,27.626,25.181,27.721,22.137,26.141,27.332,22.426,21.179
"2006-02",13.792,20.868,26.89,28.035,24.735,27.619,22.983,26.897,27.902,22.331,21.605
"2006-03",14.778,21.621,27.729,28.006,24.954,27.783,22.287,26.257,27.705,23.379,21.717
"2006-04",15.612,22.542,27.911,28.3,27.247,28.38,22.23,25.954,26.642,25.93,21.786
"2006-05",17.452,24.063,27.798,28.399,29.344,27.836,20.366,24.29,25.588,28.966,21.195
"2006-06",20.92,24.951,27.315,28.065,30.092,26.623,19.123,22.731,23.879,30.569,20.564
"2006-07",23.565,26.694,26.521,26.827,28.301,25.354,18.236,21.753,22.925,30.05,19.995
"2006-08",24.758,26.596,26.893,27.016,26.887,25.063,17.794,21.711,22.774,29.775,19.843
"2006-09",23.18,26.809,26.63,27.357,28.793,25.88,18.465,22.616,23.582,29.924,19.965
"2006-10",21.031,25.717,27.573,28.325,27.842,26.869,19.542,23.357,24.487,28.608,20.106
"2006-11",18.078,23.526,27.554,27.835,26.227,27.487,20.545,24.363,25.374,26.506,20.459
"2006-12",14.759,21.322,27.316,27.866,25.947,27.866,21.674,25.317,26.406,24.17,20.755
"2007-01",13.331,20.853,26.525,27.888,25.12,27.799,22.085,26.499,27.865,22.779,21.153
"2007-02",13.995,20.722,26.827,27.869,24.633,27.273,22.812,26.688,28.057,22.648,21.549
"2007-03",14.226,21.206,27.73,28.121,25.404,27.273,23.172,25.836,27.136,23.396,21.696
"2007-04",15.402,22.73,27.31,28.468,26.612,28.163,21.868,25.446,26.949,26.285,21.434
"2007-05",17.653,23.786,27.412,28.117,29.315,27.984,20.652,24.364,25.57,28.737,21.139
"2007-06",20.571,25.463,26.921,27.765,30.16,27.007,19.471,23.088,24.374,30.398,20.423
"2007-07",23.253,26.774,26.249,27.108,27.897,26.147,18.591,22.587,23.859,29.835,20.17
"2007-08",24.199,27.389,26.397,27.368,27.877,25.588,18.043,22.521,23.375,29.802,19.919
