#Dataset: NCC-NorESM1-M_r1i1p1_ULg-MAR311_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-23
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"1980-01",0.39,0.551,0.409
"1980-02",0.439,0.87,0.519
"1980-03",0.539,1.944,0.868
"1980-04",0.473,1.254,0.652
"1980-05",0.42,1.316,0.681
"1980-06",0.588,1.855,0.905
"1980-07",0.525,1.898,0.857
"1980-08",0.633,2.071,0.947
"1980-09",0.628,0.992,0.807
"1980-10",0.429,0.924,0.607
"1980-11",0.202,0.371,0.291
"1980-12",0.461,0.476,0.441
"1981-01",0.394,0.723,0.476
"1981-02",0.498,0.834,0.539
"1981-03",0.454,0.962,0.623
"1981-04",0.563,1.397,0.795
"1981-05",0.523,1.487,0.801
"1981-06",0.463,1.529,0.769
"1981-07",0.451,2.069,0.859
"1981-08",0.553,2.062,0.942
"1981-09",0.646,1.63,0.91
"1981-10",0.465,1.269,0.719
"1981-11",0.347,0.895,0.544
"1981-12",0.294,0.515,0.358
"1982-01",0.314,0.627,0.435
"1982-02",0.335,0.634,0.416
"1982-03",0.348,1.016,0.555
"1982-04",0.547,1.414,0.811
"1982-05",0.408,0.815,0.607
"1982-06",0.674,1.138,0.821
"1982-07",0.585,1.916,0.934
"1982-08",0.469,1.324,0.69
"1982-09",0.469,1.267,0.712
"1982-10",0.397,0.924,0.576
"1982-11",0.366,0.828,0.542
"1982-12",0.271,0.563,0.387
"1983-01",0.438,0.699,0.473
"1983-02",0.414,0.934,0.519
"1983-03",0.398,0.86,0.57
"1983-04",0.479,1.323,0.758
"1983-05",0.587,1.425,0.795
"1983-06",0.428,1.349,0.684
"1983-07",0.511,1.211,0.751
"1983-08",0.545,1.587,0.884
"1983-09",0.618,1.749,0.825
"1983-10",0.722,1.412,0.799
"1983-11",0.453,0.753,0.456
"1983-12",0.433,0.721,0.448
"1984-01",0.507,0.486,0.478
"1984-02",0.352,0.779,0.477
"1984-03",0.63,1.346,0.788
"1984-04",0.449,1.495,0.742
"1984-05",0.447,1.25,0.7
"1984-06",0.508,1.097,0.747
"1984-07",0.667,1.881,0.938
"1984-08",0.515,2.011,0.896
"1984-09",0.433,1.404,0.729
"1984-10",0.456,1.1,0.697
"1984-11",0.278,0.688,0.441
"1984-12",0.295,0.695,0.443
"1985-01",0.393,0.588,0.468
"1985-02",0.368,0.865,0.51
"1985-03",0.432,0.819,0.595
"1985-04",0.455,0.985,0.649
"1985-05",0.479,1.187,0.716
"1985-06",0.564,1.194,0.762
"1985-07",0.552,1.357,0.798
"1985-08",0.5,1.525,0.825
"1985-09",0.405,1.195,0.627
"1985-10",0.444,0.966,0.63
"1985-11",0.342,1.068,0.549
"1985-12",0.403,0.376,0.379
"1986-01",0.32,0.618,0.409
"1986-02",0.329,0.744,0.447
"1986-03",0.426,1.408,0.684
"1986-04",0.568,1.849,0.87
"1986-05",0.584,1.842,0.925
"1986-06",0.617,1.484,0.846
"1986-07",0.49,0.994,0.671
"1986-08",0.41,1.052,0.652
"1986-09",0.328,1.263,0.637
"1986-10",0.421,1.403,0.685
"1986-11",0.415,0.736,0.431
"1986-12",0.334,0.822,0.431
"1987-01",0.294,0.472,0.334
"1987-02",0.312,0.748,0.464
"1987-03",0.434,1.26,0.679
"1987-04",0.404,1.52,0.747
"1987-05",0.807,1.975,0.97
"1987-06",0.552,1.005,0.701
"1987-07",0.479,1.584,0.804
"1987-08",0.426,1.219,0.692
"1987-09",0.669,2.034,0.949
"1987-10",0.306,1.051,0.557
"1987-11",0.455,0.992,0.557
"1987-12",0.416,0.512,0.436
"1988-01",0.541,0.522,0.473
"1988-02",0.416,0.769,0.521
"1988-03",0.535,1.348,0.813
"1988-04",0.575,1.755,0.906
"1988-05",0.635,1.601,0.833
"1988-06",0.624,1.813,0.919
"1988-07",0.735,1.604,0.921
"1988-08",0.521,1.8,0.866
"1988-09",0.307,1.127,0.552
"1988-10",0.472,0.72,0.612
"1988-11",0.334,1.034,0.534
"1988-12",0.369,0.553,0.448
"1989-01",0.381,0.603,0.411
"1989-02",0.373,0.701,0.464
"1989-03",0.487,1.463,0.732
"1989-04",0.458,1.301,0.719
"1989-05",0.798,1.442,0.997
"1989-06",0.571,1.487,0.854
"1989-07",0.422,1.68,0.765
"1989-08",0.659,2.108,1.019
"1989-09",0.542,1.411,0.778
"1989-10",0.439,0.869,0.646
"1989-11",0.376,0.829,0.52
"1989-12",0.26,0.49,0.347
"1990-01",0.501,0.621,0.449
"1990-02",0.5,0.877,0.604
"1990-03",0.452,1.309,0.712
"1990-04",0.585,1.24,0.758
"1990-05",0.491,1.762,0.868
"1990-06",0.464,1.705,0.856
"1990-07",0.555,1.312,0.729
"1990-08",0.5,1.577,0.764
"1990-09",0.415,1.562,0.744
"1990-10",0.462,1.257,0.626
"1990-11",0.345,0.573,0.433
"1990-12",0.27,0.403,0.348
"1991-01",0.419,0.437,0.396
"1991-02",0.378,0.77,0.502
"1991-03",0.339,0.604,0.451
"1991-04",0.454,1.573,0.77
"1991-05",0.412,1.227,0.656
"1991-06",0.48,1.03,0.683
"1991-07",0.549,1.127,0.705
"1991-08",0.341,1.588,0.684
"1991-09",0.383,1.163,0.657
"1991-10",0.374,0.782,0.543
"1991-11",0.38,1.12,0.666
"1991-12",0.291,0.792,0.449
"1992-01",0.316,0.436,0.346
"1992-02",0.352,0.671,0.466
"1992-03",0.361,0.62,0.459
"1992-04",0.433,0.989,0.644
"1992-05",0.574,2.169,0.959
"1992-06",0.493,1.608,0.814
"1992-07",0.443,0.741,0.616
"1992-08",0.626,1.613,0.916
"1992-09",0.443,1.03,0.654
"1992-10",0.668,1.641,0.79
"1992-11",0.342,0.486,0.391
"1992-12",0.383,0.52,0.397
"1993-01",0.281,0.396,0.317
"1993-02",0.391,1.228,0.609
"1993-03",0.575,1.508,0.811
"1993-04",0.573,1.413,0.832
"1993-05",0.497,0.943,0.623
"1993-06",0.717,1.553,0.857
"1993-07",0.549,1.407,0.772
"1993-08",0.451,1.626,0.748
"1993-09",0.508,0.765,0.658
"1993-10",0.412,0.793,0.559
"1993-11",0.272,0.878,0.491
"1993-12",0.259,0.44,0.328
"1994-01",0.27,0.838,0.454
"1994-02",0.341,0.54,0.433
"1994-03",0.442,0.974,0.592
"1994-04",0.438,1.376,0.73
"1994-05",0.692,1.578,0.931
"1994-06",0.623,1.685,0.867
"1994-07",0.411,1.486,0.72
"1994-08",0.47,1.221,0.712
"1994-09",0.312,1.055,0.558
"1994-10",0.273,1.125,0.536
"1994-11",0.37,0.546,0.494
"1994-12",0.239,0.643,0.391
"1995-01",0.243,0.473,0.328
"1995-02",0.557,0.996,0.694
"1995-03",0.393,1.154,0.634
"1995-04",0.401,1.263,0.695
"1995-05",0.362,1.01,0.613
"1995-06",0.611,1.437,0.821
"1995-07",0.721,1.888,0.993
"1995-08",0.509,1.988,0.908
"1995-09",0.536,1.204,0.705
"1995-10",0.404,0.846,0.585
"1995-11",0.26,0.68,0.441
"1995-12",0.221,0.287,0.277
"1996-01",0.333,0.476,0.374
"1996-02",0.484,0.934,0.542
"1996-03",0.421,0.71,0.548
"1996-04",0.452,1.093,0.643
"1996-05",0.639,1.944,0.959
"1996-06",0.64,1.636,0.884
"1996-07",0.978,2.283,1.085
"1996-08",0.593,1.854,0.885
"1996-09",0.595,1.376,0.824
"1996-10",0.486,1.515,0.786
"1996-11",0.397,1.021,0.563
"1996-12",0.352,0.79,0.455
"1997-01",0.536,0.75,0.546
"1997-02",0.324,0.746,0.468
"1997-03",0.486,1.12,0.726
"1997-04",0.46,1.178,0.732
"1997-05",0.509,1.199,0.762
"1997-06",0.633,1.707,0.866
"1997-07",0.477,1.889,0.844
"1997-08",0.399,1.433,0.711
"1997-09",0.658,1.916,0.962
"1997-10",0.403,1.102,0.612
"1997-11",0.271,0.512,0.376
"1997-12",0.34,0.634,0.416
"1998-01",0.473,0.815,0.533
"1998-02",0.367,0.937,0.511
"1998-03",0.388,1.316,0.679
"1998-04",0.514,1.255,0.709
"1998-05",0.652,2.261,1.002
"1998-06",0.561,1.677,0.853
"1998-07",0.519,1.67,0.781
"1998-08",0.472,0.911,0.648
"1998-09",0.498,1.172,0.707
"1998-10",0.38,0.621,0.522
"1998-11",0.402,0.48,0.508
"1998-12",0.31,0.418,0.35
"1999-01",0.367,0.483,0.377
"1999-02",0.401,0.811,0.555
"1999-03",0.476,1.393,0.69
"1999-04",0.46,1.574,0.772
"1999-05",0.606,1.586,0.924
"1999-06",0.639,1.803,0.868
"1999-07",0.648,2.22,0.98
"1999-08",0.633,1.638,0.939
"1999-09",0.327,1.183,0.595
"1999-10",0.375,0.915,0.548
"1999-11",0.32,0.711,0.49
"1999-12",0.355,0.402,0.361
"2000-01",0.305,0.618,0.418
"2000-02",0.42,0.97,0.552
"2000-03",0.398,0.927,0.569
"2000-04",0.54,0.916,0.676
"2000-05",0.537,1.719,0.807
"2000-06",0.447,1.306,0.709
"2000-07",0.555,1.879,0.89
"2000-08",0.543,1.606,0.848
"2000-09",0.437,0.965,0.649
"2000-10",0.444,1.419,0.665
"2000-11",0.328,0.717,0.457
"2000-12",0.307,0.598,0.43
"2001-01",0.358,0.477,0.454
"2001-02",0.352,0.824,0.482
"2001-03",0.346,1.23,0.625
"2001-04",0.418,1.385,0.695
"2001-05",0.576,1.687,0.878
"2001-06",0.56,1.892,0.901
"2001-07",0.551,1.366,0.801
"2001-08",0.675,1.875,1.028
"2001-09",0.385,0.987,0.637
"2001-10",0.592,1.048,0.764
"2001-11",0.402,0.475,0.502
"2001-12",0.262,0.351,0.312
"2002-01",0.31,0.578,0.408
"2002-02",0.412,0.808,0.517
"2002-03",0.356,1.109,0.603
"2002-04",0.512,0.92,0.697
"2002-05",0.534,1.716,0.854
