#Dataset: CSIRO-BOM-ACCESS1-3_r1i1p1_ULg-MAR311_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-21
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"1981-01",0.349,0.523,0.541
"1981-02",0.554,1.127,0.907
"1981-03",0.688,1.572,1.112
"1981-04",0.706,1.472,1.167
"1981-05",0.793,1.629,1.266
"1981-06",0.791,1.421,1.074
"1981-07",0.531,1.104,0.971
"1981-08",0.671,0.944,1
"1981-09",0.476,1.315,0.891
"1981-10",0.497,1.213,0.854
"1981-11",0.414,1.13,0.677
"1981-12",0.305,0.769,0.544
"1982-01",0.462,0.962,0.7
"1982-02",0.486,0.743,0.806
"1982-03",0.599,1.325,1.085
"1982-04",0.564,1.487,1.07
"1982-05",0.62,1.468,1.063
"1982-06",0.736,1.696,1.085
"1982-07",0.369,1.221,0.864
"1982-08",0.49,1.37,0.941
"1982-09",0.596,1.221,0.853
"1982-10",0.507,0.676,0.733
"1982-11",0.395,0.657,0.667
"1982-12",0.355,1.042,0.658
"1983-01",0.454,0.79,0.634
"1983-02",0.523,1.008,0.736
"1983-03",0.668,1.22,1.044
"1983-04",0.608,0.916,1
"1983-05",0.487,1.381,0.943
"1983-06",0.704,1.293,1.011
"1983-07",0.568,0.834,0.891
"1983-08",0.6,1.109,0.933
"1983-09",0.47,1.32,0.88
"1983-10",0.355,0.849,0.767
"1983-11",0.505,1.124,0.802
"1983-12",0.32,0.646,0.533
"1984-01",0.405,0.871,0.592
"1984-02",0.594,0.928,0.814
"1984-03",0.853,1.751,1.133
"1984-04",0.619,1.44,1.046
"1984-05",0.712,1.184,1.038
"1984-06",0.559,1.455,0.934
"1984-07",0.665,1.048,0.983
"1984-08",0.739,1.267,0.923
"1984-09",0.515,1.294,0.886
"1984-10",0.479,0.996,0.719
"1984-11",0.37,1.087,0.662
"1984-12",0.476,0.576,0.536
"1985-01",0.546,0.94,0.706
"1985-02",0.554,1.028,0.854
"1985-03",0.578,1.614,1.09
"1985-04",0.687,1.064,1.013
