#Dataset: ECMWF-ERAINT_r1i1p1_CSIRO-CCAM-2008_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-23
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"1980-01",1.188,0.779,1.209
"1980-02",1.422,1.511,1.573
"1980-03",2.033,1.744,1.944
"1980-04",2.04,1.813,1.963
"1980-05",2.102,1.612,1.896
"1980-06",1.954,1.917,1.861
"1980-07",1.773,1.446,1.503
"1980-08",1.505,1.494,1.534
"1980-09",1.407,1.313,1.405
"1980-10",1.577,1.757,1.66
"1980-11",1.448,0.996,1.459
"1980-12",0.972,1.207,1.143
"1981-01",0.957,1.216,1.275
"1981-02",1.951,1.101,1.909
"1981-03",1.773,1.893,1.845
"1981-04",1.855,1.537,1.845
"1981-05",2.251,1.749,2.016
"1981-06",2.07,1.647,1.863
"1981-07",1.844,1.508,1.712
"1981-08",1.815,1.1,1.61
"1981-09",1.599,1.593,1.563
"1981-10",1.526,1.452,1.615
"1981-11",1.447,1.273,1.583
"1981-12",1.427,1.238,1.429
"1982-01",1.068,1.059,1.308
"1982-02",1.345,1.212,1.486
"1982-03",1.792,1.987,2.041
"1982-04",2.348,1.836,2.216
"1982-05",2.249,1.596,2.023
"1982-06",1.837,1.635,1.642
"1982-07",1.996,1.537,1.819
"1982-08",1.255,1.852,1.498
"1982-09",1.768,1.691,1.806
"1982-10",1.564,1.441,1.533
"1982-11",1.31,1.551,1.511
"1982-12",0.931,0.844,1.097
"1983-01",0.98,1.174,1.2
"1983-02",1.357,1.19,1.507
"1983-03",1.851,1.936,2.111
"1983-04",2.241,1.951,2.131
"1983-05",1.768,2.239,2.014
"1983-06",1.824,1.807,1.839
"1983-07",1.713,1.668,1.742
"1983-08",1.761,1.544,1.793
"1983-09",1.927,1.615,1.768
"1983-10",1.63,1.767,1.783
"1983-11",1.344,1.557,1.573
"1983-12",1.199,1.336,1.34
"1984-01",1.132,0.879,1.186
"1984-02",1.612,1.453,1.721
"1984-03",2.188,2.136,2.236
"1984-04",2.129,2.018,2.206
"1984-05",1.953,2.008,2.005
"1984-06",1.262,1.716,1.446
"1984-07",1.68,1.65,1.671
"1984-08",1.718,1.781,1.703
"1984-09",2.032,1.594,1.912
"1984-10",1.543,1.524,1.611
"1984-11",1.362,1.167,1.495
"1984-12",0.936,1.236,1.162
"1985-01",0.932,1.296,1.221
"1985-02",1.476,1.423,1.691
"1985-03",2.177,1.64,2.031
"1985-04",2.332,1.901,2.277
"1985-05",2.255,1.713,2.077
"1985-06",1.599,1.746,1.58
"1985-07",2.282,1.824,2.16
"1985-08",1.772,1.436,1.663
"1985-09",1.927,1.585,1.807
"1985-10",1.482,1.907,1.695
"1985-11",1.503,1.333,1.505
"1985-12",1.556,1.155,1.512
"1986-01",1.099,1.117,1.327
"1986-02",1.869,1.26,1.652
"1986-03",2.054,1.441,1.988
"1986-04",2.003,2.08,2.03
"1986-05",1.866,1.786,1.856
"1986-06",1.805,1.884,1.899
"1986-07",1.82,1.771,1.842
"1986-08",2.126,1.621,1.972
"1986-09",1.959,1.723,1.87
"1986-10",1.821,1.782,1.786
"1986-11",1.188,1.545,1.369
"1986-12",1.209,1.187,1.338
"1987-01",1.138,0.862,1.17
"1987-02",1.431,1.775,1.63
"1987-03",2.022,1.798,2.177
"1987-04",2.369,1.455,2.134
"1987-05",1.854,1.986,1.974
"1987-06",2.01,1.497,1.77
"1987-07",1.782,1.575,1.745
"1987-08",1.888,1.845,1.955
"1987-09",1.617,1.432,1.608
"1987-10",1.556,1.598,1.678
"1987-11",1.639,1.115,1.723
"1987-12",1.201,1.083,1.372
"1988-01",1.314,1.121,1.344
"1988-02",1.408,1.411,1.597
"1988-03",2.102,1.844,2.218
"1988-04",2.314,2.36,2.285
"1988-05",1.979,1.785,1.952
"1988-06",1.757,1.663,1.933
"1988-07",1.726,2.031,1.788
"1988-08",1.587,2.029,1.743
"1988-09",1.437,1.658,1.616
"1988-10",1.098,1.601,1.339
"1988-11",1.149,1.149,1.281
