#Dataset: MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO21P_v2
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-23
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"2006-01",1.621,1.774,1.764
"2006-02",2.157,2.034,2.165
"2006-03",2.498,3.1,2.7
"2006-04",2.603,2.444,2.624
"2006-05",2.483,2.434,2.611
"2006-06",2.739,2.281,2.456
"2006-07",1.895,2.05,1.995
"2006-08",2.369,1.955,2.235
"2006-09",2.187,2.096,2.012
"2006-10",1.417,1.958,1.6
"2006-11",1.618,1.346,1.684
"2006-12",1.096,1.235,1.349
"2007-01",1.582,1.302,1.593
"2007-02",1.841,1.831,1.937
"2007-03",2.597,2.294,2.659
"2007-04",2.721,2.696,2.794
"2007-05",2.49,2.672,2.625
"2007-06",2.094,2.351,2.129
"2007-07",2.395,2.427,2.208
"2007-08",2.085,1.852,2.034
"2007-09",2.269,1.848,2.124
"2007-10",1.311,2.385,1.769
"2007-11",1.672,1.713,1.808
"2007-12",1.353,1.52,1.547
"2008-01",1.291,1.563,1.638
"2008-02",2.262,1.8,2.175
"2008-03",2.449,2.619,2.548
"2008-04",2.795,2.829,2.898
"2008-05",2.397,2.409,2.497
"2008-06",2.339,2.521,2.428
"2008-07",2.266,1.991,2.087
"2008-08",2.374,1.686,2.164
"2008-09",1.748,1.628,1.944
"2008-10",1.983,1.53,1.763
"2008-11",1.514,1.697,1.739
"2008-12",1.652,1.855,1.744
"2009-01",1.353,1.701,1.711
"2009-02",2.117,2.244,2.258
"2009-03",2.3,3.237,2.503
"2009-04",2.893,3.086,2.861
"2009-05",2.277,2.799,2.503
"2009-06",2.521,2.297,2.485
"2009-07",2.163,2.002,2.093
"2009-08",2.403,2.139,2.293
"2009-09",2.22,1.989,2.205
"2009-10",1.362,2.104,1.669
"2009-11",1.727,1.727,1.869
"2009-12",1.379,1.172,1.514
"2010-01",1.615,1.466,1.625
"2010-02",2.189,2.08,2.346
"2010-03",2.836,2.656,2.716
"2010-04",2.654,2.371,2.752
"2010-05",2.999,2.38,2.797
"2010-06",2.091,1.766,2.176
"2010-07",2.183,2.103,2.188
"2010-08",1.707,2.079,1.952
"2010-09",1.784,2.046,1.802
"2010-10",1.752,1.623,1.757
"2010-11",1.588,1.721,1.647
"2010-12",1.22,1.217,1.43
"2011-01",1.373,1.951,1.688
"2011-02",1.883,1.914,2.027
"2011-03",2.332,2.646,2.538
"2011-04",2.487,2.683,2.635
"2011-05",2.598,2.495,2.699
"2011-06",1.849,2.58,2.245
"2011-07",1.95,2.621,2.132
"2011-08",1.689,1.88,1.962
"2011-09",1.728,2.246,1.949
"2011-10",2.384,1.578,2.044
"2011-11",1.793,1.423,1.84
"2011-12",1.362,1.006,1.32
"2012-01",1.198,1.331,1.374
"2012-02",2.163,2.126,2.315
"2012-03",2.855,2.44,2.693
"2012-04",2.977,2.967,2.961
"2012-05",2.727,2.276,2.61
"2012-06",2.076,2.123,2.324
"2012-07",1.734,2.573,2.038
"2012-08",1.932,2.261,2.098
"2012-09",1.803,2.193,1.931
"2012-10",1.459,2.25,1.809
"2012-11",1.218,1.393,1.466
"2012-12",1.579,1.303,1.739
"2013-01",1.769,1.574,1.941
"2013-02",2.145,2.14,2.318
"2013-03",2.651,2.65,2.702
"2013-04",2.438,2.655,2.668
"2013-05",2.866,2.226,2.778
"2013-06",2.231,2.581,2.458
"2013-07",1.707,2.642,1.997
"2013-08",1.691,1.691,1.844
"2013-09",1.831,2.027,1.954
"2013-10",1.69,1.767,1.756
"2013-11",1.168,2.104,1.62
"2013-12",1.317,1.314,1.472
"2014-01",1.437,1.701,1.633
"2014-02",2.309,1.755,2.256
"2014-03",2.96,2.581,2.962
"2014-04",2.93,3.056,2.976
"2014-05",2.6,3.057,2.702
"2014-06",1.924,2.191,2.297
"2014-07",2.03,2.359,2.266
"2014-08",1.993,1.832,2.148
"2014-09",1.735,1.896,1.895
"2014-10",1.793,1.606,1.754
"2014-11",1.25,1.483,1.52
"2014-12",1.057,1.217,1.234
"2015-01",1.725,1.514,1.799
"2015-02",2.112,1.978,2.234
"2015-03",2.675,2.428,2.683
"2015-04",2.841,2.765,2.863
"2015-05",2.691,2.266,2.418
"2015-06",2.472,2.178,2.357
"2015-07",1.8,2.29,2.015
"2015-08",2.275,1.863,2.197
"2015-09",2.081,2.204,2.01
"2015-10",1.618,1.56,1.742
"2015-11",1.323,1.764,1.732
"2015-12",1.546,1.338,1.626
"2016-01",1.477,1.499,1.693
"2016-02",2.11,1.568,2.055
"2016-03",2.416,2.859,2.718
"2016-04",2.818,2.859,2.8
"2016-05",2.612,2.878,2.589
"2016-06",2.452,2.158,2.409
"2016-07",2.336,2.496,2.37
"2016-08",2.058,2.324,2.087
"2016-09",1.916,1.722,2.074
"2016-10",1.775,2.264,1.98
"2016-11",1.54,1.466,1.686
"2016-12",1.539,1.238,1.509
"2017-01",1.463,1.214,1.715
"2017-02",2.7,2.242,2.448
"2017-03",2.876,2.515,2.784
"2017-04",2.533,2.67,2.598
"2017-05",2.753,2.738,2.62
"2017-06",2.062,2.557,2.239
"2017-07",2.237,2.414,2.225
"2017-08",1.995,2.275,2.065
"2017-09",2.191,2.274,2.075
"2017-10",1.694,2.197,1.966
"2017-11",1.305,2.016,1.552
"2017-12",1.332,1.302,1.511
"2018-01",1.698,1.807,1.734
"2018-02",2.173,2.195,2.249
