#Dataset: MIROC-MIROC5_r1i1p1_CSIRO-CCAM-2008_v1
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-23
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"1970-01",-12.778,-5.084,-11.22
"1970-02",-17.847,-7.395,-15.65
"1970-03",-24.556,-13.837,-21.955
"1970-04",-29.259,-18.376,-26.426
"1970-05",-30.251,-18.133,-27.497
"1970-06",-30.708,-20.176,-27.932
"1970-07",-31.372,-20.287,-28.49
"1970-08",-34.116,-25.193,-31.094
"1970-09",-31.715,-21.214,-28.723
"1970-10",-25.141,-15.069,-22.877
"1970-11",-19.737,-9.955,-17.485
"1970-12",-13.436,-5.64,-11.911
"1971-01",-13.098,-4.731,-11.499
"1971-02",-17.984,-8.614,-15.817
"1971-03",-23.143,-12.555,-20.353
"1971-04",-27.458,-17.792,-24.689
"1971-05",-28.24,-19.441,-25.824
"1971-06",-29.314,-19.462,-26.865
"1971-07",-30.194,-19.949,-28.129
"1971-08",-30.606,-21.629,-28.527
"1971-09",-30.193,-21.948,-27.749
"1971-10",-23.97,-14.274,-21.885
"1971-11",-17.181,-9.616,-15.693
"1971-12",-13.556,-5.255,-11.861
"1972-01",-12.43,-4.193,-10.972
"1972-02",-18.723,-8.518,-16.106
"1972-03",-23.801,-12.115,-20.904
"1972-04",-27.867,-17.012,-25.276
"1972-05",-28.31,-17.495,-26.112
"1972-06",-32.798,-19.697,-29.052
"1972-07",-31.826,-22.673,-29.034
"1972-08",-31.677,-23.413,-29.388
"1972-09",-29.844,-19.052,-27.151
"1972-10",-26.622,-16.683,-23.849
"1972-11",-19.282,-10.016,-17.432
"1972-12",-14.949,-7.008,-13.072
"1973-01",-13.835,-5.309,-11.823
"1973-02",-17.544,-9.938,-15.678
"1973-03",-23.982,-13.451,-21.448
"1973-04",-29.646,-19.608,-26.798
"1973-05",-30.031,-19.235,-27.346
"1973-06",-31.124,-17.535,-28.253
"1973-07",-32.197,-19.525,-28.942
"1973-08",-31.712,-21.815,-29.179
"1973-09",-31.771,-22.345,-29.117
"1973-10",-24.233,-13.636,-21.943
"1973-11",-17.867,-10.315,-16.135
"1973-12",-14.737,-6.559,-13.054
"1974-01",-12.839,-4.823,-11.074
"1974-02",-17.24,-9.344,-14.877
"1974-03",-23.418,-12.932,-20.915
"1974-04",-27.53,-14.739,-24.71
"1974-05",-28.968,-17.972,-26.147
"1974-06",-30.659,-20.521,-28.189
"1974-07",-30.425,-19.083,-27.395
"1974-08",-30.08,-18.12,-27.346
"1974-09",-29.895,-21.736,-27.32
"1974-10",-24.243,-14.1,-21.84
"1974-11",-18.783,-9.89,-16.945
"1974-12",-13.967,-5.708,-12.277
"1975-01",-12.171,-4.163,-10.734
"1975-02",-17.799,-9.091,-15.531
"1975-03",-23.807,-13.147,-20.959
"1975-04",-28.129,-17.9,-25.409
"1975-05",-28.933,-15.977,-25.963
"1975-06",-29.258,-19.211,-26.484
"1975-07",-29.948,-20.179,-27.459
"1975-08",-31.442,-19.745,-28.625
"1975-09",-33.385,-23.565,-30.292
"1975-10",-25.769,-17.218,-23.725
"1975-11",-18.252,-9.042,-16.207
"1975-12",-13.883,-5.331,-12.137
"1976-01",-12.321,-3.989,-10.379
"1976-02",-16.843,-7.854,-14.609
"1976-03",-24.28,-15.577,-21.364
"1976-04",-28.111,-15.868,-25.114
"1976-05",-30.176,-19.346,-27.576
"1976-06",-31.422,-20.772,-28.081
"1976-07",-29.586,-19.886,-26.906
"1976-08",-32.465,-21.298,-29.907
"1976-09",-29.252,-20.16,-26.903
"1976-10",-26.089,-17.035,-23.851
"1976-11",-18.539,-9.354,-16.775
"1976-12",-13.941,-5.448,-12.182
"1977-01",-13.621,-4.506,-11.571
"1977-02",-17.902,-8.829,-15.564
"1977-03",-24.645,-14.459,-21.726
"1977-04",-29.315,-18.169,-26.53
"1977-05",-28.718,-16.673,-26.2
"1977-06",-30.063,-19.898,-27.315
"1977-07",-29.467,-17.928,-27.139
"1977-08",-29.866,-19.041,-27.721
"1977-09",-29.568,-18.112,-26.79
"1977-10",-26.027,-16.65,-23.808
"1977-11",-19.287,-10.034,-17.357
"1977-12",-14.194,-6.765,-12.563
"1978-01",-13.688,-6.241,-11.977
"1978-02",-17.214,-8.446,-15.085
"1978-03",-24.585,-13.665,-21.753
"1978-04",-27.94,-16.497,-25.158
"1978-05",-30.657,-19.772,-27.521
"1978-06",-28.883,-17.613,-26.541
"1978-07",-30.055,-20.699,-27.841
"1978-08",-31.493,-20.543,-28.536
"1978-09",-30.033,-20.376,-27.283
"1978-10",-25.704,-18.909,-23.682
"1978-11",-18.45,-9.461,-16.554
"1978-12",-13.225,-4.882,-11.523
"1979-01",-13.505,-5.522,-11.849
"1979-02",-19.054,-9.877,-16.594
"1979-03",-24.116,-14.294,-21.415
"1979-04",-28.822,-15.817,-25.531
"1979-05",-30.274,-16.22,-27.242
"1979-06",-30.761,-20.094,-27.956
"1979-07",-32.047,-23.344,-29.605
"1979-08",-32.692,-21.332,-29.526
"1979-09",-26.645,-18.058,-24.693
