#Dataset: MIROC-MIROC5_r1i1p1_CSIRO-CCAM-2008_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-03-14
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"2006-01",1.464,1.936,2.516
"2006-02",1.436,1.905,2.666
"2006-03",-0.133,0.273,1.529
"2006-04",-2.727,-2.026,-0.687
"2006-05",-5.574,-2.997,-2.197
"2006-06",-7.183,-4.135,-3.609
"2006-07",-9.078,-4.839,-5.063
"2006-08",-9.047,-5.983,-5.762
"2006-09",-7.435,-4.919,-5.367
"2006-10",-4.679,-3.921,-3.208
"2006-11",-2.291,-2.128,-1.397
"2006-12",-0.167,0.109,0.688
"2007-01",1.865,1.948,2.527
"2007-02",1.859,1.46,2.598
"2007-03",0.681,-0.348,1.518
"2007-04",-1.603,-2.046,-0.167
"2007-05",-4.139,-3.307,-2.047
"2007-06",-5.286,-4.915,-3.356
"2007-07",-6.881,-4.735,-4.035
"2007-08",-8.024,-5.413,-4.699
"2007-09",-6.887,-6.02,-4.156
"2007-10",-4.769,-4.379,-3.055
"2007-11",-2.559,-2.183,-1.244
"2007-12",-0.478,0.435,0.799
"2008-01",1.432,2.252,2.722
"2008-02",1.673,1.92,3.069
"2008-03",-0.263,0.883,1.546
"2008-04",-3.106,-1.831,-0.749
"2008-05",-5.075,-4.377,-2.804
"2008-06",-6.156,-5.574,-3.931
"2008-07",-6.963,-5.081,-4.345
"2008-08",-7.71,-5.914,-4.894
"2008-09",-6.11,-5.476,-4.344
"2008-10",-4.423,-3.316,-2.513
"2008-11",-2.253,-1.992,-1.196
"2008-12",-0.594,0.187,0.768
"2009-01",1.3,1.839,2.603
"2009-02",1.475,2.066,2.941
"2009-03",0.354,0.57,1.793
"2009-04",-1.579,-3.315,-0.167
"2009-05",-4.006,-3.518,-1.933
"2009-06",-6.179,-4.214,-3.291
"2009-07",-7.787,-5.718,-4.502
"2009-08",-7.034,-8.659,-4.963
"2009-09",-7.432,-6.38,-4.52
"2009-10",-4.658,-4.298,-2.698
"2009-11",-2.334,-2.082,-1.145
"2009-12",-0.6,0.33,0.838
"2010-01",1.397,1.956,2.56
"2010-02",1.509,2.08,2.885
"2010-03",-0.034,0.433,1.504
"2010-04",-2.201,-2.28,-0.492
"2010-05",-4.822,-3.562,-1.869
"2010-06",-6.592,-4.822,-3.617
"2010-07",-7.742,-5.791,-4.519
"2010-08",-8.534,-5.232,-4.788
"2010-09",-7.043,-5.47,-4.457
"2010-10",-5.041,-3.644,-2.879
"2010-11",-2.388,-1.985,-1.271
"2010-12",-0.348,0.429,0.767
"2011-01",1.485,2.001,2.447
"2011-02",1.641,1.208,2.625
"2011-03",0.363,-0.088,1.51
"2011-04",-2.015,-2.697,-0.324
"2011-05",-4.623,-3.301,-2.022
"2011-06",-6.408,-3.452,-3.042
"2011-07",-7.257,-6.16,-4.557
"2011-08",-8.13,-5.065,-4.833
"2011-09",-7.133,-4.927,-4.198
"2011-10",-4.743,-3.291,-2.813
"2011-11",-2.335,-1.985,-1.163
"2011-12",-0.344,0.526,1.018
"2012-01",1.882,2.189,2.891
"2012-02",1.686,2.071,3.128
"2012-03",0.398,0.141,1.564
"2012-04",-2.307,-2.436,-0.449
"2012-05",-4.062,-4.021,-2.047
"2012-06",-6.001,-6.763,-3.995
"2012-07",-7.661,-5.996,-4.823
"2012-08",-7.957,-7.511,-5.251
"2012-09",-6.483,-5.82,-4.372
"2012-10",-4.442,-3.634,-2.449
"2012-11",-2.121,-2.077,-1.064
"2012-12",-0.246,0.085,0.954
"2013-01",1.581,2.29,2.977
"2013-02",1.732,2.371,3.319
"2013-03",0.242,0.726,2.149
"2013-04",-1.869,-1.512,0.086
"2013-05",-3.822,-3.377,-1.631
"2013-06",-5.611,-4.307,-3.184
"2013-07",-7.129,-4.983,-4.216
"2013-08",-7.599,-5.176,-4.433
"2013-09",-7.72,-4.636,-4.451
"2013-10",-4.701,-3.572,-2.724
"2013-11",-2.695,-1.344,-0.869
"2013-12",-0.449,0.537,0.846
"2014-01",1.593,2.676,2.825
"2014-02",1.915,2.512,3.189
"2014-03",0.682,0.509,1.959
"2014-04",-1.291,-1.186,0.26
"2014-05",-3.905,-2.588,-1.376
"2014-06",-5.416,-4.764,-2.572
"2014-07",-6.526,-4.363,-3.868
"2014-08",-7.057,-5.499,-4.015
"2014-09",-6.59,-5.037,-4.1
"2014-10",-4.945,-3.629,-2.656
"2014-11",-2.469,-1.437,-1.026
"2014-12",-0.419,0.75,0.914
"2015-01",1.256,2.46,2.857
"2015-02",1.23,1.962,2.836
"2015-03",-0.06,0.94,1.773
"2015-04",-2.506,-0.958,-0.125
"2015-05",-4.332,-2.889,-2.105
"2015-06",-5.392,-4.429,-3.267
"2015-07",-7.453,-4.924,-4.483
