#Dataset: MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO21P_v2
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-23
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","EAN","WAN","full_domain"
"2006-01",0.668,0.689,1.653
"2006-02",0.557,0.683,1.979
"2006-03",-4.463,-0.767,-0.237
"2006-04",-6.67,-6.416,-3.504
"2006-05",-10.814,-7.567,-5.786
"2006-06",-12.208,-12.124,-8.037
"2006-07",-15.502,-10.854,-9.802
"2006-08",-18.052,-14.385,-12.157
"2006-09",-14.463,-10.243,-9.597
"2006-10",-12.304,-9.036,-8.146
"2006-11",-6.414,-6.247,-3.921
"2006-12",-1.565,-0.809,0.009
"2007-01",0.647,1.862,2.382
"2007-02",-0.628,1.495,2.152
"2007-03",-3.98,-0.147,0.422
"2007-04",-8.612,-3.699,-3.241
"2007-05",-12.812,-6.828,-6.433
"2007-06",-13.3,-9.85,-7.99
"2007-07",-16.569,-10.785,-10.416
"2007-08",-14.555,-13.523,-10.268
"2007-09",-15.867,-13.06,-10.461
"2007-10",-12.86,-10.033,-8.577
"2007-11",-6.523,-4.928,-3.844
"2007-12",-1.414,-0.769,-0.142
"2008-01",0.259,1.212,1.682
"2008-02",0.534,1.05,2.026
"2008-03",-3.181,0.321,0.321
"2008-04",-7.822,-2.332,-2.546
"2008-05",-11.052,-5.863,-5.579
"2008-06",-13.308,-7.283,-7.609
"2008-07",-14.565,-11.775,-9.522
"2008-08",-14.318,-11.825,-9.624
"2008-09",-14.258,-16.663,-10.339
"2008-10",-10.838,-9.055,-7.037
"2008-11",-6.971,-5.256,-3.942
"2008-12",-1.434,-0.69,-0.052
"2009-01",0.139,1.23,1.708
"2009-02",-0.282,1.365,1.835
"2009-03",-3.937,0.243,0.091
"2009-04",-7.691,-4.034,-2.987
"2009-05",-13.271,-4.113,-5.853
"2009-06",-16.35,-9.17,-9.167
"2009-07",-18.084,-13.989,-11.89
"2009-08",-15.124,-14.933,-10.715
"2009-09",-15.716,-15.72,-11.299
"2009-10",-13.98,-8.146,-8.685
"2009-11",-6.173,-6.337,-4.091
"2009-12",-1.349,-1.304,-0.29
"2010-01",0.144,0.28,1.386
"2010-02",-1.111,0.903,1.424
"2010-03",-3.581,-2.027,-0.508
"2010-04",-7.164,-3.847,-2.995
"2010-05",-10.468,-9.519,-6.168
