#Dataset: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-03-05
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","GIC","NWN","NEN","NEU","EEU","RAR","WSB","ESB","RFE","ARO","full_domain"
"2006-01",1.004,0.827,0.36,1.874,0.598,0.629,0.734,0.671,0.772,0.403,0.883
"2006-02",1.212,1.016,0.508,1.586,1.475,0.498,1.145,0.644,0.877,1.084,0.918
"2006-03",1.241,1.273,0.671,0.72,1.88,0.711,2.456,0.264,0.888,0.524,0.931
"2006-04",0.819,0.99,0.422,1.662,1.841,0.957,3.405,0.754,1.404,0.638,1.02
"2006-05",1.235,1.265,0.584,1.832,2.1,1.042,6.088,0.623,1.018,0.658,1.174
"2006-06",0.622,1.397,0.525,2.326,3.069,1.403,7.23,1.595,1.725,0.41,1.321
"2006-07",1.803,2.283,1.588,2.88,4.732,2.044,11.488,1.628,1.986,1.296,2.063
"2006-08",1.363,2.675,1.145,3.261,2.56,2.412,5.387,1.32,4.004,1.312,2.322
"2006-09",1.579,2.516,1.176,2.667,2.122,2.167,4.451,1.303,2.557,0.98,2.126
"2006-10",1.388,2.189,0.496,2.248,2.262,1.41,4.601,0.705,1.556,1.546,1.607
"2006-11",1.188,1.473,0.852,3.717,2.762,0.903,2.739,0.469,1.121,1.385,1.438
"2006-12",0.98,0.965,0.547,3.217,1.457,0.769,1.096,0.77,0.292,1.231,1.116
"2007-01",1.13,1.27,0.437,2.339,1.772,1.044,2.802,0.807,1.037,1.027,1.211
"2007-02",1.39,0.917,0.294,1.291,0.634,0.829,0.489,0.602,1.388,0.757,0.996
"2007-03",0.868,1.256,0.724,1.818,2.726,0.997,3.859,0.445,0.787,0.808,1.113
"2007-04",0.828,1.033,0.298,2.07,1.798,1.039,3.526,0.727,1.432,0.577,1.112
