#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_MGO-RRCM_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-03-05
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","GIC","NWN","NEN","NEU","EEU","RAR","WSB","ESB","RFE","ARO","full_domain"
"2006-01",0.719,1.69,0.311,1.278,0.977,0.756,0.33,0.292,0.592,0.878,0.953
"2006-02",0.723,0.786,0.215,1.684,1.647,0.725,0.245,0.496,0.272,1.152,0.811
"2006-03",0.648,0.586,0.428,2.273,2.536,0.907,0.612,0.61,0.733,0.399,0.953
"2006-04",1.44,1.007,0.99,1.305,1.359,0.386,0.6,0.751,0.784,0.222,0.869
"2006-05",1.977,1.548,1.382,2.191,1.549,0.997,0.551,2.867,1.407,0.319,1.472
"2006-06",2.083,1.853,1.411,3.128,3.712,1.528,0.553,3.656,1.695,0.35,1.957
"2006-07",3.022,2.575,1.384,2.88,4.259,1.357,0.612,2.411,2.131,0.386,2.13
"2006-08",3.007,2.132,1.944,2.067,3.989,1.607,0.985,3.886,1.858,0.86,2.126
"2006-09",1.639,1.966,1.271,1.431,2.859,1.211,0.847,1.808,2.659,0.741,1.62
"2006-10",1.287,1.859,1.171,2.152,2.962,1.166,1.068,0.645,1.053,1.032,1.433
"2006-11",0.951,1.028,0.686,2.018,2.029,0.841,0.639,0.714,0.805,1.127,1.024
"2006-12",0.795,1.469,0.416,1.382,1.383,0.941,0.628,0.32,0.8,1.293,1.018
"2007-01",0.643,1.51,0.267,1.703,1.38,0.658,0.595,0.256,0.798,1.058,0.923
"2007-02",0.593,0.79,0.361,1.055,0.928,0.658,0.624,0.304,0.817,1.15,0.727
"2007-03",0.789,0.814,0.37,1.142,1.473,0.82,0.442,0.606,0.309,1.083,0.813
"2007-04",0.943,0.782,0.747,1.097,2.158,0.533,0.592,0.535,0.886,0.402,0.804
