#Dataset: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","GIC","NWN","NEN","NEU","EEU","RAR","WSB","ESB","RFE","ARO","full_domain"
"2006-01",-28.85,-11.249,-23.584,-5.265,-18.32,-27.577,-22.464,-35.329,-15.488,-28.497,-23.001
"2006-02",-29.543,-11.474,-29.196,-12.28,-25.382,-27.723,-27.409,-37.031,-12.112,-28.353,-24.37
"2006-03",-25.98,-7.122,-25.92,-8.195,-14.328,-22.163,-17.863,-22.971,-7.681,-25.168,-20.069
"2006-04",-20.083,-3.565,-18.638,-2.147,-10.028,-14.919,-13.833,-12.155,-4.853,-17.405,-13.297
"2006-05",-9.083,4.542,-4.292,0.067,-1.658,-2.753,-3.402,1.015,0.456,-2.89,-2.579
"2006-06",-2.466,8.48,3.126,3.973,8.6,6.366,10.363,10.57,5.41,-0.162,3.509
"2006-07",0.149,10.797,7.429,6.325,12.196,9.794,14.256,16.589,10.873,0.347,6.184
"2006-08",-1.742,9.175,5.5,8.157,9.635,9.138,10.127,15.361,12.433,0.583,5.532
"2006-09",-4.704,6.871,2.626,5.612,5.575,4.224,5.943,7.794,8.562,-0.689,2.408
"2006-10",-8.065,1.193,-1.502,2.217,-1.008,-4.021,-1.266,-4.242,2.869,-3.594,-2.807
"2006-11",-16.65,-7.207,-9.266,-0.499,-9.296,-16.802,-12.743,-23.583,-3.608,-14.227,-12.238
"2006-12",-21.803,-10.235,-17.697,-4.012,-16.442,-22.582,-18.879,-32.892,-9.902,-22.048,-18.309
"2007-01",-30.831,-12.626,-26.585,-7.554,-17.391,-29.662,-19.794,-37.111,-13.466,-30.429,-24.964
"2007-02",-27.978,-9.727,-23.794,-8.664,-12.831,-24.842,-13.177,-30.758,-13.704,-25.518,-21.616
"2007-03",-26.691,-7.936,-26.416,-4.842,-8.209,-21.876,-12.805,-22.209,-7.186,-25.251,-19.713
"2007-04",-14.762,-4.694,-9.068,-3.795,-10.633,-14.872,-14.05,-10.664,-4.225,-13.994,-11.431
"2007-05",-6.866,2.284,-0.037,0.714,-1.95,-5.078,-4.308,0.464,0.414,-4.769,-3.041
"2007-06",-1.273,7.945,7.213,3.704,5.733,5.01,7.05,11.707,6.336,0.187,3.703
"2007-07",0.797,10.766,9.06,7.46,15.806,9.715,16.813,16.384,11.381,0.147,6.612
"2007-08",0.232,10.253,6.971,8.567,9.149,8.644,11.249,13.345,12.831,0.718,6.07
"2007-09",-5.043,7.822,2.121,5.993,4.387,3.413,4.243,5.832,9.251,-0.455,2.328
"2007-10",-10.854,1.606,-1.977,2.818,-4.019,-4.949,-4.041,-6.122,2.528,-4.161,-3.535
"2007-11",-20.2,-5.657,-14.222,2.192,-3.922,-14.78,-9.568,-23.568,-5.584,-12.776,-11.849
"2007-12",-25.483,-11.19,-23.817,-1.26,-14.658,-24.075,-20.917,-33.6,-11.336,-23.544,-19.859
"2008-01",-21.255,-11.612,-17.889,-9.291,-27.347,-31.289,-29.434,-41.111,-14.132,-28.351,-23.072
"2008-02",-26.709,-16.109,-25.963,-7.959,-21.699,-32.116,-26.736,-41.571,-15.703,-29.477,-25.478
"2008-03",-25.572,-17.587,-27.525,-2.335,-15.825,-26.205,-23.312,-29.735,-13.097,-24.662,-22.161
"2008-04",-22.195,-7.504,-18.689,-2.116,-10.112,-17.771,-15.402,-10.93,-6.263,-20.571,-15.701
"2008-05",-10.504,0.418,-7.432,3.029,-0.222,-3.516,-5.821,1.942,0.69,-3.942,-3.87
"2008-06",-3.061,6.57,3.32,5.86,8.786,5.44,7.139,12.618,6.467,-0.168,3.063
"2008-07",-0.67,8.852,6.874,8.343,15.983,8.885,15.203,16.48,10.646,-0.047,5.689
"2008-08",0.284,9.742,6.505,8.519,10.671,7.822,10.197,13.306,12.963,0.62,5.714
"2008-09",-4.612,6.184,1.899,6.808,5.66,3.118,5.127,5.685,8.441,-0.348,2.111
"2008-10",-11.381,0.798,-3.317,2.899,-0.599,-5.233,-2.762,-8.872,2.347,-4.504,-4.15
"2008-11",-21.255,-7.935,-11.545,0.423,-6.35,-17.86,-11.371,-23.969,-4.045,-16.761,-13.826
"2008-12",-26.743,-12.037,-20.981,-2.826,-11.11,-22.917,-16.319,-33.267,-7.931,-23.359,-19.52
"2009-01",-28.744,-16.565,-23.886,-5.637,-15.135,-24.849,-17.588,-32.962,-9.015,-27.618,-22.588
