#Dataset: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4-SN_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","GIC","NWN","NEN","NEU","EEU","RAR","WSB","ESB","RFE","ARO","full_domain"
"2006-01",-32.543,-23.778,-37.022,-10.898,NA,-31.608,NA,NA,-14.883,-30.643,-29.218
"2006-02",-30.574,-16.808,-34.835,-9.824,NA,-26.628,NA,NA,-18.39,-26.937,-25.708
"2006-03",-30.437,-13.941,-31.338,-5.315,NA,-28.232,NA,NA,-13.715,-26.576,-24.727
"2006-04",-22.262,-13.006,-20.671,-6.92,NA,-16.659,NA,NA,-5.324,-19.229,-17.64
"2006-05",-12.229,0.058,-4.944,-0.613,NA,-7.665,NA,NA,-0.219,-8.289,-7.018
"2006-06",-5.72,4.998,0.898,2.913,NA,2.04,NA,NA,4.498,-1.09,-0.145
"2006-07",-2.964,6.574,4.003,4.971,NA,5.619,NA,NA,8.375,-0.17,1.854
"2006-08",-4.368,5.989,2.526,4.677,NA,3.838,NA,NA,10.32,-0.603,0.998
"2006-09",-11.034,2.921,-2.38,3.12,NA,-0.305,NA,NA,9,-4.724,-3.084
"2006-10",-17.604,-4.947,-12.897,0.274,NA,-6.12,NA,NA,3.388,-12.435,-9.693
"2006-11",-23.313,-12.26,-16.887,-3.327,NA,-20.801,NA,NA,-2.745,-21.684,-19.242
"2006-12",-31.173,-20.958,-27.767,-10.146,NA,-28.978,NA,NA,-6.053,-28.753,-26.754
"2007-01",-34.214,-19.403,-32.991,-7.04,NA,-25.911,NA,NA,-15.072,-24.786,-24.731
"2007-02",-34.43,-24.397,-33.51,-8.407,NA,-27.331,NA,NA,-19.008,-27.605,-26.81
"2007-03",-25.658,-16.872,-29.87,-5.373,NA,-26.193,NA,NA,-11.298,-23.226,-22.831
"2007-04",-23.474,-13.783,-23.221,-2.251,NA,-21.312,NA,NA,-4.834,-22.361,-19.814
"2007-05",-10.787,1.204,-6.134,-0.38,NA,-5.956,NA,NA,-0.058,-6.741,-5.595
"2007-06",-4.993,6.279,0.079,3.259,NA,2.82,NA,NA,4.504,-0.452,0.437
"2007-07",-3.149,8.575,4.005,6.187,NA,4.729,NA,NA,8.553,-0.158,1.895
"2007-08",-4.594,5.713,1.931,6.436,NA,3.6,NA,NA,10.275,-0.854,0.928
"2007-09",-7.867,3.386,0.421,3.487,NA,-1.123,NA,NA,8.231,-3.978,-2.3
"2007-10",-19.985,-5.557,-11.478,-0.39,NA,-12.204,NA,NA,4.196,-16.709,-12.865
"2007-11",-21.99,-11.029,-16.284,-3.413,NA,-20.844,NA,NA,-1.17,-20.793,-18.223
"2007-12",-30.095,-17.576,-29.84,-7.593,NA,-30.88,NA,NA,-4.535,-27.927,-26.206
"2008-01",-35.24,-22.971,-36.492,-4.786,NA,-26.487,NA,NA,-14.56,-28.194,-26.368
"2008-02",-31.923,-23.655,-34.094,-9.508,NA,-29.887,NA,NA,-13.622,-27.162,-26.866
"2008-03",-29.478,-13.341,-32.076,-7.191,NA,-27.195,NA,NA,-14.289,-25.762,-24.388
"2008-04",-25.497,-10.223,-25.872,-5.555,NA,-20.14,NA,NA,-4.74,-20.118,-19.182
"2008-05",-11.009,-4.121,-8.697,-0.739,NA,-7.616,NA,NA,0.907,-8.658,-7.825
"2008-06",-4.704,4.324,0.952,2.827,NA,1.943,NA,NA,4.823,-0.41,0.152
"2008-07",-2.406,5.99,3.122,4.992,NA,4.507,NA,NA,8.447,-0.265,1.538
"2008-08",-4.349,4.749,2.573,5.896,NA,2.816,NA,NA,10.523,-0.918,0.603
"2008-09",-9.759,1.662,-1.837,4.337,NA,-2.649,NA,NA,9.188,-6.565,-4.149
"2008-10",-19.606,-6.574,-14.784,-0.873,NA,-11.09,NA,NA,5.794,-14.841,-12.52
"2008-11",-25.543,-16.263,-23.527,-1.425,NA,-21.946,NA,NA,-2.185,-22.47,-20.586
"2008-12",-30.529,-23.537,-33.785,-2.528,NA,-27.01,NA,NA,-7.907,-26.804,-25.653
