#Dataset: CCCma-CanESM2_r1i1p1_CSIRO-CCAM-2008_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"1970-01",6.965,5.61,2.121,3.88,1.022,2.915,5.752
"1970-02",6.96,7.678,2.95,3.739,2.106,3.849,5.987
"1970-03",6.501,5.439,1.836,4.236,1.195,3.165,5.877
"1970-04",7.192,3.276,0.982,1.436,1.731,2.905,4.379
"1970-05",4.716,1.785,0.479,2.102,1.09,3.617,3.919
"1970-06",5.351,1.115,0.948,1.481,1.667,3.643,3.751
"1970-07",4.959,0.36,1.116,1.998,1.653,4.81,4.18
"1970-08",5.294,0.957,0.862,3.297,1.59,4.547,3.688
"1970-09",5.763,1.183,0.559,1.763,1.336,4.25,3.623
"1970-10",5.204,1.53,0.548,1.304,0.801,3.618,3.09
"1970-11",5.093,2.128,1.081,1.722,0.705,5.444,3.805
"1970-12",6.424,3.904,1.613,2.793,0.636,2.765,4.383
"1971-01",7.199,4.643,1.836,6.463,1.737,2.627,5.736
"1971-02",6.698,9.283,1.724,4.518,0.718,4.658,6.106
"1971-03",6.746,5.123,0.893,4.58,1.338,3.231,5.574
"1971-04",6.035,3.571,0.551,3.635,0.77,2.822,4.127
"1971-05",6.35,4.043,1.21,1.6,1.311,4.735,4.322
"1971-06",4.772,1.867,2.036,3.083,2.29,4.646,3.559
"1971-07",4.493,0.596,0.621,3.945,1.355,3.574,3.573
"1971-08",5.205,0.98,0.671,1.947,1.653,4.051,3.802
"1971-09",5.183,0.981,0.896,1.729,2.004,3.42,3.769
"1971-10",4.977,2.566,1.175,3.636,1.825,2.653,3.719
"1971-11",6.2,3.041,1.379,5.964,1.33,3.156,4.382
"1971-12",7.474,5.961,2.787,3.672,1.763,3.256,5.508
