#Dataset: CSIRO-BOM-ACCESS1-0_r1i1p1_CSIRO-CCAM-2008_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",7.05,6.565,3.552,6.141,1.591,2.156,5.433
"2006-02",7.902,6.73,2.187,6.353,2.102,2.43,5.348
"2006-03",7.329,7.735,1.909,2.279,2.275,3.882,5.208
"2006-04",6.386,3.694,0.508,4.039,1.081,3.943,4.299
"2006-05",6.493,2.342,0.09,1.164,0.612,4.567,4.02
"2006-06",5.165,1.723,1.053,0.403,1.43,5.925,3.763
"2006-07",4.136,0.581,0.628,1.706,1.457,4.027,3.311
"2006-08",3.976,0.567,1.014,2.318,1.265,3.512,3.407
"2006-09",4.099,1.552,1.016,2.403,1.291,1.863,3.429
"2006-10",3.904,1.268,1.417,3.178,1.86,3.061,3.411
"2006-11",5.17,3.474,2.369,3.008,2.385,3.248,4.633
"2006-12",4.808,3.758,1.993,3.923,1.236,3.169,4.344
"2007-01",7.389,3.921,1.552,5.564,0.81,2.953,4.763
"2007-02",7.372,8.963,2.277,1.691,2.039,4.181,5.541
"2007-03",6.698,4.737,0.896,5.081,1.241,3.291,4.826
"2007-04",6.299,5.822,0.761,1.381,1.074,4.678,4.336
"2007-05",6.534,3.172,0.34,4.457,1.023,4.073,3.832
"2007-06",4.866,2.618,0.438,1.692,1.094,4.575,3.751
"2007-07",4.679,1.191,0.954,1.045,1.455,2.995,3.636
"2007-08",4.392,0.984,0.498,2.473,1.771,3.1,2.787
"2007-09",3.479,0.696,0.306,1.965,0.98,3.572,2.621
"2007-10",3.309,0.786,1.358,1.198,2.259,3.735,3.67
"2007-11",4.639,3.362,2.332,3.213,1.778,2.894,3.813
"2007-12",4.878,3.544,1.705,4.556,1.427,2.711,4.443
"2008-01",5.94,4.665,1.973,4.791,1.719,2.713,4.865
"2008-02",6.965,4.413,3.024,5.149,2.414,2.147,5.178
"2008-03",6.602,4.929,2.378,2.174,2.462,4.147,4.944
"2008-04",6.178,3.429,0.387,1.746,0.905,1.935,3.738
"2008-05",5.617,2.342,0.566,1.583,1.02,3.377,3.908
"2008-06",5.233,1.203,0.719,1.737,1.079,3.328,3.68
"2008-07",4.037,0.336,0.18,0.94,1.293,4.046,2.666
"2008-08",2.873,0.477,0.852,1.237,1.103,3.086,2.482
"2008-09",2.258,0.523,0.434,1.29,0.973,2.087,2.667
"2008-10",3.812,0.873,0.448,3.288,0.842,2.272,3.088
"2008-11",3.978,1.833,1.004,3.139,0.604,3.549,3.464
"2008-12",5.146,3.409,1.586,5.325,1.168,4.604,4.326
"2009-01",6.708,4.914,2.534,3.481,1.255,3.168,5.033
"2009-02",8.568,6.828,2.974,3.955,1.719,3.886,5.405
"2009-03",7.348,4.949,2.018,3.296,1.985,3.473,5.102
"2009-04",5.852,2.717,0.093,1.907,0.586,3.46,4.291
"2009-05",7.007,4.455,0.29,0.651,0.676,3.951,4.396
"2009-06",4.972,1.362,0.735,3.816,1.181,3.328,3.839
"2009-07",4.672,1.088,0.619,2.658,1.943,3.053,3.27
"2009-08",3.912,0.405,0.348,2.825,1.035,3.023,3.495
"2009-09",4.267,0.909,0.334,2.239,1.078,2.373,2.741
"2009-10",4.523,1.156,0.804,1.571,1.425,3.18,3.066
"2009-11",4.554,2.938,1.83,6.315,1.582,2.397,3.863
"2009-12",6.464,5.871,3.409,5.951,1.698,2.113,4.805
"2010-01",8.203,7.181,2.686,3.373,1.894,3.245,5.001
"2010-02",6.354,9.932,2.837,3.266,1.166,2.933,6.621
"2010-03",6.511,3.311,1.082,2.847,1.359,3.729,4.875
"2010-04",6.085,4.798,1.11,0.884,1.609,3.36,4.221
"2010-05",6.276,3.074,1.168,2.461,1.544,3.15,3.87
"2010-06",5.258,1.146,0.774,1.769,1.372,2.61,3.885
"2010-07",4.522,0.613,0.79,0.754,1.164,3.56,3.423
"2010-08",4.01,0.529,0.652,2.379,1.749,3.068,2.97
"2010-09",2.39,0.422,0.178,0.709,0.507,3.889,2.634
"2010-10",4.557,0.895,0.648,3.116,0.973,3.279,3.133
"2010-11",5.217,2.648,1.423,1.986,0.775,3.956,3.848
"2010-12",5.844,3.675,1.437,3.144,0.873,2.578,3.965
"2011-01",6.404,4.523,2.324,3.58,1.475,3.168,4.645
"2011-02",6.798,4.49,1.944,2.865,0.923,4.394,5.209
"2011-03",7.238,6.6,1.262,5.08,0.64,2.766,5.062
"2011-04",6.149,4.447,0.156,1.35,0.339,3.26,4.206
"2011-05",5.373,2.413,0.108,0.982,0.844,4.264,3.654
"2011-06",5.096,1.792,1.366,3.22,2.914,3.811,4.42
"2011-07",5.349,1.37,0.786,1.906,1.026,4.438,3.48
"2011-08",5.44,1.322,1.127,1.489,1.67,4.077,4.04
"2011-09",4.909,2.018,0.841,0.622,0.901,3.743,3.756
"2011-10",5.162,3.199,2.558,3.36,1.428,2.424,3.888
"2011-11",5.299,2.356,0.88,1.734,0.72,3.05,3.538
"2011-12",5.322,4.908,2.254,5.547,1.49,3.225,4.351
"2012-01",7.489,6.674,1.998,3.032,0.709,4.494,5.044
"2012-02",7.388,8.944,1.998,4.503,1.172,3.481,5.874
"2012-03",6.205,4.174,0.854,2.261,1.002,2.878,4.322
"2012-04",6.782,4.827,1.992,0.661,1.98,4.482,4.824
"2012-05",5.772,2.489,0.933,1.991,1.522,3.262,3.999
"2012-06",5.365,1.03,0.232,1.822,0.962,4.429,3.605
"2012-07",5.316,1.123,0.254,1.531,1.198,4.127,3.146
"2012-08",3.924,0.989,0.642,3.028,1.051,3.335,2.744
"2012-09",4.684,1.327,1.216,1.892,1.263,3.194,3.508
"2012-10",5.116,1.189,0.831,1.999,0.899,2.445,2.931
"2012-11",4.861,2.779,2.175,3.469,1.674,2.442,4.117
"2012-12",5.471,4.061,2.303,3.011,1.374,4.17,4.502
"2013-01",7.469,4.159,2.391,5.07,2.674,4.167,5.11
"2013-02",7.641,5.43,1.395,2.15,1.49,3.394,5.429
"2013-03",7.242,3.994,1.11,4.614,1.407,3.294,4.765
"2013-04",6.771,3.182,0.426,3.978,0.369,3.203,4.431
"2013-05",6.48,3.21,0.183,1.557,0.775,4.679,3.97
"2013-06",4.997,1.539,0.305,1.673,1.241,3.372,3.324
"2013-07",5.592,1.21,0.492,1.575,1.229,3.236,3.214
"2013-08",4.991,0.793,1.052,1.244,1.808,3.675,3.576
"2013-09",4.769,1.134,0.652,2.393,1.38,4.492,3.225
"2013-10",4.785,2.219,0.761,2.314,0.925,3.548,3.556
"2013-11",4.804,2.692,0.956,4.164,1.047,2.648,3.588
"2013-12",6.406,3.594,2.117,5.773,1.835,3.636,4.504
"2014-01",8.445,4.832,2.353,5.394,1.453,3.607,5.284
"2014-02",8.24,6.201,1.234,2.254,0.788,3.447,4.573
"2014-03",6.993,4.679,1.307,3.36,1.404,3.884,5.105
"2014-04",6.611,4.139,0.408,2.501,1.119,4.163,4.223
"2014-05",5.814,3.513,0.213,1.567,0.477,4.181,3.779
"2014-06",5.423,1.417,0.208,1.485,0.829,3.938,3.484
"2014-07",3.882,0.699,0.423,1.887,1.371,2.233,2.838
"2014-08",3.711,0.653,0.851,0.951,1.59,2.298,2.645
"2014-09",4.338,0.697,0.592,1.319,0.728,2.749,2.981
"2014-10",3.323,1.03,0.661,1.72,0.839,4.019,2.869
"2014-11",4.865,2.086,1.227,4.657,0.959,2.934,3.637
"2014-12",5.022,3.777,1.57,2.216,1.152,3.68,3.98
"2015-01",6.423,5.108,2.3,4.424,1.883,1.818,5.084
"2015-02",6.922,3.881,1.455,5.858,2.076,3.276,5.098
"2015-03",6.311,5.521,1.614,1.724,1.756,2.547,4.913
"2015-04",5.821,4.247,1.655,1.657,0.871,3.988,4.477
"2015-05",5.383,4.073,0.859,1.403,0.959,4.06,3.673
"2015-06",5.347,1.38,0.83,2.855,1.154,3.646,3.879
"2015-07",5.168,0.998,0.505,2.173,1.571,3.137,3.533
"2015-08",4.019,1.031,1.065,2.61,1.257,4.075,3.311
"2015-09",3.866,0.864,0.516,1.803,1.363,3.843,3.173
"2015-10",4.867,0.681,0.372,3.235,1.108,2.619,3.167
"2015-11",4.306,2.335,1.731,3.562,1.427,2.397,3.639
"2015-12",6.268,3.968,1.678,3.169,0.921,2.704,4.353
"2016-01",8.076,6.403,2.337,3.419,0.645,3.866,4.776
"2016-02",8.07,8.845,3.781,4.923,1.934,3.33,6.221
"2016-03",6.823,5.152,0.914,2.242,0.504,2.439,4.384
"2016-04",6.129,3.953,0.197,0.889,0.675,5.089,4.389
"2016-05",6.207,1.691,0.113,1.21,0.689,4.207,3.848
"2016-06",5.07,1.626,0.578,3.604,0.963,2.782,3.551
"2016-07",5.14,0.658,0.374,1.212,1.585,3.068,3.065
"2016-08",3.428,0.493,0.392,1.205,1.12,3.251,2.588
"2016-09",3.419,0.423,0.37,1.503,0.862,3.709,2.728
"2016-10",4.864,1.607,1.789,2.824,1.68,2.128,3.633
"2016-11",4.716,1.806,0.664,1.737,0.627,4.809,3.394
"2016-12",5.995,4.229,2.272,3.764,1.409,4.252,4.893
"2017-01",7.41,5.042,2.653,4.909,1.315,3.015,5.572
"2017-02",7.065,4.701,1.324,3.255,0.724,4.175,5.733
"2017-03",5.796,8.542,1.111,1.849,1.178,3.521,5.031
"2017-04",6.756,5.039,0.682,0.664,0.559,4.411,4.488
"2017-05",7.298,1.986,0.3,0.794,0.824,3.48,4.208
"2017-06",4.758,1.039,0.73,2.146,1.275,3.798,3.873
"2017-07",3.897,1.649,1.475,1.924,1.165,3.27,3.515
"2017-08",4.667,0.816,1.157,0.767,1.6,3.396,3.301
"2017-09",4.036,1.307,1.191,1.913,1.622,4.234,3.074
"2017-10",4.099,0.507,0.187,1.951,0.641,2.97,2.678
"2017-11",4.854,2.448,1.266,3.135,0.842,3.336,3.922
"2017-12",4.736,3.265,1.332,2.862,0.85,4.358,4.139
"2018-01",6.653,4.56,2.2,4.135,1.237,3.535,4.832
"2018-02",8.137,8.714,2.092,2.424,1.468,2.746,5.469
