#Dataset: CSIRO-BOM-ACCESS1-0_r1i1p1_UNSW-WRF360K_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"1970-01",11.898,6.932,0.051,4.574,1.238,2.615,4.333
"1970-02",8.401,9.948,0.431,2.43,0.783,2.286,3.353
"1970-03",8.318,6.881,0.158,3.832,0.761,2.467,3.436
"1970-04",8.164,6.814,0.886,3.295,2.116,1.62,3.92
"1970-05",5.356,6.604,1.578,4.043,1.906,2.601,3.389
"1970-06",4.639,3.235,3.025,3.414,3.29,4.022,3.83
"1970-07",4.849,0.931,0.723,3.203,2.892,4.425,4.128
"1970-08",3.031,0.506,0.8,2.784,2.525,3.051,3.207
"1970-09",2.203,1.224,0.499,2.998,2.677,3.18,2.805
"1970-10",3.864,0.453,0.07,2.105,1.397,2.345,2.071
"1970-11",5.241,0.69,0.02,2.372,1.062,3.137,2.487
"1970-12",8.5,0.656,0.031,1.181,1.971,3.255,3.632
"1971-01",11.06,4.352,0.004,2.257,1.467,3.187,4.161
"1971-02",10.949,10.319,0.225,5.231,1.161,2.225,4.278
"1971-03",8.202,6.664,0.002,3.452,1.019,2.948,3.478
"1971-04",7.927,3.16,2.243,2.349,2.64,3.611,3.409
"1971-05",6.851,4.487,0.179,4.024,1.743,3.989,3.922
"1971-06",3.527,1.297,1.028,5.421,2.084,2.823,3.51
"1971-07",3.61,0.481,0.576,3.21,2.793,2.882,3.479
"1971-08",2.966,0.475,0.651,2.185,2.454,3.085,3.254
"1971-09",2.59,0.139,0.194,1.289,1.661,2.159,2.463
"1971-10",1.87,0.161,0.023,1.736,0.985,2.557,1.749
"1971-11",2.22,0.126,0.006,1.592,0.881,2.417,2.036
"1971-12",7.617,0.269,0.075,1.516,1.06,2.888,3.335
"1972-01",9.804,3.198,0.002,2.252,1.442,2.516,4.158
"1972-02",8.801,10.37,0.085,2.363,1.684,3.332,4.289
"1972-03",7.977,9.671,3.5,3.969,1.237,2.78,4.184
"1972-04",7.098,5.669,0.504,7.309,1.706,3.343,3.41
"1972-05",3.092,5.383,1.956,4.876,2.673,3.372,3.8
"1972-06",4.558,1.117,1.113,5.709,2.78,3.748,3.451
"1972-07",5.235,0.485,0.374,1.657,3.022,3.476,3.907
"1972-08",3.208,0.665,0.164,0.828,3.679,2.709,3.331
"1972-09",2.219,0.927,0.094,3.929,1.916,3.664,2.355
"1972-10",3.088,0.641,0.185,2.119,1.418,2.739,2.394
"1972-11",4.029,0.509,0.01,2.026,1.759,3.104,2.393
"1972-12",8.074,1.825,0.006,1.623,1.328,2.268,3.18
"1973-01",10.493,7.956,0.04,2.665,1.89,2.997,4.165
"1973-02",10.589,12.811,1.274,5.369,0.678,1.525,4.148
"1973-03",8.619,9.189,2.299,5.65,1.504,2.622,3.932
"1973-04",6.386,11.114,0.343,5.212,2.716,3.389,3.664
"1973-05",3.926,5.459,1.583,3.382,2.435,3.961,3.462
"1973-06",3.005,2.441,2.27,2.371,3.301,3.572,3.231
"1973-07",3.458,0.652,2.23,3.642,3.047,3.614,3.259
"1973-08",2.113,0.292,0.772,3.266,2.55,3.191,2.904
"1973-09",2.464,0.19,0.031,1.037,1.941,2.887,2.567
"1973-10",3.593,0.166,0.024,1.168,1.838,2.739,1.985
"1973-11",4.699,0.196,0.032,3.205,1.558,2.607,2.468
"1973-12",10.496,1.34,0.044,0.827,1.191,2.434,3.331
"1974-01",12.029,6.701,0.002,1.504,2.041,4.093,4.797
"1974-02",12.357,10.247,0.289,1.834,1.435,2.833,4.463
"1974-03",10.007,11.973,0.116,1.285,1.316,2.95,4.482
"1974-04",6.526,11.174,0.101,2.373,2.019,2.773,3.971
"1974-05",9.234,3.754,0.698,3.673,1.67,3.21,3.807
"1974-06",5.818,1.228,1.692,5.566,3.039,3.866,3.925
"1974-07",4.675,1.786,1.636,2.334,2.929,3.357,3.934
"1974-08",4.39,0.538,0.403,1.034,1.878,2.379,3.902
"1974-09",2.205,1.293,0.103,2.169,1.721,2.979,2.389
"1974-10",3.634,0.57,0.042,3.705,1.848,2.173,2.154
"1974-11",5.779,2.252,0.013,3.703,1.061,2.94,2.451
"1974-12",6.379,2.171,0.012,3.302,1.75,2.691,3.03
"1975-01",10.691,10.435,1.658,6.306,1.49,2.547,4.244
"1975-02",11.517,9.736,0.052,2.748,1.584,3.117,4.782
"1975-03",7.805,9.742,3.475,6.744,1.573,2.274,3.704
"1975-04",8.62,8.017,0.038,7.557,0.565,3.774,3.936
"1975-05",7.529,5.975,0.132,3.699,3.536,3.883,3.767
"1975-06",5.982,1.474,0.592,3.051,2.893,4.38,4.074
"1975-07",4.472,1.333,1.513,2.96,2.98,3.688,4.168
"1975-08",3.074,0.312,1.254,1.336,3.045,2.931,3.643
"1975-09",1.281,0.392,0.111,1.476,1.859,2.555,2.09
"1975-10",3.748,0.326,0.026,1.377,1.09,1.956,2.096
"1975-11",3.614,0.134,0.032,1.094,1.343,2.957,2.55
"1975-12",6.648,0.548,0.001,1.254,1.414,3.26,3.079
"1976-01",10.745,2.574,0.002,0.551,1.382,2.518,3.992
"1976-02",8.304,5.192,4.71,1.335,1.616,3.278,4.201
"1976-03",7.882,4.406,0.829,3.053,1.571,3.276,4.167
"1976-04",9.988,9.198,0.194,2.041,1.338,3.196,4.241
"1976-05",8.572,3.739,2.421,3.2,1.967,3.26,4.516
"1976-06",5.364,0.439,2.484,0.874,4.344,3.892,3.999
"1976-07",3.97,0.653,0.617,3.772,3.184,3.64,3.81
"1976-08",4.316,0.399,1.078,2.701,2.284,2.625,3.257
"1976-09",2.353,0.095,0.342,1.782,1.994,2.849,2.513
"1976-10",3.082,0.551,0.122,1.668,1.68,2.537,2.263
"1976-11",4.148,0.164,0.263,2.763,2.361,4.542,2.713
"1976-12",10.911,6.042,0.002,0.719,1.201,2.634,3.879
"1977-01",11.401,2.523,0.149,2.061,1.476,3.448,4.072
"1977-02",8.29,7.713,2.552,3.269,0.736,3.014,3.341
"1977-03",8.676,11.225,0.372,1.014,1.084,1.494,3.945
"1977-04",5.054,9.96,0.332,1.793,2.423,3.173,3.183
"1977-05",4.78,2.013,0.963,5.467,2.418,3.62,3.161
"1977-06",2.413,2.57,1.654,2.082,3.869,3.839,3.336
"1977-07",3.034,0.711,1.435,3.304,2.745,2.463,3.21
"1977-08",1.375,0.709,0.259,1.843,3.164,3.457,2.612
"1977-09",2.116,0.779,0.096,1.631,1.67,3.799,2.268
"1977-10",2.716,0.294,0.131,1.446,0.985,2.538,2.388
"1977-11",4.501,0.969,0.015,1.126,0.805,2.508,2.493
"1977-12",9.323,0.717,0.009,0.958,1.209,2.925,3.938
"1978-01",13.689,5.916,0.008,0.842,0.772,2.678,4.921
"1978-02",10.722,5.286,0.023,1.063,1.036,2.892,3.646
"1978-03",8.028,2.449,0.95,2.924,1.372,2.908,3.284
"1978-04",7.648,1.352,0.854,4.423,1.845,3.726,3.29
"1978-05",7.514,3.037,2.015,8.563,1.7,3.504,3.981
"1978-06",5.072,1.79,1.726,5.606,2.038,3.708,3.877
"1978-07",5.343,1.063,0.808,4.049,2.75,3.715,4.027
"1978-08",2.343,0.746,0.526,4.063,2.123,4.057,2.881
"1978-09",1.177,0.324,0.367,3.584,2.526,3.339,2.439
"1978-10",2.598,0.612,0.011,1.386,1.6,2.989,2.288
"1978-11",4.56,0.626,0.014,1.548,1.331,2.467,2.522
"1978-12",6.814,0.978,0.014,1.91,0.885,3.469,3.225
"1979-01",13.223,7.594,0.01,3.114,1.687,3.709,4.925
"1979-02",10.324,11.184,3.337,5.571,1.327,5.409,4.58
"1979-03",7.261,7.371,0.066,5.386,0.849,2.533,3.531
"1979-04",6.198,5.785,1.341,4.493,2.087,2.607,3.89
"1979-05",4.799,7.367,0.298,5.577,2.826,2.925,4.011
"1979-06",3.799,1.042,3.414,4.264,3.11,3.772,3.714
"1979-07",2.18,0.52,1.758,2.906,3.352,3.557,3.12
"1979-08",0.892,0.393,1.493,3.364,3.118,4.762,3.032
"1979-09",0.633,0.241,0.502,2.04,2.887,3.447,2.196
"1979-10",2.442,0.281,0.099,1.751,2.351,2.563,2.345
"1979-11",3.313,0.38,0.091,2.691,1.925,2.67,2.151
"1979-12",8.176,1.08,0.097,1.339,1.908,3.075,2.687
"1980-01",8.516,4.773,0.067,4.773,1.911,3.207,3.622
"1980-02",11.689,10.319,0.357,2.797,1.668,3.216,4.506
"1980-03",9.572,13.043,4.633,4.989,1.407,3.454,4.224
"1980-04",8.103,9.38,3.239,2.725,2.202,2.858,3.935
"1980-05",7.477,7.505,0.204,4.741,1.921,4.087,4.025
"1980-06",4.089,2.361,1.934,3.169,3.114,3.936,3.852
"1980-07",4.553,0.534,1.852,3.144,2.845,3.911,4.008
"1980-08",1.299,0.527,0.458,1.736,3.497,3.024,3.412
"1980-09",1.516,0.405,0.336,3.087,1.81,2.464,2.264
"1980-10",3.748,0.199,0.07,1.225,1.138,2.719,2.141
"1980-11",2.241,0.225,0.057,1.58,0.427,2.452,1.779
"1980-12",7.688,1.541,0.008,0.913,1,1.963,3.071
"1981-01",11.012,2.45,0.077,2.349,1.335,2.605,3.648
"1981-02",10.971,15.997,15.641,1.735,2.32,2.407,5.225
"1981-03",9.856,10.039,3.116,2.667,1.291,3.02,3.748
"1981-04",9.193,10.039,0.132,5.852,1.438,3.533,4.207
"1981-05",6.703,4.968,1.815,6.093,2.652,4.243,3.956
"1981-06",4.564,2.509,0.758,4.079,2.789,4.404,3.563
"1981-07",4.256,1.582,1.933,3.267,2.436,3.457,3.633
"1981-08",2.343,0.815,1.103,2.637,3.198,3.524,2.945
"1981-09",2.345,0.542,0.06,2.231,2.352,2.337,2.469
"1981-10",2.257,0.237,0.132,2.607,1.702,2.44,2.075
"1981-11",4.53,0.326,0.009,2.703,1.241,3.265,2.666
"1981-12",9.133,1.571,0.062,3.369,1.279,2.491,3.875
"1982-01",11.632,7.104,0.009,1.886,1.759,3.724,4.695
"1982-02",10.844,9.574,0.039,2.319,1.281,3.159,4.418
"1982-03",8.128,7.419,0.011,3.23,1.718,4.337,4.055
