#Dataset: CSIRO-BOM-ACCESS1-3_r1i1p1_UNSW-WRF360L_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"1970-01",8.391,2.408,0.2,2.242,2.274,3.982,5.56
"1970-02",7.225,4.758,1.678,2.335,1.728,2.27,5.066
"1970-03",8.528,4.956,0.391,2.093,2.262,2.551,5.14
"1970-04",8.521,5.869,0.94,1.486,4.001,2.523,5.744
"1970-05",9.4,4.072,0.43,4.232,4.02,4.859,6.076
"1970-06",11.224,1.888,0.415,2.264,3.937,5.182,6.627
"1970-07",7.317,1.853,0.531,3.697,4.03,4.13,5.963
"1970-08",6.769,1.267,1.045,2.271,3.772,5.171,6.086
"1970-09",8.604,2.177,0.384,3.668,3.199,5.484,6.11
"1970-10",8.802,0.645,0.14,1.917,3.013,4.933,5.776
"1970-11",7.532,1.268,0.35,7.333,2.4,3.585,4.901
"1970-12",10.174,2.803,0.62,4.135,2.593,3.523,5.631
"1971-01",11.023,2.884,0.382,1.907,1.893,2.409,5.9
"1971-02",9.957,4.607,0.516,6.403,3.092,2.98,5.899
"1971-03",10.398,10.21,0.534,2.511,2.173,3.087,5.495
"1971-04",10.232,8.662,1.514,4.984,3.107,4.49,6.732
"1971-05",7.749,1.579,0.487,5.835,3.042,5.178,5.107
"1971-06",9.318,1.313,0.839,1.755,4.519,6.16,6.637
"1971-07",10.106,1.842,0.459,3.782,4.47,4.623,6.512
"1971-08",7.923,1.457,0.629,4.045,3.523,4.787,6.022
"1971-09",7.557,1.442,0.556,2.613,4.009,4.148,5.351
"1971-10",7.341,1.166,0.177,4.681,1.704,3.119,5.008
"1971-11",9.241,1.169,0.186,4.413,2.749,4.211,6.085
"1971-12",9.875,3.744,0.391,4.623,1.795,3.915,5.654
"1972-01",9.918,5.36,0.554,2.356,1.908,2.11,5.757
"1972-02",8.91,4.591,0.794,1.351,2.421,1.768,5.203
"1972-03",9.41,5.734,0.664,2.234,2.896,4.074,6.481
"1972-04",8.39,7.317,0.21,5.577,2.998,4.081,6.039
"1972-05",13.906,3.348,0.815,3.693,3.068,4.443,6.847
"1972-06",9.204,2.03,0.916,3.041,3.763,4.834,6.373
"1972-07",8.688,1.035,1.457,1.66,3.004,4.099,6.044
"1972-08",8.415,0.412,0.894,1.802,5.341,5.491,5.95
"1972-09",5.328,0.631,0.406,2.616,3.259,5.409,4.875
"1972-10",7.014,0.5,0.164,3.617,2.617,3.812,4.556
"1972-11",7.351,0.995,0.489,3.291,1.992,2.639,4.923
"1972-12",7.075,0.991,0.186,1.906,2.186,2.532,4.913
"1973-01",8.093,2.641,0.108,2.628,1.782,3.281,5.595
"1973-02",9.486,9.94,0.36,0.756,1.245,2.369,6.102
"1973-03",8.776,7.134,0.406,1.6,1.498,3.78,5.842
"1973-04",7.982,5.683,1.504,1.773,2.423,3.827,5.899
"1973-05",8.397,5.162,1.062,5.762,3.472,5.475,6.133
"1973-06",9.184,3.189,0.636,5.417,3.391,5.486,5.857
"1973-07",9.717,1.29,0.669,4.79,3.296,4.438,6.311
"1973-08",10.605,0.99,0.293,2.137,3.581,4.297,5.766
"1973-09",10.472,0.563,0.206,1.716,4.029,4.266,5.506
"1973-10",7.438,0.577,0.086,3.002,1.951,3.58,4.761
"1973-11",9.21,1.086,0.155,4.009,1.951,4.629,5.16
"1973-12",11.904,1.227,0.088,2.205,1.877,3.148,5.713
"1974-01",10.923,3.519,0.166,2.049,1.286,4.171,5.913
"1974-02",10.09,5.091,0.122,2.934,1.288,2.368,4.928
"1974-03",7.72,4.896,1.831,1.318,1.612,2.962,5.027
"1974-04",10.888,7.846,1.72,3.541,2.936,2.747,6.138
"1974-05",9.899,2.756,0.638,7.795,3.148,4.879,6.005
"1974-06",10.659,1.465,1.753,4.551,2.914,4.911,6.606
"1974-07",7.077,1.877,1.534,7.149,3.549,4.7,5.549
"1974-08",8.864,2.074,0.312,3.3,4.203,4.907,5.851
"1974-09",9.797,1.116,0.107,2.946,2.972,4.21,5.554
"1974-10",6.441,0.477,0.128,2.298,1.662,3.417,4.868
"1974-11",8.625,0.808,0.202,3.627,1.634,3.258,4.986
"1974-12",10.943,2.873,0.23,1.391,2.017,2.705,5.306
"1975-01",13.236,5.156,0.208,2.267,2.164,3.134,5.513
"1975-02",9.593,10.458,0.231,1.831,1.519,2.557,5.158
"1975-03",7.76,10.393,0.294,4.339,1.135,2.315,6.111
"1975-04",8.319,3.141,1.611,3.299,3.126,3.795,5.322
"1975-05",9.043,3.475,0.463,4.247,2.494,4.414,5.626
"1975-06",10.488,1.788,1.461,3.472,3.07,5.426,6.065
"1975-07",9.483,1.328,0.958,2.846,4.559,5.249,6.876
"1975-08",8.522,0.545,0.404,3.816,4.033,4.943,5.669
"1975-09",8.219,0.885,0.188,2.545,2.698,3.935,5.621
"1975-10",6.775,0.929,0.087,3.116,2.291,3.558,4.974
"1975-11",8.145,1.659,0.589,4.029,1.784,3.081,5.217
"1975-12",10.849,1.902,0.096,3.858,1.851,3.54,5.622
"1976-01",12.568,5.104,1.552,1.914,2.088,2.496,5.836
"1976-02",11.917,7.892,0.346,1.106,1.499,2.802,5.395
"1976-03",9.094,5.051,0.336,1.729,2.175,4.57,5.701
"1976-04",8.322,4.976,1.695,3.611,2.994,3.387,5.913
"1976-05",9.566,6.483,2.627,2.858,2.813,3.526,6.333
"1976-06",8.006,1.831,0.767,4.05,4.41,4.802,5.377
"1976-07",7.42,1.876,0.953,6.493,3.676,5.241,4.968
"1976-08",6.448,1.135,0.295,2.646,3.526,5.027,4.833
"1976-09",7.381,1.593,0.153,3.705,2.408,3.28,4.534
"1976-10",9.046,0.677,0.089,3.101,2.413,4.194,5.007
"1976-11",10.272,1.288,0.08,2.647,1.704,3.796,5.257
"1976-12",11.613,2.822,0.182,2.235,2.044,2.676,5.455
"1977-01",10.975,4.121,0.194,3.723,2.769,3.871,5.679
