#Dataset: NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7_v0
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",23.655,28.066,30.991,23.558,24.875,13.405,24.66
"2006-02",23.588,26.88,29.096,23.43,23.029,13.954,24.124
"2006-03",23.546,28.432,28.891,21.666,21.733,12.906,23.883
"2006-04",23.416,26.274,25.954,18.935,19.239,11.055,22.511
"2006-05",23.45,25.414,21.436,16.734,14.722,8.673,20.788
"2006-06",22.998,23.97,17.695,13.996,11.207,7.283,19.225
"2006-07",22.803,22.617,16.372,12.117,10.708,6.182,18.492
"2006-08",23.176,24.94,19.41,14.501,12.294,6.107,19.583
"2006-09",23.446,26.243,20.834,16.339,13.916,8.179,20.46
"2006-10",23.619,27.95,24.225,19.717,16.805,9.381,21.794
"2006-11",23.33,26.809,26.319,20.791,19.963,12.028,22.627
"2006-12",23.792,27.322,28.93,22.558,22.419,13.762,23.817
"2007-01",23.441,26.043,27.601,23.18,23.125,15.031,23.752
"2007-02",23.702,27.086,30.528,22.951,24.704,14.108,24.533
"2007-03",23.662,26.371,26.046,22.227,18.994,13.019,23.064
"2007-04",23.457,26.442,25.325,18.846,18.384,10.551,22.271
"2007-05",23.079,24.75,21.245,16.067,13.881,8.989,20.514
"2007-06",23.169,23.103,16.608,13.278,11.082,8.281,19.011
"2007-07",22.963,22.806,15.584,12.286,10.351,5.668,18.35
"2007-08",23.493,23.857,19.364,14.651,13.125,7.568,19.69
"2007-09",23.527,26.047,23.074,18.303,16.321,8.21,21.003
"2007-10",23.473,27.407,26.009,21.612,18.723,8.539,22.077
"2007-11",23.427,27.276,26.574,20.651,20.085,10.928,22.67
"2007-12",23.406,28.047,29.352,22.748,22.011,13.77,23.913
"2008-01",23.552,27.21,29.926,22.261,23.348,14.515,24.277
"2008-02",23.41,28.12,31.213,23.947,24.654,14.309,24.798
"2008-03",23.318,27.517,29.13,23.07,21.384,12.347,23.865
"2008-04",23.48,26.741,25.243,19.631,18.739,10.164,22.371
"2008-05",23.414,24.477,20.578,15.408,14.384,7.992,20.261
"2008-06",23.371,22.354,17.632,13.978,13.059,6.283,19.018
"2008-07",23.32,22.14,16.318,12.048,10.842,6.353,18.461
"2008-08",23.204,22.653,17.987,13.527,12.776,6.792,19.072
"2008-09",23.929,25.666,23.58,18.252,17.192,8.349,21.251
"2008-10",24.24,27.842,26.297,20.142,18.553,9.987,22.458
"2008-11",24.256,28.852,29.032,22.303,21.694,10.646,23.621
"2008-12",24.256,28.337,29.421,25.013,23.767,12.699,24.298
"2009-01",24.086,28.696,31.788,25.367,24.47,14.219,25.136
"2009-02",24.144,27.43,30.594,24.76,23.726,13.054,24.622
"2009-03",23.89,28.986,29.907,22.374,22.526,13.128,24.443
"2009-04",23.712,27.285,25.762,19.293,19.457,10.345,22.641
"2009-05",23.904,25.201,21.765,16.289,15.563,8.493,20.994
"2009-06",23.315,23.517,17.083,13.153,11.621,7.841,19.148
"2009-07",23.458,23.214,18.497,14.185,12.032,6.723,19.354
"2009-08",23.553,24.795,21.143,16.289,13.728,7.498,20.296
"2009-09",24.24,26.857,25.127,19.627,16.599,9.225,22.035
"2009-10",24.142,28.31,25.607,20.63,16.921,10.229,22.428
"2009-11",24.172,29.281,29.436,23.36,21.163,10.68,23.818
"2009-12",24.067,28.537,30.809,24.925,24.296,13.744,24.767
"2010-01",24.004,29.107,32.137,25.93,24.354,13.493,25.164
"2010-02",23.822,28.692,32.591,25.342,25.408,14.732,25.423
"2010-03",23.846,29.192,29.644,23.047,21.347,14.315,24.394
"2010-04",23.926,26.31,24.377,19.865,17.71,10.031,22.224
"2010-05",23.538,25.35,21.773,16.806,14.982,8.694,20.879
"2010-06",23.388,24.256,18.534,14.936,12.825,8.228,19.665
"2010-07",23.434,23.835,17.394,14.202,11.779,6.756,19.173
"2010-08",23.671,24.841,20.671,16.355,14.06,8.642,20.301
"2010-09",23.854,26.617,23.27,18.436,14.341,8.402,21.072
"2010-10",24.144,27.57,25.426,20.353,18.543,8.818,22.144
"2010-11",24.111,28.295,28.288,21.831,21.114,10.902,23.379
"2010-12",24.227,29.953,31.941,24.703,22.831,11.845,24.756
"2011-01",23.869,28.881,31.468,23.967,24.805,14.627,25.059
"2011-02",23.812,27.458,30.272,23.804,23.413,14.414,24.598
"2011-03",23.553,27.832,29.716,22.383,21.28,12.63,24.037
"2011-04",23.281,27.411,27.144,20.364,19.77,9.783,22.863
"2011-05",23.282,25.728,22.569,17.655,15.58,8.006,21.014
"2011-06",23.109,24.657,19.568,14.708,12.393,7.128,19.687
"2011-07",23.002,23.495,16.782,12.342,10.4,6.655,18.704
"2011-08",23.196,23.828,20.279,14.275,13.626,7.707,19.829
"2011-09",23.748,26.374,22.676,18.486,15.603,8.557,21.119
"2011-10",23.576,27.685,25.593,21.057,18.097,10.146,22.205
"2011-11",24.032,28.14,27.53,22.228,20.533,11.462,23.275
"2011-12",23.73,27.848,28.813,23.104,22.253,13.331,23.872
"2012-01",23.475,27.814,30.971,23.25,24.142,14.115,24.544
"2012-02",23.325,26.244,28.104,23.344,24.663,13.886,23.978
"2012-03",23.346,27.433,28.156,21.188,20.23,12.768,23.53
"2012-04",23.195,26.525,24.262,18.372,17.375,9.464,21.843
"2012-05",22.936,25.248,21.42,16.378,14.294,7.503,20.343
"2012-06",22.715,22.128,17.508,13.132,11.824,6.851,18.718
"2012-07",22.904,23.034,16.77,12.09,10.947,6.905,18.616
"2012-08",23.109,23.937,20.572,14.936,14.526,5.868,19.685
"2012-09",23.533,26.54,24.086,18.326,15.65,8.068,21.189
"2012-10",23.972,27.685,25.957,20.669,18.149,9.169,22.299
"2012-11",23.825,28.561,27.967,23.252,20.725,10.651,23.35
"2012-12",23.655,27.658,29.158,23.346,22.976,11.412,23.799
"2013-01",23.429,26.643,30.069,23.681,24.393,15.039,24.363
"2013-02",23.637,27.751,30.056,22.867,24.758,14.175,24.566
"2013-03",23.689,29.008,31.073,22.428,21.521,12.433,24.448
"2013-04",23.373,27.006,26.484,19.726,19.992,10.156,22.828
"2013-05",23.428,25.529,21.583,17.778,14.688,8.189,20.95
"2013-06",23.303,22.312,17.266,13.254,12.16,7.163,19.097
"2013-07",23.031,21.089,15.701,11.385,10.523,5.617,18.207
"2013-08",23.375,23.508,19.624,13.965,12.859,6.042,19.419
"2013-09",24.047,26.857,23.195,17.785,15.469,8.437,21.272
"2013-10",24.328,28.424,26.301,21.021,17.88,8.653,22.466
"2013-11",24.471,29.179,30.209,22.211,22.231,10.396,23.868
"2013-12",24.091,28.882,31.178,24.282,23.579,11.991,24.576
"2014-01",23.781,27.881,31.239,24.351,24.201,12.821,24.484
"2014-02",23.691,27.198,30.263,23.768,23.661,14.448,24.434
"2014-03",23.767,27.302,28.146,22.075,22.172,12.821,23.778
"2014-04",23.734,27.243,26.94,20.339,20.31,10.395,22.938
"2014-05",23.682,25.892,21.345,17.933,15.004,8.317,20.928
"2014-06",23.378,24.466,19.86,15.206,13.563,7.559,19.921
"2014-07",23.316,23.238,18.506,13.738,12.322,7.391,19.367
"2014-08",23.293,25.04,20.105,15.789,13.386,7.585,19.981
"2014-09",23.547,27.44,23.869,19.333,15.787,8.276,21.413
"2014-10",23.871,27.694,24.996,19.647,17.304,9.462,22.013
"2014-11",23.769,28.89,28.915,23.619,20.554,11.764,23.63
"2014-12",23.655,26.857,29.116,25.601,23.415,12.144,23.964
"2015-01",23.919,26.688,29.935,24.487,24.291,14.635,24.565
"2015-02",23.678,27.846,29.272,24.328,23.087,15.478,24.556
"2015-03",23.602,27.795,28.768,22.871,20.299,12.796,23.837
"2015-04",23.587,26.747,25.234,19.752,17.063,11.115,22.476
"2015-05",23.311,25.199,20.501,16.056,13.759,9.25,20.552
"2015-06",23.021,23.477,17.804,13.442,11.412,6.082,18.977
"2015-07",22.868,22.188,16.401,12.556,10.714,6.888,18.558
"2015-08",23.266,24.459,20.091,14.996,13.152,7.863,19.884
"2015-09",23.814,26.911,22.716,17.248,13.885,8.534,21.017
"2015-10",23.992,27.896,25.627,19.859,17.717,9.422,22.169
"2015-11",24.049,28.707,29.643,23.004,22.101,11.97,23.933
"2015-12",23.757,28.817,30.514,23.471,22.996,12.92,24.369
"2016-01",23.576,28.576,32.192,24.972,25.13,14.044,25.072
"2016-02",23.646,29.013,31.451,25.197,23.718,14.486,25.031
"2016-03",23.538,28.169,29.323,22.897,21.5,13.104,24.098
"2016-04",23.732,27.968,26.256,19.816,17.935,10.69,22.815
"2016-05",23.71,25.513,22.715,16.537,15.161,9.003,21.301
"2016-06",23.42,22.386,18.175,13.549,12.973,7.267,19.373
"2016-07",23.191,22.513,17.515,13.494,12.092,6.543,18.941
"2016-08",23.264,23.856,20.105,14.461,12.995,6.895,19.701
"2016-09",23.751,26.895,24.324,18.4,15.497,8.09,21.451
"2016-10",23.831,28.179,25.789,20.194,17.609,8.863,22.184
"2016-11",23.972,29.273,29.529,22.964,20.182,11.338,23.728
"2016-12",23.967,28.943,29.894,23.634,22.666,13.977,24.432
"2017-01",23.928,27.714,31.025,24.366,24.613,14.628,24.883
"2017-02",23.699,28.458,29.156,24.211,22.67,14.86,24.562
"2017-03",23.728,28.133,29.714,22.714,21.651,13.252,24.237
"2017-04",23.685,27.263,26.092,20.04,19.839,10.346,22.827
"2017-05",23.416,24.978,21.651,16.101,16.151,9.389,20.993
"2017-06",23.119,22.648,18.262,13.068,12.308,6.992,19.344
