#Dataset: MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7_v0
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",25.595,27.182,30.151,24.772,20.525,16.722,21.647
"2006-02",25.415,26.589,28.314,25.822,18.538,17.017,21.609
"2006-03",25.476,26.727,27.569,23.971,18.054,16.399,21.465
"2006-04",25.861,27.133,26.261,21.425,17.26,15.143,21.004
"2006-05",25.735,25.803,22.312,17.986,15.284,13.34,19.589
"2006-06",25.502,24.575,19.601,16.392,13.754,12.605,18.548
"2006-07",25.361,24.594,17.212,15.581,12.114,11.375,17.844
"2006-08",25.273,25.105,18.913,17.136,11.713,11.619,17.838
"2006-09",25.426,26.219,23.51,19.158,12.963,11.812,18.352
"2006-10",25.796,27.338,25.75,21.529,13.974,12.248,18.954
"2006-11",25.808,28.013,28.541,22.789,16.142,13.32,19.745
"2006-12",25.755,28.181,29.733,23.806,17.044,14.992,20.714
"2007-01",26.017,27.813,29.461,25.228,19.267,16.231,21.567
"2007-02",25.782,26.924,27.774,23.487,19.231,16.715,21.744
"2007-03",25.65,26.751,27.609,22.892,19.897,16.221,21.611
"2007-04",25.872,26.539,26.87,21.357,17.989,14.312,20.802
"2007-05",25.57,25.579,21.889,18.041,15.068,13.316,19.349
"2007-06",25.498,24.731,19.591,16.674,14.026,12.644,18.516
"2007-07",25.202,23.462,16.955,14.7,12.119,11.847,17.702
"2007-08",25.068,24.292,20.19,15.668,12.007,11.617,17.886
"2007-09",25.397,25.944,21.804,17.503,12.343,11.487,18.169
"2007-10",25.776,27.221,26.32,21.084,15.053,12.295,19.073
"2007-11",25.653,27.705,27.337,22.877,15.782,13.282,19.634
"2007-12",25.672,27.747,29.693,24.602,18.618,14.892,20.83
"2008-01",25.671,26.786,27.96,26.095,19.649,15.935,21.28
"2008-02",25.646,27.009,27.82,23.604,19.237,17.162,21.487
"2008-03",25.749,26.704,26.722,22.827,19.012,16.541,21.445
"2008-04",25.582,26.854,25.018,20.488,16.788,15.703,20.623
"2008-05",25.62,25.205,20.294,17.76,14.994,13.477,19.314
"2008-06",25.524,23.947,17.358,14.535,13.229,12.972,18.336
"2008-07",25.145,23.771,18.234,15.35,12.464,12.164,17.794
"2008-08",25.149,24.252,19.275,16.052,12.784,11.818,17.798
"2008-09",25.391,25.522,20.823,18.302,12.551,11.869,18.021
"2008-10",25.684,27.389,25.912,19.918,14.215,12.552,18.988
"2008-11",25.54,27.58,26.859,22.47,14.647,14.224,19.544
"2008-12",25.548,27.84,29.495,23.999,16.827,16.107,20.771
"2009-01",25.485,27.521,29.619,23.833,18.596,16.711,21.45
"2009-02",25.473,28.126,30.79,23.792,19.363,17.813,21.829
"2009-03",25.422,28.023,28.154,21.734,18.215,17.028,21.315
"2009-04",25.513,27.027,25.419,19.763,17.161,15.775,20.616
"2009-05",25.731,26.18,22.209,17.923,15.324,14.57,19.668
"2009-06",25.841,25.193,17.516,15.915,13.034,12.96,18.498
"2009-07",25.43,24.589,16.808,14.301,11.835,12.159,17.746
"2009-08",25.556,25.089,20.036,15.329,12.107,11.803,17.958
"2009-09",25.354,26.156,21.68,17.997,13.147,11.786,18.262
"2009-10",25.725,27.559,27.398,22.178,14.978,12.649,19.155
"2009-11",25.918,28.028,26.812,21.285,15.534,14.131,19.841
"2009-12",25.645,28.393,29.62,23.12,18.218,15.833,21.162
"2010-01",25.76,27.464,27.756,23.427,19.938,16.465,21.627
"2010-02",25.779,28.031,28.412,23.305,19.375,17.552,22.11
"2010-03",25.869,27.266,29.646,22.851,20.002,16.373,22.032
"2010-04",25.616,26.948,26.264,21.142,17.375,14.678,20.82
"2010-05",25.856,26.384,22.627,19.05,15.148,13.56,19.654
"2010-06",25.696,25.411,19.896,16.354,13.231,12.746,18.64
"2010-07",25.309,24.513,18.982,15.036,12.792,11.512,17.967
"2010-08",25.408,25.337,19.401,16.645,11.775,11.838,17.995
"2010-09",25.581,25.905,21.756,17.878,12.675,12.156,18.316
"2010-10",25.642,27.46,26.399,21.106,14.387,12.585,18.981
"2010-11",25.659,27.406,27.837,23.314,15.758,13.363,19.791
"2010-12",25.281,27.134,28.18,24.348,17.022,14.898,20.43
"2011-01",25.141,26.938,30.69,25.343,19.307,17.175,21.588
"2011-02",25.268,26.617,29.65,26.242,19.802,16.997,21.822
"2011-03",25.102,26.128,25.761,23.069,17.735,16.188,21.102
"2011-04",25.145,26.636,25.66,20.919,17.063,15.336,20.642
"2011-05",25.46,26.03,22.934,19.043,15.103,14.203,19.657
"2011-06",25.514,24.195,16.631,15.045,12.67,12.993,18.334
"2011-07",25.307,23.871,17.579,14.538,12.378,12.586,17.873
"2011-08",25.345,24.419,18.973,15.244,11.973,11.918,17.834
"2011-09",25.5,25.875,22.662,18.325,13.211,12.237,18.353
"2011-10",25.637,27.378,24.783,21.391,13.611,12.627,19.056
"2011-11",25.854,28.592,29.531,24.463,16.35,13.844,20.244
"2011-12",25.907,27.802,29.099,25.443,18.32,15.055,20.84
"2012-01",25.631,28.429,31.169,27.145,18.319,16.269,21.692
"2012-02",26.091,28.52,30.551,24.918,18.795,16.674,21.962
"2012-03",25.657,28.115,29.124,23.868,17.907,16.742,21.645
"2012-04",25.912,27.605,26.544,21.354,17.592,15.218,20.815
"2012-05",25.923,25.986,20.481,18.269,14.188,13.744,19.466
"2012-06",25.953,25.31,18.937,15.822,13.093,13.024,18.622
"2012-07",25.626,25.036,18.275,15.691,11.843,11.999,17.998
"2012-08",25.717,25.833,19.284,17.819,11.292,11.789,18.044
"2012-09",25.718,26.803,23.023,18.091,12.725,11.945,18.455
"2012-10",26.029,27.625,25.117,21.79,12.965,12.318,19.107
"2012-11",26.06,28.263,28.562,24.852,15.066,13.752,19.932
"2012-12",25.972,27.988,28.552,25.267,15.936,15.627,20.654
"2013-01",25.781,27.337,30.161,25.022,19.035,16.698,21.49
"2013-02",26.037,27.752,29.577,24.598,20.812,17.02,22.102
"2013-03",26.198,27.513,28.074,23.844,19.407,16.132,21.75
"2013-04",26.009,27.297,25.421,20.66,16.56,15.192,20.682
"2013-05",26.154,26.59,22.489,18.415,15.034,13.469,19.58
"2013-06",25.767,25.782,19.189,17.085,13.155,12.863,18.581
"2013-07",25.541,25.088,18.135,15.716,12.128,12.121,18.037
"2013-08",25.738,24.833,17.43,15.816,11.16,11.474,17.785
"2013-09",25.578,26.066,22.375,18.719,12.622,12.099,18.339
"2013-10",25.857,27.239,25.39,21.785,13.51,12.451,18.9
"2013-11",26.009,28.504,28.061,23.609,15.109,13.963,19.974
"2013-12",25.814,27.723,28.532,25.38,17.069,14.978,20.749
"2014-01",25.859,26.893,27.833,26.853,18.391,15.709,21.379
"2014-02",25.539,27.304,28.996,24.919,19.101,16.325,21.818
"2014-03",25.856,26.951,27.717,24.463,18.364,15.372,21.477
"2014-04",26.091,26.75,25.279,21.722,17.682,14.72,20.758
"2014-05",25.952,26.139,20.517,18.242,13.925,13.585,19.312
"2014-06",25.753,24.425,17.547,14.901,12.173,12.228,18.306
"2014-07",25.541,24.458,17.342,15.294,11.602,11.742,17.887
"2014-08",25.375,24.495,18.881,16.276,11.552,11.926,17.914
"2014-09",25.68,26.094,23.597,19.069,13.271,11.943,18.489
"2014-10",25.682,27.651,28.119,23.037,14.678,13.314,19.437
"2014-11",25.738,28.031,27.593,21.611,15.516,13.883,19.958
"2014-12",26.133,27.835,28.15,23.196,17.946,15.374,20.967
"2015-01",25.98,27.927,30.665,26.528,19.086,16.29,21.822
"2015-02",25.57,27.232,29.888,26.858,19.932,16.085,22.024
"2015-03",25.849,27.24,28.91,24.221,18.747,15.71,21.792
"2015-04",26.056,27.132,23.549,20.842,15.758,15.207,20.769
"2015-05",25.868,26.026,21.789,17.406,14.863,13.625,19.627
"2015-06",25.871,24.643,17.863,15.39,12.618,13.16,18.455
"2015-07",25.384,24.161,17.269,13.755,11.184,11.841,17.73
"2015-08",25.395,24.675,19.971,15.792,12.183,11.429,17.922
"2015-09",25.6,25.898,22.894,17.917,12.675,11.821,18.379
"2015-10",25.889,27.572,27.198,22.171,14.111,12.167,19.336
"2015-11",26.057,28.592,28.756,23.666,15.618,13.218,20.128
"2015-12",25.727,27.941,29.649,24.769,17.562,14.921,21.1
"2016-01",26.067,27.617,30.262,26.169,19.002,15.509,21.687
"2016-02",26.234,27.83,30.713,26.327,20.418,16.165,22.182
"2016-03",25.8,26.658,26.933,25.168,17.462,16.023,21.4
"2016-04",25.964,26.338,23.502,22.022,15.87,14.449,20.643
"2016-05",26.157,25.639,20.606,17.567,14.265,12.739,19.438
"2016-06",25.942,24.595,17.632,15.211,13.075,11.479,18.414
"2016-07",25.555,24.363,18.147,15.553,11.85,11.939,17.946
"2016-08",25.543,25.016,21.484,17.098,12.222,11.441,18.036
"2016-09",25.905,26.139,23.633,19.403,12.614,11.684,18.584
"2016-10",25.916,27.064,26.125,20.913,13.887,11.989,19.139
"2016-11",26.042,27.801,28.767,25.625,15.669,13.152,19.928
"2016-12",26.287,28.958,32.057,26.672,17.795,14.423,21.199
"2017-01",26.407,28.419,29.59,25.192,19.131,16.058,21.809
"2017-02",25.827,27.884,29.251,25.405,18.86,17.01,21.789
"2017-03",26.146,28.411,29.302,24.011,19.331,15.966,21.878
"2017-04",26.542,27.805,25.494,21.285,17.913,15.006,20.962
"2017-05",26.581,26.041,20.077,18.25,15.027,14.041,19.681
"2017-06",26.043,24.425,17.527,15.066,12.569,12.404,18.469
"2017-07",25.683,23.995,17.604,14.827,12.248,12.386,18.057
"2017-08",25.491,24.769,20.269,16.58,12.234,12.098,18.111
"2017-09",25.862,26.12,24.41,19.69,12.796,11.831,18.569
"2017-10",25.986,27.434,25.752,20.609,13.438,12.882,19.283
"2017-11",26.144,28.824,29.951,24.021,15.424,13.318,20.403
"2017-12",26.405,29.161,31.722,25.962,17.433,14.972,21.34
"2018-01",26.404,27.658,30.124,27.035,19.211,16.337,21.924
"2018-02",26.33,27.647,29.527,25.226,18.987,16.673,21.952
"2018-03",26.15,27.635,30.626,25.537,19.02,16.434,21.868
"2018-04",26.257,26.994,25.668,22.041,16.486,15.411,20.773
"2018-05",26.353,26.46,20.9,18.895,14.15,13.837,19.582
"2018-06",26.113,24.561,15.632,15.616,12.262,12.444,18.312
"2018-07",25.828,23.637,16.731,13.645,11.537,12.025,17.904
"2018-08",25.699,24.69,18.78,16.112,11.426,11.6,17.83
"2018-09",25.853,26.582,24.582,20.36,13.546,12.3,18.644
"2018-10",26.036,27.616,25.341,20.371,13.442,13.146,19.08
"2018-11",25.834,27.476,26.715,22.831,14.33,14.323,19.833
"2018-12",25.552,27.452,27.567,24.639,15.524,15.99,20.753
"2019-01",25.69,28.246,29.079,25.064,17.984,17.809,21.787
"2019-02",25.774,28.025,31.235,25.63,19.253,17.635,22.338
"2019-03",25.569,27.074,28.17,23.767,18.359,16.746,21.695
"2019-04",25.707,27.592,25.586,21.604,16.927,15.863,20.915
"2019-05",25.998,25.863,20.681,17.949,14.077,14.171,19.803
"2019-06",25.968,24.903,16.553,15.801,12.445,13.014,18.59
"2019-07",25.794,25.035,18.593,14.724,12.232,11.996,18.224
"2019-08",25.653,24.924,19.968,16.127,12.124,11.844,18.074
"2019-09",25.787,27.086,22.535,19.291,11.751,11.886,18.403
"2019-10",25.987,27.665,25.803,21.066,14.061,11.957,19.188
"2019-11",26.319,28.971,30.824,24.947,15.756,13.474,20.47
"2019-12",25.831,28.821,31.223,25.629,17.349,15.45,21.146
"2020-01",25.895,28.505,30.213,25.635,18.555,16.912,21.855
"2020-02",25.811,27.961,30.626,25.891,20.15,17.479,22.069
"2020-03",25.834,27.362,28.321,23.688,18.473,16.659,21.679
"2020-04",25.88,27.772,26.477,21.183,17.091,15.181,20.994
"2020-05",26.008,26.487,22.323,19.161,14.791,13.943,19.679
"2020-06",25.831,25.233,18.03,16.704,13.175,12.607,18.617
"2020-07",25.526,24.566,19.928,16.838,13.468,12.162,18.203
"2020-08",25.323,25.072,20.863,17.017,12.572,11.836,18.061
"2020-09",25.687,26.292,23.122,19.41,12.634,11.892,18.373
"2020-10",25.944,27.697,25.919,21.548,13.885,12.51,19.136
"2020-11",25.983,28.276,29.086,24.317,16.02,13.565,20.12
"2020-12",25.788,27.373,27.946,27.368,16.187,14.702,20.764
"2021-01",26,27.711,28.536,24.599,18.134,15.707,21.54
"2021-02",25.947,27.247,29.535,25.003,18.084,16.492,21.782
"2021-03",25.862,27.444,27.816,23.272,18.061,16.211,21.493
"2021-04",26.007,27.339,26.055,22.051,17.293,14.805,20.85
"2021-05",26.167,26.364,20.8,18.093,14.379,13.769,19.582
"2021-06",26.085,24.664,18.893,16.116,13.042,12.327,18.465
"2021-07",25.641,24.364,18.146,15.692,11.919,12.156,17.926
"2021-08",25.495,24.2,19.685,16.301,12.232,11.57,17.833
"2021-09",25.597,25.742,24.109,20.086,13.428,12.044,18.488
"2021-10",25.934,26.937,28.085,21.893,15.97,12.203,19.279
"2021-11",26.106,28.731,30.974,26.073,16.113,13.271,20.298
"2021-12",26.109,27.796,29.775,25.615,17.544,14.244,20.86
"2022-01",25.885,27.262,29.049,27.013,18.894,15.476,21.376
"2022-02",26,28.08,30.464,26.738,20.347,15.455,21.837
"2022-03",26.131,27.447,28.613,25.508,19.139,14.862,21.289
"2022-04",26.282,27.507,25.88,22.244,16.638,14.118,20.602
