#Dataset: NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7_v0
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-18
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",25.377,27.599,30.498,23.775,18.86,16.096,21.713
"2006-02",25.236,26.965,28.795,23.651,18.715,16.732,21.689
"2006-03",25.293,28.044,28.611,22.272,18.174,16.657,21.595
"2006-04",25.36,26.974,25.835,20.059,16.838,15.715,20.937
"2006-05",25.444,26.175,21.59,18.114,14.848,14.274,19.88
"2006-06",24.976,25.146,18.027,15.67,12.879,13.395,18.83
"2006-07",24.677,23.887,16.758,14.063,12.397,12.445,18.28
"2006-08",24.806,24.769,19.499,15.864,12.794,12.027,18.335
"2006-09",25.035,25.656,20.791,17.388,13.247,12.494,18.69
"2006-10",25.286,26.91,23.938,20.146,14.569,12.953,19.26
"2006-11",25.306,26.71,25.913,21.193,16.177,14.16,19.964
"2006-12",25.69,27.309,28.462,22.901,17.747,15.841,20.967
"2007-01",25.252,26.651,27.281,23.583,18.716,16.963,21.375
"2007-02",25.521,27.455,30.185,23.53,19.866,17.107,22.017
"2007-03",25.35,27.163,25.995,22.838,17.231,16.753,21.441
"2007-04",25.455,27.359,25.237,20.179,16.566,15.649,20.868
"2007-05",25.125,26.08,21.41,17.783,14.424,14.515,19.777
"2007-06",25.092,24.399,17.007,15.271,12.898,13.838,18.758
"2007-07",24.937,23.976,15.942,14.239,12.062,12.292,18.175
"2007-08",25.168,24.326,19.407,16.049,13.213,12.463,18.435
"2007-09",25.141,25.572,22.833,19.005,14.221,12.692,18.902
"2007-10",25.108,26.261,25.511,21.638,15.089,12.736,19.346
"2007-11",25.258,26.784,26.17,21.035,16.031,13.725,20.094
"2007-12",25.194,27.364,28.746,22.946,17.315,15.455,20.823
"2008-01",25.368,27.031,29.421,22.803,18.383,16.718,21.558
"2008-02",25.169,27.603,30.667,24.41,19.097,17.14,21.948
"2008-03",25.061,27.398,28.775,23.629,17.855,16.724,21.74
"2008-04",25.356,26.995,25.166,20.58,16.781,15.208,20.939
"2008-05",25.403,25.664,20.765,17.002,14.683,13.869,19.596
"2008-06",25.233,23.995,17.937,15.572,13.859,12.821,18.634
"2008-07",24.887,23.339,16.64,13.909,12.396,12.312,17.996
"2008-08",24.685,23.386,18.148,15.086,13.046,12.221,18.083
"2008-09",25.101,24.922,23.282,18.918,14.616,12.95,18.79
"2008-10",25.408,26.284,25.824,20.462,15.007,13.292,19.328
"2008-11",25.837,27.349,28.371,22.399,16.632,13.816,20.26
"2008-12",25.969,27.429,28.794,24.838,18.172,15.336,21.026
"2009-01",25.785,27.696,31.054,25.37,18.749,16.692,21.747
"2009-02",25.887,27.417,30.084,25.09,18.859,16.861,21.872
"2009-03",25.704,28.453,29.409,23.283,18.168,16.788,21.737
"2009-04",25.836,27.785,25.603,20.589,16.956,15.71,21
"2009-05",25.884,26.286,21.843,18.032,15.068,14.614,19.957
"2009-06",25.236,24.774,17.401,15.265,13.005,13.655,18.751
"2009-07",25.091,24.086,18.677,15.835,12.913,12.94,18.445
"2009-08",24.962,24.722,21.06,17.47,13.161,12.972,18.561
"2009-09",25.3,25.72,24.707,20.13,14.073,13.173,19.092
"2009-10",25.33,26.646,25.129,21.112,14.115,13.603,19.336
"2009-11",25.717,27.597,28.726,23.379,16.369,14.151,20.428
"2009-12",25.787,27.565,30.085,24.929,18.502,16.032,21.422
"2010-01",25.626,27.981,31.369,25.988,18.623,16.544,21.824
"2010-02",25.527,27.912,31.849,25.71,19.315,17.508,22.081
"2010-03",25.597,28.447,29.134,23.789,17.626,17.492,21.786
"2010-04",25.781,27.152,24.37,20.964,16.282,15.579,20.917
"2010-05",25.473,26.053,21.837,18.321,14.744,14.627,19.928
"2010-06",25.198,25.127,18.769,16.64,13.667,13.985,18.973
"2010-07",25.061,24.595,17.677,15.868,13.016,13.01,18.456
"2010-08",25.04,24.804,20.669,17.645,13.634,13.592,18.6
"2010-09",25.112,25.673,22.995,19.202,13.065,13.054,18.728
"2010-10",25.488,26.522,25.021,20.821,15.037,13.204,19.342
"2010-11",25.722,27.341,27.738,22.171,16.306,14.188,20.24
"2010-12",25.9,28.459,31.162,24.757,17.445,15.046,21.26
"2011-01",25.529,27.906,30.774,24.265,18.998,16.832,21.759
"2011-02",25.417,27.107,29.705,24.212,18.667,17.475,21.897
"2011-03",25.384,27.645,29.216,23.062,17.637,16.779,21.698
"2011-04",25.4,27.691,26.936,21.397,16.856,15.408,21.231
"2011-05",25.242,26.385,22.651,18.935,15.059,14.08,20.023
"2011-06",25.02,25.214,19.773,16.379,13.427,13.282,19.037
"2011-07",24.807,24.224,17.102,14.241,12.06,12.35,18.249
"2011-08",24.711,24.323,20.326,15.722,13.298,12.467,18.473
"2011-09",24.948,25.311,22.495,19.042,14.001,12.7,18.761
"2011-10",25.094,26.408,25.217,21.201,14.846,13.221,19.363
"2011-11",25.583,27.166,27.051,22.366,16.311,14.233,20.244
"2011-12",25.585,27.419,28.351,23.295,17.597,15.522,20.954
"2012-01",25.263,27.415,30.428,23.753,18.729,16.612,21.704
"2012-02",24.942,26.609,27.874,23.812,19.605,17.047,21.797
"2012-03",25.101,27.355,27.951,21.996,17.495,16.711,21.618
"2012-04",25.088,27.084,24.307,19.628,16.192,15.07,20.76
"2012-05",24.992,25.922,21.564,17.876,14.71,13.803,19.664
"2012-06",24.623,23.713,17.853,14.947,13.115,12.953,18.585
"2012-07",24.623,23.741,17.085,14.048,12.498,12.607,18.184
"2012-08",24.585,24.122,20.619,16.196,13.701,11.834,18.332
"2012-09",24.817,25.311,23.796,18.893,13.745,12.423,18.736
"2012-10",25.383,26.33,25.542,20.858,14.636,12.858,19.385
"2012-11",25.527,27.359,27.448,23.036,16.045,13.596,20.262
"2012-12",25.424,27.319,28.628,23.471,17.431,14.553,20.924
"2013-01",25.181,26.667,29.524,24.063,18.791,16.846,21.503
"2013-02",25.393,27.706,29.616,23.469,19.564,16.874,21.941
"2013-03",25.488,28.32,30.596,23.135,17.538,16.778,21.983
"2013-04",25.32,27.397,26.334,20.761,17.009,15.104,21.075
