#Dataset: NOAA-GFDL-GFDL-ESM2M_r1i1p1_ICTP-RegCM4-7_v0
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-28
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NCA","SCA","CAR","NWS","NSA","NES","SAM","full_domain"
"1970-01",0.392,0.555,1.229,6.022,2.677,6.66,7.809,3.21
"1970-02",0.198,0.62,1.54,9.011,3.019,7.997,7.61,3.727
"1970-03",0.334,0.398,0.435,9.557,4.447,11.255,8.479,4.869
"1970-04",0.42,0.479,0.57,10.244,6.311,10.287,5.399,4.875
"1970-05",1.381,6.21,3.597,2.091,4.883,2.227,0.273,3.168
"1970-06",2.048,6.012,2.438,2.817,3.909,0.452,0.29,2.648
"1970-07",3.272,6.934,3.162,2.194,3.13,0.12,0.107,2.825
"1970-08",2.816,6.832,3.496,2.937,2.184,0.069,0.281,2.327
"1970-09",3.797,6.708,2.487,3.785,1.959,0.028,0.234,2.576
"1970-10",2.194,5.452,5.76,9.128,3.923,0.058,3.499,3.298
"1970-11",3.221,3.043,1.742,10.108,5.576,0.356,6.347,3.794
"1970-12",2.769,1.158,0.891,7.134,4.669,6.825,9.732,4.545
"1971-01",1.441,1.083,0.769,5.922,3.502,7.977,8.559,3.796
"1971-02",0.965,0.51,2.25,9.912,4.036,8.093,6.839,4.014
"1971-03",0.653,0.429,0.84,13.745,6.595,7.051,6.026,4.503
"1971-04",0.52,0.527,1.294,11.255,7.883,5.682,3.712,4.369
"1971-05",1.177,4.774,2.779,4.182,5.262,1.708,0.523,2.927
"1971-06",2.485,6.769,2.94,2.386,4.417,0.169,0.061,2.652
"1971-07",2.221,6.62,5.134,1.327,2.641,0.105,0.011,2.216
"1971-08",3.208,7.719,3.768,2.641,1.542,0.029,0.087,2.262
"1971-09",4.472,6.611,3.246,3.719,1.927,0.052,0.306,2.745
"1971-10",2.99,6.672,3.763,6.41,2.974,0.055,2.464,3.123
"1971-11",2.125,4.107,4.055,9.733,4.695,0.277,6.841,3.455
"1971-12",1.812,2.666,2.287,8.486,6.456,2.952,8.91,4.379
"1972-01",0.461,0.956,1.138,8.492,4.782,5.157,8.532,3.673
"1972-02",0.649,0.487,1.05,6.851,4.028,8.355,7.251,3.848
"1972-03",0.708,0.475,0.407,8.493,4.239,9.788,7.133,4.259
"1972-04",0.272,0.673,1.291,8.044,5.798,7.078,3.676,3.981
"1972-05",0.932,3.541,1.984,4.182,6.155,3.983,0.559,3.498
"1972-06",2.576,6.131,3.552,2.08,5.147,0.838,0.3,3.055
"1972-07",3.083,5.918,3.322,1.607,3.646,0.142,0.242,2.48
"1972-08",2.318,5.476,4.412,1.27,2.537,0.05,0.018,1.988
"1972-09",2.897,7.12,4.171,4.537,2.644,0.073,0.775,2.7
"1972-10",2.381,6.362,3.603,6.574,3.419,0.023,2.751,3.086
"1972-11",2.052,2.425,2.124,7.944,4.787,0.806,6.346,3.261
"1972-12",0.358,0.999,1.392,7.73,5.896,3.703,7.771,3.546
"1973-01",0.662,0.479,1.59,4.766,3.692,6.824,6.657,3.429
"1973-02",1.047,0.162,0.761,4.802,3.175,7.307,7.143,3.483
"1973-03",0.515,0.324,0.67,7.104,4.635,7.126,5.444,3.688
"1973-04",0.655,0.488,1.228,6.028,4.994,6.358,4.997,3.669
"1973-05",0.437,2.643,2.58,2.867,5.411,2.672,0.786,3.184
"1973-06",2.199,6.408,3.362,1.186,4.644,0.229,0.076,3.055
"1973-07",3.113,7.697,3.917,1.585,2.547,0.108,0.119,2.674
"1973-08",3.405,6.602,3.84,2.51,1.768,0.053,0.228,2.374
"1973-09",2.188,5.918,3.822,4.404,1.772,0.033,1.065,2.175
"1973-10",2.109,3.978,4.056,5.728,3.579,0.096,2.655,2.525
"1973-11",2.708,2.468,1.888,10.262,5.536,1.278,6.164,3.988
"1973-12",0.503,1.353,1.622,7.646,5.551,3.733,6.323,3.164
"1974-01",0.08,0.594,1.236,6.642,4.406,7.588,7.251,3.54
"1974-02",0.278,0.464,1.559,7.936,4.458,7.404,6.663,3.656
"1974-03",0.1,0.313,0.911,9.264,5.301,10.123,7.611,4.487
"1974-04",0.191,0.771,0.662,10.11,6.675,11.291,6.087,5.126
"1974-05",1.131,5.678,2.853,4.452,6.414,3.502,0.462,3.622
"1974-06",1.941,7.691,3.985,2.038,4.385,0.702,0.088,2.962
"1974-07",5.248,10.678,7.675,1.459,2.232,0.159,0.037,3.515
"1974-08",5.949,13.205,5.464,2.393,1.649,0.061,0.042,3.637
"1974-09",1.694,14.154,7.386,6.235,3.291,0.033,1.085,3.453
"1974-10",1.907,7.012,3.474,6.865,4.115,0.095,1.977,2.923
"1974-11",3.894,5.065,1.438,7.396,6.629,3.239,9.982,4.993
