#Dataset: MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM5-0-2_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"2006-01",0.134,0.634,1.908,0.825,12.211,8.93,0.326,3.899
"2006-02",0.177,0.917,2.216,0.66,11.313,10.461,0.345,3.501
"2006-03",0.602,1.353,2.658,0.28,11.353,9.894,0.027,4.196
"2006-04",0.974,2.857,3.041,1.272,10.876,4.957,0.269,4.154
"2006-05",0.713,2.926,3.007,1.731,7.771,3.88,0.334,3.576
"2006-06",0.979,5.013,3.938,4.802,4.493,0.011,0.916,3.177
"2006-07",1.545,5.798,5.021,5.076,4.008,0.035,6.016,3.257
"2006-08",0.714,5.223,3.146,5.698,4.155,0.066,8.652,2.848
"2006-09",1.301,3.322,3.357,3.382,2.858,0.025,1.944,2.327
"2006-10",0.242,1.767,2.174,2.232,4.245,0.335,8.161,2.53
"2006-11",0.233,1.306,2.506,1.08,7.049,1.207,7.143,3.372
"2006-12",0.176,2.351,1.988,0.681,9.288,1.411,4.259,3.742
"2007-01",0.153,1.709,1.947,0.866,10.868,9.42,1.899,4.196
"2007-02",0.229,1.912,1.627,0.374,9.95,6.909,0.362,4.018
"2007-03",0.44,1.63,3.512,0.374,8.889,7.336,1.094,3.77
"2007-04",0.391,2.045,3.727,1.031,10.39,2.008,1.278,4.774
"2007-05",0.838,2.796,4.546,1.177,11.207,3.419,0.712,4.73
"2007-06",0.711,3.572,5.091,3.064,7.543,1.435,2.103,3.83
"2007-07",1.09,5.901,4.849,6.66,4.759,0.119,7.498,3.22
"2007-08",0.879,4.821,2.564,6.898,5.479,0.176,6.17,3.138
"2007-09",1.092,3.623,3.297,5.388,4.478,0.101,5.752,2.811
"2007-10",0.146,1.834,1.485,1.68,4.582,0.204,4.683,2.329
"2007-11",0.384,0.964,2.675,0.119,8.068,0.532,2.44,3.076
"2007-12",0.213,0.931,1.296,0.143,9.935,2.629,1.546,3.521
"2008-01",0.181,0.847,1.851,0.064,12.973,9.915,0.265,4.322
"2008-02",0.183,2.004,1.975,0.625,9.298,6.816,0.32,3.28
"2008-03",0.356,1.2,2.623,0.246,9.378,5.578,1.805,3.711
"2008-04",0.737,1.515,3.408,0.125,12.249,6.05,1.503,4.392
"2008-05",0.7,3.433,4.511,1.666,9.989,0.486,0.927,4.672
"2008-06",0.729,5.071,4.517,4.177,6.259,1.179,6.093,3.752
"2008-07",1.235,6.275,3.837,5.555,5.259,0.063,6.715,3.203
"2008-08",1.04,4.641,2.586,5.946,3.646,0.058,5.484,2.635
"2008-09",0.801,3.504,3.923,3.278,4.204,0.043,2.816,2.731
"2008-10",0.171,1.17,2.114,1.575,6.558,0.961,12.381,2.803
"2008-11",0.151,0.541,1.796,0.527,5.714,0.218,5.074,2.777
"2008-12",0.127,2.139,1.571,0.859,8.715,2.269,0.596,3.469
"2009-01",0.163,0.658,2.191,0.259,14.82,6.954,1.421,4.395
"2009-02",0.154,1.259,1.785,0.344,8.446,12.876,0.17,3.273
"2009-03",0.243,1.12,3.058,0.185,8.735,3.473,0.613,3.557
"2009-04",0.823,1.265,2.888,0.226,11.467,4.369,10.98,4.419
"2009-05",0.892,2.892,3.253,1.314,9.674,3.888,0.834,4.206
"2009-06",0.909,5.217,5.956,3.888,5.027,0.092,2.542,3.141
"2009-07",0.679,5.791,4.223,5.231,4.058,0.045,8.857,2.957
"2009-08",0.822,4.338,4.266,5.959,4.138,0.111,9.065,3.085
"2009-09",0.487,2.87,3.368,4.778,4.267,0.061,3.982,2.642
"2009-10",0.283,1.164,1.527,0.486,4.402,0.278,5.383,2.844
"2009-11",0.347,1.182,1.224,0.375,7.44,3.905,3.914,3.371
"2009-12",0.242,0.323,1.906,0.057,9.719,0.863,0.399,3.422
"2010-01",0.255,0.495,1.409,0.08,11.417,9.152,0.832,4.066
"2010-02",0.362,0.723,1.781,0.124,8.091,11.082,2.295,3.314
"2010-03",0.302,1.811,2.781,1.215,7.616,12.125,5.303,3.498
"2010-04",0.716,1.907,2.818,0.896,9.744,8.567,3.417,3.921
"2010-05",0.8,3.157,4.94,2.635,7.5,2.107,0.734,4.049
"2010-06",1.148,5.3,3.472,4.893,4.948,0.273,2.479,3.52
"2010-07",1.29,7.36,3.644,4.521,4.473,0.064,7.801,3.012
"2010-08",0.588,5.793,4.107,5.208,4.383,0.025,9.005,3.029
"2010-09",0.641,3.085,4.055,4.612,5.537,0.037,4.866,2.987
"2010-10",0.197,1.526,2.229,1.325,6.94,0.299,6.521,2.408
"2010-11",0.217,0.649,1.235,0.679,9.354,1.243,2.234,3.652
"2010-12",0.114,0.309,1.569,0.128,11.007,6.367,5.299,3.36
"2011-01",0.167,1.193,1.664,0.487,14.258,12.848,0.638,5.014
"2011-02",0.234,1.229,2.308,0.24,9.283,5.308,0.98,3.333
"2011-03",0.488,1.734,4.064,0.732,9.163,5.061,0.794,3.566
"2011-04",0.551,1.925,3.152,0.895,9.184,6.581,2.344,3.301
"2011-05",0.742,2.581,2.985,2.262,8.286,1.781,2.615,3.541
"2011-06",1.27,5.036,4.986,6.368,7.764,0.25,0.89,3.794
"2011-07",1.078,5.894,3.405,4.839,5.249,0.05,7.649,3.191
"2011-08",1.863,4.899,3.198,5.052,4.197,0.106,6.101,3.143
"2011-09",0.556,3.298,4.441,3.384,7.382,0.33,4.738,3.41
"2011-10",0.282,1.222,1.866,1.699,8.5,1.192,8.479,3.259
"2011-11",0.21,0.547,1.577,0.347,9.863,1.796,5.173,4.316
"2011-12",0.195,1.294,1.658,0.162,10.005,3.717,0.552,3.228
"2012-01",0.264,1.835,1.762,0.366,11.207,9.955,1.092,3.754
"2012-02",0.197,1.569,1.773,0.519,8.41,11.604,0.381,3.219
"2012-03",0.42,1.693,2.986,0.723,8.929,6.949,0.101,3.567
"2012-04",0.545,1.503,3.104,0.834,10.407,4.136,5.749,4.005
"2012-05",0.599,3.213,3.121,2.339,7.488,1.481,0.618,3.893
"2012-06",0.757,4.759,5.993,3.632,6.713,0.937,1.871,3.959
"2012-07",0.604,6.627,3.934,7.75,5.469,0.27,6.803,3.68
"2012-08",0.675,6.171,2.89,5.537,4.41,0.152,6.135,2.959
"2012-09",1.102,3.636,2.834,3.162,4.846,0.01,1.87,2.241
"2012-10",0.573,1.086,2.14,0.743,5.688,0.214,8.539,2.179
"2012-11",0.354,0.66,1.254,0.629,7.535,0.202,3.632,2.884
"2012-12",0.141,0.635,1.559,0.055,11.873,2.197,1.217,3.709
"2013-01",0.196,0.248,1.315,0.045,9.762,11.584,0.426,4.093
"2013-02",0.262,1.36,1.945,0.281,11.979,11.384,0.295,4.158
"2013-03",0.457,1.884,2.477,0.731,13.901,7.32,0.783,4.811
"2013-04",0.707,1.705,3.092,0.291,11.418,2.456,0.39,4.452
"2013-05",1.073,2.366,4.332,0.6,10.272,1.691,1.449,4.14
"2013-06",0.916,5.659,6.098,3.547,7.767,1.124,2.592,4.319
"2013-07",1.432,6.172,5.149,6.32,5.404,0.493,5.591,3.74
"2013-08",0.959,5.83,3.975,6.584,5.8,0.066,7.269,3.838
"2013-09",0.404,3.871,2.277,2.884,5.202,0.023,5.53,2.735
"2013-10",0.396,1.752,2.056,2.069,5.009,0.108,3.835,2.117
"2013-11",0.207,0.639,1.631,0.149,8.259,0.875,3.064,2.946
"2013-12",0.2,1.108,1.294,0.542,10.133,2.033,1.994,3.544
"2014-01",0.164,1.252,1.478,0.343,12.59,6.255,0.173,4.505
"2014-02",0.235,1.651,1.769,0.777,14.357,13.671,0.603,4.827
"2014-03",0.957,1.863,2.844,0.276,11.598,8.214,0.105,4.637
"2014-04",0.733,2.259,4.218,0.676,12.064,5.018,0.198,4.512
"2014-05",0.477,1.845,2.925,0.379,8.416,0.66,1.543,3.489
"2014-06",1.224,4.171,5.881,4.419,7.108,0.252,1.662,4.028
"2014-07",1.209,5.638,4.802,6.546,5.645,0.023,6.343,3.705
"2014-08",0.851,5.203,3.11,5.911,3.869,0.01,7.711,2.991
"2014-09",0.583,4.456,2.778,6.893,4.748,0.417,7.261,2.98
"2014-10",0.396,1.545,1.682,1.978,7.271,0.752,7.756,3.016
"2014-11",0.448,1.041,3.069,0.223,8.285,0.363,2.899,3.434
"2014-12",0.231,1.516,1.71,0.111,9.645,0.685,0.011,3.307
"2015-01",0.148,1.421,2.126,0.913,14.077,10.412,0.007,5.897
"2015-02",0.364,1.223,2.759,0.458,9.782,12.383,0.881,3.983
"2015-03",0.326,1.649,2.629,0.265,10.127,10.133,1.361,4.056
"2015-04",0.62,1.874,2.87,0.432,10.281,1.266,1.617,4.113
"2015-05",0.491,2.433,4.708,1.496,7.185,0.499,1.191,3.743
"2015-06",0.938,5.096,7.567,3.338,8.663,0.174,2.888,4.375
"2015-07",1.304,8.071,4.108,5.896,6.062,0.02,4.898,3.732
"2015-08",1.061,5.938,3.65,6.379,4.991,0.012,5.89,2.902
"2015-09",0.749,4.054,3.704,5.718,3.916,0.049,5.626,2.529
"2015-10",0.24,1.568,1.887,1.396,4.219,0.181,7.689,2.142
"2015-11",0.222,1.05,1.794,0.573,6.31,0.088,10.882,2.555
"2015-12",0.181,0.805,2.184,0.226,12.818,0.857,3.333,4.422
"2016-01",0.19,1.354,1.845,0.523,12.464,7.584,0.441,4.862
"2016-02",0.392,0.859,2.998,0.322,8.602,8.01,0.35,3.453
"2016-03",0.242,1.495,2.232,0.466,11.538,9.453,0.452,4.034
"2016-04",0.38,2.316,3.673,1.167,12.244,2.573,0.624,4.327
"2016-05",1.192,2.156,4.918,1.835,7.694,0.194,1.396,3.826
"2016-06",0.913,5.492,5.536,3.599,5.493,0.136,0.496,3.193
"2016-07",1.252,5.968,4.204,6.181,3.577,0.02,3.207,2.98
"2016-08",1.312,5.554,3.887,4.961,3.911,0.105,6.181,3.15
"2016-09",0.924,2.999,3.453,4.338,4.895,0.075,9.106,2.604
"2016-10",0.594,1.866,1.765,1.048,4.252,0.258,4.963,1.936
"2016-11",0.434,0.758,1.619,0.383,6.023,0.322,11.988,2.541
"2016-12",0.183,0.644,2.449,0.214,9.739,1.068,0.045,3.393
"2017-01",0.086,1.253,1.711,0.819,12.776,2.733,0.9,4.841
"2017-02",0.255,1.394,1.894,0.296,8.871,10.791,0.03,3.428
"2017-03",0.233,1.865,2.452,1.087,8.411,8.701,0.027,3.886
"2017-04",0.767,2.322,3.327,2.006,10.479,4.875,0.828,4.677
"2017-05",0.767,2.279,4.752,2.665,8.945,1.513,0.559,3.905
"2017-06",1.094,4.526,6.403,5.279,7.802,0.089,2.145,3.626
"2017-07",1.063,6.305,6.057,6.424,5.668,0.021,6.432,3.466
"2017-08",1.632,5.493,5.168,4.637,4.151,0.031,8.93,2.885
"2017-09",0.871,3.628,2.29,2.688,5.355,0.009,4.622,2.707
"2017-10",0.484,1.762,2.31,2.223,5.471,0.379,7.044,2.716
"2017-11",0.209,0.717,1.994,0.641,7.852,1.012,5.91,3.298
"2017-12",0.239,0.244,1.842,0.051,11.624,2.385,0.061,3.701
"2018-01",0.149,1.161,1.911,0.762,12.047,4.852,0.54,4.3
"2018-02",0.447,1.196,1.818,0.273,8.325,8.549,0.747,3.124
