#Dataset: MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-4_v0
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"2006-01",0.313,0.831,3.606,0.517,3.567,NA,0.301,2.581
"2006-02",0.619,2.506,3.598,0.451,2.385,NA,0.142,2.412
"2006-03",0.784,3.738,3.944,0.814,3.203,NA,0.483,2.847
"2006-04",1.251,2.915,3.935,0.739,3.644,NA,0.574,2.97
"2006-05",1.057,4.489,5.176,2.195,8.754,NA,1.228,3.873
"2006-06",1.414,4.263,5.419,2.307,14.754,NA,2.19,4.718
"2006-07",2.467,5.599,5.159,5.664,16.148,NA,4.916,5.934
"2006-08",1.907,4.338,5.853,4.584,17.024,NA,3.739,6.445
"2006-09",1.021,2.983,4.209,2.707,12.686,NA,2.538,4.92
"2006-10",0.656,3.088,3.889,2.331,9.876,NA,1.998,4.455
"2006-11",0.646,2.185,5.092,1.374,9.1,NA,4.195,4.591
"2006-12",0.342,1.408,3.989,1.824,4.855,NA,4.912,3.484
"2007-01",0.466,1.081,4.273,0.672,3.28,NA,0.783,2.691
"2007-02",0.713,1.886,3.423,0.378,1.752,NA,0.1,2.247
"2007-03",0.802,1.715,4.488,0.576,3.575,NA,0.747,2.601
"2007-04",1.316,3.435,4.485,1.225,3.625,NA,0.685,2.828
"2007-05",1.445,4.31,5.741,1.652,9.255,NA,1.326,4.314
"2007-06",2.395,4.861,5.733,3.264,11.45,NA,2.177,4.7
"2007-07",2.424,7.041,5.898,5.135,15.836,NA,6.733,6.148
"2007-08",2.197,4.595,5.468,3.657,18.899,NA,2.073,6.287
"2007-09",1.535,2.588,5.996,2.673,13.096,NA,3.268,4.917
"2007-10",0.867,2.164,4.404,1.251,11.774,NA,2.184,4.685
"2007-11",0.417,1.03,3.584,0.918,10.083,NA,3.637,4.292
"2007-12",0.4,4.181,3.589,1.022,5.804,NA,1.623,3.719
"2008-01",0.292,1.575,3.376,1.02,3.918,NA,1.194,2.983
"2008-02",0.446,3.253,3.14,1.036,3.091,NA,0.37,2.411
"2008-03",0.709,2.097,3.806,0.816,2.978,NA,0.224,2.43
"2008-04",0.925,2.435,3.842,1.3,4.425,NA,1.271,2.787
"2008-05",1.283,3.253,4.212,2.823,9.61,NA,2.31,3.768
"2008-06",1.669,3.781,6.954,2.533,16.115,NA,2.901,5.654
"2008-07",2.242,4.863,6.458,3.54,19.537,NA,1.912,6.354
"2008-08",1.459,4.483,5.349,2.991,16.321,NA,2.867,5.66
"2008-09",1.108,3.553,3.919,2.348,12.821,NA,1.265,4.861
"2008-10",0.597,2.809,4.268,2.29,8.641,NA,3.863,4.062
"2008-11",0.625,2.472,4.381,0.558,6.052,NA,4.147,3.828
"2008-12",0.366,4.872,4.405,2.532,5.915,NA,1.827,4.004
"2009-01",0.477,1.323,3.678,1.293,3.116,NA,0.617,2.943
"2009-02",0.583,1.994,3.471,0.603,1.989,NA,0.227,2.265
"2009-03",0.981,3.477,4.511,1.347,2.179,NA,0.274,2.577
"2009-04",1.091,3.474,4.548,1.787,2.826,NA,0.298,2.619
"2009-05",1.872,4.607,4.393,2.091,5.061,NA,0.911,3.572
"2009-06",1.423,4.769,5.82,2.297,12.484,NA,1.777,4.804
"2009-07",2.568,4.809,6.407,4.655,16.48,NA,4.941,6.227
"2009-08",2.076,4.286,6.319,3.626,15.875,NA,4.126,5.887
"2009-09",1.722,3.058,5.402,3.097,14.715,NA,3.4,5.024
"2009-10",0.659,3.705,4.905,2.851,11.746,NA,5.037,5.006
"2009-11",0.433,1.83,4.149,1.064,11.538,NA,1.045,4.487
"2009-12",0.447,1.325,3.811,0.369,7.331,NA,0.328,3.955
"2010-01",0.358,2.814,3.583,0.257,3.362,NA,0.084,2.752
"2010-02",0.381,2.195,3.446,1.031,3.679,NA,0.313,2.646
"2010-03",0.765,2.945,3.913,1.098,3.856,NA,0.615,3.033
"2010-04",1.093,2.756,3.35,0.686,7.045,NA,0.661,3.307
"2010-05",1.231,3.304,5.323,1.072,10.64,NA,1.903,4.099
"2010-06",1.58,3.727,5.698,2.001,14.437,NA,3.34,5.252
"2010-07",2.613,5.442,6.679,5.285,21.941,NA,5.362,7.059
"2010-08",1.973,4.461,6.013,5.909,15.246,NA,4.848,6.045
"2010-09",1.013,3.594,5.364,3.148,11.797,NA,6.262,5.239
"2010-10",0.628,3.067,3.518,2.835,10.197,NA,2.198,4.554
"2010-11",0.428,2.182,3.836,0.973,8.118,NA,1.598,3.932
"2010-12",0.489,2.192,4.3,0.656,5.182,NA,0.745,3.517
"2011-01",0.374,2.136,3.352,0.768,3.573,NA,2.405,2.996
"2011-02",0.524,2.363,3.112,0.274,2.505,NA,0.252,2.687
"2011-03",0.845,2.517,4.876,0.752,2.635,NA,0.426,2.936
"2011-04",1.188,1.83,4.923,0.442,5.056,NA,1.877,3.308
"2011-05",0.98,3.691,4.48,2.003,9.263,NA,2.233,3.769
"2011-06",1.362,5.064,5.271,4.48,12.389,NA,2.179,4.84
"2011-07",2.011,4.707,6.138,5.574,19.591,NA,4.689,6.556
