#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM5-0-2_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"1970-01",NA,NA,1.26,0.002,3.082,NA,0.012,2.305
"1970-02",NA,NA,2.409,0.001,1.173,NA,0.035,1.911
"1970-03",NA,NA,2.406,0.021,0.416,NA,0.218,1.851
"1970-04",NA,NA,1.696,0.382,1.444,NA,2.147,3.19
"1970-05",NA,NA,3.104,0.16,4.946,NA,1.082,3.904
"1970-06",NA,NA,7.025,3.119,8.716,NA,3.218,6.456
"1970-07",NA,NA,8.946,7.307,5.782,NA,3.339,6.73
"1970-08",NA,NA,4.503,3.208,5.411,NA,4.431,5.992
"1970-09",NA,NA,5.717,7.337,8.891,NA,8.303,6.874
"1970-10",NA,NA,3.683,2.625,4.894,NA,2.725,4.896
"1970-11",NA,NA,2.537,0.388,2.056,NA,0.566,3.182
"1970-12",NA,NA,2.67,0.048,1.446,NA,0.203,2.169
"1971-01",NA,NA,1.548,0.02,0.838,NA,0.011,1.279
"1971-02",NA,NA,3.036,0.468,0.492,NA,0.059,1.228
"1971-03",NA,NA,2.298,0.431,0.187,NA,0.087,1.212
"1971-04",NA,NA,4.08,0.087,1.825,NA,0.441,2.641
"1971-05",NA,NA,4.172,0.174,2.302,NA,0.139,2.561
"1971-06",NA,NA,5.04,3.021,10.224,NA,1.708,5.577
"1971-07",NA,NA,4.25,2.271,4.728,NA,1.285,4.923
"1971-08",NA,NA,4.68,6.564,6.494,NA,5.73,5.772
"1971-09",NA,NA,5.468,6.404,9.342,NA,4.581,6.598
"1971-10",NA,NA,2.918,1.802,6.269,NA,4.747,5.218
"1971-11",NA,NA,2.662,0.203,5.579,NA,0.966,3.952
"1971-12",NA,NA,3.306,0.034,6.408,NA,0.495,3.387
"1972-01",NA,NA,1.57,0.008,3.585,NA,0.066,2.306
"1972-02",NA,NA,2.083,0.004,3.103,NA,0.104,2.178
"1972-03",NA,NA,2.497,0.134,1.048,NA,0.731,2.264
"1972-04",NA,NA,3.164,0.119,2.469,NA,0.12,2.423
"1972-05",NA,NA,4.317,0.123,3.627,NA,0.223,3.627
"1972-06",NA,NA,8.468,3.058,7.932,NA,0.998,4.921
"1972-07",NA,NA,5.196,1.97,4.367,NA,1.387,4.323
"1972-08",NA,NA,6.363,4.805,6.425,NA,4.025,6.788
"1972-09",NA,NA,5.215,1.282,6.764,NA,2.194,5.527
"1972-10",NA,NA,1.985,0.369,2.416,NA,0.703,3.569
"1972-11",NA,NA,3.087,0.9,2.442,NA,0.235,3.214
"1972-12",NA,NA,1.56,0.529,3.64,NA,0.06,2.449
"1973-01",NA,NA,2.788,0.056,1.074,NA,0.045,1.703
"1973-02",NA,NA,2.044,0.67,0.645,NA,0.069,1.396
"1973-03",NA,NA,2.03,0.056,0.757,NA,0.038,1.564
"1973-04",NA,NA,2.62,0.233,1.143,NA,0.588,2.201
"1973-05",NA,NA,5.208,0.747,3.949,NA,0.856,3.801
"1973-06",NA,NA,6.578,1.999,3.917,NA,0.584,3.94
"1973-07",NA,NA,3.466,2.346,3.983,NA,1.265,3.441
"1973-08",NA,NA,5.4,3.805,3.025,NA,2.185,5.046
"1973-09",NA,NA,5.15,10.517,8.731,NA,7.867,7.119
"1973-10",NA,NA,1.657,1.053,4.386,NA,1.553,4.087
"1973-11",NA,NA,2.656,0.268,1.3,NA,0.257,2.818
"1973-12",NA,NA,2.661,1.271,1.203,NA,0.042,1.975
"1974-01",NA,NA,1.268,0.022,0.696,NA,0.072,1.098
"1974-02",NA,NA,1.511,0.032,0.095,NA,0.028,1.031
"1974-03",NA,NA,3.213,0.093,0.099,NA,0.004,1.16
"1974-04",NA,NA,3.496,0.359,0.965,NA,0.431,2.075
"1974-05",NA,NA,4.021,0.721,5.744,NA,0.471,3.941
"1974-06",NA,NA,5.595,2.392,6.137,NA,0.388,4.746
"1974-07",NA,NA,3.64,7.492,7.377,NA,3.948,5.521
"1974-08",NA,NA,4.434,9.627,6.602,NA,5.121,6.557
"1974-09",NA,NA,4.165,10.783,6.946,NA,3.435,6.541
"1974-10",NA,NA,3.502,4.393,7.784,NA,3.485,5.576
"1974-11",NA,NA,1.675,0.409,3.508,NA,1.009,3.043
"1974-12",NA,NA,1.919,0.1,5.481,NA,0.154,3.418
"1975-01",NA,NA,1.036,0.306,1.97,NA,0.361,2.32
"1975-02",NA,NA,2.042,0.068,1.658,NA,0.33,2.249
"1975-03",NA,NA,2.142,0.094,0.858,NA,0.201,1.924
"1975-04",NA,NA,2.932,0.127,1.807,NA,1.437,2.897
"1975-05",NA,NA,4.407,0.029,7.156,NA,0.238,5.062
"1975-06",NA,NA,4.187,2.672,5.027,NA,0.347,4.184
"1975-07",NA,NA,4.085,4.484,5.177,NA,2.478,5.07
"1975-08",NA,NA,5.765,8.123,6.269,NA,4.997,5.933
"1975-09",NA,NA,6.17,2.577,5.91,NA,2.827,5.548
"1975-10",NA,NA,3.151,1.489,2.663,NA,1.079,4.104
"1975-11",NA,NA,1.806,0.485,4.149,NA,0.381,3.387
"1975-12",NA,NA,2.488,0.004,1.438,NA,0.009,2.025
"1976-01",NA,NA,1.264,0.127,0.68,NA,0.076,1.074
"1976-02",NA,NA,1.849,0.035,0.239,NA,0.004,1.209
"1976-03",NA,NA,2.289,0.073,0.14,NA,0.179,1.431
"1976-04",NA,NA,3.959,0.194,0.97,NA,0.631,2.273
"1976-05",NA,NA,4.677,0.27,3.343,NA,1.01,3.431
"1976-06",NA,NA,3.612,0.699,3.947,NA,0.596,3.617
"1976-07",NA,NA,5.454,3.324,6.145,NA,2.698,5.461
"1976-08",NA,NA,5.531,2.491,1.765,NA,1.943,4.221
