#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_historical_IPSL-WRF381P_v2
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-24
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"1970-01",1.61,2.415,1.331,2.126,1.922
"1970-02",1.798,1.991,1.215,1.895,1.866
"1970-03",2.35,0.994,2.125,0.91,1.892
"1970-04",1.627,2.436,1.686,1.968,2.095
"1970-05",2.003,2.919,1.761,2.272,2.066
"1970-06",2.633,3.456,1.984,1.344,1.996
"1970-07",3.322,2.165,2.434,0.63,1.836
"1970-08",1.944,1.027,1.747,0.643,1.778
"1970-09",1.649,1.861,1.852,1.372,1.562
"1970-10",1.824,1.505,1.167,1.711,1.807
"1970-11",1.645,1.89,1.483,2.029,1.878
"1970-12",2.304,3.071,1.602,1.611,1.668
"1971-01",2.619,2.82,2.011,2.13,2.082
"1971-02",1.851,2.246,1.007,2.213,1.681
"1971-03",1.471,2.141,1.293,1.683,1.504
"1971-04",1.606,2.214,1.12,1.518,1.619
"1971-05",2.307,2.339,1.7,1.227,1.678
"1971-06",2.42,2.65,3.168,1.07,1.975
"1971-07",2.946,2.659,2.466,1.166,2.022
"1971-08",2.232,1.767,1.925,0.886,1.604
"1971-09",3.215,2.918,1.381,1.34,2.172
"1971-10",2.157,1.379,1.225,1.451,1.816
"1971-11",2.552,2.148,1.575,1.957,2.158
"1971-12",2.772,2.696,1.483,1.544,1.788
"1972-01",1.554,2.009,2.389,2.247,2.008
"1972-02",1.71,1.859,1.41,1.563,1.672
"1972-03",2.175,2.065,1.84,1.224,1.785
"1972-04",2.189,2.795,1.675,0.909,1.589
"1972-05",2.446,2.844,1.865,1.556,1.822
"1972-06",1.772,3.668,2.718,1.488,2.183
"1972-07",2.261,1.724,2.239,0.647,1.641
"1972-08",2.607,2.333,2.304,1.054,2.128
"1972-09",2.038,2.774,1.725,1.303,1.973
