#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_rcp26_GERICS-REMO2015_v2
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-24
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",3.095,1.871,1.091,1.373,1.914
"2006-02",1.771,2.173,1.091,2.557,1.944
"2006-03",2.052,2.123,2.173,2.27,2.039
"2006-04",2.305,1.69,2.326,1.393,1.758
"2006-05",2.045,2.398,2.352,1.728,2.361
"2006-06",2.639,3.489,3.797,1.719,2.634
"2006-07",2.482,3.72,2.705,1.415,2.221
"2006-08",2.732,2.629,2.541,1.06,2.076
"2006-09",3.569,2.125,1.509,1.504,1.873
"2006-10",3.251,2.344,2.908,1.946,2.592
"2006-11",2.65,2.173,2.355,2.079,2.368
"2006-12",2.375,2.269,1.261,2.492,2.018
"2007-01",2.252,2.45,0.638,2.706,2.088
"2007-02",2.092,1.152,0.777,1.743,1.767
"2007-03",1.921,2.62,1.462,2.181,2.132
"2007-04",2.403,2.478,1.754,1.305,1.749
"2007-05",1.692,2.052,2.068,1.829,2.229
"2007-06",2.573,3.064,2.836,2.05,2.372
"2007-07",2.349,2.003,3.174,1.399,1.805
"2007-08",2.62,2.136,2.26,1.461,1.81
"2007-09",2.769,2.692,2.26,2.73,2.401
"2007-10",3.424,2.629,2.473,1.811,2.339
"2007-11",2.965,1.843,2.553,1.838,2.432
"2007-12",2.218,2.855,1.309,2.185,1.919
"2008-01",2.292,2.304,1.22,1.934,1.982
"2008-02",1.872,1.61,1.245,2.378,1.828
"2008-03",2.928,2.997,1.665,1.427,2.022
"2008-04",3.085,4.133,2.083,1.754,2.191
"2008-05",2.678,2.559,3.345,1.523,2.23
"2008-06",2.729,3.559,2.622,1.539,2.236
"2008-07",3.662,3.662,2.244,0.786,2.244
"2008-08",3.426,2.541,3.376,0.473,2.19
"2008-09",2.587,2.609,1.832,1.431,2.294
"2008-10",3.653,2.469,3.283,1.814,2.546
"2008-11",3.027,2.257,1.29,2.256,2.315
"2008-12",2.755,2.706,1.63,1.713,1.988
"2009-01",2.983,3.063,1.406,1.865,2.117
"2009-02",2.614,1.148,1.756,1.308,1.853
"2009-03",2.828,2.262,1.479,1.174,1.564
"2009-04",2.184,1.797,2.289,2.115,1.964
"2009-05",1.987,2.295,2.664,2.249,2.209
"2009-06",2.363,2.837,2.629,1.734,1.839
"2009-07",2.905,3.419,3.716,1.018,2.451
"2009-08",3.435,3.049,2.92,1.085,2.165
"2009-09",3.536,3.078,2.843,1.085,2.029
"2009-10",2.45,2.386,1.95,1.748,2.375
"2009-11",2.5,1.88,1.743,2.593,2.408
"2009-12",2.632,2.215,1.125,2.752,2.164
"2010-01",2.352,3.418,1.783,2.748,2.104
"2010-02",3.228,2.874,1.236,1.271,1.846
"2010-03",2.397,2.794,1.529,2.121,2.031
"2010-04",2.311,2.491,2.06,1.651,1.882
"2010-05",2.019,2.573,3.51,1.622,2.073
"2010-06",2.171,2.679,2.99,2.225,2.319
"2010-07",2.998,2.59,3.432,1.205,2.587
"2010-08",3.208,3.089,2.193,1.628,2.291
"2010-09",3.372,2.302,1.984,1.562,2.106
"2010-10",2.716,1.187,2.211,1.702,2.342
"2010-11",2.776,1.884,1.206,2.209,2.323
"2010-12",4.039,3.386,1.508,1.238,1.818
"2011-01",3.465,1.807,1.612,1.451,1.926
"2011-02",2.818,1.934,1.265,1.523,1.709
"2011-03",1.882,1.669,0.832,2.194,1.844
"2011-04",1.6,1.666,2.141,2.272,1.675
"2011-05",2.617,3.215,2.75,1.549,1.975
"2011-06",2.876,3.179,3.213,1.844,2.39
"2011-07",3.254,3.497,2.969,0.906,2.16
"2011-08",3.739,3.168,1.254,0.956,2.109
"2011-09",3.148,3.501,4.479,1.673,2.999
"2011-10",3.501,2.734,2.52,1.905,2.338
"2011-11",2.906,2.52,2.117,2.043,2.27
"2011-12",2.689,2.587,1.717,3.292,2.596
