#Dataset: MOHC-HadGEM2-ES_r1i1p1_historical_DMI-HIRHAM5_v2
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-24
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"1970-01",3.664,2.03,2.727,2.414,2.67
"1970-02",3.434,2.841,1.861,1.717,2.426
"1970-03",3.111,1.919,1.862,1.509,2.29
"1970-04",2.758,1.507,2.87,0.73,2.211
"1970-05",2.002,1.572,2.46,1.559,1.868
"1970-06",3.286,1.928,3.585,0.606,1.901
"1970-07",3.123,2.541,2.194,0.231,1.673
"1970-08",2.458,1.852,1.148,0.344,1.957
"1970-09",3.802,3.852,2.785,0.882,2.669
"1970-10",4.371,3.178,2.262,1.391,2.648
"1970-11",3.33,3.419,3.756,2.9,2.951
"1970-12",2.758,2.335,2.745,2.936,2.619
"1971-01",2.534,2.282,1.161,2.401,2.374
"1971-02",1.967,2.335,1.806,2.284,2.258
"1971-03",2.397,1.845,1.335,1.475,2.112
"1971-04",2.045,2.118,0.976,1.932,2.128
"1971-05",1.791,1.562,1.607,1.652,1.784
"1971-06",2.934,2.706,2.702,0.634,2.13
"1971-07",4.032,1.82,2.081,0.38,2.059
"1971-08",2.617,2.107,2.443,0.396,2.365
"1971-09",2.979,2.577,2.509,0.57,2.028
"1971-10",3.663,2.277,3.5,1.256,2.532
"1971-11",3.263,2.628,2.309,2.422,2.761
"1971-12",4.512,3.791,2.791,1.873,2.806
"1972-01",2.978,3.175,1.757,2.214,2.482
"1972-02",3.03,2.591,1.952,1.736,2.45
"1972-03",1.861,2.413,1.739,2.032,2.154
"1972-04",1.627,1.271,2.321,1.374,2.193
"1972-05",1.946,1.751,3.275,0.536,2
"1972-06",3.17,2.929,2.52,0.734,2.14
"1972-07",3.07,2.119,2.93,0.167,1.551
"1972-08",2.923,2.237,3.032,0.385,2.236
"1972-09",3.431,2.592,4.334,0.805,2.693
"1972-10",4.088,3.034,5.051,2.452,3.832
"1972-11",3.482,2.138,1.693,2.61,2.505
