#Dataset: MOHC-HadGEM2-ES_r1i1p1_rcp45_SMHI-RCA4_v1
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",4.781,2.371,2.156,1.54,2.575
"2006-02",3.652,3.938,1.985,2.152,2.665
"2006-03",2.471,2.339,2.384,1.936,2.244
"2006-04",2.319,1.505,1.947,1.032,1.757
"2006-05",2.188,2.942,2.772,1.036,1.735
"2006-06",3.288,2.478,1.979,1.222,1.856
"2006-07",3.724,2.313,2.478,0.526,1.978
"2006-08",3.232,2.153,2.655,0.814,1.834
"2006-09",3.975,2.607,3.289,1.322,2.438
"2006-10",3.846,3.135,3.176,2.128,2.643
"2006-11",4.386,2.615,3.672,2.291,3.259
"2006-12",4.25,2.741,3.463,2.507,3.081
"2007-01",3.441,2.44,2.398,2.334,2.636
"2007-02",3.65,2.729,2.087,2.092,2.482
"2007-03",3.408,3.12,3.352,2.002,2.599
"2007-04",2.286,4.237,2.688,1.45,1.902
"2007-05",3.333,1.841,2.712,0.772,1.845
"2007-06",1.92,2.283,1.629,1.389,1.755
"2007-07",2.615,1.262,3.425,0.46,2.067
"2007-08",2.925,2.051,2.482,0.416,1.811
"2007-09",3.206,1.767,3.872,1.158,2.463
"2007-10",2.78,4.033,3.9,2.283,2.989
"2007-11",3.334,2.473,1.809,2.123,2.631
"2007-12",3.805,1.675,1.405,1.537,2.383
"2008-01",3.596,3.575,2.676,2.121,2.84
"2008-02",2.732,3.293,2.617,2.552,2.384
"2008-03",2.948,3.115,2.516,1.887,2.349
"2008-04",2.126,2.663,0.869,1.991,1.807
"2008-05",2.841,3.335,2.799,1.417,2.151
"2008-06",2.7,2.403,2.257,0.92,1.707
"2008-07",3.092,2.017,2.293,0.374,1.859
"2008-08",3.996,2.108,2.2,0.48,2.005
"2008-09",4.017,3.405,3.52,0.991,2.751
"2008-10",4.565,2.273,2.991,1.009,2.71
"2008-11",3.261,3.042,2.895,2.227,2.614
"2008-12",2.856,3.898,3.262,3.595,2.928
"2009-01",2.819,1.885,1.667,2.13,2.457
"2009-02",2.95,2.563,3.146,2.412,3.087
"2009-03",2.525,2.999,2.892,1.992,2.424
"2009-04",2.613,3.433,1.088,1.717,1.977
"2009-05",1.929,3.048,2.156,1.565,2.059
"2009-06",3.003,2.507,2.983,0.704,1.794
"2009-07",3.436,2.333,2.952,0.321,1.989
"2009-08",3.668,2.684,3.171,0.746,2.597
"2009-09",3.254,2.085,2.636,1.197,2.194
"2009-10",3.52,2.303,2.719,2.075,2.668
"2009-11",3.1,1.442,1.864,2.4,2.661
"2009-12",3.183,3.357,2.102,2.525,2.465
"2010-01",2.911,2.703,2,2.609,2.464
"2010-02",3.647,3.797,3.167,2.424,2.849
"2010-03",3.331,3.592,3.694,1.673,2.85
"2010-04",1.783,1.705,1.024,1.951,2.018
"2010-05",2.191,2.306,2.329,2.021,2.163
"2010-06",3.041,2.98,3.195,1.047,2.391
"2010-07",3.109,2.331,1.994,0.238,1.537
"2010-08",4.103,1.4,1.889,0.484,1.563
"2010-09",3.765,2.627,3.515,0.748,2.285
"2010-10",4.263,4.043,4.975,2.059,3.572
"2010-11",2.133,2.657,3.453,3.001,3.034
"2010-12",2.074,3.224,3.106,4.263,2.597
"2011-01",3.814,3.513,2.879,1.516,2.704
"2011-02",4.513,2.44,2.186,1.129,2.371
"2011-03",3.435,2.672,1.739,1.067,2.181
"2011-04",2.49,1.505,1.846,1.363,2.239
"2011-05",1.699,1.819,2.33,2.25,2.144
"2011-06",3.259,3.502,3.204,1.039,2.059
"2011-07",3.002,1.327,2.952,0.342,1.689
"2011-08",2.551,1.915,2.165,0.795,1.928
"2011-09",3.778,2.054,2.206,1.271,2.462
"2011-10",3.33,2.95,2.531,1.999,2.596
"2011-11",3.882,2.974,4.155,2.144,3.033
"2011-12",2.095,2.021,0.594,3.137,2.306
"2012-01",3.183,2.659,1.986,2.409,2.485
"2012-02",2.98,2.249,2.252,1.569,2.338
"2012-03",2.213,2.59,1.559,2.575,2.271
"2012-04",1.72,1.497,1.362,2.007,2.095
"2012-05",2.168,3.078,1.2,2.617,2.301
"2012-06",3.122,3.245,1.521,0.857,1.675
"2012-07",3.205,1.668,1.74,0.351,1.745
"2012-08",3.086,1.862,2.376,0.39,1.876
"2012-09",3.744,2.755,1.895,0.722,2.098
"2012-10",4.044,2.368,2.081,1.876,2.535
"2012-11",3.121,3.734,4.295,2.789,2.975
"2012-12",2.05,3.467,2.373,4.25,2.731
"2013-01",2.681,2.454,1.27,2.15,2.196
"2013-02",3.19,3.265,2.122,1.877,2.875
"2013-03",2.681,2.131,1.755,1.708,2.248
"2013-04",2.508,3.41,3.416,1.449,2.264
"2013-05",2.819,3.443,1.151,1.419,2.061
"2013-06",2.872,3.265,1.699,0.892,1.701
"2013-07",3.62,1.386,3.145,0.322,1.942
"2013-08",2.707,1.673,2.436,0.488,2.411
"2013-09",4.002,2.38,2.905,0.751,2.78
"2013-10",2.546,2.418,3.789,2.274,2.798
"2013-11",3.343,2.877,3.025,2.307,3.09
"2013-12",2.955,3.526,1.558,2.327,2.316
