#Dataset: MOHC-HadGEM2-ES_r1i1p1_historical_ICTP-RegCM4-6_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-24
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"1970-06",2.099,0.834,2.41,0.554,1.295
"1970-07",1.567,0.661,1.673,0.231,1.202
"1970-08",1.582,0.657,1.061,0.204,1.182
"1970-09",2.677,1.67,1.371,0.896,1.534
"1970-10",3.479,1.916,1.191,1.375,1.88
"1970-11",2.9,2.715,1.899,2.312,2.447
"1970-12",2.592,2.045,2.244,2.525,2.192
"1971-01",2.743,2.176,1.086,1.868,2.169
"1971-02",1.905,2.056,0.988,1.714,2.38
"1971-03",2.155,1.771,1.423,1.349,1.919
"1971-04",1.583,1.854,0.99,2.142,1.716
"1971-05",1.521,1.924,1.319,2.072,1.55
"1971-06",2.093,3.04,2.784,0.816,1.55
"1971-07",2.648,1.75,1.222,0.512,1.145
"1971-08",2.163,0.942,1.419,0.415,1.237
"1971-09",2.103,1.401,1.362,0.735,1.462
"1971-10",2.462,1.662,1.69,1.991,2.097
"1971-11",2.941,1.787,1.938,2.314,2.438
"1971-12",3.31,2.75,2.009,1.824,2.64
"1972-01",2.786,1.986,1.115,1.789,2.066
"1972-02",2.683,1.289,2.218,1.318,2.093
"1972-03",1.813,2.395,1.641,1.684,2.238
"1972-04",1.594,1.513,1.553,1.64,1.748
"1972-05",1.638,1.852,2.26,0.977,1.565
"1972-06",2.087,2.135,2.668,0.83,1.565
"1972-07",2.459,2.171,3.035,0.247,1.463
"1972-08",2.361,0.719,1.9,0.834,1.527
"1972-09",2.535,1.292,1.947,0.952,1.631
"1972-10",3.354,2.648,1.827,2.57,2.339
"1972-11",2.482,2.623,0.757,2.536,2.431
"1972-12",3.153,2.927,1.373,2.201,2.184
"1973-01",2.528,2.526,1.159,1.931,2.238
"1973-02",2.797,1.525,1.863,1.161,1.959
"1973-03",2.366,2.036,1.565,1.764,1.949
"1973-04",2.413,2.817,1.637,1.688,1.959
"1973-05",1.408,2.16,2.004,1.34,1.565
"1973-06",1.731,1.605,2.624,0.961,1.479
"1973-07",2.843,1.954,2.782,0.321,1.464
"1973-08",1.988,0.742,1.598,0.403,1.336
"1973-09",2.306,0.899,1.574,0.661,1.337
"1973-10",2.544,1.923,0.772,1.891,1.94
"1973-11",3.077,1.503,1.316,2.355,2.423
"1973-12",3.3,2.415,1.911,2.435,2.265
"1974-01",2.62,2.276,1.3,1.879,2.217
"1974-02",2.393,2.846,2.407,1.828,2.433
"1974-03",2.099,0.876,0.609,1.102,1.84
"1974-04",1.993,1.527,1.811,1.828,1.943
"1974-05",2.13,1.943,1.196,1.571,1.619
"1974-06",1.674,2.043,2.036,1.289,1.604
"1974-07",2.538,1.046,2.646,0.25,1.484
"1974-08",2.552,1.4,1.621,0.654,1.363
"1974-09",2.741,2.736,1.945,1.319,1.964
"1974-10",1.743,1.941,1.504,2.001,2.238
"1974-11",1.905,2.139,1.153,2.919,2.396
"1974-12",2.851,2.219,1.51,2.657,2.419
"1975-01",2.481,3.183,1.27,2.704,2.647
"1975-02",3.171,2.024,1.746,1.69,2.316
"1975-03",2.808,0.861,1.493,1.002,1.805
"1975-04",1.856,1.404,1.558,1.344,1.609
"1975-05",1.56,2.485,1.767,1.37,1.508
"1975-06",2.732,3.348,2.304,1.165,1.744
"1975-07",2.005,2.047,1.522,0.739,1.301
"1975-08",2.167,1.922,1.531,0.567,1.403
"1975-09",2.222,1.413,1.892,1.295,1.704
"1975-10",2.567,2.227,1.373,2.322,2.132
"1975-11",3.202,1.751,1.423,1.534,2.455
"1975-12",3.506,2.69,1.688,1.514,2.461
"1976-01",3.265,2.831,2.12,2.641,2.6
"1976-02",3.358,1.149,1.509,1.577,2.291
"1976-03",2.489,1.949,1.095,1.438,1.723
"1976-04",2.593,2.265,0.507,1.327,1.518
"1976-05",1.538,3.633,2.217,1.431,1.732
"1976-06",1.817,2.145,2.179,0.834,1.339
"1976-07",2.447,1.969,2.702,0.35,1.495
"1976-08",2.53,1.164,1.912,0.553,1.415
"1976-09",1.825,1.659,1.097,1.099,1.577
"1976-10",3.144,2.896,1.603,1.967,2.279
"1976-11",2.959,1.591,2.055,2.198,2.301
"1976-12",2.862,2.483,1.734,2.257,2.371
"1977-01",2.161,1.148,1.713,1.741,2.431
"1977-02",2.948,2.28,1.632,1.666,2.177
"1977-03",2.065,1.534,1.38,1.693,2
"1977-04",2.197,3.569,2.696,1.5,1.907
"1977-05",1.853,3.223,1.937,1.177,1.655
"1977-06",1.4,1.982,2.404,1.042,1.531
"1977-07",2.72,2.174,2.968,0.305,1.532
"1977-08",2.633,1.811,2.532,0.516,1.586
"1977-09",2.868,1.776,1.917,0.975,1.568
"1977-10",2.37,1.573,1.292,2.315,1.926
"1977-11",2.722,1.198,1.284,2.125,2.215
"1977-12",2.315,2.581,1.399,2.913,2.642
"1978-01",2.166,2.713,1.752,1.623,2.306
"1978-02",3.395,1.423,1.65,1.682,2.124
"1978-03",1.751,1.396,0.713,1.703,1.978
"1978-04",2.212,2.872,0.478,2.156,1.639
"1978-05",2.368,2.879,2.404,1.084,1.78
"1978-06",1.625,2.978,2.193,0.982,1.575
"1978-07",1.38,1.943,2.27,0.509,1.684
"1978-08",1.958,1.26,2.578,0.463,1.507
"1978-09",2.715,1.241,1.754,0.839,1.76
"1978-10",2.258,1.637,1.33,2.15,2.223
"1978-11",2.477,3.148,1.744,3.177,2.577
"1978-12",2.89,3.267,1.721,2.4,2.423
"1979-01",2.714,1.749,1.706,1.731,2.136
"1979-02",2.769,1.159,1.69,1.382,2.28
"1979-03",2.474,2.178,1.39,1.017,1.803
"1979-04",1.724,1.747,1.015,1.854,1.662
"1979-05",1.563,2.49,1.426,1.968,1.696
"1979-06",1.978,2.448,2.454,1.132,1.634
"1979-07",2.578,1.064,1.622,0.422,1.335
"1979-08",2.604,1.305,1.559,0.543,1.496
"1979-09",2.82,2.111,1.382,1.1,1.706
"1979-10",2.068,0.947,0.794,2.124,1.926
"1979-11",3.905,2.522,1.251,2.208,2.533
"1979-12",3.455,2.391,1.785,1.931,2.361
"1980-01",3.564,2.703,0.847,2.674,2.289
"1980-02",2.589,1.727,1.086,2.15,2.032
"1980-03",1.817,3.053,1.71,1.814,2.107
"1980-04",1.578,2.989,2.14,1.558,2.025
"1980-05",1.629,2.047,1.7,1.111,1.429
"1980-06",2.23,2.976,1.397,0.766,1.395
"1980-07",2.397,1.411,2.509,0.341,1.311
