#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_rcp26_MPI-CSC-REMO2009_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",3.222,2.658,1.05,3.231,3.279
"2006-02",1.881,1.924,1.472,2.964,3.195
"2006-03",2.525,3.407,1.643,1.535,2.473
"2006-04",2.261,2.656,2.879,1.302,2.402
"2006-05",2.21,2.838,4.049,0.957,2.624
"2006-06",2.176,2.929,4.373,0.681,2.342
"2006-07",2.567,2.462,2.294,0.346,1.862
"2006-08",3.051,2.28,3.775,0.29,2.074
"2006-09",3.6,2.422,3.084,0.77,2.711
"2006-10",2.81,1.903,2.008,1.73,2.829
"2006-11",3.141,2.976,2.112,2.366,2.958
"2006-12",2.563,3.155,2.539,3.295,3.192
"2007-01",3.078,2.31,0.994,2.39,2.812
"2007-02",3.49,2.678,0.836,0.858,2.652
"2007-03",2.689,3.495,1.061,1.194,2.642
"2007-04",2.446,2.944,2.285,1.393,2.491
"2007-05",2.463,2.562,3.077,1.407,2.389
"2007-06",2.441,2.762,2.867,0.767,1.926
"2007-07",2.512,2.105,4.385,0.322,2.254
"2007-08",2.324,2.093,2.119,0.833,2.182
"2007-09",2.185,2.613,3.905,1.326,2.76
"2007-10",2.863,3.328,1.578,1.998,2.998
"2007-11",3.203,3.522,2.521,1.794,2.858
"2007-12",3.177,3.556,2.084,2.216,3.133
"2008-01",3.155,3.009,1.613,2.208,3.238
"2008-02",2.77,2.266,1.327,2.115,2.88
"2008-03",2.125,1.869,1.634,2.231,2.397
"2008-04",2.031,1.722,2.491,1.478,2.392
"2008-05",1.938,2.034,3.237,1,2.034
"2008-06",2.333,3.128,3.518,0.518,2.081
"2008-07",2.729,2.018,4.525,0.284,2.406
"2008-08",2.081,1.55,3.686,0.513,2.046
"2008-09",3.553,1.322,3.144,0.444,2.931
"2008-10",3.805,2.027,2.895,1.432,3.102
"2008-11",3.447,2.797,1.874,2.67,2.882
"2008-12",3.342,3.456,1.851,2.13,3.239
"2009-01",2.515,3.207,1.658,3.19,3.381
"2009-02",2.233,2.368,2.112,2.232,2.894
"2009-03",2.026,2.725,2.184,2.408,2.508
"2009-04",1.848,2.144,1.858,2.233,2.368
"2009-05",1.683,2.587,3.236,1.199,2.295
"2009-06",2.216,2.806,3.731,0.524,2.216
"2009-07",2.125,2.307,3.943,0.635,2.268
"2009-08",2.96,2.359,3.72,0.406,2.551
"2009-09",3.609,3.172,3.997,1.038,2.806
"2009-10",3.361,2.92,2.693,1.724,3.635
"2009-11",3.74,3.655,1.343,1.942,2.974
"2009-12",4.132,2.31,1.441,2.202,3.039
"2010-01",1.804,3.131,1.203,3.26,3.201
"2010-02",2.087,4.182,2.046,3.422,2.956
"2010-03",2.198,3.295,2.162,2.29,3.222
"2010-04",1.666,3.152,1.882,1.488,2.183
"2010-05",2.227,3.03,3.522,0.944,2.495
"2010-06",2.111,1.974,4.235,0.787,2.532
"2010-07",2.834,2.651,2.566,1.103,2.366
"2010-08",2.317,2.368,3.315,0.537,2.946
"2010-09",3.869,2.476,2.392,0.78,2.624
"2010-10",3.645,3.718,2.856,1.996,3.253
"2010-11",2.305,1.381,1.341,3.031,3.235
"2010-12",3.346,3.464,1.623,2.089,3.24
"2011-01",2.484,3.378,1.314,2.601,2.871
"2011-02",2.54,1.235,1.574,2.726,2.918
"2011-03",1.479,1.779,1.708,2.61,2.806
"2011-04",2.299,3.607,2.784,2.344,2.609
"2011-05",1.914,2.969,1.797,1.203,2.044
"2011-06",2.039,2.941,3.101,0.997,2.132
"2011-07",2.1,2.942,2.094,0.54,1.775
"2011-08",3.186,1.934,3.786,0.393,2.023
"2011-09",2.757,2.144,2.344,1.081,2.716
"2011-10",2.764,1.088,2.158,1.518,2.758
"2011-11",3.002,3.614,2.941,2.82,3.16
"2011-12",2.356,2.83,1.892,3.284,3.869
"2012-01",3.175,2.103,1.572,2.352,2.771
"2012-02",2.328,1.4,1.203,2.503,2.88
"2012-03",1.403,1.376,0.936,3.207,2.354
"2012-04",2.016,2.367,2.231,1.382,2.558
"2012-05",1.659,2.683,2.674,1.079,2.328
"2012-06",1.847,3.062,3.692,0.788,2.162
"2012-07",2.844,2.468,2.963,0.357,2.108
"2012-08",2.55,1.115,2.896,1.052,2.552
"2012-09",2.361,1.568,4.043,1.665,2.924
"2012-10",2.43,2.029,2.082,2.271,2.896
"2012-11",3.655,3.333,2.288,2.023,3.112
"2012-12",2.663,1.995,1.507,3.052,3.042
"2013-01",1.782,1.761,0.991,3.549,3.232
"2013-02",2.451,1.714,1.898,2.16,2.959
"2013-03",2.25,3.45,2.43,2.405,3.002
"2013-04",1.575,2.724,1.35,1.882,2.214
"2013-05",1.515,2.139,2.652,1.488,2.279
"2013-06",2.996,2.876,3.538,0.817,2.353
"2013-07",2.281,3.075,3.445,0.491,1.983
"2013-08",3.394,3.503,4.726,0.772,2.995
"2013-09",3.596,3.37,2.863,0.754,2.555
