#Dataset: NCC-NorESM1-M_r1i1p1_historical_GERICS-REMO2015_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"1970-01",3.265,2.748,1.589,1.852,2.912
"1970-02",3.116,2.941,1.631,1.289,2.783
"1970-03",2.788,2.24,1.572,1.41,2.71
"1970-04",3.221,2.332,1.996,1.14,2.394
"1970-05",1.867,2.092,2.31,1.539,2.25
"1970-06",1.906,2.876,3.863,1.449,2.608
"1970-07",2.314,2.747,3.925,0.84,2.682
"1970-08",3.053,2.33,2.761,0.507,2.058
"1970-09",3.11,1.968,2.333,0.75,2.141
"1970-10",3.635,2.864,2.756,1.834,3.253
"1970-11",3.483,4.018,3.345,2.031,3.264
"1970-12",2.903,2.094,1.07,1.891,2.883
"1971-01",3.124,3.185,1.342,2.052,2.916
"1971-02",2.003,2.012,1.024,2.476,3.033
"1971-03",2.49,2.388,2.038,1.348,2.73
"1971-04",2.268,3.183,2.368,1.883,2.649
"1971-05",1.632,2.417,4.107,1.129,2.586
"1971-06",2.249,2.965,2.497,0.885,1.856
"1971-07",2.636,2.175,2.504,0.375,2.152
"1971-08",2.704,2.389,3.572,0.297,2.228
"1971-09",3.555,2.149,2.908,0.424,2.296
"1971-10",4.024,2.89,3.121,1.162,2.88
"1971-11",3.114,3.113,1.907,1.167,2.985
"1971-12",3.846,2.433,1.682,1.208,3.153
"1972-01",3.07,3.158,2.536,1.813,3.378
"1972-02",3.156,2.189,1.488,1.751,2.647
"1972-03",3.285,1.767,2.192,1.075,3.003
"1972-04",2.365,1.683,2.214,1.225,2.6
"1972-05",2.163,2.313,2.546,1.168,2.162
"1972-06",2.299,2.791,4.04,0.657,2.095
"1972-07",2.376,1.986,3.581,0.516,1.701
"1972-08",2.535,1.976,3.108,0.405,2.094
"1972-09",3.613,1.704,2.84,0.462,2.787
"1972-10",4.018,2.107,2.56,1.147,3.009
"1972-11",3.534,2.156,2.62,1.395,3.237
"1972-12",3.77,3.187,2.336,1.142,2.942
"1973-01",3.132,3.026,1.604,2.101,3.168
"1973-02",3.069,2.698,2.357,1.396,2.903
"1973-03",2.234,2.613,2.116,1.317,2.363
"1973-04",2.256,1.791,2.507,1.141,2.55
"1973-05",2.037,2.144,3.529,1.56,2.57
"1973-06",1.834,2.816,4.138,1.077,2.042
"1973-07",2.371,2.968,3.67,0.608,2.02
"1973-08",2.613,2.271,3.016,0.607,2.041
"1973-09",2.819,2.336,2.53,0.794,2.604
"1973-10",3.323,2.232,2.532,1.179,3.165
"1973-11",4.069,4.004,2.173,1.564,3.414
"1973-12",3.056,2.726,2.217,2.582,3.457
"1974-01",3.287,3.492,1.867,2.033,3.515
"1974-02",2.469,2.091,0.745,1.939,2.749
"1974-03",2.013,3.027,1.784,1.577,2.708
"1974-04",1.659,3.354,2.055,1.436,2.553
"1974-05",2.292,3.116,3.211,1.574,2.679
"1974-06",2.065,3.193,3.018,0.889,2.268
