#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_historical_CNRM-ALADIN53_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-03-14
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"1970-01",3.225,3.163,0.958,1.549,2.862
"1970-02",2.513,2.832,0.975,1.256,2.652
"1970-03",1.981,1.314,2.145,1.236,1.765
"1970-04",1.523,2.629,1.696,1.247,1.832
"1970-05",1.29,1.943,1.875,0.797,1.363
"1970-06",1.188,1.072,1.442,0.739,1.129
"1970-07",1.819,1.276,1.42,0.515,1.36
"1970-08",2.02,2.093,0.383,0.871,1.667
"1970-09",3.138,2.569,1.255,1.401,2.494
"1970-10",2.388,2.776,0.85,1.636,2.459
"1970-11",2.76,2.001,0.649,3.509,3.299
"1970-12",3.059,3.064,3.142,2.228,3.265
"1971-01",2.57,2.237,0.374,2.568,2.655
"1971-02",2.535,3.602,0.199,2.503,2.734
"1971-03",2.132,2.693,0.8,1.199,2.049
"1971-04",1.794,1.813,0.984,1.075,2.003
"1971-05",1.329,1.459,0.493,1.474,1.679
"1971-06",0.886,1.586,1.132,1.46,1.263
"1971-07",1.411,2.671,0.664,1.348,1.494
"1971-08",1.799,1.226,0.578,1.736,1.773
"1971-09",1.948,3.511,0.108,2.098,2.407
"1971-10",2.984,3.358,1.995,2.08,3.045
"1971-11",3.249,5.004,0.435,2.502,3.136
"1971-12",2.939,2.804,1.324,2.254,2.992
"1972-01",2.878,3.537,0.339,2.035,2.743
"1972-02",2.954,2.35,0.352,1.107,2.54
"1972-03",2.34,2.163,1.809,1.177,2.046
"1972-04",1.766,2.878,1.796,1.125,1.957
"1972-05",1.304,1.524,1.446,1.561,1.728
"1972-06",1.688,1.298,0.84,0.542,1.28
"1972-07",2.126,1.85,0.615,0.504,1.369
"1972-08",2.492,0.963,0.569,1.271,1.801
"1972-09",2.466,2.364,0.776,1.755,2.216
"1972-10",3.757,4.878,0.501,1.84,2.806
"1972-11",3.759,3.211,0.554,3.65,3.316
"1972-12",3.113,2.901,1.813,1.77,3.014
"1973-01",2.796,3.223,0.863,1.219,3.015
"1973-02",3.234,3.319,0.76,0.846,2.888
"1973-03",2.307,1.817,0.496,0.986,2.042
"1973-04",2.26,2.004,1.406,1.024,1.873
"1973-05",2.218,1.319,0.53,0.771,1.545
"1973-06",1.722,1.729,0.655,0.927,1.435
"1973-07",2.234,2.285,0.693,0.525,1.427
"1973-08",2.649,2.577,2.382,0.972,1.958
"1973-09",2.933,1.101,1.349,2.479,2.662
"1973-10",2.327,4.481,1.309,2.362,2.763
"1973-11",3.061,3.363,0.525,2.478,3.095
