#Dataset: IPSL-IPSL-CM5A-MR_r1i1p1_rcp45_IPSL-WRF381P_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-24
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",2.17,2.733,NA,3.309,3.408
"2006-02",1.974,2.62,NA,2.596,2.774
"2006-03",1.935,2.287,NA,1.736,2.579
"2006-04",2.023,2.362,NA,1.539,2.161
"2006-05",2.42,2.289,NA,0.86,1.505
"2006-06",1.159,0.972,NA,1.27,1.57
"2006-07",1.249,0.752,NA,1.035,1.559
"2006-08",1.625,2.175,NA,0.722,1.589
"2006-09",2.541,2.207,NA,1.999,2.496
"2006-10",2.843,2.387,NA,2.168,2.778
"2006-11",2.599,3.015,NA,2.632,3.095
"2006-12",1.931,3.063,NA,1.817,2.917
"2007-01",2.09,2.893,NA,2.958,2.987
"2007-02",2.292,3.669,NA,1.66,2.815
"2007-03",1.483,2.258,NA,1.852,2.398
"2007-04",2.297,2.549,NA,0.959,2.169
"2007-05",1.105,2.125,NA,1.321,1.532
"2007-06",0.853,1.417,NA,1.322,1.407
"2007-07",1.663,0.772,NA,0.705,1.347
"2007-08",2.174,3.492,NA,1.22,1.823
"2007-09",3.057,2.462,NA,1.639,2.555
"2007-10",2.7,3.547,NA,2.831,2.891
"2007-11",2.562,4.678,NA,4.549,3.4
"2007-12",2.82,4.009,NA,2.054,3.416
"2008-01",1.807,3.679,NA,3.342,3.231
"2008-02",1.836,3.575,NA,3.141,3.239
"2008-03",1.904,1.826,NA,1.389,2.544
"2008-04",1.967,1.308,NA,1.297,1.893
"2008-05",1.386,2.793,NA,1.519,1.657
"2008-06",1.45,1.654,NA,0.829,1.504
"2008-07",2.067,2.651,NA,0.57,1.253
"2008-08",2.521,2.169,NA,1.939,2.16
"2008-09",2.782,1.791,NA,2.718,2.731
"2008-10",3.056,3.429,NA,1.914,2.875
"2008-11",3.149,6.02,NA,3.578,3.833
"2008-12",2.569,3.742,NA,3.477,3.551
"2009-01",2.569,3.641,NA,2.311,3.162
"2009-02",2.81,3.72,NA,1.912,3.123
"2009-03",1.58,2.521,NA,2.065,2.418
"2009-04",1.647,2.018,NA,1.025,2.1
"2009-05",1.89,1.577,NA,0.93,1.859
"2009-06",2.115,3.967,NA,0.874,1.889
"2009-07",2.082,2.668,NA,1.024,1.652
"2009-08",1.31,2.521,NA,2.796,1.908
"2009-09",1.998,1.828,NA,1.681,2.352
"2009-10",3.107,4.218,NA,1.571,2.845
"2009-11",3.077,4.723,NA,3.669,3.508
"2009-12",2.694,5.197,NA,2.42,3.395
"2010-01",2.651,2.975,NA,2.077,3.082
"2010-02",2.311,1.406,NA,0.901,2.342
"2010-03",2.095,2.267,NA,0.757,2.25
"2010-04",1.82,2.154,NA,1.12,2.027
"2010-05",1.565,1.727,NA,0.982,1.571
"2010-06",1.525,1.597,NA,0.224,0.976
"2010-07",2.034,1.742,NA,0.861,1.884
"2010-08",1.749,0.846,NA,0.848,1.862
"2010-09",2.595,2.077,NA,1.568,2.409
"2010-10",2.693,4.718,NA,2.571,3.415
"2010-11",2.551,5.034,NA,3.229,3.348
"2010-12",2.498,4.365,NA,3.301,3.396
"2011-01",2.548,4.458,NA,1.541,3.387
"2011-02",2.4,3.004,NA,2.381,3.102
"2011-03",1.986,2.742,NA,1.588,2.007
"2011-04",1.499,2.756,NA,1.372,2.048
"2011-05",1.027,2.08,NA,1.416,1.663
"2011-06",0.975,1.801,NA,1.439,1.299
"2011-07",1.473,1.811,NA,1.382,1.204
"2011-08",2.569,1.773,NA,2.736,2.496
"2011-09",2.635,3.279,NA,3.249,2.846
"2011-10",3.185,5.064,NA,2.701,3.323
"2011-11",2.967,5.238,NA,3.247,3.377
"2011-12",2.206,3.528,NA,2.973,2.992
"2012-01",2.349,3.575,NA,2.329,2.912
"2012-02",3.018,1.827,NA,1.945,2.936
"2012-03",2.62,2.749,NA,0.858,2.348
"2012-04",1.464,2.264,NA,1.394,1.866
"2012-05",1.16,1.563,NA,0.868,1.375
"2012-06",1.263,3.23,NA,1.962,1.442
"2012-07",1.403,1.61,NA,1.311,1.586
"2012-08",2.832,1.64,NA,1.759,2.319
"2012-09",2.762,3.958,NA,2.072,2.151
"2012-10",3.365,4.261,NA,2.71,3.391
"2012-11",2.427,3.432,NA,3.226,3.207
"2012-12",2.834,3.295,NA,1.596,2.716
"2013-01",2.234,2.792,NA,2.111,2.962
"2013-02",1.885,4.539,NA,2.907,3.168
"2013-03",1.718,2.175,NA,1.904,2.286
"2013-04",1.803,1.529,NA,1.699,2.042
"2013-05",1.286,2.463,NA,1.584,2.048
"2013-06",1.482,1.034,NA,0.502,1.22
"2013-07",2.656,2.519,NA,1.524,1.87
"2013-08",1.893,1.082,NA,0.872,1.603
"2013-09",2.413,3.811,NA,2.041,2.324
"2013-10",2.208,2.816,NA,2.342,2.758
"2013-11",2.328,4.295,NA,3.171,3.52
"2013-12",2.46,4.934,NA,2.36,3.445
"2014-01",2.527,4.183,NA,2.202,3.25
"2014-02",2.571,3.351,NA,1.273,2.77
"2014-03",2.071,3.219,NA,0.792,2.477
"2014-04",2.046,2.611,NA,1.188,2.533
"2014-05",1.834,1.883,NA,1.763,1.8
"2014-06",1.875,1.652,NA,0.804,1.442
"2014-07",1.514,1.657,NA,1.404,1.767
"2014-08",2.023,0.642,NA,1.049,1.724
"2014-09",2.617,1.938,NA,2.648,2.48
"2014-10",2.43,2.675,NA,2.969,2.92
"2014-11",2.992,4.377,NA,2.869,3.45
"2014-12",2.797,4.014,NA,3.995,3.865
"2015-01",2.633,3.21,NA,1.852,3.093
"2015-02",2.178,1.589,NA,1.607,2.59
"2015-03",2.364,2.466,NA,1.603,2.65
"2015-04",1.705,2.046,NA,1.393,2.092
"2015-05",1.952,1.75,NA,1.013,1.724
"2015-06",1.126,1.473,NA,1.278,1.482
"2015-07",0.728,1.379,NA,1.431,1.372
"2015-08",1.665,1.71,NA,2.183,1.716
"2015-09",2.661,3.555,NA,3.12,2.424
"2015-10",2.893,3.648,NA,1.923,3.216
"2015-11",2.806,5.239,NA,2.855,3.46
"2015-12",2.461,4.006,NA,2.848,3.635
"2016-01",3.035,2.568,NA,1.456,3.065
"2016-02",2.947,1.624,NA,1.286,2.679
"2016-03",1.884,3.187,NA,1.239,2.419
"2016-04",1.389,1.359,NA,0.932,1.859
"2016-05",1.776,2.173,NA,0.839,1.674
"2016-06",0.875,1.323,NA,1.497,1.54
"2016-07",1.534,0.945,NA,0.576,1.17
"2016-08",2.147,1.738,NA,0.611,1.424
"2016-09",2.599,0.688,NA,1.181,2.512
"2016-10",2.133,3.205,NA,2.444,3.088
"2016-11",2.003,4.369,NA,3.764,3.239
"2016-12",2.834,2.761,NA,1.882,3.242
"2017-01",2.679,3.177,NA,1.956,3.385
"2017-02",1.899,3.645,NA,2.665,2.67
"2017-03",1.955,1.104,NA,1.556,2.308
