#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_rcp85_KNMI-RACMO22E_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",2.706,3.125,NA,3.452,3.643
"2006-02",3.436,2.3,NA,0.923,3.155
"2006-03",2.976,2.899,NA,0.756,2.596
"2006-04",1.739,1.703,NA,1.508,1.813
"2006-05",1.672,1.773,NA,1.18,1.719
"2006-06",1.71,1.172,NA,0.851,1.913
"2006-07",2.226,1.837,NA,0.378,2.173
"2006-08",2.096,2.131,NA,0.384,1.495
"2006-09",2.102,4.16,NA,1.493,2.686
"2006-10",3.734,2.444,NA,1.579,3.113
"2006-11",3.732,2.984,NA,2.206,3.494
"2006-12",2.509,2.118,NA,3.393,3.649
"2007-01",2.692,2.607,NA,3.805,3.562
"2007-02",2.798,2.788,NA,2.174,3.098
"2007-03",2.234,1.811,NA,1.26,2.403
"2007-04",1.273,2.024,NA,1.447,1.863
"2007-05",1.608,1.495,NA,0.907,1.74
"2007-06",2.036,1.388,NA,0.536,1.832
"2007-07",3,1.832,NA,0.306,1.974
"2007-08",2.812,1.747,NA,0.299,2.263
"2007-09",3.171,2.358,NA,0.54,2.12
"2007-10",3.36,2.892,NA,2.163,3.423
"2007-11",4.308,4.085,NA,3.142,3.157
"2007-12",2.72,3.856,NA,3.21,3.355
"2008-01",2.81,4.311,NA,3.125,3.497
"2008-02",2.443,3.362,NA,1.898,3.08
"2008-03",2.189,2.261,NA,1.783,2.342
"2008-04",1.813,0.7,NA,1.595,2.164
"2008-05",1.889,1.362,NA,1.509,1.888
"2008-06",1.63,2.709,NA,0.401,1.568
"2008-07",1.705,2.216,NA,0.199,1.894
"2008-08",2.071,1.29,NA,0.585,2.153
"2008-09",2.785,1.834,NA,1.794,2.855
"2008-10",3.048,3.449,NA,2.008,3.255
"2008-11",2.502,3.88,NA,2.533,3.664
"2008-12",3.606,2.09,NA,1.637,3.206
"2009-01",3.216,2.329,NA,2.539,3.176
"2009-02",2.365,2.567,NA,2.024,2.925
"2009-03",2.249,2.324,NA,1.548,2.378
"2009-04",1.327,2.334,NA,1.512,1.943
"2009-05",1.569,1.78,NA,0.722,1.894
"2009-06",2.363,1.299,NA,0.4,1.524
"2009-07",2.038,1.563,NA,0.314,1.68
"2009-08",2.315,2.38,NA,0.329,1.764
