#Dataset: NCC-NorESM1-M_r1i1p1_rcp85_CNRM-ALADIN63_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-26
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",3.232,2.999,NA,2.121,3.667
"2006-02",3.126,2.333,NA,1.559,3.6
"2006-03",2.876,2.392,NA,1.245,2.784
"2006-04",1.773,2.125,NA,1.37,2.17
"2006-05",2.415,1.535,NA,0.506,1.891
"2006-06",1.504,2.105,NA,0.525,1.759
"2006-07",1.433,1.096,NA,0.039,1.938
"2006-08",2.794,0.568,NA,0.131,1.821
"2006-09",2.695,2.066,NA,1.191,2.343
"2006-10",3.993,2.816,NA,1.402,3.344
"2006-11",3.848,4.397,NA,2.227,3.054
"2006-12",2.9,4.628,NA,1.765,3.701
"2007-01",2.874,3.572,NA,2.856,4.124
"2007-02",2.483,2.565,NA,2.278,3.226
"2007-03",2.042,2.726,NA,1.434,2.755
"2007-04",1.803,2.87,NA,0.77,2.004
"2007-05",1.931,2.235,NA,0.571,2.155
"2007-06",2.336,1.375,NA,0.487,1.733
"2007-07",2.035,1.488,NA,0.084,1.644
"2007-08",2.117,1.493,NA,0.461,1.82
"2007-09",2.686,0.834,NA,0.483,2.499
"2007-10",2.728,2.211,NA,1.729,2.76
"2007-11",2.57,2.57,NA,2.005,3.058
"2007-12",3.337,4.177,NA,2.617,3.796
"2008-01",2.731,3.321,NA,1.699,3.598
"2008-02",2.858,2.408,NA,1.735,3.552
"2008-03",2.207,2.716,NA,1.347,2.887
"2008-04",2.526,2.028,NA,0.656,2.515
"2008-05",1.421,1.596,NA,1.003,1.869
"2008-06",2.091,1.078,NA,0.612,2.108
"2008-07",1.81,1.59,NA,0.062,1.146
"2008-08",2.685,0.908,NA,0.052,1.976
"2008-09",2.667,0.985,NA,0.261,2.19
"2008-10",2.997,2.499,NA,1.439,2.744
"2008-11",3.259,5.107,NA,1.663,3.031
"2008-12",3.301,4.52,NA,2.012,3.776
"2009-01",2.924,3.183,NA,2.261,3.564
"2009-02",2.229,3.038,NA,1.562,2.833
"2009-03",2.141,2.954,NA,1.233,2.791
"2009-04",1.939,2.519,NA,1.189,2.217
"2009-05",1.954,2.632,NA,0.862,2.422
"2009-06",1.884,1.372,NA,0.42,1.585
"2009-07",1.277,1.305,NA,0.179,1.307
"2009-08",1.984,1.589,NA,0.117,1.445
"2009-09",2.53,3.065,NA,0.689,2.635
"2009-10",2.827,3.191,NA,1.829,3.051
"2009-11",3.584,4.426,NA,1.849,3.457
"2009-12",3.178,3.522,NA,1.676,3.206
"2010-01",3.507,3.45,NA,2.057,3.813
"2010-02",2.833,3.576,NA,1.735,2.803
"2010-03",2.075,1.614,NA,2.144,2.649
"2010-04",2.326,2.34,NA,1.158,2.48
"2010-05",1.844,1.903,NA,0.526,1.998
"2010-06",1.425,1.022,NA,0.769,1.663
"2010-07",1.974,0.791,NA,0.145,1.251
"2010-08",2.255,1.386,NA,0.092,1.544
"2010-09",3.019,1.145,NA,0.462,2.667
"2010-10",2.756,2.885,NA,1.732,2.54
"2010-11",2.562,2.798,NA,2.596,3.452
"2010-12",4.103,4.056,NA,2.179,3.725
"2011-01",2.769,2.348,NA,1.99,3.123
"2011-02",2.239,2.589,NA,1.362,2.634
"2011-03",2.208,1.71,NA,0.994,2.302
"2011-04",2.263,1.669,NA,1.269,2.796
