#Dataset: ICHEC-EC-EARTH_r12i1p1_rcp26_SMHI-RCA4_v1
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-24
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",-9.26,-0.38,-21.282,6.655,-5.949
"2006-02",-10.489,-0.422,-23.3,9.169,-6.117
"2006-03",-2.171,3.58,-6.688,11.513,0.977
"2006-04",2.472,7.428,-0.737,12.967,4.517
"2006-05",5.55,9.953,3.51,15.952,8.482
"2006-06",10.395,14.128,11.221,20.353,13.811
"2006-07",12.323,18.377,11.611,24.423,16.186
"2006-08",11.257,18.096,11.328,24.235,15.934
"2006-09",8.749,13.378,7.474,19.787,12.29
"2006-10",4.013,7.834,1.557,14.55,7.258
"2006-11",-1.173,3.203,-8.36,9.882,0.594
"2006-12",-5.856,-1.673,-15.768,7.966,-3.139
"2007-01",-1.356,-0.298,-10.893,4.37,-2.529
"2007-02",-6.226,-1.482,-10.78,5.569,-3.124
"2007-03",-4.666,2.896,-4.799,8.995,0.48
"2007-04",1.352,6.241,0.565,11.621,4.611
"2007-05",5.195,9.712,6.328,14.705,8.737
"2007-06",10.708,14.274,10.052,18.857,13.111
"2007-07",12.745,16.533,13.651,23.483,16.405
"2007-08",12.636,15.162,10.505,21.157,14.72
"2007-09",9.649,13.254,6.757,17.813,11.629
"2007-10",4.028,6.487,-1.237,12.421,6.007
"2007-11",-0.87,4.559,-5.341,9.264,1.319
"2007-12",-5.595,-1.48,-20.992,6.063,-4.911
"2008-01",-5.212,-6.409,-19.852,2.347,-6.375
"2008-02",-4.391,-0.045,-16.585,6.79,-3.824
"2008-03",-3.207,1.438,-8.393,7.48,-0.786
"2008-04",0.99,7.52,-0.112,12.384,4.404
"2008-05",6.345,11.693,5.446,15.433,9.384
"2008-06",9.474,13.517,10.845,20.01,13.41
"2008-07",11.95,17.947,12.316,23.942,16.259
"2008-08",11.298,16.95,11.28,23.514,15.782
"2008-09",7.233,11.906,5.47,19.214,11.291
"2008-10",6.26,9.55,2.19,14.475,7.569
"2008-11",0.452,4.498,-4.333,8.74,1.416
"2008-12",-1.225,2.164,-5.755,5.957,-1.059
"2009-01",-4.258,-3.064,-18.202,3.38,-5.083
"2009-02",-3.236,0.596,-14.038,6.119,-3.628
"2009-03",-3.065,-0.158,-8.849,6.992,-0.632
"2009-04",-0.788,5.548,-4.665,11.787,3.17
"2009-05",5.068,10.991,4.943,15.162,8.808
"2009-06",10.563,14.96,10.858,20.391,13.871
"2009-07",13.494,17.889,12.508,23.344,16.383
"2009-08",11.17,16.651,13.542,23.268,15.83
"2009-09",7.702,12.065,7.476,19.242,12.135
"2009-10",4.566,7.733,0.846,15.269,7.357
"2009-11",2.207,5.176,-3.959,10.255,2.747
"2009-12",-0.415,1.229,-5.084,6.414,-0.395
"2010-01",-0.757,1.205,-9.525,4.594,-2.165
"2010-02",-1.293,1.76,-5.84,6.274,-0.791
"2010-03",-3.305,4.234,-4.678,10.044,-0.383
"2010-04",1.981,8.433,-1.23,12.602,3.813
"2010-05",6.651,11.63,5.652,15.342,8.975
"2010-06",10.273,14.978,10.214,21.082,13.378
"2010-07",12.828,17.766,13.887,23.848,16.725
