#Dataset: MIROC-MIROC5_r1i1p1_rcp26_GERICS-REMO2015_v1
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-03-14
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",-11.197,-2.507,-14.555,7.992,-0.204
"2006-02",-4.666,0.67,-12.831,9.241,2.506
"2006-03",-4.022,2.974,-8.387,11.12,4.948
"2006-04",-2.459,5.39,-2.145,13.542,7.984
"2006-05",6.423,12.539,8.338,17.483,14.25
"2006-06",14.333,18.23,13.46,22.647,19.932
"2006-07",14.516,18.258,17.864,25.77,22.149
"2006-08",14.852,18.219,16.086,26.138,21.925
"2006-09",10.561,13.806,11.036,21.774,17.449
"2006-10",4.674,8.15,1.962,16.24,11.2
"2006-11",-1.805,0.898,-7.856,9.912,4.22
"2006-12",-7.324,-3.718,-13.765,7.155,-0.143
"2007-01",-5.321,-0.202,-11.749,7.029,1.289
"2007-02",-8.225,-3.531,-13.488,7.18,0.144
"2007-03",-7.162,0.477,-10.47,10.21,3.264
"2007-04",0.445,3.809,-3.048,12.195,7.336
"2007-05",9.351,14.935,12.863,16.801,15.454
"2007-06",14.552,19.402,19.062,21.554,20.451
"2007-07",16.455,21.623,22.024,26.393,23.879
"2007-08",14.286,19.634,17.089,24.882,21.702
"2007-09",10.496,15.698,11.231,20.983,17.558
"2007-10",3.093,6.273,0.508,14.994,10.012
"2007-11",-1.168,-0.755,-7.093,10.013,4.178
"2007-12",-3.128,-1.63,-12.527,8.134,1.795
"2008-01",-8.085,-4.625,-11.874,6.159,-0.257
"2008-02",-6.692,-4.063,-13.752,7.677,0.363
"2008-03",-4.594,3.025,-1.936,10.974,5.544
"2008-04",-1.571,5.375,0.759,13.91,8.536
"2008-05",5.505,13.089,8.1,18.829,14.8
"2008-06",11.848,17.385,11.749,22.898,19.149
"2008-07",14.632,19.569,17.232,25.784,22.347
"2008-08",14.727,19.649,17.998,24.726,21.907
"2008-09",10.157,14.872,10.592,21.504,17.481
"2008-10",5.76,6.52,0.737,14.04,9.901
"2008-11",-0.294,0.89,-8.322,10.058,4.16
"2008-12",-3.776,-7.127,-16.145,5.14,-1.462
"2009-01",-9.269,-6,-15.731,6.759,-1.391
"2009-02",-7.039,-4.427,-16.51,6.586,-0.792
"2009-03",-3.27,1.91,-5.532,10.233,4.8
"2009-04",-0.672,7.254,0.631,14.893,9.609
"2009-05",6.932,11.21,7.965,16.762,13.687
"2009-06",13.963,18.314,16.388,22.554,20.242
"2009-07",14.496,20.09,18.78,25.802,22.516
"2009-08",12.835,17.911,15.668,25.833,21.308
"2009-09",10.804,16.51,7.288,22.08,17.626
"2009-10",6.432,10.138,4.677,16.786,12.5
"2009-11",-2.29,2.005,-9.208,12.464,5.268
"2009-12",-6.348,-2.469,-9.61,8.093,1.387
"2010-01",-10.255,-8.32,-13.846,5.959,-2.043
"2010-02",-7.505,-2.775,-9.323,7.386,1.113
"2010-03",-4.992,-0.5,-9.201,9.362,2.998
"2010-04",-0.468,6.274,3.192,14.217,9.49
"2010-05",5.38,13.854,10.433,19.046,15.346
"2010-06",15.48,19.964,15.16,21.985,20.418
"2010-07",14.874,20.751,19.754,26.841,23.354
"2010-08",13.155,17.496,15.064,25.505,21.131
"2010-09",9.745,14.437,9.371,21.014,16.923
"2010-10",3.317,9.237,4.897,15.41,11.029
"2010-11",-3.452,3.429,-9.776,10.62,4.369
"2010-12",-8.067,-2.126,-18.127,8.239,-0.049
"2011-01",-10.655,-2.536,-19.499,7.557,-1.189
"2011-02",-4.375,-1.596,-14.914,6.982,0.632
"2011-03",-8.088,-4.74,-11.491,9.537,1.577
"2011-04",0.717,7.796,2.719,13.256,9.534
"2011-05",7.928,14.588,8.69,17.96,15.152
"2011-06",12.015,18.556,15.92,22.873,19.998
"2011-07",14.129,19.737,16.747,25.501,22.037
"2011-08",16.265,19.215,16.296,24.39,21.662
"2011-09",11.695,17.36,13.063,21.898,18.757
"2011-10",3.022,10.061,-0.006,16.751,11.311
"2011-11",-7.877,-3.847,-14.855,9.314,1.082
"2011-12",-9.323,-4.129,-8.97,7.553,0.715
"2012-01",-13.742,-9.443,-23.38,4.729,-4.791
"2012-02",-10.535,-5.3,-15.797,6.614,-1.179
"2012-03",-6.714,1.318,-6.646,10.984,4.403
"2012-04",1.407,7.496,3.901,12.437,9.211
"2012-05",6.235,14.143,10.677,18.169,15.114
"2012-06",11.213,18.272,17.15,23.456,20.351
"2012-07",15.812,21.869,20.115,26.26,23.585
"2012-08",11.823,19.254,15.921,25.754,21.5
"2012-09",9.268,15.375,10.04,22.009,17.552
"2012-10",5.073,8.077,3.209,15.327,11.045
"2012-11",-1.493,3.406,-6.603,10.262,4.867
"2012-12",-7.075,-5.081,-16.813,5.272,-1.517
"2013-01",-6.394,-5.562,-13.922,4.358,-1.368
"2013-02",-9.891,-0.67,-5.987,7.374,1.36
"2013-03",-4.037,5.91,-6.315,11.857,6.123
"2013-04",0.383,8.55,-1.726,14.542,9.616
"2013-05",7.721,11.879,9.321,17.289,14.338
"2013-06",11.627,17.168,11.225,23.591,19.445
"2013-07",14.189,21.134,20.215,26.939,23.341
"2013-08",12.309,19.478,16.41,26.835,22.096
"2013-09",9.827,14.296,12.331,21.465,17.409
"2013-10",3.553,9.306,-1.021,17.029,11.225
"2013-11",-2.96,4.135,-4.903,11.633,5.778
"2013-12",-6.841,0.385,-9.092,8.148,1.805
"2014-01",-13.181,-8.5,-21.167,5.209,-3.88
"2014-02",-7.877,-0.743,-10.558,9.869,2.33
"2014-03",-3.236,1.881,-4.724,8.939,4.215
"2014-04",0.071,5.539,-0.66,12.764,8.222
"2014-05",3.989,10.805,8.644,19.181,14.371
"2014-06",11.624,16.973,14.993,21.764,19.232
"2014-07",15.912,19.571,20.778,25.463,22.961
"2014-08",14.843,18.168,17.279,25.557,21.998
"2014-09",9.461,14.668,10.904,21.552,17.393
"2014-10",2.609,8.562,-1.549,17.211,10.791
"2014-11",-1.516,3.861,-7.841,10.903,5.11
"2014-12",-6.245,-1.644,-17.728,7.506,-0.028
"2015-01",-5.455,-1.879,-16.86,4.564,-1.057
"2015-02",-5.866,0.044,-11.634,7.321,1.428
"2015-03",-7.214,3.763,-2.211,11.854,5.896
"2015-04",-0.393,6.158,2.062,12.972,8.72
"2015-05",7.376,12.272,6.65,18.317,14.371
"2015-06",13.209,18.22,14.905,23.757,20.265
"2015-07",19.12,22.595,22.246,26.166,24.634
"2015-08",15.1,19.68,18.212,26.616,22.867
"2015-09",10.106,14.178,12.16,21.846,17.586
"2015-10",5.888,10.915,4.042,17.01,12.59
"2015-11",-0.712,2.234,-4.042,11.309,5.641
"2015-12",-3.329,-6.153,-12.862,6.161,-0.174
"2016-01",-9.343,-6.023,-15.946,5.942,-1.656
"2016-02",-8.212,-1.847,-18.436,8.523,0.361
"2016-03",-3.258,0.566,-9.246,9.921,3.956
"2016-04",0.958,7.929,3.66,13.715,9.937
"2016-05",8.638,14.175,10.942,17.161,15.14
"2016-06",13.559,21.424,14.346,24.07,21.252
"2016-07",16.507,21.524,17.953,26.687,23.487
"2016-08",13.382,17.543,13.379,25.269,20.971
"2016-09",9.356,13.542,12.887,21.012,17.138
"2016-10",4.883,8.896,2.524,16.524,11.734
"2016-11",-3.216,3.245,-2.623,11.778,5.907
"2016-12",-8.481,-3.817,-17.061,6.563,-1.051
"2017-01",-11.645,-5.206,-14.219,6.739,-1.29
"2017-02",-10.151,-3.356,-13.151,8,0.233
"2017-03",-4.386,-1.513,-9.192,8.723,2.926
"2017-04",-1.2,6.288,2.364,13.154,8.817
"2017-05",6.722,14.356,9.323,18.096,15.131
"2017-06",14.325,19.883,15.41,22.839,20.722
"2017-07",15.913,21.32,18.808,26.089,23.328
"2017-08",13.319,20.723,16.476,26.606,22.52
"2017-09",11.842,15.025,11.006,21.751,18.039
"2017-10",5.716,9.654,4.51,16.778,12.556
"2017-11",1.223,2.066,-10.012,10.586,4.825
"2017-12",-3.537,-3.634,-12.954,7.541,0.86
"2018-01",-6.738,-4.928,-17.515,6.774,-0.866
"2018-02",-9.623,-3.526,-20.343,8.897,-0.401
"2018-03",-5.692,0.504,-11.961,10.795,3.47
"2018-04",-1.719,7.309,0.802,13.226,8.574
"2018-05",5.044,11.499,6.963,18.889,14.187
"2018-06",12.874,17.368,12.619,22.774,19.503
"2018-07",14.259,19.79,17.83,26.717,22.662
"2018-08",15.148,19.183,18.103,26.026,22.402
"2018-09",9.962,15.669,12.857,22.395,18.317
"2018-10",5.939,8.92,4.705,16.67,12.068
"2018-11",-1.611,1.926,-6.491,11.014,5.012
"2018-12",-8.051,-2.132,-12.816,8.42,0.829
"2019-01",-9.132,-1.959,-13.246,8.089,0.283
"2019-02",-10.24,-6.737,-16.509,7.203,-1.215
"2019-03",-8.57,-2.889,-7.636,10.354,2.575
"2019-04",-1.696,6.186,1.872,12.661,8.168
"2019-05",5.677,14.943,8.022,18.37,14.954
"2019-06",11.645,17.768,13.654,22.795,19.546
"2019-07",14.569,20.332,19.009,26.821,22.978
"2019-08",15.129,21.038,17.043,26.127,22.674
"2019-09",11.168,16.05,11.536,21.599,17.97
"2019-10",4.744,8.99,1.26,15.571,10.998
"2019-11",1.336,2.041,-8.808,10.029,4.845
"2019-12",-3.613,-1.094,-13.017,6.907,1.066
"2020-01",-6.931,-7.256,-18.77,7.048,-1.554
"2020-02",-10.129,-4.084,-15.312,7.842,-0.268
"2020-03",-5.569,-1.054,-8.738,9.844,3.278
"2020-04",0.88,9,1.535,14.777,10.174
"2020-05",6.716,14.131,11.69,20.516,16.338
"2020-06",13.454,18.052,16.506,23.73,20.672
"2020-07",16.302,21.828,17.971,27.372,23.762
"2020-08",16.685,20.87,19.537,26.185,23.332
"2020-09",10.964,14.321,9.478,21.091,17.151
"2020-10",4.28,7.472,-0.288,16.077,10.697
"2020-11",-3.185,3.218,-5.549,11.868,5.569
"2020-12",-7.74,-3.403,-15.447,7.09,-0.36
"2021-01",-7.915,-2.893,-13.82,5.933,-0.672
"2021-02",-6.583,-1.802,-11.705,7.599,1.05
"2021-03",-7.791,-1.209,-8.426,9.805,3.042
"2021-04",-1.243,6.277,-0.328,14.587,9.047
"2021-05",6.655,13.946,11.83,18.427,15.536
"2021-06",11.925,19.042,15.531,23.479,20.3
"2021-07",17.194,20.184,19.704,25.576,23.104
"2021-08",15.345,19.774,17.816,25.944,22.473
"2021-09",8.77,14.191,10.875,22.277,17.383
"2021-10",5.76,8.723,2.556,15.819,11.56
"2021-11",-2.429,2.189,-4.221,11.366,5.347
"2021-12",-7.708,-2.645,-16.961,8.358,0.263
"2022-01",-5.579,-3.135,-14.513,6.572,-0.04
"2022-02",-8.816,-5.649,-17.285,7.42,-0.886
"2022-03",-3.756,3.523,-6.42,11.909,5.738
"2022-04",-0.648,7.749,4.56,13.684,9.75
"2022-05",7.538,13.476,9.648,18.729,15.435
"2022-06",11.928,17.007,12.788,23.071,19.41
"2022-07",15.097,19.678,17.257,26.259,22.572
"2022-08",13.598,18.322,18.102,25.988,22.103
"2022-09",11.45,16.255,12.719,22.359,18.478
"2022-10",4.01,7.14,-1.168,16.763,10.909
"2022-11",-0.426,4.587,-7.213,11.997,6.05
"2022-12",-10.087,-5.602,-16.715,8.444,-0.651
"2023-01",-9.63,-5.917,-21.755,6.576,-2.168
"2023-02",-9.276,-3.483,-14.252,8.622,0.758
"2023-03",-2.862,2.008,-6.871,11.528,5.426
"2023-04",2.539,9.228,4.324,14.879,11.181
"2023-05",6.846,14.425,5.94,20.195,15.567
"2023-06",12.194,18.458,15.618,24.053,20.537
"2023-07",16.936,22.664,19.064,26.709,23.938
"2023-08",15.058,22.018,16.334,26.853,23.215
"2023-09",11.986,15.627,11.686,21.914,18.294
"2023-10",7.249,10.925,4.083,16.538,12.633
"2023-11",1.979,2.646,-8.616,10.533,5.242
"2023-12",-3.555,-2.356,-13.334,5.516,0.116
"2024-01",-5.702,-3.233,-15.01,5.382,-0.611
"2024-02",-6.922,-3.817,-13.91,7.73,0.443
"2024-03",-6.118,0.958,-5.822,9.619,3.721
"2024-04",-0.334,6.988,0.695,13.394,8.948
"2024-05",9.947,16.21,12.899,17.909,16.36
"2024-06",13.772,19.28,14.168,23.77,20.659
"2024-07",14.948,21.704,18.463,27.336,23.621
"2024-08",13.796,21.525,15.584,26.001,22.478
"2024-09",9.098,14.335,10.26,21.484,17.306
"2024-10",4.055,9.434,2.538,16.183,11.615
"2024-11",-2.831,2.639,-9.691,11.632,4.818
"2024-12",-8.815,-1.784,-14.964,7.6,0.022
"2025-01",-9.406,-3.865,-14.712,5.56,-1.244
"2025-02",-4.697,-2.255,-15.743,7.181,0.479
"2025-03",-5.229,0.668,-11.256,10.299,3.485
"2025-04",0.098,7.891,-0.65,14.155,9.396
"2025-05",6.032,15.518,11.381,18.534,15.656
"2025-06",15.075,18.092,15.431,22.83,20.509
"2025-07",19.381,23.47,21.45,27.168,24.993
"2025-08",15.137,20.948,16.689,26.919,23.029
"2025-09",10.165,14.864,11,21.853,17.666
"2025-10",2.493,8.135,3.84,15.171,10.795
"2025-11",-0.388,3.119,-1.275,10.885,6.338
"2025-12",-6.929,-2.325,-13.027,8.203,0.937
"2026-01",-10.146,-5.672,-15.278,6.181,-1.539
"2026-02",-5.529,1.679,-9.079,8.261,2.477
"2026-03",-2.336,3.814,-6.432,10.967,5.546
"2026-04",-2.52,8.825,0.305,14.621,9.369
"2026-05",5.486,11.069,8.584,18.639,14.315
"2026-06",13.009,19.161,13.745,23.04,20.092
"2026-07",15.8,22.507,19.1,27.159,23.986
"2026-08",15.337,21.748,14.854,26.649,22.87
"2026-09",10.454,14.887,11.551,21.894,17.822
"2026-10",2.339,6.966,3.074,16.298,10.829
"2026-11",-4.263,-0.657,-8.472,11.128,3.799
"2026-12",-6.759,-5.592,-13.439,5.58,-1.115
"2027-01",-5.924,-2.39,-10.533,5.906,0.303
"2027-02",-6.51,-1.555,-9.918,6.621,1.148
"2027-03",-2.635,4.281,-3.814,10.808,6.065
"2027-04",-0.25,8.748,-1.361,15.411,10.019
"2027-05",6.735,15.565,9.305,20.483,16.467
"2027-06",14.175,20.274,19.144,23.947,21.804
"2027-07",17.284,21.837,22.641,26.972,24.573
"2027-08",14.345,20.855,17.771,26.543,22.783
"2027-09",10,14.75,11.655,21.511,17.589
"2027-10",4.559,9.593,5.134,16.004,11.668
"2027-11",1.003,2.465,-7.924,10.855,5.252
"2027-12",-6.2,-4.759,-16.482,6.482,-0.674
"2028-01",-7.882,-4.537,-17.813,7.007,-0.965
"2028-02",-5.441,-2.685,-17.936,7.608,0.408
"2028-03",-4.371,2.781,-7.241,11.015,4.97
"2028-04",-0.601,9.681,0.946,14.954,10.261
"2028-05",6.836,11.971,8.348,19.59,15.239
"2028-06",13.756,18.485,18.223,24.626,21.461
"2028-07",18.355,22.185,18.058,26.697,24.024
"2028-08",14.101,20.028,14.441,26.591,22.313
"2028-09",10.057,15.067,9.496,21.602,17.38
"2028-10",2.406,6.501,-0.985,17.167,10.637
"2028-11",0.102,4.991,-2.033,11.987,7.157
"2028-12",-5.808,-3.61,-11.631,8.596,1.309
"2029-01",-9.898,-7.11,-14.916,6.613,-1.468
"2029-02",-2.991,-0.215,-14.17,8.102,1.829
"2029-03",-2.304,3.445,-1.783,11.346,6.443
"2029-04",2.88,10.108,8.182,13.908,11.345
"2029-05",9.302,16.273,13.09,18.886,16.735
"2029-06",13.729,19.38,18.247,23.509,21.151
"2029-07",17.478,21.511,19.708,26.014,23.717
"2029-08",14.99,20.918,18.135,27.088,23.277
"2029-09",10.24,16.327,13.51,22.748,18.664
"2029-10",6.887,10.331,3.124,16.894,12.586
"2029-11",-2.827,2.463,-5.276,11.261,5.348
"2029-12",-10.002,-3.708,-14.722,8.595,0.049
"2030-01",-9.375,-6.512,-22.041,6.548,-2.5
"2030-02",-10.039,-6.722,-14.711,6.415,-1.313
"2030-03",-2.779,0.771,-5.551,9.567,4.307
"2030-04",3.257,9.387,4.821,13.139,10.416
"2030-05",8.251,15.157,8.888,18.153,15.452
"2030-06",12.85,18.463,14.416,23.226,20.295
"2030-07",17.374,21.24,19.733,26.529,23.759
"2030-08",13.407,19.612,18.525,26.546,22.364
"2030-09",7.255,13.045,10.36,22.284,16.958
"2030-10",4.734,7.933,2.192,16.483,11.396
"2030-11",-1.907,0.563,-7.579,10.728,4.501
"2030-12",-4.511,-2.773,-15.155,6.525,0.187
"2031-01",-10.053,-7.901,-21.479,6.659,-2.713
"2031-02",-4.572,-4.554,-15.486,6.68,0.088
"2031-03",-4.56,-1.718,-14.352,9.7,2.312
"2031-04",2.197,9.246,-2.389,14.167,9.513
"2031-05",7.481,12.538,8.537,17.994,14.575
"2031-06",15.286,19.036,15.251,23.743,21.066
"2031-07",17.871,21.507,22.179,26.861,24.377
"2031-08",15.358,19.571,16.089,26.541,22.528
"2031-09",10.538,15.211,13.244,22.438,18.291
"2031-10",6.568,8.829,-1.134,15.934,11.125
"2031-11",0.696,4.571,-6.279,11.062,5.953
"2031-12",-8.908,-0.161,-11.051,7.728,1.003
"2032-01",-6.867,-5.128,-13.844,6.037,-0.818
"2032-02",-8.076,-5.53,-15.696,6.709,-1.06
"2032-03",-4.46,4.795,-5.15,12.316,6.199
"2032-04",0.884,9.568,3.112,13.708,10.1
"2032-05",7.682,13.883,9.75,18.683,15.547
"2032-06",14.396,18.686,14.802,24.433,21.045
"2032-07",19.693,22.019,17.32,26.646,24.073
"2032-08",16.316,24.187,18.147,27.871,24.519
"2032-09",10.09,15.99,10.408,22.409,18.027
"2032-10",3.935,8.107,4.105,16.535,11.488
"2032-11",-0.223,2.859,-0.967,10.789,6.109
