#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_rcp45_MPI-CSC-REMO2009_v1
#Variable: tas
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",-3.537,-5.83,-20.008,4.647,-4.437
"2006-02",-3.466,1.561,-12.253,8.432,-1.813
"2006-03",0.888,5.243,-5.522,10.303,2.756
"2006-04",5.062,10.795,2.305,13.977,7.428
"2006-05",8.546,14.581,5.431,19.358,11.706
"2006-06",10.913,17.252,13.07,23.263,16.316
"2006-07",12.815,20.588,14.494,26.543,18.51
"2006-08",13.113,17.876,15.453,26.401,18.585
"2006-09",8.94,15.039,8.361,22.568,13.999
"2006-10",5.851,10.994,0.213,18.476,8.769
"2006-11",1.893,5.796,-5.998,12.576,3.413
"2006-12",-4.293,1.022,-13.237,9.476,-1.544
"2007-01",-5.419,-4.485,-22.138,6.856,-5.269
"2007-02",-4.059,-3.294,-17.787,7.524,-3.421
"2007-03",-1.738,1.631,-12.616,9.64,-0.182
"2007-04",3.623,9.578,2.668,15.6,7.971
"2007-05",10.053,16.81,8.103,19.47,12.897
"2007-06",11.85,16.256,11.959,23.483,16.4
"2007-07",14.667,19.096,15.375,26.808,19.03
"2007-08",14.499,19.593,17.566,25.418,19.127
"2007-09",10.538,15.957,10.098,22.817,14.731
"2007-10",7.206,10.363,5.224,17.108,9.91
"2007-11",2.542,5.815,-2.929,12.151,4.184
"2007-12",1.753,2.479,-12.073,6.912,-0.761
"2008-01",-0.504,0.11,-9.186,5.779,-0.977
"2008-02",-2.822,-1.105,-11.786,6.987,-1.082
"2008-03",-0.42,5.178,-8.18,12.446,2.545
"2008-04",1.953,8.336,0.216,15.018,6.62
"2008-05",8.209,14.776,8.784,19.163,12.52
"2008-06",12.649,17.247,14.176,23.203,16.674
"2008-07",13.36,18.497,16.925,26.055,18.836
"2008-08",13.447,17.92,16.745,25.948,18.969
"2008-09",9.334,14.047,7.86,22.283,13.677
"2008-10",5.939,5.955,-1.501,13.78,6.905
"2008-11",1.149,2.24,-7.123,10.351,2.302
"2008-12",-0.942,3.892,-9.182,8.296,-0.176
"2009-01",0.135,1.595,-11.715,6.9,-1.126
"2009-02",-0.084,2.682,-9.234,7.861,-0.229
"2009-03",-1.849,3.911,-7.87,11.417,1.922
"2009-04",3.226,9.61,-0.827,15.44,6.506
"2009-05",7.205,13.248,9.861,18.607,11.974
"2009-06",11.369,17.356,13.893,22.211,16.142
"2009-07",13.854,17.676,17.19,25.323,18.536
"2009-08",13.896,17.259,14.399,25.711,17.993
"2009-09",10.263,14.11,8.123,21.378,13.831
"2009-10",5.617,10.116,0.967,17.609,8.716
"2009-11",1.706,4.268,-8.825,11.551,2.167
"2009-12",-3.078,-1.962,-12.066,7.063,-1.25
"2010-01",-6.258,-0.801,-13.763,8.956,-2.062
"2010-02",-5.034,-1.918,-18.388,8.268,-3.112
"2010-03",-5.796,-2.076,-10.656,9.59,-0.216
"2010-04",2.109,7.541,0.54,13.526,6.657
"2010-05",8.264,13.46,8.155,17.871,11.847
"2010-06",11.709,15.131,14.555,21.832,16.248
"2010-07",14.325,17.402,14.555,24.443,18.199
"2010-08",12.915,16.584,14.254,24.838,17.551
"2010-09",9.403,14.967,9.41,22.084,14.01
"2010-10",5.347,10.048,2.397,17.43,8.593
"2010-11",1.263,5.198,-6.416,12.072,2.833
"2010-12",-2.644,0.165,-11.798,8.589,-1.361
"2011-01",-1.861,-0.463,-10.791,7.242,-1.14
"2011-02",-1.462,1.268,-8.35,9.16,0.392
"2011-03",1.049,5.294,-3.337,10.542,3.27
"2011-04",3.388,10.121,0.565,14.134,6.908
"2011-05",8.891,14.763,6.223,17.497,11.362
"2011-06",14.203,18.843,16.708,22.563,17.449
"2011-07",15.649,21.043,15.321,24.796,18.752
"2011-08",12.47,19.911,11.442,26.397,17.364
"2011-09",9.132,15.848,7.52,22.769,13.799
"2011-10",5.95,8.656,0.139,16.247,7.968
"2011-11",1.926,6.099,-8.212,11.354,2.657
"2011-12",0.692,1.824,-11.262,7.446,-0.327
"2012-01",-2.759,-0.969,-15.284,7.199,-2.754
"2012-02",0.144,1.448,-9.741,8.066,0.018
"2012-03",1.005,4.524,-4.408,10.731,3.222
"2012-04",2.818,8.353,1.562,14.104,6.561
"2012-05",7.688,12.813,6.659,19.383,11.784
"2012-06",11.042,14.808,11.35,22.692,15.695
"2012-07",13.053,19.817,14.687,26.361,18.783
"2012-08",13.055,18.101,14.247,25.222,17.8
"2012-09",10.304,16.749,8.481,23.434,14.672
"2012-10",7.42,12.177,4.643,18.637,10.196
"2012-11",1.764,5.41,-1.832,13.022,4.765
"2012-12",-1.08,3.392,-15.189,8.795,-1.271
"2013-01",-4.013,-2.01,-15.786,6.086,-2.966
"2013-02",-0.026,0.203,-8.946,6.997,-0.187
"2013-03",-1.718,5.698,-4.12,12.017,3.215
"2013-04",2.094,8.216,2.747,16.454,8.135
"2013-05",6.173,11.34,8.695,18.898,11.795
"2013-06",14.222,19.483,14.44,22.87,17.468
"2013-07",14.98,19.401,15.768,25.652,18.947
"2013-08",14.311,17.628,15.952,25.389,18.591
"2013-09",11.343,16.187,10.381,21.671,14.537
"2013-10",6.22,8.349,1.39,16.236,8.599
"2013-11",1.478,5.845,-2.318,13.207,4.726
"2013-12",-3.831,-2.055,-15.258,7.501,-2.278
"2014-01",-2.493,-1.118,-13.839,6.846,-1.643
"2014-02",-3.519,-0.266,-13.539,8.4,-1.337
"2014-03",0.513,4.092,-5.913,10.52,2.678
"2014-04",3.971,9.842,1.911,15.167,7.741
"2014-05",9.117,14.734,7.028,17.923,11.806
"2014-06",11.562,16.025,13.61,23.566,16.584
"2014-07",12.654,17.801,16.658,25.966,18.929
"2014-08",12.699,18.218,15.689,26.294,18.556
"2014-09",10.671,15.785,9.935,22.58,14.735
"2014-10",5.735,9.582,1.853,17.72,8.931
"2014-11",3.422,5.369,-4.693,12.692,3.885
"2014-12",-1.097,0.569,-18.084,8.119,-1.987
"2015-01",-5.517,-3.29,-18.798,7.413,-3.731
"2015-02",-7.769,-0.998,-15.077,8.707,-2.883
"2015-03",-1.41,2.925,-6.26,10.081,1.69
"2015-04",4.621,10.901,3.809,14.438,7.664
"2015-05",10.083,14.559,9.708,17.62,12.178
"2015-06",11.53,17.642,13.37,22.592,16.241
"2015-07",15.235,20.178,18.73,25.396,19.497
"2015-08",12.936,17.375,16.147,25.158,17.945
"2015-09",10.425,15.397,11.797,22.236,14.804
"2015-10",6.959,10.706,4.145,16.915,9.296
"2015-11",2.138,2.69,-5.092,9.778,3.129
"2015-12",-1.747,-0.127,-9.96,7.315,-0.39
"2016-01",-3.213,0.27,-12.56,7.565,-1.75
"2016-02",-4.428,-1.952,-10.249,7.711,-0.977
"2016-03",0.133,5.118,-7.562,12.282,2.754
"2016-04",2.851,9.601,0.364,15.555,7.357
"2016-05",7.844,13.915,7.349,19.309,11.971
"2016-06",12.707,17.548,12.766,22.859,16.637
"2016-07",14.767,19.025,14.321,25.163,18.297
"2016-08",14.613,19.343,14.161,26.003,18.314
"2016-09",9.739,15.331,7.084,23.367,14.138
"2016-10",6.17,9.358,2.293,17.649,9.094
"2016-11",0.805,4.374,-6.506,12.052,2.794
"2016-12",-4.681,-5.088,-18.407,7.239,-3.476
"2017-01",-4.108,0.756,-16.801,8.183,-2.602
"2017-02",-2.559,4.143,-12.707,10.286,-0.238
"2017-03",-1.823,4.067,-7.523,12.03,2.024
"2017-04",3.045,7.345,0.173,13.584,6.776
"2017-05",7.569,12.453,6.932,17.797,11.646
"2017-06",12.728,17.782,13.769,22.748,16.556
"2017-07",15.133,18.467,16.066,25.254,18.765
"2017-08",12.713,16.4,13.434,25.951,17.783
"2017-09",10.052,14.463,10.663,22.139,14.351
"2017-10",5.65,11.089,-1.183,18.498,8.528
"2017-11",0.424,4.192,-7.851,12.284,2.232
"2017-12",-1.794,0.65,-12.497,9.225,-0.998
"2018-01",-2.791,-0.846,-12.309,6.994,-2.057
"2018-02",-1.019,2.955,-6.587,8.818,0.796
"2018-03",-1.419,5.113,-6.008,12.302,2.86
"2018-04",2.298,8.933,3.06,15.048,7.303
"2018-05",7.074,11.715,7.017,17.482,11.088
"2018-06",12.241,15.674,13.421,21.891,16.092
"2018-07",14.455,19.342,16.886,25.783,19.238
"2018-08",13.857,17.493,13.963,25.293,17.801
"2018-09",10.472,12.939,8.819,21.869,14.003
"2018-10",6.247,9.753,2.915,17.183,8.768
"2018-11",-0.193,4.216,-5.603,11.868,2.494
"2018-12",-1.868,1.041,-9.838,8.887,0.254
"2019-01",-1.983,-0.176,-9.697,7.38,-0.662
"2019-02",-2.189,1.543,-14.978,8.181,-1.787
"2019-03",-0.944,4.049,-3.499,10.202,2.566
"2019-04",3.946,11.178,2.625,15.096,7.711
"2019-05",7.972,13.749,7.391,17.672,11.524
"2019-06",11.945,17.09,11.861,22.865,15.962
"2019-07",14.29,18.281,15.875,25.249,18.678
"2019-08",14.032,18.099,15.633,25.582,18.412
"2019-09",10.623,14.758,7.257,22.747,14.011
"2019-10",7.394,11.848,2.775,17.566,9.162
"2019-11",2.647,5.456,-7.759,11.97,2.697
"2019-12",0.955,3.849,-7.844,8.952,0.434
"2020-01",-2.398,-3.049,-17.595,5.392,-3.109
"2020-02",-4.624,-2.153,-17.097,8.161,-2.786
"2020-03",-0.482,2.587,-7.439,10.51,1.95
"2020-04",2.481,9.084,1.494,15.732,7.51
"2020-05",7.555,13.315,7.526,19.492,12.173
"2020-06",13.711,18.929,17.606,22.904,17.99
"2020-07",15.114,18.664,18.018,25.349,19.124
"2020-08",13.008,17.93,16.038,26.595,18.668
"2020-09",7.809,11.969,5.718,22.696,13.003
"2020-10",4.898,7.34,-1.143,17.322,7.801
"2020-11",1.191,5.124,-8.109,12.704,2.68
"2020-12",-2.751,1.769,-16.278,9.156,-1.491
"2021-01",-9.284,-4.142,-23.858,7.693,-5.717
"2021-02",-7.65,-4.034,-17.338,8.704,-3.53
"2021-03",-3.142,-1.185,-8.762,9.215,0.552
"2021-04",2.726,7.842,0.877,12.524,6.502
"2021-05",7.474,12.808,8.546,18.252,12.045
"2021-06",12.844,17.143,14.36,21.546,16.411
"2021-07",13.682,18.221,13.935,26.01,18.337
"2021-08",11.966,16.298,10.951,26.769,17.026
"2021-09",9.603,13.541,6.514,22.231,13.448
"2021-10",5.255,9.084,3,17.348,8.869
"2021-11",3.742,5.286,-1.998,12.18,4.517
"2021-12",-1.073,-1.788,-15.756,7.38,-2.165
"2022-01",-2.719,0.168,-9.449,7.616,-0.72
"2022-02",-1.949,2.746,-9.84,8.917,-0.388
"2022-03",1.565,6.463,-1.398,11.903,4.397
"2022-04",4.793,10.169,2.814,14.055,7.439
"2022-05",8.688,13.687,6.179,18.418,11.581
"2022-06",13.061,17.701,14.221,22.594,16.807
"2022-07",15.001,20.883,17.156,26.47,19.802
"2022-08",14.488,20.746,13.465,25.887,18.47
"2022-09",10.163,15.838,7.094,22.536,14.074
"2022-10",7.014,12.081,2.307,17.642,9.428
"2022-11",3.389,4.59,-7.76,11.522,3.233
"2022-12",-1.85,2.682,-10.209,9.381,-0.377
"2023-01",-1.205,-0.953,-13.733,5.584,-2.118
"2023-02",-0.636,2.53,-15.825,8.811,-1.174
"2023-03",1.178,5.12,-4.597,11.159,3.265
"2023-04",2.883,7.169,0.481,13.595,6.048
"2023-05",10.399,14.422,11.63,18.066,13.09
"2023-06",13.708,17.939,15.925,22.663,17.322
"2023-07",14.334,18.776,18.326,26.094,19.889
"2023-08",13.003,17.559,14.145,25.706,17.961
"2023-09",9.825,15.181,7.36,22.298,13.926
"2023-10",4.438,8.976,3.905,17.718,9.218
"2023-11",3.644,7.277,-3.957,13.125,4.465
"2023-12",-0.428,1.286,-11.479,8.657,-0.368
"2024-01",-3.06,-0.218,-13.753,7.121,-2.436
"2024-02",-3.777,1.203,-11.056,9.196,-0.774
"2024-03",0.673,6.589,-5.8,11.534,3.002
"2024-04",5.078,10.974,0.121,15.317,7.385
"2024-05",7.171,12.166,6.589,19.595,11.564
"2024-06",11.215,17.091,12.559,23.774,16.485
"2024-07",12.355,16.253,14.97,26.27,18.232
"2024-08",12.592,16.949,13.997,25.366,17.626
"2024-09",9.153,14.849,8.004,23.162,13.906
"2024-10",6.208,9.829,1.204,17.432,8.917
"2024-11",1.109,3.391,-7.658,11.089,2.639
"2024-12",-0.909,3.125,-10.246,8.739,0.119
"2025-01",-2.566,1.571,-14.003,6.816,-2.644
"2025-02",-3.278,2.718,-13.647,10.107,-0.766
"2025-03",0.483,4.292,-7.111,11.259,2.589
"2025-04",4.062,9.833,3.231,15.163,8.122
"2025-05",7.672,13.618,7.719,19.549,12.192
"2025-06",11.614,18.435,13.611,23.535,16.494
"2025-07",12.501,16.496,14.456,26.816,18.478
"2025-08",12.191,15.526,11.148,25.846,16.864
"2025-09",8.23,12.436,6.941,22.404,13.134
"2025-10",5.848,10.416,4.133,18.506,9.905
"2025-11",2.513,5.044,-7.725,12.231,3.197
"2025-12",-1.663,-0.252,-14.621,7.734,-1.443
"2026-01",-5.977,-2.906,-14.945,7.83,-2.901
"2026-02",-4.604,-3.118,-14.135,8.409,-2.371
"2026-03",-3.146,2.632,-8.453,11.909,1.557
"2026-04",4.028,9.151,3.989,14.246,7.842
"2026-05",7.726,13.376,9.814,18.322,12.254
"2026-06",12.67,19.374,14.632,22.738,16.962
"2026-07",14.32,18.177,14.145,25.417,18.321
"2026-08",13.188,18.487,13.218,25.355,17.821
"2026-09",10.072,15.036,9.754,22.56,14.523
"2026-10",6.614,10.888,3.677,18.076,9.735
"2026-11",3.219,5.934,-3.108,12.291,4.535
"2026-12",0.229,-0.128,-11.362,7.946,0.134
"2027-01",-2.219,-3.603,-13.313,5.325,-2.14
"2027-02",-5.667,-2.168,-14.743,8.208,-2.311
"2027-03",-3.247,0.872,-10.287,10.823,0.668
"2027-04",2.219,8.158,1.036,14.687,6.723
"2027-05",7.409,14.945,6.348,19.468,11.968
"2027-06",11.286,16.731,12.966,23.474,16.579
"2027-07",12.224,18.884,15.868,26.895,19.043
"2027-08",12.496,18.955,14.139,25.467,17.965
"2027-09",9.857,14.051,8.391,22.172,14.045
"2027-10",4.999,9.308,-0.101,17.288,8.276
"2027-11",2.826,5.663,-4.38,12.342,3.908
"2027-12",-0.511,-1.415,-17.209,7.54,-2.224
"2028-01",-4.439,-2.278,-12.402,7.056,-2.267
"2028-02",-2.771,0.063,-7.842,8.916,0.259
"2028-03",-1.133,4.444,-5.274,11.595,2.82
"2028-04",2,7.173,1.003,15.35,6.857
"2028-05",8.443,13.865,10.624,18.008,12.348
"2028-06",12.451,18.119,15.401,23.331,17.603
"2028-07",14.738,20.273,16.77,25.995,19.114
"2028-08",15.118,18.968,13.787,25.562,18.339
"2028-09",10.934,15.403,10.293,22.514,14.89
"2028-10",5.75,8.994,1.675,16.499,8.848
"2028-11",0.485,5.758,-5.485,12.725,2.968
"2028-12",-1.023,2.843,-10.571,9.604,0.507
"2029-01",-1.045,4.392,-9.998,8.655,-0.171
"2029-02",-0.552,1.923,-8.743,8.293,0.475
"2029-03",0.122,3.945,-5.668,11.474,3.202
"2029-04",4.434,8.966,3.372,14.538,8.202
"2029-05",8.551,12.677,9.656,18.84,12.352
"2029-06",11.678,16.317,13.967,23.929,16.805
"2029-07",14.231,18.954,17.48,26.682,19.582
"2029-08",14.054,19.144,15.306,26.159,18.756
"2029-09",10.45,15.285,10.772,22.779,15.017
"2029-10",6.116,8.399,1.979,15.978,8.694
"2029-11",2.975,6.36,-7.582,12.45,3.109
"2029-12",-2.869,-0.385,-13.883,9.08,-0.903
"2030-01",-1.854,0.712,-14.779,7.995,-1.932
"2030-02",-1.178,3.293,-12.393,9.024,-0.746
"2030-03",-0.864,5.637,-10.098,12.067,1.991
"2030-04",3.88,8.878,0.779,13.854,6.923
"2030-05",8.51,14.143,8.568,19.764,12.429
"2030-06",11.828,17.59,13.272,23.293,16.34
"2030-07",13.441,18.746,16.831,26.777,18.973
"2030-08",13.234,20.805,13.974,26.907,18.327
"2030-09",10.936,17.974,11.695,23.214,15.151
"2030-10",7.129,12.32,3.92,17.934,9.988
"2030-11",1.492,5.325,-5.583,12.987,3.574
"2030-12",-1.608,2.269,-10.889,9.307,-0.492
"2031-01",-2.769,-0.948,-13.631,7.652,-1.954
"2031-02",-1.835,2.492,-9.634,9.237,0.21
"2031-03",0.749,6.294,-5.433,12.09,3.828
"2031-04",4.466,10.299,0.624,15.347,7.682
"2031-05",8.414,13.5,5.78,18.041,11.604
"2031-06",11.773,17.801,15.553,22.266,16.623
"2031-07",13.227,19.687,15.761,26.004,18.926
"2031-08",13.274,19.847,12.851,26.256,18.108
"2031-09",10.865,16.952,9.413,23.165,14.999
"2031-10",7.613,12.042,2.514,17.468,9.766
"2031-11",3.542,5.903,-5.184,12.541,3.622
"2031-12",1.267,2.54,-10.488,8.65,0.602
"2032-01",-0.95,1.731,-10.957,8.259,-0.282
"2032-02",-4.168,-0.25,-16.576,9.021,-2.553
"2032-03",-2.801,1.679,-11.21,10.667,0.256
"2032-04",3.45,11.44,-0.021,15.335,7.047
"2032-05",7.093,13.15,6.075,19.047,11.624
"2032-06",11.095,15.113,13.174,24.126,16.634
"2032-07",13.697,20.399,15.443,26.444,19.067
"2032-08",12.256,18.707,13.688,26.474,17.889
"2032-09",11.163,17.041,10.796,23.594,15.377
"2032-10",5.687,10.082,-0.787,16.803,8.085
"2032-11",2.411,7.934,-2.968,13.369,4.486
"2032-12",-3.153,0.131,-6.174,9.906,1.085
"2033-01",-6.419,-1.801,-17.005,9.076,-2.567
"2033-02",-3.225,3.129,-9.727,10.189,0.125
"2033-03",-3.645,2.355,-10.281,11.725,1.226
"2033-04",2.41,9.125,2.453,16.577,7.988
"2033-05",7.509,12.943,10.735,18.542,12.368
"2033-06",13.106,20.501,15.152,24.725,17.854
"2033-07",14.693,21.191,13.71,27.103,19.13
"2033-08",13.179,18.856,13.553,25.877,18.12
"2033-09",9.428,15.523,6.897,23.125,14.08
"2033-10",6.424,10.478,0.32,17.415,8.592
"2033-11",2.572,2.059,-8.261,10.869,2.787
"2033-12",-0.982,4.819,-8.441,10.271,0.932
"2034-01",-2.425,2.499,-14.107,8.574,-1.333
"2034-02",-1.4,2.175,-6.281,8.184,0.58
"2034-03",-1.966,4.935,-6.012,12.55,2.772
"2034-04",3.861,11.324,2.099,15.564,8.199
"2034-05",8.759,14.641,8.447,19.781,12.414
"2034-06",11.696,17.936,10.925,23.688,16.185
"2034-07",14.3,19.322,15.3,26.332,18.813
"2034-08",13.919,20.187,14.234,26.787,18.733
"2034-09",11.584,16.243,12.043,22.956,15.643
"2034-10",7.406,11.502,3.554,18.487,10.338
"2034-11",3.797,6.028,-3.83,12.128,4.352
"2034-12",-1.461,1.18,-13.109,8.148,-1.068
"2035-01",-2.916,0.87,-16.289,6.728,-2.901
"2035-02",-2.345,1.698,-12.241,9.079,-0.934
"2035-03",1.753,4.381,-5.696,9.861,2.376
"2035-04",3.018,7.461,-0.1,14.154,6.348
"2035-05",8.328,13.666,9.22,19.337,12.369
"2035-06",12.869,16.524,11.625,23.125,16.012
"2035-07",13.555,16.879,12.762,25.227,17.647
"2035-08",13.515,17.072,15.107,25.65,18.366
"2035-09",9.566,13.249,7.057,21.391,13.349
"2035-10",5.238,9.372,-1.683,17.801,8.244
"2035-11",3.351,6.203,-2.147,12.648,4.872
"2035-12",-2.455,0.249,-13.023,8.975,-0.979
"2036-01",-4.508,1.23,-17.362,9.279,-2.666
"2036-02",-6.302,-0.153,-13.74,9.576,-1.624
"2036-03",-0.256,4.506,-8.88,12.392,2.631
