#Dataset: MOHC-HadGEM2-ES_r1i1p1_rcp45_DMI-HIRHAM5_v2
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",0.931,1.545,-14.46,8.89,0.386
"2006-02",1.154,3.696,-5.299,10.479,2.859
"2006-03",0.888,4.377,-7.99,11.548,2.924
"2006-04",3.888,8.874,-2.732,14.431,5.632
"2006-05",6.04,12.954,5.792,19.859,10.51
"2006-06",11.635,18.972,16.472,23.171,15.661
"2006-07",12.927,19.236,16.191,25.998,17.359
"2006-08",13.131,18.954,11.729,25.74,16.463
"2006-09",9.882,15.109,10.572,23.357,14.531
"2006-10",5.468,10.635,1.571,19.354,10.116
"2006-11",2.968,6.983,-2.164,14.802,6.583
"2006-12",1.563,3.563,-6.92,10.24,2.584
"2007-01",-0.848,1.33,-12.622,8.573,0.424
"2007-02",-0.453,3.101,-5.972,10.858,2.688
"2007-03",0.403,6.629,-5.574,13.758,3.77
"2007-04",0.943,9.139,-1.011,16.39,6.087
"2007-05",7.198,14.773,7.075,20.528,11.131
"2007-06",11.534,17.246,14.842,23.748,15.434
"2007-07",12.776,20.169,15.752,26.681,17.541
"2007-08",12.843,17.729,13.781,27.084,16.781
"2007-09",10.693,15.863,8.42,23.765,14.425
"2007-10",4.002,9.224,0.158,19.492,9.553
"2007-11",2.804,5.643,-8.836,15.218,5.289
"2007-12",1.692,0.503,-18.212,9.832,0.503
"2008-01",-1.365,2.44,-12.811,10.031,0.883
"2008-02",-2.233,2.177,-9.924,10.614,1.143
"2008-03",-1.228,5.013,-6.616,12.992,3.054
"2008-04",2.439,8.834,-0.305,14.481,6.467
"2008-05",6.062,13.543,7.718,19.161,10.486
"2008-06",11.234,19.108,13.093,23.261,14.87
"2008-07",13.038,18.761,14.306,25.838,16.627
"2008-08",12.32,19.299,13.766,26.151,16.733
"2008-09",9.33,14.647,10.765,23.536,14.247
"2008-10",6.7,11.857,6.279,21.038,11.211
"2008-11",2.358,6.894,-3.427,15.787,6.29
"2008-12",-0.276,2.37,-10.567,11.701,2.158
"2009-01",-0.469,1.065,-14.671,8.556,0.09
"2009-02",-2.235,1.493,-8.676,10.239,1.478
"2009-03",-0.508,6.236,-4.627,13.11,3.445
"2009-04",1.526,8.379,-5.377,16.284,5.286
"2009-05",7.853,14.239,7.549,19.582,10.987
"2009-06",10.236,18.053,14.442,23.979,15.366
"2009-07",13.503,19.233,16.246,26.032,17.264
"2009-08",12.816,18.036,14.521,25.75,16.824
"2009-09",10.697,15.468,10.712,23.303,14.239
"2009-10",7.21,11.482,3.406,19.594,10.456
"2009-11",3.895,5.112,-6.711,14.521,5.054
"2009-12",-0.599,3.019,-10.499,10.763,2.364
"2010-01",-3.258,2.107,-16.395,10.541,0.188
"2010-02",-1.662,2.883,-9.167,10.968,1.54
"2010-03",-1.988,5.334,-3.623,12.466,3.217
"2010-04",4.041,10.447,0.756,14.914,6.919
"2010-05",7.979,14.694,9.899,18.552,11.227
"2010-06",11.551,18.297,14.199,23.393,15.179
"2010-07",13.585,19.088,18.244,25.59,17.348
"2010-08",12.227,18.582,14.981,26.305,16.874
"2010-09",9.863,14.936,10.472,24.094,14.298
"2010-10",5.462,9.911,4.841,19.036,10.26
"2010-11",1.524,2.219,-6.369,12.576,4.567
"2010-12",-3.933,-3.224,-15.984,10.988,0.298
"2011-01",-3.152,1.316,-12.834,9.964,0.244
"2011-02",-2.667,2.234,-17.074,9.282,-0.651
"2011-03",-0.2,5.938,-6.639,12.791,3.157
"2011-04",5.025,10.489,2.434,15.419,7.657
"2011-05",9.584,17.026,6.543,19.628,11.137
"2011-06",11.169,17.701,15.592,23.923,15.271
"2011-07",12.897,18.545,15.442,25.878,16.81
"2011-08",12.478,17.694,15.955,25.735,16.987
"2011-09",10.601,15.299,10.743,23.114,14.649
"2011-10",5.791,10.385,3.075,19.71,10.059
"2011-11",2.91,5.052,-0.761,14.31,6.46
"2011-12",-0.497,0.219,-13.898,10.663,1.095
"2012-01",-2.043,-0.02,-12.268,8.832,0.167
"2012-02",-1.487,2.74,-11.192,9.794,0.617
"2012-03",-1.863,1.787,-9.836,11.347,1.612
"2012-04",3.85,8.641,-0.726,14.404,6.126
"2012-05",8.887,13.685,10.831,17.469,10.865
"2012-06",12.048,17.29,19.483,22.03,15.704
"2012-07",13.68,19.926,18.761,25.511,17.432
"2012-08",13.592,19.611,14.092,25.816,16.902
"2012-09",10.48,14.143,9.736,23.118,14.128
"2012-10",7.977,10.659,5.907,18.742,10.592
"2012-11",2.962,5.575,-3.982,14.847,5.574
"2012-12",-3.403,-0.866,-19.143,12.035,-0.058
"2013-01",-2.821,-0.73,-12.517,9.156,0.506
"2013-02",-1.406,1.804,-10.169,10.715,1.735
"2013-03",1.388,4.392,-6.465,12.148,3.184
"2013-04",1.546,8.499,1.759,16.419,6.791
"2013-05",7.981,14.687,11.047,18.484,11.146
"2013-06",12.942,18.586,17.51,23.097,15.865
"2013-07",12.741,18.806,14.593,25.681,16.446
"2013-08",13.39,18.449,15.047,25.441,16.858
"2013-09",11.05,15.07,10.974,23.24,14.482
"2013-10",7.025,9.8,3.185,18.466,10.525
"2013-11",2.311,6.019,-5.324,14.627,5.67
"2013-12",0.404,1.827,-13.529,11.218,2.194
"2014-01",-1.79,0.923,-17.363,10.584,-0.01
"2014-02",0.2,1.005,-9.783,9.547,1.281
"2014-03",0.444,3.873,-8.058,12.104,2.681
"2014-04",4.581,9.232,0.621,15.218,7.008
"2014-05",6.979,12.892,11.694,19.909,11.804
"2014-06",12.104,18.657,16.497,23.614,15.842
"2014-07",13.295,19.678,14.976,26.013,17.083
"2014-08",12.884,17.723,14.212,25.984,17.052
"2014-09",10.942,14.449,7.596,23.721,14.2
"2014-10",7.82,11.083,1.916,19.499,10.477
"2014-11",3.37,3.253,-9.546,13.416,4.418
"2014-12",1.766,1.658,-6.528,9.754,3.051
"2015-01",-0.69,2.225,-18.008,9.021,-0.45
"2015-02",0.927,0.122,-15.081,8.709,0.375
"2015-03",-0.121,4.19,-7.659,12.509,2.546
"2015-04",5.723,10.377,3.803,14.972,7.527
"2015-05",9.292,13.549,8.528,18.058,10.667
"2015-06",12.242,18.138,15.524,22.917,15.081
"2015-07",13.539,18.008,19.209,25.615,17.309
"2015-08",14.936,19.071,15.473,25.721,16.997
"2015-09",10.018,16.175,8.669,23.907,13.855
"2015-10",7.907,10.674,5.501,19.458,11.062
"2015-11",4.871,5.674,-4.95,13.806,5.415
"2015-12",0.819,2.908,-7.716,11.083,2.786
"2016-01",1.339,1.367,-11.882,9.323,0.77
"2016-02",-3.093,1.462,-17.158,9.995,-0.327
"2016-03",-1.301,5.136,-6.894,13.536,2.971
"2016-04",3.858,11.543,0.27,16.158,6.95
"2016-05",8.274,12.537,7.312,18.916,10.638
"2016-06",11.264,16.272,13.65,23.793,14.938
"2016-07",13.371,18.166,20.222,26.521,18.37
"2016-08",12.71,18.104,16.523,26.291,17.456
"2016-09",11.754,15.807,10.242,23.728,14.596
"2016-10",8.648,11.244,7.143,18.943,11.104
"2016-11",3.766,4.58,-2.306,14.128,6.61
"2016-12",3.574,3.706,-6.218,10.043,3.502
"2017-01",-0.407,1.573,-7.867,8.329,1.601
"2017-02",0.885,4.743,-3.305,10.325,2.818
"2017-03",1.62,6.727,-1.388,13.435,4.876
"2017-04",3.071,7.895,-1.141,15.201,5.937
"2017-05",8.37,13.048,12.187,18.232,11.351
"2017-06",12.311,18.573,17.735,23.534,15.958
"2017-07",14.131,19.74,17.577,25.934,17.466
"2017-08",13.742,19.443,14.475,26.273,17.014
"2017-09",10.937,15.035,8.179,23.786,14.335
"2017-10",8.765,11.135,4.575,19.361,11.154
"2017-11",5.246,7.519,-1.946,14.556,6.821
"2017-12",-0.68,3.275,-16.14,12.489,1.28
"2018-01",0.686,2.949,-10.658,10.304,1.793
"2018-02",-0.219,3.264,-11.005,10.619,1.309
"2018-03",1.197,4.467,-5.75,12.8,3.616
"2018-04",4.738,8.518,-0.225,14.643,6.625
"2018-05",8.677,12.911,11.352,18.998,11.677
"2018-06",12.411,17.199,14.432,23.785,15.237
"2018-07",12.641,18.195,17.593,26.135,17.327
"2018-08",12.925,18.147,12.756,26.002,16.435
"2018-09",11.383,16.695,9.747,24.225,14.829
"2018-10",7.36,11.575,3.768,19.804,10.807
"2018-11",2.011,7.61,-2.698,15.355,6.202
"2018-12",1.862,4.788,-3.663,11.106,4
"2019-01",1.1,3.89,-9.809,9.934,1.982
"2019-02",0.175,1.989,-16.385,9.86,0.299
"2019-03",2.031,6.264,-8.008,12.495,3.152
"2019-04",4.922,8.775,3.029,15.431,7.538
"2019-05",8.115,14.484,10.483,19.34,11.614
"2019-06",12.656,18.687,17.425,23.379,16.022
"2019-07",14.271,20.018,17.157,26.302,17.818
"2019-08",13.478,17.165,16.792,26.087,17.601
"2019-09",11.58,15.653,12.789,23.338,15.28
"2019-10",5.983,10.633,4.088,19.124,10.706
"2019-11",2.595,6.393,-7.519,14.857,5.464
"2019-12",-1.106,-0.493,-12.424,11.372,2.048
"2020-01",-1.17,0.728,-8.819,10.048,1.94
"2020-02",0.59,3.812,-10.377,10.42,2.2
