#Dataset: NCC-NorESM1-M_r1i1p1_historical_DMI-HIRHAM5_v3
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"1970-01",-1.841,1.879,-11.712,9.251,1.494
"1970-02",-1.574,3.283,-9.413,10.702,2.324
"1970-03",0.113,5.256,-4.892,11.847,4.045
"1970-04",2.773,9.905,2.231,15.116,7.37
"1970-05",5.878,12.283,11.083,16.952,10.87
"1970-06",7.785,14.668,11.456,20.364,12.889
"1970-07",10.108,15.442,15,22.917,15.229
"1970-08",10.797,17.502,13.739,23.049,15.167
"1970-09",8.002,12.707,6.848,21.543,12.441
"1970-10",4.438,10.49,1.918,17.49,9.074
"1970-11",1.538,6.49,-3.415,13.974,5.766
"1970-12",1.318,2.48,-9.476,9.92,2.82
"1971-01",-3.705,1.064,-19.955,9.593,-0.851
"1971-02",-3.021,-1.241,-13.906,9.593,0.974
"1971-03",-1.754,4.024,-7.224,13.184,3.877
"1971-04",1.253,7.724,-1.867,14.384,6.314
"1971-05",4.994,11.425,6.653,17.506,10.13
"1971-06",9.426,16.05,12.616,20.469,13.777
"1971-07",11.369,16.306,16.628,22.757,15.718
"1971-08",10.486,15.626,15.34,23.189,15.714
"1971-09",7.981,13.682,7.973,20.971,12.671
"1971-10",3.283,10.074,2.693,17.032,9.207
"1971-11",0.611,5.888,-5.637,14.166,5.007
"1971-12",1.126,4.293,-13.585,10.41,2.178
"1972-01",-2.57,2.072,-8.847,10.088,1.751
"1972-02",-2.005,2.458,-9.187,10.829,1.985
"1972-03",0.529,5.143,-3.441,12.084,4.428
"1972-04",2.013,8.872,2.213,14.801,7.234
"1972-05",6.103,13.941,7.526,18.129,10.673
"1972-06",7.994,14.793,11.361,20.936,13.128
"1972-07",9.712,15.953,13.886,22.44,14.898
"1972-08",10.279,16.219,13.296,22.975,14.988
"1972-09",7.975,14.323,6.599,21.321,12.565
"1972-10",4.898,9.406,2.282,17.523,9.255
"1972-11",2.826,6.302,-4.105,13.59,5.456
"1972-12",-0.014,3.981,-8.305,10.568,2.875
"1973-01",-1.015,3.261,-11.369,9.684,1.505
"1973-02",-2.387,2.425,-7.142,10.797,2.829
"1973-03",-1.888,3.271,-8.076,12.603,3.077
"1973-04",3.074,10.306,3.309,15.104,7.793
"1973-05",5.466,13.242,8.663,17.791,10.568
"1973-06",8.758,15.226,12.263,19.932,13.057
"1973-07",11.246,17.138,14.516,23.12,15.423
"1973-08",11.043,17.205,11.647,23.769,15.179
"1973-09",8.105,12.902,5.262,21.511,12.49
"1973-10",5.505,10.215,1.293,17.001,8.846
"1973-11",2.061,8.112,-6.09,13.779,5.149
"1973-12",0.133,2.481,-7.131,10.431,2.966
"1974-01",-0.17,3.687,-12.939,10.294,1.15
"1974-02",-3.181,-1.07,-20.511,9.81,-1.074
