#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_rcp85_MOHC-HadREM3-GA7-05_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-25
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",3.125,4.224,NA,12.666,5.532
"2006-02",2.437,7.254,NA,13.128,5.279
"2006-03",3.623,7.827,NA,13.758,6.21
"2006-04",3.993,8.99,NA,14.801,6.955
"2006-05",6.42,11.667,NA,16.728,9.489
"2006-06",10.12,16.19,NA,20.492,12.468
"2006-07",12.127,18.451,NA,23.009,14.77
"2006-08",11.953,18.447,NA,23.985,15.133
"2006-09",9.747,16.575,NA,22.366,13.678
"2006-10",7.199,13.834,NA,20.128,11.463
"2006-11",5.37,10.729,NA,16.875,9.102
"2006-12",4.909,6.337,NA,13.751,7.199
"2007-01",1.97,3.436,NA,11.393,4.598
"2007-02",2.034,6.32,NA,13.003,5.031
"2007-03",4.138,7.032,NA,13.395,6.368
"2007-04",4.23,8.87,NA,14.496,7.311
"2007-05",6.584,12.609,NA,17.157,9.953
"2007-06",9.269,15.75,NA,20.15,12.479
"2007-07",11.41,17.951,NA,22.776,14.615
"2007-08",12.132,18.773,NA,23.624,15.202
"2007-09",11.069,17.755,NA,22.919,14.362
"2007-10",8.847,15.475,NA,21.079,12.448
"2007-11",4.534,11.042,NA,17.904,9.404
"2007-12",3.577,8.935,NA,15.769,7.714
"2008-01",1.095,6.165,NA,13.73,5.256
"2008-02",1.897,7.641,NA,13.339,5.333
"2008-03",2.282,7.265,NA,13.758,6.142
"2008-04",4.342,10.068,NA,15.399,7.934
"2008-05",6.784,13.03,NA,17.602,9.994
"2008-06",9.123,15.706,NA,21.235,12.655
"2008-07",11.746,17.861,NA,23.918,15.236
"2008-08",11.908,19.365,NA,24.522,15.456
"2008-09",9.748,18.136,NA,23.153,14.157
"2008-10",6.566,14.818,NA,20.728,11.605
"2008-11",3.187,9.794,NA,16.492,8.322
"2008-12",3.749,8.937,NA,14.327,6.696
"2009-01",2.18,6.947,NA,12.625,5.382
"2009-02",1.886,6.43,NA,12.922,4.594
"2009-03",1.402,6.905,NA,13.248,5.466
"2009-04",3.802,9.112,NA,15.11,7.208
"2009-05",5.942,12.557,NA,17.22,9.356
"2009-06",9.48,15.947,NA,20.814,11.963
"2009-07",10.487,18.091,NA,23.317,14.022
"2009-08",11.386,18.538,NA,24.341,14.721
"2009-09",10.088,17.253,NA,23.052,13.897
"2009-10",6.065,13.538,NA,20.709,11.228
"2009-11",4.739,10.069,NA,17.513,9.096
"2009-12",1.958,6.789,NA,14.005,6.699
"2010-01",2.602,4.047,NA,12.199,5.52
"2010-02",2.689,6.455,NA,12.813,5.466
"2010-03",2.491,7.786,NA,13.999,5.817
"2010-04",4.519,9.625,NA,15.02,7.449
"2010-05",6.882,13.037,NA,17.663,9.718
"2010-06",9.803,16.528,NA,21.266,12.46
"2010-07",12.472,18.333,NA,23.333,14.685
"2010-08",11.868,19.024,NA,24.706,15.204
"2010-09",10.593,17.81,NA,23.14,14.245
"2010-10",8.275,14.183,NA,20.958,11.791
"2010-11",5.602,7.909,NA,16.716,9.447
"2010-12",4.263,6.301,NA,13.3,7.067
"2011-01",2.984,4.961,NA,12.798,6.309
"2011-02",4.123,5.892,NA,11.906,5.884
"2011-03",3.296,6.896,NA,13.014,6.323
"2011-04",4.981,9.097,NA,14.287,7.579
"2011-05",7.34,12.529,NA,16.78,9.645
"2011-06",9.575,15.955,NA,20.397,12.442
"2011-07",11.964,18.608,NA,23.45,14.888
"2011-08",12.687,19.212,NA,23.639,15.431
"2011-09",11.037,18.064,NA,22.508,14.161
"2011-10",7.743,15.873,NA,20.527,11.744
"2011-11",6.874,11.418,NA,17.331,9.639
"2011-12",4.782,9.39,NA,14.68,7.664
"2012-01",3.09,7.473,NA,13.556,6.595
"2012-02",3.737,8.211,NA,13.291,5.366
"2012-03",3.831,8.273,NA,13.601,6.176
"2012-04",4.685,10.934,NA,15.26,7.386
"2012-05",7.491,13.512,NA,17.589,9.783
"2012-06",10.534,16.423,NA,20.997,12.594
"2012-07",12.414,19.101,NA,23.375,14.809
"2012-08",13.046,20.025,NA,24.684,15.694
"2012-09",10.899,17.827,NA,23.299,14.432
"2012-10",9.3,15.099,NA,20.563,12.16
"2012-11",7.961,11.549,NA,17.883,10.385
"2012-12",3.49,7.407,NA,15.637,7.343
"2013-01",3.56,6.152,NA,13.188,6.144
"2013-02",2.351,6.388,NA,12.625,5.303
"2013-03",2.685,7.63,NA,13.586,5.832
"2013-04",5.149,8.982,NA,14.658,7.603
"2013-05",7.291,11.768,NA,17.14,9.888
"2013-06",11.198,15.799,NA,20.254,12.669
"2013-07",13.57,18.218,NA,23.33,15.192
"2013-08",13.922,18.865,NA,23.757,15.668
"2013-09",11.847,18.449,NA,22.993,14.809
"2013-10",9.871,14.958,NA,20.122,12.746
"2013-11",5.33,11.736,NA,17.53,9.567
"2013-12",2.401,8.024,NA,15.207,7.179
"2014-01",1.319,7.072,NA,13.793,6.051
"2014-02",1.559,6.853,NA,13.461,4.831
"2014-03",2.697,7.336,NA,13.935,5.775
"2014-04",3.874,9.775,NA,15.197,6.958
"2014-05",7.139,13.279,NA,17.951,9.736
"2014-06",10.288,16.479,NA,21.117,12.56
"2014-07",12.189,18.779,NA,23.537,14.776
"2014-08",12.048,18.575,NA,23.717,14.91
"2014-09",10.029,16.834,NA,22.191,13.705
"2014-10",8.886,13.923,NA,19.739,12.018
"2014-11",6.556,11.799,NA,17.258,9.153
"2014-12",3.525,8.694,NA,15.244,7.16
"2015-01",2.892,8.445,NA,14.424,5.954
"2015-02",4.223,8.591,NA,13.751,5.929
"2015-03",3.226,8.797,NA,14.328,5.608
"2015-04",4.516,9.705,NA,15.198,7.377
"2015-05",7.544,13.129,NA,17.591,9.909
"2015-06",10.672,16.03,NA,21.212,12.63
"2015-07",12.318,18.941,NA,23.67,14.979
"2015-08",12.138,19.856,NA,24.659,15.685
"2015-09",11.041,17.925,NA,23.733,14.711
"2015-10",8.159,15.43,NA,20.985,12.211
"2015-11",5.734,11.593,NA,18.443,9.939
"2015-12",3.645,9.084,NA,15.206,7.551
"2016-01",1.15,6.292,NA,13.89,5.687
"2016-02",-0.079,5.642,NA,14.363,5.288
"2016-03",2.464,7.351,NA,14.203,5.71
"2016-04",4.265,9.681,NA,15.803,7.476
"2016-05",6.862,12.277,NA,17.987,9.681
"2016-06",9.905,15.916,NA,21.213,12.427
"2016-07",12.061,18.047,NA,23.839,14.318
"2016-08",11.386,18.85,NA,24.672,15.153
"2016-09",10.722,17.416,NA,23.086,14.21
"2016-10",7.494,14.345,NA,21.031,12.18
"2016-11",4.133,11.167,NA,17.645,8.762
"2016-12",3.326,8.944,NA,14.893,6.594
"2017-01",3.982,8.693,NA,14.077,5.709
"2017-02",3.926,6.951,NA,13.163,5.661
"2017-03",4.525,8.298,NA,13.829,6.098
"2017-04",5.52,10.826,NA,15.701,7.937
"2017-05",7.97,13.754,NA,17.942,10.101
"2017-06",10.34,16.882,NA,21.385,12.675
"2017-07",12.639,18.86,NA,23.966,15.047
"2017-08",12.628,19.822,NA,24.692,15.977
"2017-09",11.46,17.93,NA,23.581,14.776
"2017-10",9.493,15.184,NA,21.294,12.743
"2017-11",7.364,12.016,NA,18.125,10.427
"2017-12",4.294,9.579,NA,15.757,8.144
"2018-01",4.025,7.778,NA,14.136,7.26
"2018-02",2.769,6.266,NA,13.028,6.163
"2018-03",3.161,8.783,NA,14.914,6.697
"2018-04",4.462,10.2,NA,15.732,8.421
"2018-05",6.975,12.793,NA,17.47,10.252
"2018-06",10.583,16.002,NA,20.438,12.978
"2018-07",12.347,18.474,NA,23.289,15.302
"2018-08",12.663,19.234,NA,24.096,16.16
"2018-09",12.374,18.878,NA,23.088,15.154
"2018-10",9.913,17.022,NA,21.922,13.014
"2018-11",7.439,13.082,NA,18.574,10.287
"2018-12",4.989,8.475,NA,14.636,7.385
"2019-01",1.748,7.46,NA,13.857,5.602
"2019-02",3.255,7.922,NA,13.241,5.434
"2019-03",4.741,8.693,NA,14.268,7.243
"2019-04",5.405,9.253,NA,14.803,7.788
"2019-05",7.594,13.206,NA,17.831,10.366
"2019-06",10.128,17.603,NA,21.37,13.019
"2019-07",12.869,19.716,NA,24.007,15.146
"2019-08",12.76,19.686,NA,24.849,16.137
"2019-09",10.03,17.922,NA,23.673,14.47
"2019-10",8.063,15.717,NA,21.559,12.319
"2019-11",5.895,11.207,NA,17.666,9.657
"2019-12",4.959,9.251,NA,15.314,8.141
"2020-01",2.35,6.508,NA,13.511,6.305
"2020-02",1.703,5.964,NA,13.384,6.246
"2020-03",3.301,7.604,NA,13.705,6.565
"2020-04",4.894,10.137,NA,15.537,8.41
"2020-05",7.6,13.17,NA,17.561,10.635
"2020-06",9.726,15.787,NA,21.385,13.358
"2020-07",12.24,17.655,NA,24.269,15.679
"2020-08",12.353,18.579,NA,25.033,16.434
"2020-09",10.472,17.197,NA,23.284,14.73
"2020-10",8.472,14.586,NA,20.76,12.262
"2020-11",6.489,10.793,NA,17.384,9.858
"2020-12",4.492,7.323,NA,14.765,7.769
"2021-01",1.59,4.581,NA,13.515,5.815
"2021-02",0.668,4.781,NA,12.758,4.444
"2021-03",2.559,5.433,NA,12.866,6.357
"2021-04",4.702,8.743,NA,14.932,8.114
"2021-05",7.393,12.241,NA,17.191,9.951
"2021-06",9.951,15.713,NA,21.273,13.125
"2021-07",12.689,18.531,NA,23.504,15.202
"2021-08",13.127,18.834,NA,24.651,16.04
"2021-09",11.056,17.462,NA,23.958,14.856
"2021-10",8.955,15.074,NA,21.534,12.898
"2021-11",6.418,11.8,NA,17.738,10.068
"2021-12",4.117,8.492,NA,15.044,7.907
"2022-01",1.032,4.368,NA,14.011,6.195
"2022-02",1.992,6.917,NA,13.497,5.542
"2022-03",2.66,8.587,NA,14.696,6.903
"2022-04",4.731,9.453,NA,15.38,8.123
"2022-05",6.458,12.908,NA,18.285,10.432
"2022-06",9.983,16.112,NA,21.18,13.073
"2022-07",11.865,18.375,NA,24.004,15.467
"2022-08",12.193,18.91,NA,24.632,16.096
"2022-09",9.712,17.581,NA,23.548,14.434
"2022-10",7.973,15.415,NA,21.661,12.302
"2022-11",6.081,11.222,NA,17.927,9.928
"2022-12",4.349,6.647,NA,14.425,7.757
"2023-01",2.005,5.783,NA,13.835,6.567
"2023-02",0.928,6.131,NA,13.256,5.811
"2023-03",2.085,7.218,NA,13.923,6.274
"2023-04",5.205,9.551,NA,15.137,7.889
"2023-05",6.662,12.089,NA,17.903,10.091
"2023-06",9.535,16.214,NA,20.884,12.894
