#Dataset: NCC-NorESM1-M_r1i1p1_rcp85_MOHC-HadREM3-GA7-05_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 1º
#Creation_Date: 2021-02-26
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEU","WCE","EEU","MED","world"
"2006-01",3.325,9.482,NA,14.319,6.737
"2006-02",3.334,9.548,NA,14.137,6.184
"2006-03",2.944,9.864,NA,15.008,5.997
"2006-04",5.039,10.818,NA,15.386,8.264
"2006-05",6.985,13.763,NA,18.076,10.38
"2006-06",8.004,16.25,NA,20.706,12.211
"2006-07",10.155,18.658,NA,23.162,14.203
"2006-08",10.757,19.467,NA,24.401,15.096
"2006-09",9.475,16.744,NA,22.053,13.975
"2006-10",6.699,14.507,NA,19.168,11.143
"2006-11",2.521,11.306,NA,17.059,8.443
"2006-12",0.337,8.322,NA,15.567,6.415
"2007-01",0.255,7.239,NA,14.587,4.834
"2007-02",0.494,5.89,NA,13.424,4.736
"2007-03",1.539,7.577,NA,14.407,6.305
"2007-04",2.45,9.513,NA,16.185,7.908
"2007-05",4.846,12.674,NA,17.704,9.799
"2007-06",7.443,16.075,NA,20.742,12.084
"2007-07",8.966,17.91,NA,23.407,14.089
"2007-08",10.281,19.14,NA,24.141,15.253
"2007-09",8.39,17.685,NA,21.988,13.762
"2007-10",5.939,14.126,NA,19.285,11.316
"2007-11",5.379,12.061,NA,17.282,9.189
"2007-12",1.542,9.068,NA,14.277,6.751
"2008-01",0.741,7.349,NA,13.965,4.909
"2008-02",0.884,8.994,NA,14.324,4.607
"2008-03",0.54,9.631,NA,14.995,4.965
"2008-04",3.555,11.273,NA,16.258,8.078
"2008-05",5.454,13.017,NA,17.639,9.73
"2008-06",7.76,16.719,NA,20.993,12.13
"2008-07",9.579,18.691,NA,23.377,14.08
"2008-08",10.157,19.143,NA,24.268,14.99
"2008-09",8.813,17.905,NA,23.195,13.814
"2008-10",8.051,14.986,NA,20.09,11.875
"2008-11",3.403,12.119,NA,17.761,8.645
"2008-12",3.052,8.873,NA,15.717,7.441
"2009-01",1.892,8.592,NA,14.325,4.895
"2009-02",-0.608,6.558,NA,14.506,4.383
"2009-03",-1.075,6.784,NA,14.909,4.857
"2009-04",3.09,9.956,NA,15.56,6.952
"2009-05",5.196,12.967,NA,17.336,9.691
"2009-06",7.589,15.765,NA,20.787,12.126
"2009-07",10.361,18.577,NA,22.995,14.133
"2009-08",11.146,19.153,NA,23.729,14.943
"2009-09",8.81,16.9,NA,21.869,13.546
"2009-10",7.683,13.965,NA,19.287,11.712
"2009-11",5.053,11.884,NA,17.334,9.322
"2009-12",3.328,9.92,NA,15.853,7.765
"2010-01",1.298,7.666,NA,13.65,6.236
"2010-02",2.131,8.174,NA,14.648,6.423
"2010-03",2.508,7.903,NA,13.799,6.551
"2010-04",1.491,9.298,NA,15.268,7.323
"2010-05",4.455,12.612,NA,17.726,9.949
"2010-06",8.027,15.751,NA,19.898,12.223
"2010-07",10.873,19.062,NA,23.033,14.841
"2010-08",11.035,19.51,NA,23.813,15.521
"2010-09",9.425,17.605,NA,22.547,13.91
"2010-10",7.738,14.689,NA,19.942,11.804
"2010-11",5.459,9.603,NA,16.08,9.161
"2010-12",2.203,9.196,NA,14.518,6.306
"2011-01",2.109,7.858,NA,13.415,5.117
"2011-02",2.171,7.695,NA,13.683,5.386
"2011-03",2.126,8.105,NA,13.587,6.068
"2011-04",4.668,10.136,NA,15.093,7.972
"2011-05",6.091,13.125,NA,17.033,9.867
"2011-06",8.823,16.142,NA,20.256,12.012
"2011-07",10.388,17.942,NA,22.751,13.936
"2011-08",11.243,18.59,NA,23.845,15.029
"2011-09",9.568,16.841,NA,22.013,13.824
"2011-10",7.651,14.131,NA,18.935,11.477
"2011-11",5.001,10.904,NA,15.726,9.044
"2011-12",3.435,9.272,NA,14.64,7.197
"2012-01",2.795,9.199,NA,13.986,5.456
"2012-02",2.73,8.06,NA,13.536,5.725
"2012-03",2.127,9.528,NA,14.53,6.329
"2012-04",3.339,10.62,NA,15.775,7.396
"2012-05",5.17,12.718,NA,17.633,9.816
"2012-06",7.439,16.186,NA,20.439,11.989
"2012-07",9.171,17.919,NA,22.552,13.987
"2012-08",10.616,19.224,NA,23.874,14.983
"2012-09",9.153,17.145,NA,21.664,13.405
"2012-10",5.966,13.976,NA,19.511,10.957
"2012-11",3.277,10.988,NA,17.215,8.651
"2012-12",2.124,10.116,NA,15.737,6.658
"2013-01",1.619,8.735,NA,14.364,4.893
"2013-02",-0.555,6.896,NA,14.029,3.272
"2013-03",-0.174,6.881,NA,14.412,4.862
"2013-04",3.014,10.348,NA,15.861,7.586
"2013-05",4.481,12.508,NA,17.692,9.315
"2013-06",7.269,16.369,NA,21.146,11.938
"2013-07",10.206,19.606,NA,23.572,14.101
"2013-08",10.217,19.883,NA,24.44,14.868
"2013-09",8.533,17.239,NA,21.854,13.007
"2013-10",6.43,14.182,NA,19.602,11.154
"2013-11",4.887,12.021,NA,17.816,8.977
"2013-12",1.733,9.139,NA,14.897,6.414
"2014-01",2.23,7.55,NA,13.246,5.557
"2014-02",1.981,7.671,NA,13.713,5.608
"2014-03",1.133,7.991,NA,14.647,5.304
"2014-04",2.942,9.848,NA,15.226,7.249
"2014-05",5.696,13.088,NA,17.553,9.647
"2014-06",7.191,15.865,NA,20.487,11.877
"2014-07",10.037,18.595,NA,22.763,14.042
"2014-08",10.988,19.698,NA,23.936,15.015
"2014-09",8.834,16.504,NA,21.514,13.598
"2014-10",6.862,13.768,NA,19.246,11.491
"2014-11",5.446,12.123,NA,17.181,9.385
"2014-12",2.776,9.292,NA,15.096,7.077
"2015-01",0.605,7.775,NA,14.355,5.636
"2015-02",-1.247,7.101,NA,14.224,3.183
"2015-03",0.575,7.27,NA,14.725,5.562
"2015-04",2.419,10.168,NA,15.878,7.792
"2015-05",4.634,12.209,NA,17.325,9.336
"2015-06",7.87,16.411,NA,20.659,12.177
"2015-07",9.095,18.752,NA,23.468,14.142
"2015-08",9.795,19.019,NA,24.214,14.91
"2015-09",8.782,17.075,NA,22.334,13.551
"2015-10",7.268,15.221,NA,20.313,11.59
"2015-11",5.595,11.34,NA,17.384,9.614
"2015-12",1.289,8.226,NA,15.06,6.135
"2016-01",0.423,7.518,NA,15.114,4.696
"2016-02",-0.086,3.844,NA,12.825,3.795
"2016-03",2.024,7.704,NA,13.862,6.209
"2016-04",2.944,10.186,NA,16.027,7.729
"2016-05",5.596,12.737,NA,17.255,9.777
"2016-06",7.822,16.51,NA,20.386,11.923
"2016-07",9.266,18.317,NA,22.881,13.869
"2016-08",10.318,18.857,NA,23.352,14.834
"2016-09",9.183,16.899,NA,21.557,13.536
"2016-10",5.702,14.363,NA,19.226,11.106
"2016-11",4.845,11.517,NA,17.058,9.165
"2016-12",2.76,9.56,NA,15.194,7.443
"2017-01",0.449,8.332,NA,14.458,4.797
"2017-02",1.645,7.228,NA,13.513,5.151
"2017-03",1.777,9.114,NA,14.784,6.205
"2017-04",3.966,10.643,NA,15.973,7.963
"2017-05",4.69,12.992,NA,18.284,9.758
"2017-06",7.734,16.498,NA,21.106,12.024
"2017-07",9.784,19.087,NA,23.398,13.865
"2017-08",10.121,20.024,NA,24.37,14.601
"2017-09",8.648,17.983,NA,23.158,13.772
"2017-10",5.899,15.043,NA,19.942,10.869
"2017-11",4.427,11.609,NA,16.885,8.615
"2017-12",2.985,10.005,NA,15.07,6.821
"2018-01",0.845,7.485,NA,13.915,4.875
"2018-02",1.87,8.531,NA,14.294,4.744
"2018-03",-0.753,7.902,NA,15.48,4.729
"2018-04",2.994,9.896,NA,16.044,7.473
"2018-05",5.786,12.597,NA,17.427,9.704
"2018-06",7.671,16.674,NA,21.022,11.811
"2018-07",9.937,18.444,NA,22.917,13.703
"2018-08",10.438,18.32,NA,23.395,14.431
"2018-09",9.303,17.169,NA,22.213,13.374
"2018-10",6.853,14.485,NA,19.822,11.468
"2018-11",3.038,10.357,NA,16.609,8.551
"2018-12",0.77,6.755,NA,14.359,5.427
"2019-01",-1.007,5.988,NA,14.202,4.881
"2019-02",1.114,8.659,NA,14.701,5.474
"2019-03",1.234,8.539,NA,14.924,5.251
"2019-04",2.027,10.126,NA,15.987,7.642
"2019-05",5.094,13.268,NA,18.103,9.681
"2019-06",7.77,16.45,NA,20.868,11.875
"2019-07",9.658,19.192,NA,23.608,13.939
"2019-08",9.679,19.046,NA,23.897,14.64
"2019-09",8.287,16.934,NA,22.197,13.293
"2019-10",6.404,14.758,NA,20.013,11.139
"2019-11",4.009,11.635,NA,17.02,8.35
"2019-12",2.962,9.581,NA,15.198,6.598
"2020-01",2.053,9.441,NA,14.303,5.781
"2020-02",1.9,8.667,NA,14.37,5.718
"2020-03",3.409,9.334,NA,14.486,6.732
"2020-04",4.13,10.917,NA,15.918,8.194
"2020-05",6.03,13.79,NA,17.993,10.062
"2020-06",7.601,16.205,NA,20.665,11.963
"2020-07",10.162,19.453,NA,23.542,14.176
"2020-08",9.926,19.41,NA,24.304,14.843
"2020-09",9.75,17.427,NA,22.17,13.907
"2020-10",7.718,15.315,NA,19.683,11.141
"2020-11",5.466,12.713,NA,17.416,9.083
"2020-12",4.201,10.496,NA,15.253,7.391
"2021-01",3.003,9.134,NA,14.651,5.891
"2021-02",2,9.163,NA,13.938,5.819
"2021-03",2.623,8.824,NA,14.396,6.833
"2021-04",4.215,10.508,NA,15.26,8.19
"2021-05",5.689,13.087,NA,17.335,9.721
"2021-06",8.396,16.567,NA,20.644,12.336
"2021-07",10.44,19.604,NA,22.885,14.47
"2021-08",10.851,20.009,NA,24.003,15.229
"2021-09",10.146,18.487,NA,22.71,14.087
"2021-10",7.798,14.409,NA,19.908,11.833
"2021-11",4.338,12.518,NA,17.651,8.931
"2021-12",3.672,9.885,NA,15.007,6.856
"2022-01",1.211,7.084,NA,14.076,5.339
"2022-02",0.287,6.225,NA,13.216,4.711
"2022-03",0.665,7.841,NA,14.919,5.09
"2022-04",2.93,10.209,NA,15.772,7.17
"2022-05",6.076,12.776,NA,17.222,9.89
"2022-06",7.693,16.714,NA,20.701,12.099
"2022-07",10.064,19.109,NA,23.006,14.237
"2022-08",11.362,20.356,NA,24.228,15.341
"2022-09",10.096,18.212,NA,22.699,14.29
"2022-10",6.89,14.187,NA,19.066,11.494
"2022-11",4.465,10.492,NA,16.644,9.347
"2022-12",-0.022,7.328,NA,14.915,5.009
"2023-01",1.291,8.254,NA,14.828,5.111
"2023-02",2.177,9.113,NA,14.708,6.202
