#Dataset: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"2006-01",2.573,1.07,2.453,1.799,2.936,1.61,1.832,2.644
"2006-02",1.882,1.09,2.276,1.152,3.886,0.899,1.636,2.812
"2006-03",2.048,1.192,2.875,1.686,4.556,0.407,1.824,2.801
"2006-04",1.121,1.115,2.123,3.439,4.217,0.758,0.693,2.192
"2006-05",1.356,1.322,2.011,3.711,4.157,0.779,1.97,1.984
"2006-06",2.138,2.284,1.131,2.89,4.059,1.008,2.512,2.212
"2006-07",2.72,2.397,1.019,2.382,3.81,1.135,1.189,2.4
"2006-08",2.83,2.441,1.025,2.138,3.721,1.406,0.897,2.323
"2006-09",3.671,2.186,1.808,2.681,2.978,1.934,2.57,3.075
"2006-10",3.005,2.357,2.945,3.356,3.544,2.48,3.643,3.032
"2006-11",2.763,1.492,2.991,1.749,3.732,1.06,4.66,2.685
"2006-12",2.923,1.467,3.123,1.188,4.387,0.805,3.253,2.93
"2007-01",2.631,1.219,3.176,1.81,3.204,1.013,1.576,2.969
"2007-02",2.373,0.955,2.04,1.154,3.188,1.027,0.953,2.764
"2007-03",1.868,0.836,2.905,1.918,3.086,0.75,1.281,2.3
"2007-04",2.085,1.386,1.319,1.627,3.397,0.405,1.254,1.947
"2007-05",2.483,1.593,1.17,2.215,3.877,0.172,1.449,2.115
"2007-06",2.217,1.82,1.053,2.66,3.775,0.958,1.365,2.139
"2007-07",2.94,2.384,0.825,1.633,3.514,1.275,1.655,2.54
"2007-08",2.859,2.178,0.824,1.034,2.916,0.98,1.515,2.557
"2007-09",3.326,2.084,1.367,1.899,3.231,0.838,2.205,2.773
"2007-10",3.111,2.37,2.391,0.707,4.026,1.023,3.643,3.155
"2007-11",2.992,1.738,3.113,0.737,3.794,0.784,4.131,2.976
"2007-12",2.857,1.429,2.741,0.837,3.042,2.369,2.25,2.968
"2008-01",2.458,1.614,4.091,0.621,2.985,0.601,2.256,2.675
"2008-02",2.103,1.34,3.453,1.799,2.47,0.628,1.862,2.425
"2008-03",1.513,1.377,2.991,1.32,3.451,0.449,1.428,2.178
"2008-04",2.075,1.514,2.494,2.177,2.234,0.713,1.087,2.118
"2008-05",2.111,1.562,1.405,1.876,2.528,0.552,2.11,2.042
"2008-06",1.703,1.799,1.128,2.595,3.827,1.019,1.126,2.1
"2008-07",2.683,2.155,0.892,1.148,3.047,1.46,1.501,2.409
"2008-08",3.15,1.944,0.697,1.569,3.747,1.433,1.115,2.396
"2008-09",3.238,2.563,0.308,2.002,3.855,0.942,1.939,2.645
"2008-10",2.484,2.36,3.084,1.697,2.691,1.443,3.36,2.704
"2008-11",2.459,1.818,4.649,0.894,2.941,2.071,3.268,2.874
"2008-12",1.357,1.208,4.35,2.046,3.526,0.841,3.458,2.791
"2009-01",1.786,1.013,3.732,1.005,2.556,1.207,2.975,2.53
"2009-02",1.854,0.727,4.921,1.052,3.751,1.314,1.541,2.674
"2009-03",1.643,0.893,2.29,1.641,4.321,1.539,1.69,2.188
"2009-04",1.899,1.521,2.096,1.951,1.852,0.6,1.916,1.937
"2009-05",1.755,1.418,1.739,3.604,3.395,0.765,1.107,2.128
