#Dataset: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"1970-01",2.629,0.9,3.142,5.132,3.842,1.477,1.73,2.879
"1970-02",2.337,0.584,4.44,4.433,3.256,1.03,1.178,2.564
"1970-03",2.007,0.853,2.569,3.682,4.325,0.711,0.745,2.51
"1970-04",1.515,0.831,3.505,2.524,3.506,0.436,0.683,1.746
"1970-05",1.252,1.012,0.445,1.508,4.352,0.179,2.577,1.747
"1970-06",1.415,1.569,0.182,0.96,3.892,0.586,1.843,1.746
"1970-07",2.348,1.748,0.049,0.571,4.434,0.765,2.27,2.197
"1970-08",1.7,1.705,0.059,2.287,3.79,1.171,2.18,2.319
"1970-09",2.593,1.791,1.301,3.116,4.42,1.051,1.632,2.753
"1970-10",2.507,1.584,2.406,6.45,3.612,1.341,2.494,2.937
"1970-11",2.057,1.449,3.33,1.853,3.792,0.879,3.832,2.878
"1970-12",2.759,0.941,4.951,7.211,4.775,0.949,2.235,2.918
"1971-01",1.702,1.153,3.253,3.679,4.416,0.566,2.047,2.881
"1971-02",2.116,1.07,5.333,2.135,2.507,0.866,2.356,2.651
"1971-03",1.73,0.743,2.179,2.099,3.364,0.339,0.899,2.14
"1971-04",1.176,0.94,3.372,1.269,2.521,0.077,1.042,1.809
"1971-05",1.13,0.729,1.03,0.502,2.965,0.089,1.096,1.232
"1971-06",1.386,1.489,0.072,0.752,2.921,0.404,1.403,1.686
"1971-07",1.753,1.228,0.352,0.779,3.78,0.399,1.139,1.772
"1971-08",2.091,1.522,0.622,1.911,3.504,1.092,2.074,2.354
"1971-09",3.293,1.949,0.517,3.472,4.396,1.484,2.86,2.758
"1971-10",2.445,1.381,3.007,5.302,4.402,2.742,4.84,3.328
"1971-11",2.772,1.483,2.113,4.858,4.738,1.516,1.667,3.089
"1971-12",2.306,1.15,3.612,3.888,3.958,0.76,2.746,2.77
"1972-01",1.972,0.897,4.514,0.527,4.729,0.305,2.948,3.001
"1972-02",1.921,0.896,5.751,3.305,2.455,0.575,1.091,2.615
"1972-03",2.391,0.847,3.419,1.953,2.416,0.435,0.663,2.024
"1972-04",1.493,0.743,3.551,1.051,2.966,0.107,0.827,1.789
"1972-05",1.532,0.832,0.947,0.51,2.474,0.114,1.03,1.524
"1972-06",1.319,1.236,0.354,0.193,3.836,0.098,0.901,1.639
"1972-07",1.687,1.53,0.396,0.907,3.399,0.639,1.721,1.819
"1972-08",2.276,1.731,0.462,1.329,4.519,0.889,1.363,2.342
