#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015_v1
#Variable: pr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",48.607,38.554,183.418,114.67,148.809,120.648
"1970-02",59.266,26.407,123.199,47.488,116.991,91.926
"1970-03",46.789,32.615,137.887,82.444,117.125,108.703
"1970-04",55.502,35.579,104.089,91.392,122.483,84.499
"1970-05",61.48,32.811,54.991,107.457,141.763,93.022
"1970-06",68.795,52.862,25.703,38.34,128.026,86.293
"1970-07",67.132,38.038,36.137,146.334,150.802,122.305
"1970-08",70.901,35.598,18.952,104.701,148.021,142.666
"1970-09",100.91,60.362,58.48,278.855,214.764,174.641
"1970-10",86.198,68.304,86.074,67.126,115.321,168.897
"1970-11",71.137,39.401,207.056,45.287,156.004,135.942
"1970-12",57.532,51.118,222.207,39.786,124.532,127.92
"1971-01",79.728,43.983,114.319,96.421,106.706,152.888
"1971-02",57.969,37.265,81.256,118.362,129.775,110.967
"1971-03",36.018,30.686,171.054,70.917,155.73,94.285
"1971-04",56.62,40.608,109.678,39.912,82.669,79.479
"1971-05",66.458,41.272,42.693,27.129,77.284,82.87
"1971-06",61.003,29.202,16.497,38.939,108.174,88.762
"1971-07",78.619,51.488,33.078,144.85,171.671,124.416
"1971-08",78.136,86.224,23.824,132.347,152.452,143.62
"1971-09",72.534,61.206,66.178,468.172,183.176,163.183
"1971-10",90.566,70.812,103.242,155.996,124.557,180.065
"1971-11",80.965,51.548,141.31,149.467,136.058,130.964
"1971-12",71.908,37.993,226.452,43.483,105.173,139.456
"1972-01",57.922,40.076,140.317,144.614,200.097,124.89
"1972-02",84.008,28.871,63.798,120.863,131.297,140.912
"1972-03",56.16,41.16,103.105,93.917,187.872,98.759
"1972-04",61.39,40.185,71.342,63.914,145.946,82.784
"1972-05",59.161,50.069,52.355,151.681,164.906,88.298
"1972-06",51.545,40.938,20.529,26.534,133.615,88.562
"1972-07",78.174,65.668,46.228,76.366,142.768,111.714
"1972-08",80.471,52.31,39.076,100.312,157.261,168.545
"1972-09",84.681,62.228,32.605,202.091,169.437,177.043
"1972-10",90.171,71.979,147.135,87.59,126.953,160.298
"1972-11",97.986,69.498,124.658,95.243,162.825,145.377
"1972-12",80.528,53.134,145.455,91.235,160.144,135.7
"1973-01",69.844,33.419,163.893,52.003,131.706,129.623
"1973-02",57.199,24.193,155.353,84.772,143.076,100.249
"1973-03",42.071,40.228,121.242,138.075,143.04,112.768
"1973-04",45.003,35.351,43.293,119.923,110.055,80.992
"1973-05",59.207,26.544,65.371,50.62,117.682,80.595
"1973-06",40.663,43.819,33.726,143.222,118.03,89.513
"1973-07",47.342,51.496,74.548,122.751,151.61,109.788
"1973-08",69.869,59.592,51.835,275.705,130.449,129.882
"1973-09",100.118,50.99,43.665,74.211,210.182,158.965
"1973-10",104.496,64.732,124.993,24.538,140.262,181.148
"1973-11",88.917,57.392,191.521,48.975,156.042,153.677
"1973-12",80.362,41.443,144.628,151.703,144.187,151.587
"1974-01",49.744,38.393,151.873,55.647,145.649,119.757
"1974-02",68.004,37.125,148.026,66.137,123.391,114.762
"1974-03",55.528,38.334,140.827,95.026,151.752,107.899
"1974-04",60.677,39.172,106.321,70.925,122.828,91.699
"1974-05",67.144,36.379,53.42,23.25,115.063,96.363
"1974-06",52.62,40.333,40.877,168.385,166.696,91.552
"1974-07",68.827,60.785,20.559,35.612,130.342,136.384
"1974-08",60.159,61.712,32.997,223.717,175.052,147.494
"1974-09",86.782,58.234,73.025,171.144,128.25,137.359
"1974-10",114.945,62.438,50.893,178.457,121,165.146
"1974-11",89.239,41.248,223.744,121.521,141.154,136.426
"1974-12",81.661,51.456,228.873,74.375,119.862,139.378
"1975-01",79.563,45.538,86.322,83.967,112.098,108.613
"1975-02",58.614,34.553,211.434,44.143,125.513,102.563
"1975-03",39.793,39.254,133.994,59.385,104.396,105.963
"1975-04",63.744,27.04,150.042,119.285,102.21,85.756
"1975-05",53.099,40.435,84.488,61.72,123.849,89.951
"1975-06",41.296,22.649,28.046,202.883,138.519,90.007
"1975-07",69.009,44.364,37.339,193.233,173.001,117.063
"1975-08",74.021,78.94,30.353,189.558,181.39,146.38
"1975-09",99.702,48.824,82.123,92.037,141.62,151.768
"1975-10",100.42,71.34,98.065,113.838,143.086,150.69
"1975-11",82.345,45.101,150.47,33.524,146.897,153.963
"1975-12",79.583,44.036,203.992,35.856,123.934,136.295
"1976-01",44.578,26.762,233.145,57.804,135.586,116.242
"1976-02",47.645,32.119,150.073,65.042,146.726,96.324
"1976-03",46.559,30.848,145.907,117.828,96.717,84.854
"1976-04",63.58,36.809,81.347,104.557,91.843,84.53
"1976-05",55.858,49.778,49.155,25.828,124.877,83.042
"1976-06",72.406,37.644,25.929,9.221,108.838,92.499
"1976-07",80.016,35.892,17.813,138.899,120.066,113.537
"1976-08",91.562,52.175,14.408,53.514,129.3,122.586
"1976-09",105.862,57.699,55.852,163.505,182.973,169.073
"1976-10",89.729,72.55,34.125,347.51,203.633,152.175
"1976-11",64.002,45.22,206.798,179.036,143.207,152.734
"1976-12",76.964,51.556,188.237,124.674,163.512,133.118
"1977-01",79.101,43.307,175.952,153.034,122.634,135.814
"1977-02",57.244,35.204,125.559,122.102,120.661,107.267
"1977-03",52.584,31.078,72.886,113.113,151.138,113.764
"1977-04",39.09,32.32,100.741,83.83,99.444,91.517
"1977-05",68.722,50.87,27.65,90.573,120.626,90.916
"1977-06",56.464,37.138,30.149,21.542,119.204,87.455
"1977-07",51.912,51.821,32.937,73.375,124.488,129.391
"1977-08",88.545,49.47,34.754,55.176,181.255,141.436
"1977-09",104.773,61.738,45.758,110.512,203.055,180.707
"1977-10",113.442,68.364,87.431,50.311,183.758,168.155
"1977-11",91.766,81.301,151.159,74.109,128.463,130.087
"1977-12",96.265,45.98,153.396,115.594,148.864,139.787
"1978-01",68.986,36.857,119.468,29.222,81.316,132.006
"1978-02",60.486,31.237,123.445,75.068,149.257,113.602
"1978-03",44.239,32.945,120.693,99.271,123.567,99.066
"1978-04",46.136,36.837,129.196,52.848,112.024,85.909
"1978-05",60.445,40.135,25.803,15.619,108.889,90.778
"1978-06",55.395,40.854,16.752,23.591,77.635,106.967
"1978-07",94.624,52.761,16.554,109.146,148.648,129.598
"1978-08",67.758,55.141,59.683,92.4,170.951,143.169
